player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
28179,Mladen,Bartulovic,Mladen Bartulovic,2021,49364,mladen-bartulovic,Jugoslawien (SFR),Kakanj,Croatia,1986-10-05 00:00:00,Left Midfield,Midfield,left,184.0,,ProStar,https://img.a.transfermarkt.technology/portrait/header/28179-1611343204.png?lm=1,,,,https://www.transfermarkt.co.uk/mladen-bartulovic/profil/spieler/28179,UKR1,Ingulets Petrove,200000.0,1500000.0
38297,Bogdan,Shust,Bogdan Shust,2021,49364,bogdan-shust,UdSSR,"Sudova Vyshnya, Lviv Oblast",Ukraine,1986-03-04 00:00:00,Goalkeeper,Goalkeeper,right,189.0,,ProStar,https://img.a.transfermarkt.technology/portrait/header/38297-1611342911.png?lm=1,,,,https://www.transfermarkt.co.uk/bogdan-shust/profil/spieler/38297,UKR1,Ingulets Petrove,200000.0,1500000.0
49030,Denys,Vasin,Denys Vasin,2020,49364,denys-vasin,UdSSR,Odessa,Ukraine,1989-03-04 00:00:00,Right Winger,Attack,right,180.0,,OFA,https://img.a.transfermarkt.technology/portrait/header/49030-1639151883.png?lm=1,,,,https://www.transfermarkt.co.uk/denys-vasin/profil/spieler/49030,UKR1,Ingulets Petrove,25000.0,500000.0
53258,Vladyslav,Lupashko,Vladyslav Lupashko,2021,49364,vladyslav-lupashko,UdSSR,"Bilgorod-Dnistrovskyi, Odessa Oblast",Ukraine,1986-12-04 00:00:00,Defensive Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/53258-1611343244.png?lm=1,,,,https://www.transfermarkt.co.uk/vladyslav-lupashko/profil/spieler/53258,UKR1,Ingulets Petrove,100000.0,500000.0
59022,Yevgen,Galchuk,Yevgen Galchuk,2021,49364,yevgen-galchuk,Ukraine,"Kramatorsk, Donetsk Oblast",Ukraine,1992-03-05 00:00:00,Goalkeeper,Goalkeeper,right,184.0,,,https://img.a.transfermarkt.technology/portrait/header/59022-1637315469.png?lm=1,,,,https://www.transfermarkt.co.uk/yevgen-galchuk/profil/spieler/59022,UKR1,Ingulets Petrove,200000.0,700000.0
59115,Vitaliy,Pavlov,Vitaliy Pavlov,2022,49364,vitaliy-pavlov,,,Ukraine,1988-06-25 00:00:00,Centre-Back,Defender,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/59115-1611343136.png?lm=1,,,,https://www.transfermarkt.co.uk/vitaliy-pavlov/profil/spieler/59115,UKR1,Ingulets Petrove,150000.0,175000.0
123279,Artem,Shchedryi,Artem Shchedryi,2020,49364,artem-shchedryi,Ukraine,"Beryslav, Kherson Oblast",Ukraine,1992-11-09 00:00:00,Left Midfield,Midfield,,182.0,2024-12-31 00:00:00,SPOCS Global Sports,https://img.a.transfermarkt.technology/portrait/header/123279-1639151632.png?lm=1,,,,https://www.transfermarkt.co.uk/artem-shchedryi/profil/spieler/123279,UKR1,Ingulets Petrove,200000.0,400000.0
177267,Ilya,Kovalenko,Ilya Kovalenko,2021,49364,ilya-kovalenko,UdSSR,"Kalanchak, Kherson Oblast",Ukraine,1990-03-20 00:00:00,Left Winger,Attack,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/177267-1611343179.png?lm=1,,,,https://www.transfermarkt.co.uk/ilya-kovalenko/profil/spieler/177267,UKR1,Ingulets Petrove,100000.0,300000.0
204396,Stanislav-Nuri,Malysh,Stanislav-Nuri Malysh,2024,49364,stanislav-nuri-malysh,Ukraine,Kyiv,Ukraine,1995-01-15 00:00:00,Centre-Back,Defender,right,186.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/204396-1676395142.png?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/stanislav-nuri-malysh/profil/spieler/204396,UKR1,Ingulets Petrove,350000.0,350000.0
214448,Yaroslav,Bogunov,Yaroslav Bogunov,2024,49364,yaroslav-bogunov,Ukraine,Lugansk,Ukraine,1993-09-04 00:00:00,Left Winger,Attack,right,169.0,,,https://img.a.transfermarkt.technology/portrait/header/214448-1671462726.png?lm=1,,,,https://www.transfermarkt.co.uk/yaroslav-bogunov/profil/spieler/214448,UKR1,Ingulets Petrove,200000.0,300000.0
226014,Sergiy,Chenbay,Sergiy Chenbay,2022,49364,sergiy-chenbay,Ukraine,Kyiv,Ukraine,1992-11-06 00:00:00,Left-Back,Defender,left,185.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/226014-1611659936.png?lm=1,,,,https://www.transfermarkt.co.uk/sergiy-chenbay/profil/spieler/226014,UKR1,Ingulets Petrove,300000.0,300000.0
278917,Roman,Pidkivka,Roman Pidkivka,2022,49364,roman-pidkivka,Ukraine,Lviv,Ukraine,1995-05-09 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2023-06-30 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/278917-1612104724.png?lm=1,,,,https://www.transfermarkt.co.uk/roman-pidkivka/profil/spieler/278917,UKR1,Ingulets Petrove,75000.0,500000.0
295429,Mohamed Ali,Ben Salem,Mohamed Ali Ben Salem,2021,49364,mohamed-ali-ben-salem,,,Tunisia,1996-01-06 00:00:00,Centre-Back,Defender,right,181.0,2023-12-31 00:00:00,VIKOSPORT,https://img.a.transfermarkt.technology/portrait/header/295429-1614628595.png?lm=1,,,,https://www.transfermarkt.co.uk/mohamed-ali-ben-salem/profil/spieler/295429,UKR1,Ingulets Petrove,200000.0,400000.0
316945,Maryan,Mysyk,Maryan Mysyk,2024,49364,maryan-mysyk,Ukraine,"Radekhiv, Lviv Oblast",Ukraine,1996-10-02 00:00:00,Left Midfield,Midfield,left,174.0,2028-12-31 00:00:00,Igor Shutov,https://img.a.transfermarkt.technology/portrait/header/316945-1641742727.png?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/maryan-mysyk/profil/spieler/316945,UKR1,Ingulets Petrove,250000.0,400000.0
320247,Artem,Sitalo,Artem Sitalo,2024,49364,artem-sitalo,UdSSR,Kherson,Ukraine,1989-08-01 00:00:00,Centre-Forward,Attack,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/320247-1611329455.png?lm=1,,,,https://www.transfermarkt.co.uk/artem-sitalo/profil/spieler/320247,UKR1,Ingulets Petrove,25000.0,600000.0
332144,Volodymyr,Krynskyi,Volodymyr Krynskyi,2020,49364,volodymyr-krynskyi,Ukraine,"Chkalovske, Kharkiv Oblast",Ukraine,1997-01-14 00:00:00,Goalkeeper,Goalkeeper,right,196.0,,,https://img.a.transfermarkt.technology/portrait/header/332144-1571374430.png?lm=1,,,,https://www.transfermarkt.co.uk/volodymyr-krynskyi/profil/spieler/332144,UKR1,Ingulets Petrove,150000.0,500000.0
339323,Hennos,Asmelash,Hennos Asmelash,2021,49364,hennos-asmelash,Netherlands,Delft,Netherlands,1999-07-01 00:00:00,Right-Back,Defender,right,177.0,2024-06-30 00:00:00,Grand Stand,https://img.a.transfermarkt.technology/portrait/header/339323-1614628540.png?lm=1,,,,https://www.transfermarkt.co.uk/hennos-asmelash/profil/spieler/339323,UKR1,Ingulets Petrove,250000.0,300000.0
347804,Andriy,Korobenko,Andriy Korobenko,2022,49364,andriy-korobenko,Ukraine,Chernigiv,Ukraine,1997-05-28 00:00:00,Central Midfield,Midfield,right,184.0,2023-06-30 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/347804-1612038756.png?lm=1,,,,https://www.transfermarkt.co.uk/andriy-korobenko/profil/spieler/347804,UKR1,Ingulets Petrove,200000.0,200000.0
351616,Dmitri,Mandricenco,Dmitri Mandricenco,2022,49364,dmitri-mandricenco,Moldova,Tiraspol,Moldova,1997-05-13 00:00:00,Attacking Midfield,Midfield,both,184.0,2024-12-31 00:00:00,Easy Progress,https://img.a.transfermarkt.technology/portrait/header/351616-1635171597.png?lm=1,,,,https://www.transfermarkt.co.uk/dmitri-mandricenco/profil/spieler/351616,UKR1,Ingulets Petrove,175000.0,300000.0
353584,Sergiy,Petko,Sergiy Petko,2024,49364,sergiy-petko,Ukraine,"Nova Vodolaga, Kharkiv Oblast",Ukraine,1994-01-23 00:00:00,Defensive Midfield,Midfield,right,183.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/353584-1661091570.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/sergiy-petko/profil/spieler/353584,UKR1,Ingulets Petrove,150000.0,500000.0
379677,Oleksandr,Mishurenko,Oleksandr Mishurenko,2020,49364,oleksandr-mishurenko,UdSSR,"Nikopol, Dnipropetrovsk Oblast",Ukraine,1988-10-25 00:00:00,Centre-Forward,Attack,right,185.0,,,https://img.a.transfermarkt.technology/portrait/header/379677-1676395611.png?lm=1,,,,https://www.transfermarkt.co.uk/oleksandr-mishurenko/profil/spieler/379677,UKR1,Ingulets Petrove,50000.0,300000.0
385416,Mykhaylo,Shershen,Mykhaylo Shershen,2024,49364,mykhaylo-shershen,Ukraine,"Zmiiv, Kharkiv Oblast",Ukraine,1995-04-27 00:00:00,Centre-Back,Defender,right,187.0,2026-06-30 00:00:00,Lykholat Mykola,https://img.a.transfermarkt.technology/portrait/header/385416-1570177770.png?lm=1,,,,https://www.transfermarkt.co.uk/mykhaylo-shershen/profil/spieler/385416,UKR1,Ingulets Petrove,400000.0,500000.0
411027,Vladyslav,Ignatyev,Vladyslav Ignatyev,2020,49364,vladyslav-ignatyev,Ukraine,Kherson,Ukraine,1997-10-25 00:00:00,Attacking Midfield,Midfield,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/411027-1611343333.png?lm=1,,,,https://www.transfermarkt.co.uk/vladyslav-ignatyev/profil/spieler/411027,UKR1,Ingulets Petrove,50000.0,100000.0
427341,Danylo,Kucher,Danylo Kucher,2022,49364,danylo-kucher,Ukraine,"Kryvyi Rig, Dnipropetrovsk Oblast",Ukraine,1997-01-25 00:00:00,Goalkeeper,Goalkeeper,left,193.0,2024-06-30 00:00:00,11-Football Players,https://img.a.transfermarkt.technology/portrait/header/427341-1641717556.png?lm=1,,,,https://www.transfermarkt.co.uk/danylo-kucher/profil/spieler/427341,UKR1,Ingulets Petrove,350000.0,350000.0
429157,Yuriy,Kozyrenko,Yuriy Kozyrenko,2024,49364,yuriy-kozyrenko,Ukraine,"Kostopil, Rivne Oblast",Ukraine,1999-11-27 00:00:00,Right Winger,Attack,left,172.0,,ProStar,https://img.a.transfermarkt.technology/portrait/header/429157-1649574955.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/yuriy-kozyrenko/profil/spieler/429157,UKR1,Ingulets Petrove,200000.0,350000.0
461653,Artem,Malysh,Artem Malysh,2021,49364,artem-malysh,Ukraine,"Stara Vyzhivka, Volyn Oblast",Ukraine,2000-07-15 00:00:00,Goalkeeper,Goalkeeper,right,189.0,,FAMK Group ,https://img.a.transfermarkt.technology/portrait/header/461653-1611342945.png?lm=1,,,,https://www.transfermarkt.co.uk/artem-malysh/profil/spieler/461653,UKR1,Ingulets Petrove,75000.0,200000.0
515669,Mykhaylo,Plokhotnyuk,Mykhaylo Plokhotnyuk,2021,49364,mykhaylo-plokhotnyuk,Ukraine,Odesa,Ukraine,1999-03-12 00:00:00,Centre-Forward,Attack,right,182.0,,11-Football Players,https://img.a.transfermarkt.technology/portrait/header/515669-1668075144.png?lm=1,,,,https://www.transfermarkt.co.uk/mykhaylo-plokhotnyuk/profil/spieler/515669,UKR1,Ingulets Petrove,125000.0,200000.0
537850,Bogdan,Mogylnyi,Bogdan Mogylnyi,2024,49364,bogdan-mogylnyi,Ukraine,Kherson,Ukraine,2000-01-09 00:00:00,Left Winger,Attack,right,176.0,2026-12-31 00:00:00,MSM Group,https://img.a.transfermarkt.technology/portrait/header/537850-1676394485.png?lm=1,,,,https://www.transfermarkt.co.uk/bogdan-mogylnyi/profil/spieler/537850,UKR1,Ingulets Petrove,200000.0,250000.0
552418,Sergiy,Kyslenko,Sergiy Kyslenko,2024,49364,sergiy-kyslenko,Ukraine,"Taranivka, Kharkiv Oblast",Ukraine,1998-06-30 00:00:00,Centre-Forward,Attack,left,187.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/552418-1673415252.png?lm=1,,,,https://www.transfermarkt.co.uk/sergiy-kyslenko/profil/spieler/552418,UKR1,Ingulets Petrove,250000.0,250000.0
568915,Yohana Oscar,Mkomola,Yohana Oscar Mkomola,2020,49364,yohana-oscar-mkomola,Tanzania,Songea,Tanzania,2000-04-18 00:00:00,Centre-Forward,Attack,,177.0,,,https://img.a.transfermarkt.technology/portrait/header/568915-1611343433.png?lm=1,,,,https://www.transfermarkt.co.uk/yohana-oscar-mkomola/profil/spieler/568915,UKR1,Ingulets Petrove,50000.0,200000.0
572309,Bogdan,Lytvyak,Bogdan Lytvyak,2020,49364,bogdan-lytvyak,Ukraine,"Kryvyi Rig, Dnipropetrovsk Oblast",Ukraine,1998-05-05 00:00:00,Defensive Midfield,Midfield,left,183.0,,,https://img.a.transfermarkt.technology/portrait/header/572309-1614573938.png?lm=1,,,,https://www.transfermarkt.co.uk/bogdan-lytvyak/profil/spieler/572309,UKR1,Ingulets Petrove,25000.0,50000.0
579586,Rudolf,Blagogee,Rudolf Blagogee,2020,49364,rudolf-blagogee,Ghana,Accra,Ghana,2000-08-29 00:00:00,Left Winger,Attack,right,184.0,,Reign Star,https://img.a.transfermarkt.technology/portrait/header/579586-1611662427.png?lm=1,,,,https://www.transfermarkt.co.uk/rudolf-blagogee/profil/spieler/579586,UKR1,Ingulets Petrove,25000.0,50000.0
583354,Vladyslav,Sydorenko,Vladyslav Sydorenko,2024,49364,vladyslav-sydorenko,Ukraine,"Dergachi, Kharkiv Oblast",Ukraine,1997-10-24 00:00:00,Right-Back,Defender,right,174.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/583354-1658398674.png?lm=1,,,,https://www.transfermarkt.co.uk/vladyslav-sydorenko/profil/spieler/583354,UKR1,Ingulets Petrove,200000.0,300000.0
649716,Micheal Gopey,Stephen,Micheal Gopey Stephen,2021,49364,micheal-gopey-stephen,,,Nigeria,2000-01-15 00:00:00,Centre-Forward,Attack,right,184.0,,AMA Sport Solution,https://img.a.transfermarkt.technology/portrait/header/649716-1627061074.png?lm=1,,,,https://www.transfermarkt.co.uk/micheal-gopey-stephen/profil/spieler/649716,UKR1,Ingulets Petrove,200000.0,300000.0
717196,Artem,Benedyuk,Artem Benedyuk,2024,49364,artem-benedyuk,Ukraine,Kyiv,Ukraine,2004-02-27 00:00:00,Right-Back,Defender,right,172.0,2027-12-31 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/717196-1669389506.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/artem-benedyuk/profil/spieler/717196,UKR1,Ingulets Petrove,175000.0,175000.0
771911,Ilya,Gadzhuk,Ilya Gadzhuk,2024,49364,ilya-gadzhuk,Ukraine,"Brovary, Kyiv Oblast",Ukraine,2002-08-02 00:00:00,Central Midfield,Midfield,,183.0,2026-06-30 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/771911-1657519102.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/ilya-gadzhuk/profil/spieler/771911,UKR1,Ingulets Petrove,150000.0,150000.0
808973,Denys,Rezepov,Denys Rezepov,2024,49364,denys-rezepov,Ukraine,Kharkiv,Ukraine,2002-02-11 00:00:00,Centre-Forward,Attack,right,186.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/808973-1611660203.png?lm=1,,,,https://www.transfermarkt.co.uk/denys-rezepov/profil/spieler/808973,UKR1,Ingulets Petrove,175000.0,175000.0
817885,Oleg,Osypenko,Oleg Osypenko,2024,49364,oleg-osypenko,Ukraine,"Lyman, Donetsk Oblast",Ukraine,2001-10-10 00:00:00,Left Midfield,Midfield,left,174.0,,,https://img.a.transfermarkt.technology/portrait/header/817885-1677680268.png?lm=1,,,,https://www.transfermarkt.co.uk/oleg-osypenko/profil/spieler/817885,UKR1,Ingulets Petrove,50000.0,50000.0
863582,Suleyman,Seytkhalilov,Suleyman Seytkhalilov,2020,49364,suleyman-seytkhalilov,Ukraine,"Yevpatoriya, AR Krym",Ukraine,2002-02-14 00:00:00,Central Midfield,Midfield,right,177.0,,MSM Group,https://img.a.transfermarkt.technology/portrait/header/863582-1676482791.png?lm=1,,,,https://www.transfermarkt.co.uk/suleyman-seytkhalilov/profil/spieler/863582,UKR1,Ingulets Petrove,100000.0,100000.0
914319,Ilya,Tsurkan,Ilya Tsurkan,2021,49364,ilya-tsurkan,Ukraine,"Ternivka, Dnipropetrovsk Oblast",Ukraine,2002-04-17 00:00:00,Central Midfield,Midfield,,165.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/914319-1676395435.png?lm=1,,,,https://www.transfermarkt.co.uk/ilya-tsurkan/profil/spieler/914319,UKR1,Ingulets Petrove,50000.0,50000.0
