player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
39637,Roman,Miroshnyk,Roman Miroshnyk,2022,26459,roman-miroshnyk,Ukraine,Lugansk,Ukraine,1994-01-03 00:00:00,Centre-Back,Defender,right,182.0,2024-12-31 00:00:00,Special1Agency,https://img.a.transfermarkt.technology/portrait/header/39637-1616755084.png?lm=1,,,,https://www.transfermarkt.co.uk/roman-miroshnyk/profil/spieler/39637,UKR1,NK Veres Rivne,300000.0,400000.0
49016,Yevgen,Past,Yevgen Past,2023,26459,yevgen-past,UdSSR,Odessa,Ukraine,1988-03-16 00:00:00,Goalkeeper,Goalkeeper,left,188.0,,,https://img.a.transfermarkt.technology/portrait/header/49016-1641379250.png?lm=1,,,,https://www.transfermarkt.co.uk/yevgen-past/profil/spieler/49016,UKR1,NK Veres Rivne,100000.0,600000.0
58035,Mykola,Ishchenko,Mykola Ishchenko,2017,26459,mykola-ishchenko,UdSSR,Kiew,Ukraine,1983-03-09 00:00:00,Centre-Back,Defender,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/58035-1638435764.png?lm=1,,,,https://www.transfermarkt.co.uk/mykola-ishchenko/profil/spieler/58035,UKR1,NK Veres Rivne,200000.0,2000000.0
58046,Vasyl,Kobin,Vasyl Kobin,2017,26459,vasyl-kobin,UdSSR,"Strabychovo, Zakarpattia Oblast",Ukraine,1985-05-24 00:00:00,Right-Back,Defender,right,178.0,,,https://img.a.transfermarkt.technology/portrait/header/s_58046_660_2013_10_23_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/vasyl-kobin/profil/spieler/58046,UKR1,NK Veres Rivne,150000.0,3500000.0
70923,Bogdan,Kogut,Bogdan Kogut,2024,26459,bogdan-kogut,UdSSR,Lviv,Ukraine,1987-10-10 00:00:00,Goalkeeper,Goalkeeper,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/70923-1723641763.png?lm=1,,,,https://www.transfermarkt.co.uk/bogdan-kogut/profil/spieler/70923,UKR1,NK Veres Rivne,75000.0,300000.0
107283,Vasyl,Palagnyuk,Vasyl Palagnyuk,2017,26459,vasyl-palagnyuk,UdSSR,"Kyseliv, Chernivtsi Oblast",Ukraine,1991-03-07 00:00:00,Centre-Forward,Attack,right,181.0,,FOOTBOOK,https://img.a.transfermarkt.technology/portrait/header/107283-1673508593.png?lm=1,,,,https://www.transfermarkt.co.uk/vasyl-palagnyuk/profil/spieler/107283,UKR1,NK Veres Rivne,125000.0,150000.0
166563,Denys,Balan,Denys Balan,2023,26459,denys-balan,Ukraine,Odesa,Ukraine,1993-08-18 00:00:00,Right-Back,Defender,right,176.0,,PHENOMEN Sports,https://img.a.transfermarkt.technology/portrait/header/166563-1639151388.png?lm=1,,,,https://www.transfermarkt.co.uk/denys-balan/profil/spieler/166563,UKR1,NK Veres Rivne,300000.0,400000.0
166584,Mykyta,Polyulyakh,Mykyta Polyulyakh,2021,26459,mykyta-polyulyakh,Ukraine,"Dniprodzerzhynsk, Dnipropetrovsk Oblast",Ukraine,1993-03-15 00:00:00,Central Midfield,Midfield,right,184.0,2023-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/166584-1671463792.png?lm=1,,,,https://www.transfermarkt.co.uk/mykyta-polyulyakh/profil/spieler/166584,UKR1,NK Veres Rivne,250000.0,300000.0
177818,Andriy,Bliznichenko,Andriy Bliznichenko,2023,26459,andriy-bliznichenko,Ukraine,"Novograd-Volynskyi, Zhytomyr Oblast",Ukraine,1994-07-24 00:00:00,Right Winger,Attack,left,179.0,2025-06-30 00:00:00,FAMK Group ,https://img.a.transfermarkt.technology/portrait/header/177818-1584504340.png?lm=1,,,,https://www.transfermarkt.co.uk/andriy-bliznichenko/profil/spieler/177818,UKR1,NK Veres Rivne,200000.0,1000000.0
206054,Pavlo,Myagkov,Pavlo Myagkov,2017,26459,pavlo-myagkov,Ukraine,"Melitopol, Zaporizhya Oblast",Ukraine,1992-12-30 00:00:00,Left-Back,Defender,left,178.0,,,https://img.a.transfermarkt.technology/portrait/header/206054-1553605762.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pavlo-myagkov/profil/spieler/206054,UKR1,NK Veres Rivne,50000.0,400000.0
211317,Robert,Gegedosh,Robert Gegedosh,2021,26459,robert-gegedosh,Ukraine,"Svalyava, Zakarpattya Oblast",Ukraine,1993-05-02 00:00:00,Centre-Forward,Attack,left,180.0,2023-06-30 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/211317-1616756096.png?lm=1,,,,https://www.transfermarkt.co.uk/robert-gegedosh/profil/spieler/211317,UKR1,NK Veres Rivne,150000.0,300000.0
213976,Igor,Kharatin,Igor Kharatin,2025,26459,igor-kharatin,Ukraine,"Mukacheve, Zakarpattya Oblast",Ukraine,1995-02-02 00:00:00,Defensive Midfield,Midfield,right,188.0,2027-06-30 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/213976-1723628264.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/igor-kharatin/profil/spieler/213976,UKR1,NK Veres Rivne,500000.0,2500000.0
222079,Ruslan,Stepanyuk,Ruslan Stepanyuk,2024,26459,ruslan-stepanyuk,Ukraine,"Vesele, Dnipropetrovsk Oblast",Ukraine,1992-01-16 00:00:00,Centre-Forward,Attack,both,181.0,,PART of the GAME,https://img.a.transfermarkt.technology/portrait/header/222079-1723642222.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/ruslan-stepanyuk/profil/spieler/222079,UKR1,NK Veres Rivne,150000.0,800000.0
241686,Oleksandr,Lebedenko,Oleksandr Lebedenko,2022,26459,oleksandr-lebedenko,,"Krasnopillya, Sumy Oblast",,1989-08-13 00:00:00,Central Midfield,Midfield,right,170.0,,,https://img.a.transfermarkt.technology/portrait/header/241686-1659625786.png?lm=1,,,,https://www.transfermarkt.co.uk/oleksandr-lebedenko/profil/spieler/241686,UKR1,NK Veres Rivne,200000.0,200000.0
243841,Mykhaylo,Sergiychuk,Mykhaylo Sergiychuk,2022,26459,mykhaylo-sergiychuk,UdSSR,"Kostyantynivka, Rivne Oblast",Ukraine,1991-07-29 00:00:00,Centre-Forward,Attack,right,174.0,2024-06-30 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/243841-1616756160.png?lm=1,,,,https://www.transfermarkt.co.uk/mykhaylo-sergiychuk/profil/spieler/243841,UKR1,NK Veres Rivne,300000.0,600000.0
247213,Alan,Aussi,Alan Aussi,2021,26459,alan-aussi,Ukraine,Donetsk,Ukraine,2001-06-30 00:00:00,Centre-Back,Defender,,187.0,2023-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/247213-1645431832.png?lm=1,,,,https://www.transfermarkt.co.uk/alan-aussi/profil/spieler/247213,UKR1,NK Veres Rivne,125000.0,250000.0
