player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
58252,Sergiy,Siminin,Sergiy Siminin,2022,18105,sergiy-siminin,UdSSR,"Prymorskyi, Krym",Ukraine,1987-10-09 00:00:00,Centre-Back,Defender,right,180.0,,,https://img.a.transfermarkt.technology/portrait/header/58252-1637237664.png?lm=1,,,,https://www.transfermarkt.co.uk/sergiy-siminin/profil/spieler/58252,UKR1,PFK Lviv,50000.0,1000000.0
91991,Sergiy,Lyulka,Sergiy Lyulka,2019,18105,sergiy-lyulka,UdSSR,Kiew,Ukraine,1990-02-22 00:00:00,Right-Back,Defender,both,180.0,,,https://img.a.transfermarkt.technology/portrait/header/91991-1629048517.png?lm=1,,,,https://www.transfermarkt.co.uk/sergiy-lyulka/profil/spieler/91991,UKR1,PFK Lviv,150000.0,700000.0
100163,Sergiy,Borzenko,Sergiy Borzenko,2020,18105,sergiy-borzenko,UdSSR,"Komsomolske, Kharkiv Oblast",Ukraine,1986-06-22 00:00:00,Centre-Back,Defender,right,182.0,,,https://img.a.transfermarkt.technology/portrait/header/100163-1583679921.png?lm=1,,,,https://www.transfermarkt.co.uk/sergiy-borzenko/profil/spieler/100163,UKR1,PFK Lviv,150000.0,400000.0
114658,Sergiy,Voronin,Sergiy Voronin,2018,18105,sergiy-voronin,UdSSR,Kiew,Ukraine,1987-03-24 00:00:00,Left-Back,Defender,left,180.0,,,https://img.a.transfermarkt.technology/portrait/header/114658-1639148008.png?lm=1,,,,https://www.transfermarkt.co.uk/sergiy-voronin/profil/spieler/114658,UKR1,PFK Lviv,100000.0,600000.0
121009,Maksym,Kalenchuk,Maksym Kalenchuk,2018,18105,maksym-kalenchuk,UdSSR,Donetsk,Ukraine,1989-12-05 00:00:00,Defensive Midfield,Midfield,right,183.0,,SAG,https://img.a.transfermarkt.technology/portrait/header/121009-1616773755.png?lm=1,,,,https://www.transfermarkt.co.uk/maksym-kalenchuk/profil/spieler/121009,UKR1,PFK Lviv,50000.0,700000.0
121026,Yuriy,Putrash,Yuriy Putrash,2018,18105,yuriy-putrash,UdSSR,"Mizhgirya, Zakarpattia Region",Ukraine,1990-01-29 00:00:00,Left-Back,Defender,left,175.0,,,https://img.a.transfermarkt.technology/portrait/header/s_121026_16274_2012_1.jpg?lm=1,,,,https://www.transfermarkt.co.uk/yuriy-putrash/profil/spieler/121026,UKR1,PFK Lviv,100000.0,1000000.0
122361,Aderinsola Habib,Eseola,Aderinsola Habib Eseola,2022,18105,aderinsola-habib-eseola,UdSSR,Zhytomyr,Ukraine,1991-06-28 00:00:00,Centre-Forward,Attack,right,188.0,,OFA,https://img.a.transfermarkt.technology/portrait/header/122361-1583504022.png?lm=1,,,,https://www.transfermarkt.co.uk/aderinsola-habib-eseola/profil/spieler/122361,UKR1,PFK Lviv,200000.0,3200000.0
128813,Sergiy,Litovchenko,Sergiy Litovchenko,2020,18105,sergiy-litovchenko,UdSSR,Kharkiv,Ukraine,1987-10-04 00:00:00,Goalkeeper,Goalkeeper,left,192.0,,ICG 1983 est.,https://img.a.transfermarkt.technology/portrait/header/128813-1613892405.png?lm=1,,,,https://www.transfermarkt.co.uk/sergiy-litovchenko/profil/spieler/128813,UKR1,PFK Lviv,150000.0,600000.0
155861,Ruslan,Zubkov,Ruslan Zubkov,2019,18105,ruslan-zubkov,Ukraine,Odessa,Ukraine,1991-11-24 00:00:00,Centre-Back,Defender,right,189.0,,,https://img.a.transfermarkt.technology/portrait/header/155861-1548013386.png?lm=1,,,,https://www.transfermarkt.co.uk/ruslan-zubkov/profil/spieler/155861,UKR1,PFK Lviv,200000.0,300000.0
167553,Anton,Bratkov,Anton Bratkov,2019,18105,anton-bratkov,Ukraine,Kirovograd,Ukraine,1993-05-14 00:00:00,Centre-Back,Defender,right,186.0,2024-06-30 00:00:00,FAMK Group ,https://img.a.transfermarkt.technology/portrait/header/167553-1633454910.png?lm=1,,,,https://www.transfermarkt.co.uk/anton-bratkov/profil/spieler/167553,UKR1,PFK Lviv,300000.0,500000.0
