İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Promise David,1119328,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.6791666666667,24,9,2,14,1,1.04175341,165,289,57.093425605536,34,131,80,13,6,27.272727272727,4,4,1,0,0,0,0.0,70,26,26,28.260869565217,60,52.173913043478,1493,12.857142857143,1,0,0,0,0,0,11,52.380952380952,22,0,0,23,220,17,18,8,560,18,29,2,0,3,24,13,0,0,3,0,0,0,0,0,0,17,0.0,13,22,4,21,11,3,75.0,0,49,240,0,12.295,48,0,24,0.0
Promise David,1119328,Pro League 24/25,Pro League,Royale Union Saint-Gilloise,7.0848484848485,33,19,7,17,4,2.25323428,194,348,55.747126436782,47,151,85,29,15,33.333333333333,10,4,9,0,0,4,16.666666666667,65,38,43,28.666666666667,62,55.855855855856,1947,29.230769230769,6,5,2,0,0,0,15,60.0,36,1,0,22,297,15,17,11,715,18,48,3,0,9,25,11,0,0,2,0,0,0,0,0,0,23,0.0,29,45,24,25,13,6,60.0,0,65,307,4,16.5961,45,0,34,0.0
Promise David,1119328,UEFA Champions League 25/26,UEFA Champions League,Royale Union Saint-Gilloise,6.6571428571429,7,2,0,3,0,0.35429271,23,48,47.916666666667,8,15,10,3,2,66.666666666667,2,1,3,0,0,2,66.666666666667,16,8,7,35.0,12,44.444444444444,369,12.5,1,1,0,0,0,0,1,25.0,2,0,0,2,43,3,3,1,107,4,7,0,0,3,7,2,0,0,0,0,0,0,0,0,0,5,0.0,3,3,3,4,9,2,100.0,0,11,37,0,2.9602,8,0,7,0.0
Promise David,1119328,UEFA Europa League 24/25,UEFA Europa League,Royale Union Saint-Gilloise,7.15,2,1,0,1,0,0.2009942,17,23,73.913043478261,3,14,9,3,1,100.0,2,0,0,0,0,0,0.0,6,3,5,41.666666666667,3,30.0,136,16.666666666667,1,1,0,0,0,0,3,100.0,1,0,0,4,17,3,4,4,51,2,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0.0,3,1,0,3,1,2,100.0,0,3,20,0,1.6203,4,0,2,0.0
Kevin Rodriguez,1431770,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.75,22,8,3,6,1,1.95358015,198,286,69.230769230769,52,146,87,15,9,42.857142857143,17,4,1,0,0,0,0.0,52,24,52,40.625,46,44.660194174757,1181,15.384615384615,0,0,0,0,0,0,4,50.0,11,0,0,38,232,16,7,2,602,27,24,2,0,4,7,12,0,0,2,0,0,0,0,0,0,13,0.0,15,21,5,8,5,13,76.470588235294,0,68,218,2,6.0426,51,2,22,0.0
Kevin Rodriguez,1431770,Pro League 24/25,Pro League,Royale Union Saint-Gilloise,6.6227272727273,22,1,0,1,0,0.23795711,103,149,69.127516778523,24,80,45,3,13,33.333333333333,5,1,0,0,0,1,16.666666666667,25,4,37,41.111111111111,19,39.583333333333,661,4.0,1,0,1,0,0,0,1,33.333333333333,7,0,0,20,148,4,4,2,355,20,8,0,0,1,3,7,0,0,0,0,0,0,0,0,0,5,0.0,3,39,6,3,10,3,60.0,0,30,125,0,2.5475,25,0,22,0.0
Kevin Rodriguez,1431770,Pro League 23/24,Pro League,Royale Union Saint-Gilloise,6.8105263157895,19,3,2,2,2,1.17612517,102,142,71.830985915493,31,73,54,4,9,45.0,3,1,1,0,0,2,40.0,25,14,25,39.68253968254,12,28.571428571429,497,12.0,1,0,1,0,0,0,4,80.0,2,0,0,19,97,5,5,4,278,14,7,0,0,2,10,6,0,0,0,0,0,0,0,0,0,3,0.0,4,20,5,5,4,0,0.0,0,38,109,1,3.0999,26,0,19,0.0
Kevin Rodriguez,1431770,UEFA Champions League 25/26,UEFA Champions League,Royale Union Saint-Gilloise,6.5666666666667,6,0,1,2,1,0.06510523,49,80,61.25,17,32,12,3,9,42.857142857143,5,0,0,0,0,1,100.0,10,5,19,34.545454545455,16,45.714285714286,378,0.0,0,0,0,0,0,0,0,0.0,5,0,0,12,71,2,2,1,176,5,8,0,0,5,5,1,0,0,0,0,0,0,0,0,0,4,0.0,3,21,1,1,9,5,100.0,0,24,56,0,1.3042,17,1,6,0.0
Kevin Rodriguez,1431770,UEFA Europa League 24/25,UEFA Europa League,Royale Union Saint-Gilloise,6.64,10,0,1,5,1,0.29323498,73,99,73.737373737374,22,51,33,6,6,33.333333333333,8,0,1,0,0,0,0.0,23,7,26,40.625,9,26.470588235294,425,0.0,0,0,0,0,0,0,3,100.0,2,0,0,18,81,7,1,1,231,12,9,0,0,1,3,10,0,0,1,0,0,0,0,0,0,3,0.0,6,18,6,3,4,4,50.0,0,25,80,0,2.6351,17,0,10,0.0
Kevin Rodriguez,1431770,UEFA Europa League 23/24,UEFA Europa League,Royale Union Saint-Gilloise,6.6,6,0,0,1,0,0.07722303,34,52,65.384615384615,11,23,16,3,1,16.666666666667,3,1,0,0,0,0,0.0,8,2,7,28.0,9,52.941176470588,238,0.0,0,0,0,0,0,0,1,100.0,5,0,0,9,51,1,2,2,119,3,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0.0,3,6,2,1,3,1,33.333333333333,0,15,39,0,0.6905,9,0,6,0.0
