İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Patrick Mortensen,36210,Superliga 25/26,Danish Superliga,AGF,6.58,25,7,2,14,0,1.09390821,196,272,72.058823529412,88,108,59,19,3,30.0,7,0,3,0,0,0,0.0,46,20,28,40.0,40,42.105263157895,1919,15.217391304348,2,0,0,0,0,0,6,54.545454545455,26,0,0,12,130,6,11,6,473,18,22,1,0,3,18,7,0,0,1,0,0,0,0,0,0,23,0.0,19,10,2,11,21,5,71.428571428571,0,112,160,1,9.6036,29,3,25,0.0
Patrick Mortensen,36210,Superliga 24/25,Danish Superliga,AGF,7.03125,32,20,2,19,0,0.0,261,384,67.96875,96,165,100,17,4,36.363636363636,8,6,2,0,0,0,0.0,70,38,37,34.905660377358,73,48.666666666667,2711,28.571428571429,4,3,0,0,0,0,6,42.857142857143,52,0,1,20,197,17,16,8,676,27,38,2,0,8,8,9,0,0,3,0,0,0,0,0,0,31,0.0,17,11,1,14,41,3,37.5,0,128,257,4,0.0,47,0,32,0.0
Patrick Mortensen,36210,Superliga 23/24,Danish Superliga,AGF,7.125,32,13,3,8,4,0.0,371,505,73.465346534653,138,233,121,27,4,40.0,9,8,1,0,0,0,0.0,64,28,61,49.593495934959,90,40.723981900452,2733,20.3125,4,3,1,1,0,0,5,41.666666666667,46,0,0,22,211,10,21,10,862,49,29,4,0,9,7,13,0,0,7,0,0,0,0,0,0,30,0.0,27,10,2,12,42,4,44.444444444444,0,166,341,4,0.0,55,0,32,0.0
Kristian Arnstad,984989,Superliga 25/26,Danish Superliga,AGF,7.0916666666667,24,9,6,7,3,2.71574712,683,811,84.217016029593,177,506,339,36,16,36.363636363636,24,14,8,0,0,9,23.076923076923,58,25,95,45.673076923077,12,35.294117647059,1998,15.51724137931,5,4,3,0,5,0,18,43.90243902439,25,0,1,40,286,20,41,19,1245,55,34,2,0,13,4,16,0,0,3,0,0,0,0,0,0,23,0.0,36,44,39,41,24,17,70.833333333333,0,201,610,4,9.482,78,8,24,0.0
Kristian Arnstad,984989,Superliga 24/25,Danish Superliga,AGF,6.8,24,1,2,1,1,0.0,564,698,80.80229226361,226,345,179,20,13,39.393939393939,36,14,6,0,0,7,17.948717948718,21,6,73,44.78527607362,14,50.0,1625,4.7619047619048,0,0,0,0,0,0,20,32.258064516129,17,0,1,30,242,13,49,17,1028,26,29,1,0,12,0,6,1,0,1,0,0,0,0,0,0,18,0.0,19,33,39,62,30,24,66.666666666667,0,254,483,0,0.0,92,0,24,0.0
Kristian Arnstad,984989,Pro League 24/25,Pro League,RSC Anderlecht,6.5,1,0,0,0,0,0.0091995,17,18,94.444444444444,4,13,6,0,0,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,0,0.0,25,0.0,0,0,0,0,0,0,0,0.0,0,0,0,2,7,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3,0,0,0,0.0,0,4,17,0,0.0,1,0,1,0.0
Kristian Arnstad,984989,Pro League 23/24,Pro League,RSC Anderlecht,6.6,14,0,0,0,1,0.49262298,272,345,78.840579710145,144,130,77,6,5,27.777777777778,12,5,2,0,0,2,18.181818181818,7,0,26,41.269841269841,6,31.578947368421,648,0.0,0,0,0,0,1,0,16,45.714285714286,20,1,0,5,121,3,23,12,510,10,14,0,0,5,0,5,0,0,1,0,0,0,0,0,0,6,0.0,6,18,11,35,7,5,41.666666666667,0,173,183,0,0.2076,43,0,14,0.0
Tobias Bech,1123460,Superliga 25/26,Danish Superliga,AGF,7.192,25,11,5,10,3,2.7190142,447,553,80.831826401447,132,315,200,26,22,52.380952380952,27,9,3,0,0,8,25.806451612903,82,32,79,44.632768361582,8,24.242424242424,2096,13.414634146341,0,0,1,0,3,0,39,67.241379310345,14,1,0,48,255,19,45,28,960,30,17,1,0,15,5,27,0,0,2,0,0,0,0,0,0,25,0.0,26,42,31,58,21,20,74.074074074074,0,155,398,3,9.5346,91,3,25,0.0
Tobias Bech,1123460,Superliga 24/25,Danish Superliga,AGF,6.9133333333333,30,8,7,8,2,0.0,355,471,75.371549893843,131,229,149,18,18,46.153846153846,10,5,4,0,1,5,17.857142857143,70,24,51,36.170212765957,19,29.230769230769,2271,11.428571428571,0,0,0,1,3,0,24,55.813953488372,8,0,0,40,258,17,32,17,814,23,17,0,0,12,6,22,0,0,4,0,0,0,0,0,0,27,0.0,18,39,28,43,32,7,70.0,1,163,336,0,0.0,71,0,30,0.0
Tobias Bech,1123460,Superliga 23/24,Danish Superliga,AGF,6.9233333333333,30,7,3,2,2,0.0,335,430,77.906976744186,120,218,132,24,46,56.79012345679,20,4,4,0,0,3,13.636363636364,53,18,83,43.455497382199,19,31.147540983607,1873,13.207547169811,0,0,0,0,8,0,28,62.222222222222,13,0,0,41,254,14,22,12,829,17,24,1,0,11,5,21,0,0,0,0,0,0,0,0,0,20,0.0,24,81,22,45,21,11,55.0,0,141,311,1,0.0,77,0,30,0.0
Janni Serra,924020,Superliga 25/26,Danish Superliga,AGF,6.6357142857143,14,3,1,3,0,0.12371897,67,85,78.823529411765,32,35,15,6,3,50.0,5,1,0,0,0,1,100.0,8,5,13,43.333333333333,14,36.842105263158,329,37.5,0,0,0,0,0,0,3,75.0,7,0,0,9,44,2,6,3,162,5,5,0,0,2,3,1,0,0,0,0,0,0,0,0,0,2,0.0,6,6,1,4,4,1,20.0,0,40,45,0,2.3717,8,0,14,0.0
Janni Serra,924020,Superliga 23/24,Danish Superliga,AGF,6.6555555555556,18,2,1,0,1,0.0,97,147,65.986394557823,31,67,33,3,1,25.0,2,1,0,0,0,1,25.0,8,2,9,25.714285714286,27,51.923076923077,480,25.0,0,0,0,0,0,0,7,58.333333333333,9,0,0,8,89,3,12,7,232,6,10,0,0,7,3,2,0,0,0,0,0,0,0,0,0,3,0.0,3,4,4,12,10,2,100.0,0,41,110,0,0.0,20,0,19,0.0
