İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,totalRating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltyFaced,penaltySave,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,penaltyConversion,setPieceConversion,totalAttemptAssist,totalContest,totalCross,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,scoringFrequency,yellowRedCards,savesCaught,savesParried,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,goalKicks,ballRecovery,outfielderBlocks,id,appearances,goalsPrevented,kilometersCovered,numberOfSprints,topSpeed
"Nikolai Baden Frederiksen","935076","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","7.1388888888889","128.5","18","8","5","1","3","1.75652563","11","186","79","265","70.188679245283","58","128","80","23","6","33.333333333333","5","2","2","0","0","26","38.805970149254","58","20","20","30","45.454545454545","5","22.727272727273","35","39.772727272727","1287","13.793103448276","0","0","0","0","14","3","1","7","14","44","0","8","0","26","50.980392156863","15","0","0","9","171","7","40","19","520","19","12","2","0","4","2","18","0","0","0","0","0","0","0","18","2","0","0","0","0","0","16","0","21.428571428571","23","18","67","53","17","0","0","0","51","20","3","60","160.875","0","0","0","69","196","2","2.8561","0","25","1","2340790","18","0","0","0","0"
"Nikolai Baden Frederiksen","935076","Bundesliga 23/24","Austrian Bundesliga","SC Austria Lustenau","6.56","65.6","10","0","0","0","0","0","0","54","25","79","68.354430379747","29","26","19","2","2","18.181818181818","5","1","2","0","0","1","16.666666666667","9","2","6","13","40.625","7","25.925925925926","20","33.898305084746","625","0","0","0","0","0","1","0","0","0","5","4","0","0","0","2","40","3","0","0","4","60","4","3","2","158","6","6","1","0","0","6","1","0","0","0","0","0","0","0","18","2","0","0","0","0","0","8","0","0","2","11","6","39","20","0","0","0","5","20","2","40","0","0","0","0","33","52","0","0","0","11","0","1105129","10","0","0","0","0"
"Nikolai Baden Frederiksen","935076","Superliga 24/25","Danish Superliga","Lyngby","6.625","26.5","4","0","0","0","0","0","0","4","7","11","36.363636363636","2","3","0","1","0","0","0","0","0","0","0","1","20","4","0","3","0","0","3","100","3","75","59","0","0","0","0","0","1","0","0","0","3","1","0","0","0","0","0","0","0","0","0","14","0","0","0","25","0","1","1","0","0","1","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","5","1","0","0","0","0","2","3","0","0","0","0","0","0","2","14","0","0","0","1","0","1485056","5","0","0","0","0"
"Nikolai Baden Frederiksen","935076","Superliga 23/24","Danish Superliga","Lyngby","0","0","0","0","0","0","0","0","0","1","0","1","100","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","100","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1404277","1","0","0","0","0"
"Ademola Ola-Adebomi","1212153","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.5","130","20","3","2","6","2","1.3417027","5","116","81","197","58.883248730964","24","92","63","14","10","30.30303030303","5","1","4","0","0","0","0","17","5","7","30","26.086956521739","39","38.613861386139","69","31.944444444444","1128","17.647058823529","0","0","1","0","0","0","3","0","16","1","2","1","0","3","42.857142857143","9","0","0","25","196","15","10","7","425","15","39","1","0","2","2","5","0","0","0","0","0","0","0","16","2","0","0","0","0","0","14","0","0","14","33","4","147","62","0","0","0","7","18","4","80","376","0","0","0","38","159","0","3.4993","0","34","1","2196889","20","0","0","0","0"
"Ademola Ola-Adebomi","1212153","Challenger Pro League 24/25","Challenger Pro League","SK Beveren","6.6875","53.5","8","0","0","1","0","0","0","51","37","88","57.954545454545","19","32","18","3","4","66.666666666667","3","1","4","0","0","0","0","11","5","3","20","44.444444444444","19","44.186046511628","39","44.318181818182","451","0","0","0","0","0","0","0","0","0","9","2","0","0","0","2","40","6","0","0","8","74","4","2","0","180","13","14","0","0","1","2","3","0","0","0","0","0","0","0","6","0","0","0","0","0","0","5","0","0","3","6","0","49","24","0","0","0","5","6","3","100","0","0","0","0","24","64","0","0","0","14","0","1512605","8","0","0","0","0"
"Thomas Sabitzer","862767","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.6142857142857","138.9","21","0","1","3","2","1.23755836","2","236","69","305","77.377049180328","79","157","90","12","4","28.571428571429","10","3","4","0","0","1","16.666666666667","14","4","6","53","51.456310679612","20","37.735849056604","73","46.794871794872","1204","0","0","0","3","0","0","0","0","0","10","4","0","0","0","4","28.571428571429","12","0","0","18","131","8","9","5","482","39","16","0","0","7","2","4","0","0","1","0","0","0","0","18","2","0","0","0","0","0","15","0","0","12","14","6","83","33","0","0","0","14","20","7","70","0","0","0","0","97","208","0","1.7341","0","43","1","2092854","21","0","0","0","0"
"Thomas Sabitzer","862767","Bundesliga 24/25","Austrian Bundesliga","Wolfsberger AC","6.7272727272727","74","11","1","0","0","0","0","1","73","34","107","68.224299065421","18","55","32","4","1","33.333333333333","4","0","3","0","0","0","0","8","1","4","15","48.387096774194","14","35","29","40.845070422535","457","12.5","0","0","1","0","0","0","1","0","8","0","0","0","1","0","0","1","0","0","6","66","3","4","3","176","10","8","0","0","1","1","3","0","0","0","0","0","0","0","7","0","0","0","0","0","0","6","0","0","4","3","1","42","26","0","0","0","1","7","3","75","457","0","0","0","23","85","0","0","0","8","0","1482988","14","0","0","0","0"
"Thomas Sabitzer","862767","Bundesliga 23/24","Austrian Bundesliga","Wolfsberger AC","6.6545454545455","146.4","22","1","1","5","2","0","3","178","64","242","73.553719008264","70","108","68","14","2","40","2","0","0","0","0","0","0","11","2","6","22","46.808510638298","23","41.818181818182","45","44.117647058824","749","9.0909090909091","0","0","0","0","0","0","1","0","9","2","0","0","1","3","37.5","7","0","0","6","108","2","7","4","343","18","14","0","0","3","4","3","0","0","0","0","0","0","0","11","4","0","0","0","0","0","6","0","0","14","5","3","57","32","0","0","0","8","15","1","50","749","0","0","0","82","163","0","0","0","31","0","1052203","23","0","0","0","0"
"Lukas Hinterseer","66214","Bundesliga 25/26","Austrian Bundesliga","WSG Tirol","6.535","130.7","20","1","0","0","0","0.22964207","1","73","55","128","57.03125","21","52","31","1","1","16.666666666667","1","1","2","1","1","1","50","11","1","8","13","34.210526315789","34","56.666666666667","47","47.959183673469","436","9.0909090909091","0","0","0","1","0","0","1","0","9","2","1","0","0","1","14.285714285714","16","0","0","7","95","2","6","1","235","11","16","0","0","1","3","2","0","0","0","0","0","0","0","7","1","0","0","0","0","0","0","0","0","1","6","2","51","26","0","0","0","7","8","1","100","436","0","0","0","32","96","0","0.7945","0","18","0","2092838","21","0","0","0","0"
