İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,goals,assists,accuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,totalCross,totalLongBalls,goalsConceded,yellowRedCards,ballRecovery,appearances,countRating,bigChancesCreated,bigChancesMissed,expectedAssists,accurateOwnHalfPasses,accurateOppositionHalfPasses,tackles,interceptions,groundDuelsWon,groundDuelsWonPercentage,penaltyWon,penaltyConceded,freeKickGoal,errorLeadToGoal,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,hitWoodwork,ownGoals,penaltySave,punches,runsOut,successfulRunsOut,highClaims,setPieceConversion,totalAttemptAssist,totalContest,tacklesWon,tacklesWonPercentage,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,outfielderBlocks,goalsPrevented
Lassina Traoré,911719,Premier League 25/26,Ukrainian Premier League,Shakhtar Donetsk,7.5,4,0,49,68,72.06,2,5,1,100.0,0,0,0,0,0.0,12,9,11,40.74,362,33.33,0,0,0,2,100.0,3,1,4,4,0,2,3,0,0,0,0,4,0,2,0,0,11,6,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Lassina Traoré,911719,Premier League 24/25,Ukrainian Premier League,Shakhtar Donetsk,6.6826086956522,4,1,115,141,81.56,7,5,1,50.0,0,0,0,0,0.0,16,7,25,48.08,906,25.0,0,0,0,4,66.67,8,1,5,13,4,4,0,1,0,0,0,9,0,6,0,0,18,22,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Lassina Traoré,911719,Premier League 23/24,Ukrainian Premier League,Shakhtar Donetsk,6.9,4,4,105,130,80.77,11,20,5,55.56,2,0,0,2,28.57,17,6,15,34.88,737,23.53,0,0,0,2,100.0,4,3,6,18,1,2,0,1,0,0,0,6,7,2,0,0,15,16,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Lassina Traoré,911719,UEFA Champions League 24/25,UEFA Champions League,Shakhtar Donetsk,6.5666666666667,0,0,26,37,70.27027027027,8,3,1,50.0,1,0,0,1,100.0,1,0,6,42.857142857143,148,0.0,0,0,0,1,100.0,3,0,0,3,2,1,1,0,0,0,0,0,1,1,4,0,4,6,6,0,0,0.06922029,14,13,1,0,2,25.0,0,0,0,0,1,19,0,2,1,58,0,0,0,0,0,0,0,0,3,2,0,0.0,16,22,0,0.0483,0,0.0
Lassina Traoré,911719,UEFA Europa League 23/24,UEFA Europa League,Shakhtar Donetsk,6.5,0,0,1,1,100.0,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0.0,9,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1.525e-05,1,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0,0.0,1,0,0,0.0,0,0.0
Kauã Elias,1482841,Premier League 25/26,Ukrainian Premier League,Shakhtar Donetsk,7.3357142857143,6,2,118,145,81.38,4,12,27,77.14,0,0,0,1,25.0,36,18,8,40.0,854,16.67,1,0,0,0,0.0,2,0,8,8,2,1,0,0,0,0,0,8,4,0,0,0,34,15,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Kauã Elias,1482841,Premier League 24/25,Ukrainian Premier League,Shakhtar Donetsk,6.4222222222222,0,0,33,48,68.75,0,3,3,42.86,0,0,0,0,0.0,10,4,1,11.11,355,0.0,0,0,0,0,0.0,1,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,4,9,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Kauã Elias,1482841,Brasileirão Betano 2024,Brasileirão Betano,Fluminense,6.6551724137931,6,2,278,368,75.54347826087,119,19,28,38.356164383562,4,0,0,1,33.333333333333,46,21,20,20.408163265306,1486,13.04347826087,0,0,0,4,80.0,5,0,9,15,5,3,14,0,0,2,0,16,3,5,13,0,57,30,29,5,5,1.52282275,96,183,24,3,61,32.446808510638,0,0,0,0,64,274,11,6,4,729,0,0,0,0,0,0,0,0,19,73,11,45.833333333333,110,261,1,5.0576,0,0.0
Luca Meirelles,1633781,Premier League 25/26,Ukrainian Premier League,Shakhtar Donetsk,6.8928571428571,5,0,102,121,84.3,9,5,6,54.55,2,0,0,3,42.86,18,11,2,15.38,626,27.78,0,0,0,2,66.67,1,2,1,8,2,1,0,0,0,0,0,7,7,3,0,0,17,14,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
Luca Meirelles,1633781,Brasileiro Serie A 2025,Brasileirão Betano,Santos,6.6,0,0,18,22,81.818181818182,11,0,0,0.0,0,0,0,0,0.0,1,0,1,33.333333333333,95,0.0,0,0,0,0,0.0,0,0,1,1,3,0,1,0,0,0,0,0,0,1,1,0,4,7,6,0,0,0.08487777,2,16,1,0,2,20.0,1,0,0,0,2,12,2,2,0,39,0,0,0,0,0,0,0,0,0,2,1,100.0,4,18,0,0.1746,0,0.0
