İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Luka Jović,319129,Super League 25/26,Stoiximan Super League,AEK Athens,6.964,25,16,0,13,0,1.22331833,243,348,69.827586206897,70,173,108,15,16,53.333333333333,8,0,4,0,0,0,0.0,74,31,46,45.098039215686,49,39.2,1929,21.621621621622,6,4,2,0,0,0,15,78.947368421053,5,0,0,16,186,8,27,21,596,22,33,3,0,2,20,11,0,0,3,0,0,0,0,0,0,22,0.0,15,30,4,19,14,4,50.0,0,91,257,4,15.1386,33,1,25,0.0
Luka Jović,319129,Serie A 24/25,Serie A,Milan,6.76,15,2,1,3,0,1.01938108,113,137,82.481751824818,49,65,38,12,4,66.666666666667,0,1,1,0,0,1,50.0,11,4,10,45.454545454545,10,52.631578947368,568,18.181818181818,0,0,0,0,0,0,3,50.0,3,0,0,6,43,2,5,2,189,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0.0,12,6,2,6,8,0,0.0,0,52,87,1,2.4138,9,0,15,0.0
Luka Jović,319129,Serie A 23/24,Serie A,Milan,6.7652173913043,23,6,1,5,1,0.69065135,132,177,74.576271186441,52,80,50,11,7,53.846153846154,6,1,2,1,1,0,0.0,22,13,25,50.0,17,51.515151515152,872,27.272727272727,0,0,0,0,0,0,2,50.0,9,0,0,12,88,4,8,3,300,12,8,0,0,2,2,6,0,0,0,0,0,0,0,0,0,8,0.0,11,13,1,4,16,4,66.666666666667,0,61,117,0,4.9213,20,0,23,0.0
Luka Jović,319129,UEFA Europa League 23/24,UEFA Europa League,Milan,7.0666666666667,3,1,2,0,0,0.20840082,34,40,85.0,16,18,13,5,1,33.333333333333,0,0,1,0,0,0,0.0,5,2,2,28.571428571429,6,42.857142857143,164,20.0,0,0,0,1,0,0,2,100.0,2,0,0,2,12,0,4,3,59,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0.0,5,3,1,2,3,0,0.0,0,20,21,0,0.7103,7,0,3,0.0
Luka Jović,319129,UEFA Champions League 23/24,UEFA Champions League,Milan,7.1,2,0,2,0,0,0.1165553,6,8,75.0,1,5,4,2,0,0.0,0,0,1,0,0,0,0.0,5,1,1,25.0,2,100.0,30,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,0,0,0,17,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0,2,1,0,0,0,0,0.0,0,2,6,0,0.5571,2,0,2,0.0
Barnabás Varga,852434,Super League 25/26,Stoiximan Super League,AEK Athens,7.1083333333333,12,5,3,3,2,1.72571785,79,167,47.305389221557,23,56,40,9,5,38.461538461538,1,0,2,0,0,0,0.0,18,9,18,39.130434782609,67,57.264957264957,846,27.777777777778,0,0,0,0,0,0,0,0.0,9,0,0,7,128,2,2,0,269,12,12,0,0,2,6,3,0,0,2,0,0,0,0,0,0,10,0.0,9,13,2,3,5,0,0.0,0,41,126,2,3.4135,14,1,12,0.0
Barnabás Varga,852434,UEFA Europa League 25/26,UEFA Europa League,Ferencváros TC,7.5,6,4,1,2,0,0.7707201,80,135,59.259259259259,23,57,38,7,5,62.5,7,3,1,0,0,1,50.0,10,8,17,50.0,45,64.285714285714,448,40.0,2,0,0,0,0,0,1,33.333333333333,12,0,0,4,73,5,5,2,204,5,10,0,0,1,1,1,0,0,0,0,0,0,0,0,0,5,0.0,7,8,2,3,5,3,42.857142857143,0,29,106,1,2.986,13,1,6,0.0
Barnabás Varga,852434,UEFA Europa League 24/25,UEFA Europa League,Ferencváros TC,7.3625,8,6,0,4,1,0.6201343,88,154,57.142857142857,21,68,42,7,4,33.333333333333,4,3,5,0,0,1,25.0,19,10,24,48.0,48,55.172413793103,685,31.578947368421,2,2,1,0,0,0,0,0.0,10,0,0,6,105,6,2,1,268,19,10,0,0,3,6,4,0,0,1,0,0,0,0,0,0,8,0.0,7,12,4,1,8,1,25.0,0,30,128,1,4.2169,18,0,8,0.0
Zini,1002334,Super League 25/26,Stoiximan Super League,AEK Athens,6.8416666666667,12,2,0,4,0,0.34764182,56,72,77.777777777778,11,45,30,5,2,40.0,6,2,1,0,0,1,20.0,18,7,12,48.0,15,51.724137931034,391,11.111111111111,0,0,1,0,0,0,1,50.0,6,0,0,3,38,1,2,1,148,4,4,0,0,3,2,4,0,0,0,0,0,0,0,0,0,4,0.0,5,5,5,2,0,1,16.666666666667,0,13,59,1,2.8359,13,0,13,0.0
Zini,1002334,Super League 24/25,Stoiximan Super League,APO Levadiakos,7.1965517241379,29,14,4,9,2,0.0,405,527,76.85009487666,125,280,160,17,41,53.947368421053,20,10,7,0,0,0,0.0,69,27,93,43.867924528302,44,44.444444444444,2204,20.289855072464,2,2,3,0,0,0,14,60.869565217391,14,0,0,45,313,22,17,7,979,32,31,4,0,10,4,11,0,0,2,0,0,0,0,0,0,26,0.0,17,76,10,23,21,10,50.0,0,152,385,6,0.0,91,0,29,0.0
Zini,1002334,Stoiximan Super League 23/24,Stoiximan Super League,AEK Athens,6.7545454545455,11,0,0,1,0,0.0,68,92,73.913043478261,16,52,36,2,11,57.894736842105,3,0,0,0,0,0,0.0,11,3,20,48.780487804878,9,56.25,239,0.0,0,0,0,0,0,0,1,50.0,3,0,0,8,61,3,1,0,176,6,2,2,0,3,0,4,0,0,0,0,0,0,0,0,0,1,0.0,2,19,6,2,7,1,33.333333333333,0,18,80,0,0.0,14,0,11,0.0
Zois Karargyris,1587245,Super League 25/26,Stoiximan Super League,AEK Athens,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,2,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0
Răzvan Marin,279563,Super League 25/26,Stoiximan Super League,AEK Athens,7.0730769230769,26,3,11,0,7,4.65018928,980,1131,86.648983200707,435,545,268,38,20,54.054054054054,34,13,3,0,1,36,32.142857142857,26,4,68,40.963855421687,11,50.0,1768,11.538461538462,2,2,1,0,5,0,54,53.465346534653,19,0,2,27,309,8,96,49,1506,15,40,0,0,17,0,12,0,0,5,0,0,0,0,0,0,20,0.0,38,37,112,101,13,22,64.705882352941,1,468,663,3,2.6334,85,7,26,0.0
Răzvan Marin,279563,Serie A 24/25,Serie A,Cagliari,6.7878787878788,33,3,5,0,2,3.53029362,534,658,81.155015197568,260,300,139,34,13,54.166666666667,22,2,4,0,0,26,33.766233766234,23,10,47,43.119266055046,10,37.037037037037,1407,13.04347826087,2,2,0,0,2,0,37,42.528735632184,20,1,1,16,223,8,61,28,911,13,25,2,0,12,0,6,0,0,1,0,0,0,0,0,0,13,0.0,34,24,77,87,22,13,59.090909090909,0,292,443,0,2.4105,70,0,33,0.0
