İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Sadik Fofana,1130662,Bundesliga 25/26,Austrian Bundesliga,Grazer AK 1902,6.4357142857143,14,0,1,0,0,0.32668659,286,415,68.915662650602,170,116,49,4,4,44.444444444444,25,13,0,1,1,0,0.0,5,0,40,50.0,21,58.333333333333,1014,0.0,0,0,0,0,0,0,38,41.758241758242,23,0,0,10,164,3,47,19,607,12,13,0,0,12,1,2,0,0,1,0,0,0,0,0,0,12,0.0,4,9,1,91,20,14,56.0,0,209,206,0,0.2844,63,5,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramiz Harakate,1397899,Bundesliga 25/26,Austrian Bundesliga,Grazer AK 1902,6.8869565217391,23,10,5,10,4,2.34707998,276,376,73.404255319149,107,169,100,24,34,43.037974683544,14,5,6,0,0,16,25.806451612903,55,18,87,40.092165898618,11,19.642857142857,1817,18.181818181818,1,1,2,0,0,0,10,34.48275862069,4,0,0,41,317,8,27,9,831,39,38,0,0,9,16,12,0,0,2,0,0,0,0,0,0,21,0.0,24,79,62,29,24,10,71.428571428571,0,125,251,3,7.9962,68,1,23,0.0,158.4,14.0,100.0,25.0,98.0,35.897435897436,8.0,2.0,34.0,21.0,0.0,10.0,0.0,0.0,0.0,0.0,19.0,5.0,100.0,175.0,45.0,0.0,0.0,0.0,181.7,0.0,0.0,0.0,2098089.0,0.0,0.0,0.0,,
Mark Große,842680,Bundesliga 25/26,Austrian Bundesliga,Grazer AK 1902,6.8684210526316,19,3,2,0,2,2.17789677,212,292,72.602739726027,66,146,89,19,15,57.692307692308,11,1,2,1,1,16,26.666666666667,29,8,35,47.297297297297,11,64.705882352941,990,10.344827586207,2,2,0,0,5,0,14,42.424242424242,11,0,0,13,176,3,36,16,514,10,9,0,0,7,3,8,1,0,1,0,0,0,0,0,0,10,0.0,18,26,60,33,14,4,36.363636363636,0,82,210,2,3.0996,32,1,19,0.0,130.5,5.0,80.0,13.0,46.0,50.549450549451,3.0,0.0,12.0,17.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,2.0,100.0,45.0,6.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,2093624.0,0.0,0.0,0.0,,
Daniel Maderner,336257,Bundesliga 25/26,Austrian Bundesliga,Grazer AK 1902,6.5173913043478,23,6,4,4,2,0.57922994,96,181,53.038674033149,21,75,51,13,3,23.076923076923,9,4,5,0,0,4,26.666666666667,28,11,27,25.233644859813,36,41.379310344828,1297,21.428571428571,3,2,0,0,0,0,8,42.105263157895,22,0,0,17,185,3,16,6,416,15,51,0,0,4,6,5,0,0,1,0,0,0,0,0,0,14,0.0,13,13,15,19,15,6,66.666666666667,0,29,152,1,5.8012,32,1,23,0.0,149.9,8.0,85.0,12.0,63.0,32.474226804124,6.0,0.0,27.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,14.0,1.0,66.666666666667,131.0,51.0,0.0,0.0,1.0,216.16666666667,0.0,0.0,0.0,2098097.0,0.0,0.0,0.0,,
Alexander Hofleitner,1510108,Bundesliga 25/26,Austrian Bundesliga,Grazer AK 1902,6.6954545454545,22,4,3,4,2,0.90613608,103,194,53.092783505155,38,65,37,6,2,20.0,7,6,4,0,0,0,0.0,24,11,24,35.820895522388,63,52.066115702479,964,16.666666666667,2,2,0,0,0,0,4,50.0,27,0,0,9,148,4,11,7,373,16,26,1,0,5,3,4,0,0,0,0,0,0,0,0,0,10,0.0,6,10,3,8,22,4,57.142857142857,0,51,143,0,5.0117,24,3,22,0.0,147.3,6.0,91.0,9.0,87.0,46.276595744681,4.0,0.0,22.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,19.0,3.0,100.0,101.0,58.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,2098051.0,0.0,0.0,0.0,,
Arbnor Prenqi,1087258,Bundesliga 25/26,Austrian Bundesliga,Grazer AK 1902,6.45,2,0,0,0,0,0.00375611,3,5,60.0,1,2,1,0,1,100.0,0,1,0,0,0,0,0.0,0,0,1,100.0,0,0.0,24,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,0,0.0,0,1,4,0,0.0,1,0,2,0.0,12.9,0.0,2.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2340787.0,0.0,0.0,0.0,,
Zétény Jánó,1185565,Bundesliga 25/26,Austrian Bundesliga,Grazer AK 1902,6.4454545454545,11,0,0,2,0,0.0833767,116,149,77.852348993289,60,56,27,2,0,0.0,17,0,2,0,0,0,0.0,9,3,29,44.615384615385,11,61.111111111111,494,0.0,0,0,0,0,0,0,8,61.538461538462,6,0,0,5,71,1,9,7,268,12,12,1,0,9,1,1,0,0,0,0,0,0,0,0,0,6,0.0,2,10,1,13,12,11,64.705882352941,0,65,84,0,1.1463,25,0,11,0.0,70.9,0.0,33.0,5.0,40.0,48.192771084337,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,43.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2098053.0,0.0,0.0,0.0,,
Mathias Olesen,994490,Bundesliga 25/26,Austrian Bundesliga,Grazer AK 1902,6.7125,8,1,1,1,0,0.39971538,280,348,80.459770114943,176,104,44,4,3,37.5,9,20,1,0,0,0,0.0,8,4,20,43.478260869565,6,35.294117647059,692,12.5,0,0,0,0,0,0,23,69.69696969697,8,0,0,8,93,1,22,7,460,8,10,0,0,4,0,1,0,0,1,0,0,0,0,0,0,8,0.0,4,8,2,33,8,7,77.777777777778,0,203,145,1,0.7457,33,2,8,0.0,53.7,1.0,68.0,3.0,26.0,41.269841269841,1.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,37.0,11.0,0.0,0.0,0.0,692.0,0.0,0.0,0.0,2663896.0,0.0,0.0,0.0,,
Murat Satin,816237,Bundesliga 25/26,Austrian Bundesliga,Grazer AK 1902,6.485,20,1,3,0,2,1.12475398,358,497,72.032193158954,155,203,100,12,7,35.0,16,13,4,0,0,7,21.212121212121,18,4,34,39.53488372093,3,12.0,1227,5.5555555555556,0,0,0,0,2,0,37,42.528735632184,12,0,0,10,225,9,73,37,727,11,19,0,0,10,3,5,0,0,0,0,0,0,0,0,0,13,0.0,12,20,33,87,24,6,37.5,0,183,314,1,0.8308,67,3,21,0.0,129.7,3.0,139.0,9.0,37.0,33.333333333333,0.0,1.0,7.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,2.0,0.0,74.0,22.0,0.0,0.0,0.0,1227.0,0.0,0.0,0.0,2114952.0,0.0,0.0,0.0,,
Jacob Italiano,907217,Bundesliga 25/26,Austrian Bundesliga,Grazer AK 1902,7.1222222222222,18,3,1,2,0,0.80357706,312,447,69.798657718121,146,166,95,5,37,49.333333333333,44,18,1,0,0,2,6.25,15,4,99,59.281437125749,8,42.105263157895,1533,20.0,1,1,1,0,0,0,25,36.764705882353,55,0,0,9,291,6,36,18,975,18,9,0,0,12,0,5,0,0,1,0,0,0,0,0,0,18,0.0,5,75,32,68,26,29,65.909090909091,0,193,254,2,1.466,84,4,18,0.0,128.2,3.0,135.0,6.0,107.0,57.52688172043,1.0,2.0,6.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,3.0,100.0,79.0,11.0,0.0,0.0,0.0,511.0,0.0,0.0,0.0,2098087.0,0.0,0.0,0.0,,
