İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Mamadou Diakhon,1495876,Pro League 25/26,Pro League,Club Brugge KV,6.77,20,0,3,1,7,1.86556524,259,287,90.243902439024,51,208,136,14,15,62.5,4,2,1,0,0,5,14.285714285714,13,3,46,56.79012345679,1,12.5,790,0.0,0,0,0,0,0,0,9,90.0,3,0,0,15,110,5,5,4,462,27,6,1,0,6,3,3,0,0,0,0,0,0,0,0,0,8,0.0,14,24,35,10,12,3,75.0,0,60,227,0,0.9509,26,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Tresoldi,1177167,Pro League 25/26,Pro League,Club Brugge KV,6.8935483870968,31,13,5,11,3,2.2619662,235,304,77.302631578947,63,172,110,25,14,56.0,21,2,1,0,0,0,0.0,75,28,68,52.307692307692,39,45.348837209302,1875,17.333333333333,0,0,1,0,0,0,9,90.0,9,0,0,33,173,8,22,15,615,34,12,1,0,7,6,17,0,0,1,0,0,0,0,0,0,21,0.0,25,25,6,10,22,10,47.619047619048,0,74,230,3,11.9066,36,1,31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Vermant,1069336,Pro League 25/26,Pro League,Club Brugge KV,6.7583333333333,24,8,2,5,2,0.96238916,244,333,73.273273273273,79,165,103,13,3,25.0,16,3,2,0,0,0,0.0,38,14,45,40.540540540541,30,42.857142857143,1111,21.052631578947,0,0,0,1,0,0,10,76.923076923077,13,0,0,18,156,5,9,4,533,27,32,2,0,8,8,8,1,0,1,0,0,0,0,0,0,12,0.0,12,12,3,13,13,8,50.0,0,98,235,2,5.1564,40,2,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustaf Nilsson,572286,Pro League 25/26,Pro League,Club Brugge KV,6.4,4,0,0,0,0,0.11974377,8,14,57.142857142857,1,7,5,0,0,0.0,1,0,1,0,0,0,0.0,3,1,1,12.5,5,71.428571428571,47,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,10,1,0,0,24,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,2,12,0,0.1969,3,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Forbs,1069486,Pro League 25/26,Pro League,Club Brugge KV,7.0214285714286,28,3,7,3,7,6.60085445,697,854,81.615925058548,98,599,444,47,40,40.816326530612,26,11,3,0,0,27,31.764705882353,39,11,87,44.845360824742,3,14.285714285714,2114,7.6923076923077,0,0,0,0,0,0,11,44.0,19,0,0,26,376,8,19,8,1340,22,20,0,0,6,8,17,0,0,1,0,0,0,0,0,0,25,0.0,47,98,85,25,24,16,61.538461538462,0,122,732,3,3.3708,69,1,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christos Tzolis,1031259,Pro League 25/26,Pro League,Club Brugge KV,7.4666666666667,27,10,13,14,15,11.6029958,816,1027,79.454722492697,194,622,432,90,24,46.153846153846,23,9,5,0,0,70,32.258064516129,92,32,90,50.561797752809,20,46.511627906977,2262,10.869565217391,2,1,0,0,1,0,40,68.965517241379,20,1,1,24,478,18,56,30,1642,43,25,0,0,14,1,24,0,0,6,0,0,0,0,0,0,25,0.0,90,52,217,58,30,13,56.521739130435,0,225,802,8,11.8447,93,1,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphael Onyedika,1129862,Pro League 25/26,Pro League,Club Brugge KV,6.95,24,1,0,4,0,1.11051952,1125,1243,90.506838294449,521,604,239,10,16,80.0,39,18,3,0,0,0,0.0,25,10,79,57.246376811594,20,60.606060606061,1776,4.0,0,0,0,1,0,0,61,62.886597938144,29,2,6,17,159,6,70,48,1493,25,28,0,0,12,0,11,0,0,3,0,0,0,0,0,0,20,0.0,10,20,4,97,24,26,66.666666666667,0,558,685,1,2.59,111,3,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Stanković,1153957,Pro League 25/26,Pro League,Club Brugge KV,7.16,30,5,5,1,2,3.56568788,1181,1371,86.141502552881,554,627,327,28,7,63.636363636364,35,32,3,0,0,4,15.384615384615,55,17,66,53.225806451613,49,57.647058823529,2365,9.0909090909091,0,0,0,0,2,0,94,56.626506024096,75,0,0,19,265,14,134,79,1770,24,24,0,0,12,0,21,0,0,6,0,0,0,0,0,0,26,0.0,28,11,26,166,31,18,51.428571428571,0,600,771,3,3.3112,125,12,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans Vanaken,118085,Pro League 25/26,Pro League,Club Brugge KV,7.3766666666667,30,4,11,4,1,6.4758809,1825,2072,88.079150579151,689,1136,641,52,11,37.931034482759,31,13,2,0,0,13,39.393939393939,44,15,66,42.857142857143,61,71.764705882353,2655,9.0909090909091,0,0,0,0,4,0,128,74.418604651163,44,0,2,32,358,9,180,119,2481,25,18,0,0,23,0,17,1,0,8,0,0,0,0,0,0,30,0.0,51,29,33,172,36,17,54.838709677419,0,739,1333,3,5.7933,133,5,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shandre Campbell,1518101,Pro League 25/26,Pro League,Club Brugge KV,6.7666666666667,9,1,1,0,0,0.18527162,45,57,78.947368421053,7,38,23,3,4,36.363636363636,5,0,1,0,0,1,20.0,5,1,12,42.857142857143,0,0.0,119,20.0,0,0,0,0,0,0,5,62.5,2,0,0,2,29,3,6,4,106,3,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0.0,3,11,5,8,4,2,40.0,0,8,49,0,0.2045,12,0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
