İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Ragnar Oratmangoen,899651,Pro League 25/26,Pro League,FCV Dender,6.7,11,1,0,0,0,0.36148483,104,128,81.25,32,72,41,4,5,45.454545454545,5,2,0,0,0,2,28.571428571429,6,3,13,48.148148148148,2,22.222222222222,273,16.666666666667,0,0,0,0,0,0,1,11.111111111111,3,0,0,0,41,5,9,1,190,3,6,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,4,11,7,9,8,4,80.0,0,36,92,0,0.7152,18,0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alireza Jahanbakhsh,331837,Pro League 25/26,Pro League,FCV Dender,6.6333333333333,15,1,0,1,0,0.51406216,187,264,70.833333333333,55,132,78,7,4,36.363636363636,7,3,3,0,0,1,4.7619047619048,14,5,20,38.461538461538,14,41.176470588235,622,7.1428571428571,1,1,1,0,1,0,11,47.826086956522,14,0,1,9,143,5,20,6,425,9,11,0,0,6,4,4,0,0,0,0,0,0,0,0,0,5,0.0,7,11,21,23,9,4,57.142857142857,0,70,194,0,1.9322,25,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruny Nsimba,1047536,Pro League 25/26,Pro League,FCV Dender,6.844,25,8,8,8,4,3.28723967,237,360,65.833333333333,75,162,94,24,18,39.130434782609,16,2,3,0,0,12,36.363636363636,54,21,68,42.5,47,51.086956521739,1726,14.814814814815,3,3,1,0,0,0,6,54.545454545455,15,0,0,37,269,12,20,10,707,34,24,1,0,7,8,14,0,0,2,0,0,0,0,0,0,22,0.0,24,46,33,11,28,5,31.25,0,99,261,2,9.0774,62,0,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Toshevski,1021398,Pro League 25/26,Pro League,FCV Dender,6.5809523809524,21,4,0,2,0,1.02349806,190,287,66.202090592334,72,118,61,7,11,55.0,8,1,4,1,1,2,33.333333333333,35,12,43,40.566037735849,47,41.592920353982,1296,11.428571428571,0,0,0,1,0,0,4,44.444444444444,16,0,0,21,188,6,20,12,532,26,29,1,0,8,8,8,1,0,0,0,0,0,0,0,0,17,0.0,6,20,6,9,24,5,62.5,0,103,184,1,4.4246,40,6,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Attah Kadiri,992166,Pro League 25/26,Pro League,FCV Dender,6.575,12,1,0,3,0,0.21967338,38,58,65.51724137931,8,30,18,4,0,0.0,1,1,2,0,0,1,100.0,9,3,13,68.421052631579,6,27.272727272727,254,11.111111111111,0,0,0,0,0,0,1,33.333333333333,2,0,0,1,32,3,0,0,107,12,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0.0,4,1,1,3,9,1,100.0,0,8,50,0,1.0089,6,0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Berte,1122525,Pro League 25/26,Pro League,FCV Dender,6.5173913043478,23,1,2,1,0,0.8736646,90,129,69.767441860465,30,60,41,9,4,44.444444444444,7,0,1,0,0,1,50.0,16,7,27,45.0,12,29.268292682927,734,6.25,0,0,0,0,0,0,2,50.0,2,0,0,9,90,4,5,4,256,17,16,1,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0.0,9,9,2,4,18,5,71.428571428571,0,34,95,0,1.3186,18,2,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amine Daali,2236318,Pro League 25/26,Pro League,FCV Dender,6.5,3,0,0,1,0,0.01251033,17,26,65.384615384615,9,8,7,0,0,0.0,3,0,1,0,0,0,0.0,1,1,4,57.142857142857,5,62.5,61,0.0,0,0,0,0,0,0,1,50.0,0,0,0,0,12,2,1,1,42,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,2,2,2,66.666666666667,0,11,15,0,0.1287,3,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Adewusi,2203341,Pro League 25/26,Pro League,FCV Dender,6.4,1,0,0,0,0,0.0115087,6,8,75.0,0,6,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,25.0,23,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,3,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,8,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Mbamba,1100321,Pro League 25/26,Pro League,FCV Dender,6.8548387096774,31,1,3,7,2,1.63136701,773,941,82.146652497343,387,386,175,15,31,43.661971830986,83,44,4,0,0,2,18.181818181818,22,8,157,58.364312267658,40,46.511627906977,2521,4.5454545454545,0,0,0,0,0,0,30,52.631578947368,43,1,1,32,324,11,63,36,1479,43,35,0,0,9,1,9,0,0,3,0,0,0,0,0,0,31,0.0,15,71,11,57,41,49,59.036144578313,0,437,504,1,2.9272,180,5,31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nail Moutha-Sebtaoui,1502944,Pro League 25/26,Pro League,FCV Dender,6.46,10,0,0,0,0,0.30498348,55,90,61.111111111111,25,30,14,2,2,100.0,2,1,2,0,0,4,25.0,1,0,4,44.444444444444,1,20.0,197,0.0,0,0,0,0,0,0,5,25.0,9,0,0,1,58,0,8,1,153,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0.0,2,2,16,20,5,2,100.0,0,42,48,0,0.0112,11,0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Hrnčár,924664,Pro League 25/26,Pro League,FCV Dender,6.6875,16,1,1,4,0,0.89920272,107,159,67.295597484277,37,70,40,10,2,33.333333333333,11,4,0,0,0,11,31.428571428571,13,6,15,46.875,6,50.0,678,7.6923076923077,0,0,0,0,0,0,13,46.428571428571,24,0,0,3,110,3,22,12,339,3,4,0,0,7,4,1,0,0,1,0,0,0,0,0,0,7,0.0,10,6,35,28,11,6,54.545454545455,0,54,105,0,1.6924,24,1,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Kvet,858926,Pro League 25/26,Pro League,FCV Dender,6.7366666666667,30,5,5,3,0,3.1673485,797,1036,76.930501930502,272,525,321,36,24,43.636363636364,33,20,4,0,0,26,29.545454545455,37,11,81,44.505494505495,13,24.074074074074,2477,13.513513513514,0,0,0,0,1,0,39,56.521739130435,25,0,0,21,428,22,65,40,1517,24,26,1,0,25,4,12,0,0,3,0,0,0,0,0,0,29,0.0,36,55,88,69,48,22,66.666666666667,0,323,713,0,4.4422,129,2,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof Koton,1512869,Pro League 25/26,Pro League,FCV Dender,6.6875,8,0,0,0,0,0.0886873,38,53,71.698113207547,20,18,10,0,4,80.0,5,0,0,0,0,1,33.333333333333,1,1,13,61.904761904762,0,0.0,173,0.0,0,0,0,0,0,0,2,40.0,3,0,0,2,24,2,5,1,88,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,3,5,4,2,40.0,0,26,27,0,0.0459,12,1,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio Ferraro,1145225,Pro League 25/26,Pro League,FCV Dender,6.6172413793103,29,1,2,3,3,3.94406383,714,952,75.0,313,401,239,41,31,54.385964912281,52,28,5,0,0,31,26.050420168067,30,12,102,50.246305418719,32,51.612903225806,2531,3.3333333333333,0,0,0,1,1,0,38,36.538461538462,72,1,1,36,497,9,81,46,1760,20,20,0,0,20,2,7,0,0,3,0,0,0,0,0,0,29,0.0,41,57,119,104,46,37,71.153846153846,0,383,569,0,2.2834,109,4,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Viltard,1092285,Pro League 25/26,Pro League,FCV Dender,6.8068965517241,29,0,3,0,0,1.96465974,713,908,78.52422907489,356,357,175,19,12,37.5,58,34,5,0,1,16,38.095238095238,11,3,99,53.804347826087,28,57.142857142857,2187,0.0,0,0,0,1,0,0,62,57.407407407407,56,0,1,18,305,14,89,53,1352,29,27,0,0,20,2,4,0,0,3,0,0,0,0,0,0,27,0.0,19,32,42,108,40,33,56.896551724138,1,424,484,0,0.2869,153,9,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desmond Acquah,1388443,Pro League 25/26,Pro League,FCV Dender,6.5375,8,0,0,0,0,0.53748645,37,54,68.518518518519,14,23,16,2,0,0.0,5,1,0,0,0,0,0.0,3,0,5,35.714285714286,0,0.0,116,0.0,0,0,0,0,0,0,2,28.571428571429,3,0,0,3,29,0,6,3,81,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2,2,3,7,2,4,80.0,0,20,34,0,0.1927,9,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Rodes,882003,Pro League 25/26,Pro League,FCV Dender,6.5692307692308,26,0,3,0,0,0.81925166,474,610,77.704918032787,276,198,111,7,3,42.857142857143,34,11,1,0,0,0,0.0,14,3,41,45.054945054945,39,47.560975609756,1568,0.0,0,0,0,0,0,0,23,41.071428571429,63,1,0,10,181,4,42,22,851,4,6,1,0,30,0,4,0,0,3,0,0,0,0,0,0,17,0.0,7,7,5,56,27,21,61.764705882353,0,321,289,0,0.9391,63,6,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Fredrick,1470532,Pro League 25/26,Pro League,FCV Dender,6.5142857142857,14,0,2,1,0,0.67613424,287,342,83.918128654971,177,110,48,4,3,75.0,22,14,2,0,0,5,26.315789473684,6,1,30,60.0,13,34.210526315789,862,0.0,0,0,0,1,0,0,10,38.461538461538,38,0,0,5,93,0,10,5,550,5,8,0,0,6,2,3,0,0,0,0,0,0,0,0,0,10,0.0,4,4,19,26,16,11,50.0,0,192,150,0,0.4514,25,6,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luc De Fougerolles,1413129,Pro League 25/26,Pro League,FCV Dender,6.7565217391304,23,0,1,1,1,0.46271546,656,804,81.592039800995,463,193,74,8,6,66.666666666667,32,20,3,1,2,2,22.222222222222,5,0,80,67.226890756303,43,62.31884057971,1460,0.0,0,0,0,0,0,0,41,38.679245283019,81,0,0,8,187,0,46,18,1116,42,19,0,0,10,2,2,0,0,2,0,0,0,0,0,0,16,0.0,8,9,9,106,27,19,59.375,1,524,280,0,0.4845,59,16,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luc Marijnissen,1086107,Pro League 25/26,Pro League,FCV Dender,6.7833333333333,30,1,1,2,0,1.07529569,992,1205,82.323651452282,672,320,129,10,11,50.0,67,29,4,0,0,11,33.333333333333,15,6,89,58.552631578947,77,58.333333333333,2609,6.6666666666667,0,0,0,1,0,0,87,46.524064171123,159,0,3,14,335,2,100,51,1768,12,29,1,0,11,1,1,0,0,6,0,0,0,0,0,0,30,0.0,10,22,33,187,47,41,61.194029850746,0,746,459,1,1.5648,93,15,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Marsoni Sambu Mansoni​,874855,Pro League 25/26,Pro League,FCV Dender,6.6173913043478,23,0,2,0,4,1.39098936,469,614,76.384364820847,257,212,109,10,22,44.897959183673,47,18,5,0,0,8,20.0,10,2,73,50.0,11,55.0,1623,0.0,0,0,1,0,0,0,28,49.122807017544,53,0,0,15,276,9,39,16,1061,4,16,0,0,15,3,3,0,0,1,0,0,0,0,0,0,19,0.0,10,49,40,57,31,27,57.446808510638,0,307,307,1,0.6721,95,5,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Goncalves,775019,Pro League 25/26,Pro League,FCV Dender,6.8761904761905,21,0,8,0,2,3.02331708,765,1035,73.913043478261,481,284,138,25,9,75.0,28,23,5,0,0,26,26.0,6,3,47,56.626506024096,29,69.047619047619,1694,0.0,0,0,0,0,4,0,120,40.955631399317,124,0,0,1,365,3,188,86,1445,10,21,1,0,11,0,0,0,0,4,0,0,0,0,0,0,19,0.0,25,12,100,293,31,18,64.285714285714,0,552,483,0,0.2191,60,7,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Cools,793987,Pro League 25/26,Pro League,FCV Dender,7.0157894736842,19,0,2,1,0,0.74160298,458,547,83.729433272395,352,106,37,2,2,100.0,21,17,2,0,0,0,0.0,12,6,26,52.0,55,61.797752808989,1331,0.0,0,0,0,0,0,0,31,44.927536231884,105,0,1,3,98,0,48,25,772,3,21,2,0,1,2,3,0,0,4,0,0,0,0,0,0,15,0.0,2,2,0,69,21,11,52.380952380952,0,377,170,3,0.8465,30,23,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo De Kerf,2034332,Pro League 25/26,Pro League,FCV Dender,6.575,4,0,0,0,0,0.00536789,43,57,75.438596491228,31,12,2,0,0,0.0,3,4,1,0,0,0,0.0,3,0,4,40.0,4,50.0,186,0.0,0,0,0,1,0,0,5,50.0,17,0,0,2,22,0,10,4,103,1,2,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0.0,0,1,0,10,3,3,100.0,0,41,16,0,0.1902,4,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauthier Gallon,340561,Pro League 25/26,Pro League,FCV Dender,7.1090909090909,11,0,0,0,0,0.00585253,219,313,69.968051118211,191,28,3,0,0,0.0,1,0,1,0,0,0,0.0,0,0,2,100.0,5,83.333333333333,990,0.0,0,0,0,0,0,0,56,37.333333333333,13,0,0,0,94,0,29,18,424,1,0,0,0,0,0,0,0,33,4,1,7,4,4,8,0,11,0.0,0,0,0,150,17,0,0.0,0,216,97,1,0.0,98,0,11,0.5446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Verrips,583506,Pro League 25/26,Pro League,FCV Dender,6.86,10,0,0,0,0,0.02304137,240,374,64.171122994652,194,46,10,0,0,0.0,0,1,0,0,0,0,0.0,0,0,3,100.0,3,75.0,900,0.0,0,0,0,0,0,0,63,32.307692307692,7,0,0,0,136,0,21,11,459,3,0,0,0,0,0,0,0,21,2,0,2,1,1,4,0,10,0.0,0,0,0,195,15,0,0.0,0,212,162,0,0.0,97,0,10,-0.5357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillaume Dietsch,986770,Pro League 25/26,Pro League,FCV Dender,6.86,10,0,0,0,0,0.01742261,145,276,52.536231884058,98,47,14,0,0,0.0,0,0,1,0,0,0,0.0,0,0,1,100.0,3,100.0,900,0.0,0,0,0,0,0,0,64,32.989690721649,10,2,2,0,131,0,25,13,386,2,0,0,0,0,0,0,0,40,0,1,1,2,2,7,0,10,0.0,0,0,0,194,19,0,0.0,0,117,159,0,0.0,96,0,10,-0.5142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
