İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Keisuke Goto,1391315,Pro League 25/26,Pro League,Sint-Truidense VV,6.7931034482759,29,10,7,13,5,3.34552611,304,440,69.090909090909,104,200,127,20,1,14.285714285714,32,11,4,0,0,0,0.0,45,18,59,47.58064516129,57,46.72131147541,2170,22.222222222222,2,2,1,0,0,0,7,41.176470588235,24,0,0,17,221,7,31,17,731,27,24,1,0,19,21,9,0,0,2,0,0,0,0,0,0,24,0.0,20,7,3,17,28,16,50.0,0,130,310,2,10.7726,25,2,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaito Matsuzawa,1514300,Pro League 25/26,Pro League,Sint-Truidense VV,6.7368421052632,19,2,1,2,0,0.59991224,121,153,79.084967320261,27,94,69,4,21,55.263157894737,10,2,1,0,0,1,6.25,16,6,41,51.898734177215,2,25.0,360,12.5,0,0,0,0,0,0,3,50.0,5,0,0,12,89,1,5,2,297,10,7,1,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0.0,4,38,16,6,3,1,10.0,0,35,118,0,2.2267,23,0,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oumar Diouf,1493499,Pro League 25/26,Pro League,Sint-Truidense VV,6.6428571428571,7,2,1,1,0,0.0564855,13,18,72.222222222222,2,11,5,4,0,0.0,1,0,0,0,0,0,0.0,7,3,3,50.0,1,16.666666666667,118,28.571428571429,0,0,0,0,0,0,1,33.333333333333,1,0,0,1,13,1,1,1,41,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,4,1,0,3,1,0,0.0,0,2,16,0,1.9183,8,0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilias Sebaoui,1154586,Pro League 25/26,Pro League,Sint-Truidense VV,6.8258064516129,31,4,6,6,3,4.17154602,719,917,78.407851690294,277,442,287,26,36,38.709677419355,40,14,3,0,0,4,12.121212121212,81,22,113,42.322097378277,17,45.945945945946,2567,4.9382716049383,0,0,0,0,0,0,63,56.25,42,0,2,40,428,18,92,48,1521,37,36,1,0,23,6,29,0,0,6,0,0,0,0,0,0,31,0.0,26,93,33,112,34,26,65.0,0,321,596,0,7.2882,159,2,31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryotaro Ito,831697,Pro League 25/26,Pro League,Sint-Truidense VV,7.2642857142857,28,7,14,3,3,7.5648562,1147,1367,83.90636430139,424,723,416,82,17,53.125,17,10,0,0,0,32,25.196850393701,61,23,68,49.275362318841,3,42.857142857143,2304,11.475409836066,3,3,0,0,6,0,77,69.369369369369,10,0,1,18,403,25,124,66,1790,34,17,2,0,21,4,16,2,0,3,0,0,0,0,0,0,27,0.0,80,32,127,111,29,7,41.176470588235,0,459,908,7,6.9099,142,1,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbnor Muja,890695,Pro League 25/26,Pro League,Sint-Truidense VV,6.8636363636364,22,5,5,4,1,3.57204237,595,721,82.52427184466,194,401,278,24,17,44.736842105263,23,8,2,1,1,16,20.779220779221,31,14,57,42.537313432836,6,28.571428571429,1577,16.129032258065,1,1,1,0,1,0,30,56.603773584906,18,0,1,31,295,9,47,23,1071,17,9,2,0,16,10,5,0,0,1,0,0,0,0,0,0,19,0.0,24,38,77,53,22,14,60.869565217391,0,221,500,2,4.4393,76,2,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rihito Yamamoto,1030211,Pro League 25/26,Pro League,Sint-Truidense VV,7.06,30,5,6,6,5,5.1445206,878,1074,81.750465549348,301,577,383,50,18,43.90243902439,60,39,6,0,0,22,38.59649122807,43,13,152,54.676258992806,23,35.9375,2602,11.627906976744,0,0,1,0,2,0,27,52.941176470588,49,0,1,34,350,18,75,44,1668,74,40,0,0,32,4,19,0,0,6,0,0,0,0,0,0,30,0.0,50,41,57,51,34,39,65.0,0,349,725,2,5.5373,139,6,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaías Delpupo,1046241,Pro League 25/26,Pro League,Sint-Truidense VV,6.6666666666667,3,0,0,0,0,0.00311329,10,16,62.5,3,7,3,0,2,100.0,2,0,0,0,0,0,0.0,0,0,5,55.555555555556,0,0.0,35,0.0,0,0,0,0,0,0,0,0.0,1,0,0,2,14,1,2,0,37,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,3,2,0,1,50.0,0,4,12,0,0.0,3,1,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdoulaye Sissako,846330,Pro League 25/26,Pro League,Sint-Truidense VV,6.8387096774194,31,1,0,1,3,0.86696647,1127,1359,82.928623988227,569,558,250,13,31,60.78431372549,75,35,4,0,0,0,0.0,23,2,120,56.603773584906,54,53.465346534653,2549,4.3478260869565,0,0,0,1,0,0,61,57.009345794393,67,0,1,24,329,11,65,36,1823,14,35,1,0,15,0,6,0,0,5,0,0,0,0,0,0,30,0.0,13,51,7,107,34,38,50.666666666667,0,648,711,0,1.9629,168,12,31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert-Jan Vanwesemael,1047164,Pro League 25/26,Pro League,Sint-Truidense VV,6.7571428571429,28,1,3,2,1,4.07935721,887,1102,80.49001814882,410,477,285,27,20,51.282051282051,54,25,9,0,0,19,21.111111111111,23,6,91,45.959595959596,10,26.315789473684,2278,4.3478260869565,0,0,0,0,0,0,62,48.818897637795,50,0,0,31,410,12,109,44,1764,17,44,0,0,18,2,9,1,0,3,0,0,0,0,0,0,28,0.0,26,39,90,127,32,30,55.555555555556,0,490,612,0,1.4612,130,9,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
