İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Anosike Ementa,1094132,Pro League 25/26,Pro League,SV Zulte Waregem,6.8851851851852,27,3,9,5,4,2.81406954,448,759,59.025032938076,109,339,207,48,35,57.377049180328,17,2,4,0,0,0,0.0,36,16,125,49.800796812749,195,60.55900621118,2242,8.3333333333333,0,0,0,0,0,0,11,50.0,49,0,0,52,504,13,41,26,1251,76,42,0,0,9,7,6,0,0,6,0,0,0,0,0,0,25,0.0,48,61,0,22,37,10,58.823529411765,0,147,612,1,6.1334,50,3,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelle Vossen,45946,Pro League 25/26,Pro League,SV Zulte Waregem,6.5769230769231,13,2,1,1,0,0.33300443,64,91,70.32967032967,32,32,21,5,1,33.333333333333,2,2,0,0,0,0,0.0,13,7,6,28.571428571429,11,61.111111111111,355,15.384615384615,1,1,0,0,0,0,2,66.666666666667,1,0,0,5,39,0,2,1,138,4,7,0,0,1,2,3,0,0,0,0,0,0,0,0,0,2,0.0,5,3,1,3,7,2,100.0,0,34,57,0,1.9164,8,0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Hedl,1064825,Pro League 25/26,Pro League,SV Zulte Waregem,6.4625,8,1,0,1,0,0.26425275,36,56,64.285714285714,15,21,20,2,1,16.666666666667,1,1,0,1,1,0,0.0,3,2,8,40.0,3,18.75,274,33.333333333333,0,0,0,0,0,0,1,25.0,0,0,0,4,44,0,2,1,99,6,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0.0,2,6,2,4,4,1,100.0,0,18,38,0,0.9377,2,2,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malick Mbaye,1463503,Pro League 25/26,Pro League,SV Zulte Waregem,6.74,5,1,0,0,0,0.02269586,10,15,66.666666666667,1,9,4,0,1,33.333333333333,1,2,0,0,0,0,0.0,1,1,3,37.5,2,40.0,58,100.0,0,0,0,0,0,0,0,0.0,0,0,0,1,15,0,0,0,37,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,2,0,1,1,100.0,0,2,13,0,0.1764,4,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marley Aké,988839,Pro League 25/26,Pro League,SV Zulte Waregem,6.825,24,5,1,6,0,1.88970153,221,291,75.945017182131,65,156,99,12,18,50.0,18,8,1,0,0,10,28.571428571429,37,13,63,55.263157894737,7,25.0,1323,13.513513513514,0,0,1,0,1,0,10,50.0,8,0,0,16,164,3,31,14,584,27,9,0,0,10,4,8,1,0,1,0,0,0,0,0,0,11,0.0,11,36,35,20,23,13,72.222222222222,0,81,210,2,3.7906,33,0,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Opoku,1933796,Pro League 25/26,Pro League,SV Zulte Waregem,6.7607142857143,28,5,6,8,5,2.78775883,404,512,78.90625,108,296,202,39,33,47.826086956522,13,10,2,0,0,7,25.925925925926,54,14,71,36.410256410256,5,16.129032258065,2122,9.2592592592593,0,0,1,0,0,0,14,73.684210526316,16,0,0,43,284,19,19,11,919,25,36,1,0,16,7,22,0,0,1,0,0,0,0,0,0,26,0.0,39,69,27,19,33,6,46.153846153846,0,129,383,1,6.7115,89,2,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emran Soglo,1403124,Pro League 25/26,Pro League,SV Zulte Waregem,6.85,18,0,4,1,3,2.37085658,314,407,77.149877149877,117,197,125,15,23,67.647058823529,29,15,2,0,0,10,23.809523809524,16,2,65,56.034482758621,9,52.941176470588,1045,0.0,0,0,0,0,0,0,12,35.294117647059,8,0,0,13,186,8,34,12,722,13,16,0,0,11,1,4,0,0,0,0,0,0,0,0,0,11,0.0,15,34,42,34,18,17,58.620689655172,0,150,257,1,1.0191,62,1,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeppe Erenbjerg,1035095,Pro League 25/26,Pro League,SV Zulte Waregem,7.0032258064516,31,10,6,8,2,4.62236114,728,927,78.532901833873,212,516,349,35,22,39.285714285714,20,15,2,0,0,15,25.862068965517,77,26,57,39.310344827586,4,14.285714285714,2517,12.987012987013,2,1,1,0,4,0,40,48.192771084337,19,0,2,24,387,16,79,30,1386,15,11,2,0,20,1,26,0,0,5,0,0,0,0,0,0,29,0.0,35,56,58,83,41,9,45.0,0,247,680,3,9.2619,95,5,31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Mituljikić,1102965,Pro League 25/26,Pro League,SV Zulte Waregem,6.3,2,0,0,0,0,0.01440732,16,16,100.0,3,13,6,2,1,100.0,0,0,0,0,0,0,0.0,0,0,1,20.0,0,0.0,43,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,2,0,0,0,26,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,1,0,0.0,0,3,13,0,0.0,2,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stavros Gavriel,999013,Pro League 25/26,Pro League,SV Zulte Waregem,6.7315789473684,19,1,2,0,1,2.1536603,123,161,76.39751552795,31,92,64,13,11,50.0,5,1,0,0,0,13,26.0,23,7,25,45.454545454545,3,30.0,605,4.3478260869565,0,0,0,0,2,0,7,38.888888888889,7,0,0,6,110,3,18,10,319,9,7,0,0,7,3,10,0,0,0,0,0,0,0,0,0,7,0.0,13,22,50,18,9,4,80.0,0,39,122,0,1.3031,18,0,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
