İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Pedro,840219,Brasileiro Serie A 2026,Brasileirão Betano,Flamengo,6.8666666666667,9,3,2,1,2,0.93313229,93,116,80.172413793103,42,51,29,6,9,69.230769230769,9,3,0,0,0,0,0.0,9,5,32,55.172413793103,4,30.769230769231,655,33.333333333333,0,0,0,0,0,0,1,25.0,5,0,0,8,52,4,11,5,204,14,9,0,0,5,1,2,0,0,2,0,0,0,0,0,0,8,0.0,6,13,1,4,6,4,44.444444444444,0,42,74,1,1.1281,12,0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Henrique,795291,Brasileiro Serie A 2026,Brasileirão Betano,Flamengo,6.425,4,0,0,0,0,0.01996318,19,26,73.076923076923,5,14,11,1,0,0.0,2,0,0,0,0,0,0.0,4,1,3,30.0,2,66.666666666667,107,0.0,0,0,0,0,0,0,0,0.0,3,0,0,4,15,0,1,0,54,1,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,2,1,50.0,0,5,21,0,0.1763,3,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallace Yan,1466084,Brasileiro Serie A 2026,Brasileirão Betano,Flamengo,6.5333333333333,3,0,0,0,0,0.02057891,4,7,57.142857142857,0,4,2,0,2,66.666666666667,0,0,0,0,0,0,0.0,1,0,5,41.666666666667,1,50.0,43,0.0,0,0,0,0,0,0,0,0.0,0,0,0,3,10,0,0,0,21,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0.0,0,0,7,0,0.0282,1,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giorgian De Arrascaeta,333587,Brasileiro Serie A 2026,Brasileirão Betano,Flamengo,6.8142857142857,7,1,1,4,1,1.28309709,166,210,79.047619047619,43,123,64,13,2,22.222222222222,11,0,0,0,0,9,29.032258064516,17,4,20,46.511627906977,3,30.0,513,5.8823529411765,1,1,1,0,1,0,9,81.818181818182,2,0,0,9,95,7,20,12,331,7,5,2,0,2,1,6,0,0,0,0,0,0,0,0,0,6,0.0,13,9,31,11,6,7,63.636363636364,0,52,158,0,3.0106,24,1,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Paquetá,839981,Brasileiro Serie A 2026,Brasileirão Betano,Flamengo,7.1125,8,2,0,1,0,0.8899769,192,242,79.338842975207,71,121,67,8,8,61.538461538462,8,1,1,0,0,0,0.0,11,4,35,56.451612903226,10,66.666666666667,468,18.181818181818,0,0,0,0,1,0,6,46.153846153846,8,0,0,8,85,7,20,14,350,19,12,0,0,2,2,1,0,0,1,0,0,0,0,0,0,6,0.0,8,13,1,13,5,8,100.0,0,82,160,1,0.7265,33,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorginho,132874,Brasileiro Serie A 2026,Brasileirão Betano,Flamengo,7.1571428571429,7,1,1,0,0,0.5476329,416,455,91.428571428571,218,198,84,6,1,50.0,6,9,2,1,1,0,0.0,2,1,15,55.555555555556,2,40.0,566,50.0,1,1,0,0,0,0,20,68.965517241379,5,0,0,3,48,3,31,17,506,8,6,0,0,3,0,1,0,0,1,0,0,0,0,0,0,6,0.0,6,2,1,29,7,3,50.0,0,228,227,1,0.8048,30,1,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Lino,874705,Brasileiro Serie A 2026,Brasileirão Betano,Flamengo,6.9333333333333,9,2,1,1,1,0.77231992,163,203,80.295566502463,50,113,53,9,5,27.777777777778,14,0,1,0,0,0,0.0,9,2,33,52.380952380952,1,50.0,445,22.222222222222,0,0,0,0,0,0,6,66.666666666667,2,0,1,4,73,3,8,6,300,14,7,0,0,6,1,4,0,0,1,0,0,0,0,0,0,5,0.0,9,18,5,9,6,10,71.428571428571,0,58,145,2,0.6441,18,0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Plata,937937,Brasileiro Serie A 2026,Brasileirão Betano,Flamengo,6.625,4,1,0,1,1,0.07520777,56,68,82.352941176471,18,38,19,1,3,42.857142857143,3,1,0,0,0,0,0.0,6,4,7,46.666666666667,1,33.333333333333,144,16.666666666667,0,0,0,0,0,0,0,0.0,0,0,0,2,25,2,3,2,104,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,7,0,2,2,1,33.333333333333,0,18,50,0,1.052,8,1,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolás de la Cruz,877513,Brasileiro Serie A 2026,Brasileirão Betano,Flamengo,6.68,5,0,0,0,0,0.10608329,79,96,82.291666666667,32,47,15,1,1,50.0,4,4,1,0,0,1,33.333333333333,3,0,14,58.333333333333,0,0.0,176,0.0,0,0,0,0,2,0,3,37.5,5,0,0,0,22,0,9,5,130,9,6,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0.0,1,2,3,8,1,2,50.0,0,38,58,0,0.0956,10,1,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luiz Araújo,840451,Brasileiro Serie A 2026,Brasileirão Betano,Flamengo,7.22,5,1,2,0,1,0.47105029,69,78,88.461538461538,15,54,34,5,4,80.0,5,1,0,0,0,1,16.666666666667,3,1,14,56.0,2,50.0,164,33.333333333333,0,0,0,0,0,0,8,100.0,3,0,0,6,29,1,9,7,126,5,3,0,0,1,1,2,0,0,1,0,0,0,0,0,0,2,0.0,5,5,6,8,2,4,80.0,0,17,61,1,0.156,7,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
