İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Vitor Roque,1150391,Brasileiro Serie A 2026,Brasileirão Betano,Palmeiras,7.3166666666667,6,3,1,1,0,0.23996259,21,27,77.777777777778,9,12,7,2,3,33.333333333333,7,1,1,0,0,1,50.0,12,7,28,60.869565217391,2,28.571428571429,268,25.0,1,1,1,0,0,0,3,100.0,2,0,0,4,31,0,3,1,107,18,6,1,0,2,2,1,0,0,0,0,0,0,0,0,0,3,0.0,2,9,2,3,3,5,71.428571428571,0,10,17,0,1.6653,4,1,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José López,1094179,Brasileiro Serie A 2026,Brasileirão Betano,Palmeiras,7.04,10,3,3,2,3,1.36942152,109,172,63.372093023256,44,65,39,16,17,54.838709677419,10,3,0,0,0,3,37.5,19,7,50,46.728971962617,27,54.0,754,15.789473684211,0,0,0,0,0,0,14,82.352941176471,10,0,0,16,126,7,23,13,348,23,18,0,0,10,8,6,1,0,1,0,0,0,0,0,0,10,0.0,15,31,8,17,9,7,70.0,0,65,107,1,1.499,23,3,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramón Sosa,1015733,Brasileiro Serie A 2026,Brasileirão Betano,Palmeiras,6.6666666666667,9,1,0,0,0,0.20766923,75,94,79.787234042553,21,54,39,3,7,46.666666666667,2,2,1,0,0,1,10.0,5,2,14,42.424242424242,6,54.545454545455,290,20.0,0,0,0,0,0,0,3,50.0,7,0,1,3,45,6,3,1,162,5,6,1,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0.0,3,15,10,6,3,1,50.0,0,25,69,0,0.2813,19,0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luighi Hanri,1597267,Brasileiro Serie A 2026,Brasileirão Betano,Palmeiras,6.475,4,0,0,0,0,0.02737507,8,11,72.727272727273,2,6,5,1,0,0.0,3,0,2,0,0,0,0.0,1,0,6,50.0,2,28.571428571429,92,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,9,1,1,1,28,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,2,66.666666666667,0,3,8,0,0.0246,3,1,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riquelme Fillipi,1485294,Brasileiro Serie A 2026,Brasileirão Betano,Palmeiras,6.5,1,0,0,0,0,2.032e-05,1,2,50.0,1,0,0,0,1,50.0,1,0,0,0,0,0,0.0,0,0,2,50.0,0,0.0,15,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0.0,0,2,0,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhon Arias,844096,Brasileiro Serie A 2026,Brasileirão Betano,Palmeiras,7.4142857142857,7,3,2,0,0,0.7560941,211,232,90.948275862069,63,148,79,8,10,43.478260869565,13,5,3,0,0,1,12.5,12,6,31,41.333333333333,3,75.0,510,25.0,0,0,0,0,2,0,6,75.0,2,0,0,17,81,5,8,7,375,8,9,0,0,5,1,2,0,0,1,0,0,0,0,0,0,6,0.0,8,23,8,8,5,10,76.923076923077,0,67,165,1,0.531,35,1,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Pereira,285949,Brasileiro Serie A 2026,Brasileirão Betano,Palmeiras,7.34,10,1,1,1,8,1.35727846,372,426,87.323943661972,152,220,123,19,5,71.428571428571,9,7,2,0,0,16,25.396825396825,9,4,20,45.454545454545,3,60.0,795,11.111111111111,0,0,0,0,1,0,31,73.809523809524,10,0,0,4,118,1,37,28,580,6,13,0,0,6,0,1,0,0,0,0,0,0,0,0,0,10,0.0,19,7,63,42,10,5,55.555555555556,0,169,257,2,0.7892,30,2,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauricio,986233,Brasileiro Serie A 2026,Brasileirão Betano,Palmeiras,6.7222222222222,9,1,0,3,1,0.24673151,168,197,85.279187817259,78,90,42,7,4,80.0,8,5,1,0,0,0,0.0,14,3,21,53.846153846154,4,50.0,669,7.1428571428571,0,0,0,0,0,0,6,50.0,8,0,0,2,47,5,8,4,275,9,11,0,0,5,2,4,0,0,0,0,0,0,0,0,0,9,0.0,7,5,4,12,8,3,37.5,0,84,113,0,1.8733,20,1,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Anderson,152276,Brasileiro Serie A 2026,Brasileirão Betano,Palmeiras,6.6714285714286,7,0,0,0,0,0.0654099,58,74,78.378378378378,22,36,22,1,9,90.0,10,2,0,0,0,0,0.0,4,1,22,64.705882352941,1,25.0,189,0.0,0,0,0,0,0,0,1,50.0,6,0,0,3,28,0,3,2,130,3,3,0,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0.0,1,10,6,2,1,3,30.0,0,24,50,0,0.1164,8,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan,1835889,Brasileiro Serie A 2026,Brasileirão Betano,Palmeiras,6.92,10,3,0,2,0,0.32137221,153,180,85.0,62,91,46,7,19,50.0,13,4,2,0,0,1,20.0,15,9,51,46.788990825688,6,60.0,743,20.0,0,0,0,0,0,0,3,42.857142857143,5,0,0,14,93,0,3,2,370,19,11,0,0,15,1,4,0,0,1,0,0,0,0,0,0,9,0.0,7,38,5,7,9,9,69.230769230769,0,72,108,0,1.464,34,0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
