İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Michael Krmenčík,148894,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.4619047619048,21,0,2,4,1,1.29808726,100,166,60.240963855422,42,58,43,13,1,25.0,3,2,2,0,0,0,0.0,13,5,13,34.210526315789,30,50.0,660,0.0,0,0,0,0,0,0,3,75.0,8,0,0,5,93,3,5,4,249,9,17,0,0,1,9,3,0,0,0,0,0,0,0,0,0,5,0.0,13,4,1,4,13,2,66.666666666667,0,49,117,0,1.7409,16,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Žan Medved,841702,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.8428571428571,7,0,0,4,0,0.20036302,47,107,43.92523364486,10,37,24,6,2,28.571428571429,5,0,1,0,0,0,0.0,16,5,18,58.064516129032,53,60.919540229885,538,0.0,0,0,0,0,0,0,0,0.0,3,0,0,1,78,0,8,1,170,12,6,0,0,3,3,1,0,0,1,0,0,0,0,0,0,6,0.0,6,7,1,4,7,4,80.0,0,18,89,0,2.1182,10,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alan Marinelli,981690,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.5222222222222,18,1,2,3,0,0.81623114,92,130,70.769230769231,27,65,42,6,5,21.739130434783,11,2,3,0,0,8,44.444444444444,15,6,21,34.426229508197,5,26.315789473684,648,6.6666666666667,0,0,0,0,0,0,6,60.0,5,0,0,6,98,6,6,3,273,5,8,0,0,8,1,3,0,0,0,0,0,0,0,0,0,6,0.0,6,23,18,10,12,7,63.636363636364,0,38,92,0,0.9518,26,1,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ousman Ceesay,1890830,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.4,1,0,0,0,0,0.0,0,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,9,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Šviderský,964161,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.7625,16,0,1,0,0,0.94850771,267,364,73.351648351648,111,156,79,12,3,50.0,21,8,3,0,0,10,34.48275862069,5,1,42,60.0,15,55.555555555556,972,0.0,0,0,0,0,1,0,9,22.5,35,0,0,3,140,4,30,7,556,19,16,0,0,8,0,1,0,0,2,0,0,0,0,0,0,10,0.0,12,6,29,40,18,12,57.142857142857,0,137,227,0,0.2836,42,9,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tihomir Kostadinov,802844,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.6,16,0,1,1,0,0.84369479,246,304,80.921052631579,105,141,76,3,2,40.0,15,9,2,0,1,4,21.052631578947,5,1,32,52.459016393443,17,43.589743589744,901,0.0,0,0,0,0,0,0,11,45.833333333333,20,0,0,4,100,5,29,16,452,15,18,0,0,6,0,1,0,0,2,0,0,0,0,0,0,11,0.0,3,5,19,24,8,8,53.333333333333,1,116,188,0,0.5982,30,3,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adonija Ouanda,1517290,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.725,8,2,3,1,0,1.00748604,68,90,75.555555555556,13,55,38,5,7,35.0,6,0,0,0,0,0,0.0,16,7,23,42.592592592593,5,35.714285714286,387,12.5,0,0,0,0,0,0,0,0.0,0,0,0,7,65,3,5,2,188,10,11,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0.0,5,20,4,2,8,3,50.0,0,17,73,1,2.849,11,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Fiala,1150914,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.6,1,0,0,0,0,3.87e-06,1,3,33.333333333333,1,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,50.0,0,0.0,8,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,2,1,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michal Trávník,152973,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.8842105263158,19,1,3,1,1,1.98702795,550,718,76.601671309192,222,328,209,25,12,40.0,37,13,4,0,0,16,18.181818181818,25,4,102,56.353591160221,15,39.473684210526,1655,4.0,1,1,0,0,3,0,49,44.144144144144,30,1,1,16,305,6,90,41,1111,53,29,0,0,16,2,3,0,0,3,0,0,0,0,0,0,19,0.0,25,30,88,111,21,24,64.864864864865,0,255,463,0,2.3261,86,4,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan Petržela,12003,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.5647058823529,17,1,0,3,0,0.84762745,130,180,72.222222222222,37,93,67,8,9,37.5,8,2,5,0,0,4,22.222222222222,11,3,24,32.0,2,22.222222222222,655,9.0909090909091,0,0,0,0,0,0,9,45.0,5,0,0,9,108,4,20,6,315,7,20,0,0,8,3,3,0,0,0,0,0,0,0,0,0,7,0.0,8,24,18,20,10,5,62.5,0,44,136,0,2.107,24,2,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Horák,1149260,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.86,5,1,0,0,0,0.23801072,86,108,79.62962962963,35,51,21,4,2,28.571428571429,6,3,0,0,0,0,0.0,4,2,11,39.285714285714,2,28.571428571429,285,25.0,0,0,0,0,0,0,2,50.0,8,0,1,7,41,3,6,3,170,3,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,3,0.0,3,7,0,4,3,5,83.333333333333,0,42,66,1,0.8588,19,1,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marek Havlík,150790,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.9807692307692,26,1,7,1,3,4.55007067,644,812,79.310344827586,194,450,254,50,4,44.444444444444,20,18,1,0,0,26,32.5,36,11,43,50.0,11,42.307692307692,1995,2.7777777777778,1,0,0,0,3,0,49,50.0,27,0,0,17,273,6,91,39,1146,19,13,1,0,9,0,7,0,0,3,0,0,0,0,0,0,23,0.0,50,9,80,98,35,13,65.0,0,226,586,1,2.3019,77,9,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrik Blahút,989362,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.862962962963,27,3,1,3,0,1.08034716,553,650,85.076923076923,196,357,208,13,18,43.90243902439,34,14,2,0,0,8,19.512195121951,37,15,69,53.90625,10,20.0,2122,8.1081081081081,0,0,0,0,0,0,35,57.377049180328,34,0,1,14,224,6,42,20,1063,17,13,2,0,11,6,10,0,0,3,0,0,0,0,0,0,26,0.0,13,41,41,61,32,24,70.588235294118,0,226,424,1,2.5942,95,5,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Suchan,365878,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.7894736842105,19,2,0,3,0,0.95435691,244,293,83.276450511945,72,172,113,17,4,36.363636363636,8,7,0,0,0,3,17.647058823529,18,5,38,49.350649350649,4,26.666666666667,743,11.111111111111,0,0,0,0,1,0,12,57.142857142857,6,0,0,18,112,6,14,8,462,26,11,0,0,4,2,2,0,0,0,0,0,0,0,0,0,6,0.0,17,11,17,21,10,6,75.0,0,87,206,1,1.5909,40,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Tetour,794445,Chance Liga 25/26,Czech First League,1. FC Slovácko,7.125,12,3,2,1,0,1.00311927,341,444,76.801801801802,122,219,123,7,9,69.230769230769,21,11,2,0,0,2,25.0,12,4,47,55.952380952381,12,57.142857142857,895,25.0,0,0,0,0,0,0,13,29.545454545455,14,0,2,11,156,2,61,16,622,17,13,0,0,9,0,6,0,0,2,0,0,0,0,0,0,10,0.0,7,13,8,44,14,11,52.380952380952,0,150,294,0,0.8451,49,1,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Ndubuisi,2439453,Chance Liga 25/26,Czech First League,1. FC Slovácko,7.1,4,1,1,0,1,0.43671006,19,25,76.0,5,14,8,1,1,33.333333333333,9,1,0,0,0,0,0.0,2,1,11,52.380952380952,2,100.0,88,50.0,0,0,0,0,0,0,0,0.0,3,0,0,1,14,0,1,0,57,1,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1,3,1,2,0,7,77.777777777778,0,7,18,0,0.2014,5,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavel Juroška,1175152,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.5466666666667,15,0,1,4,0,0.6812008,68,102,66.666666666667,16,52,37,5,2,11.764705882353,2,2,1,0,0,1,25.0,10,2,11,32.352941176471,5,29.411764705882,554,0.0,0,0,0,0,0,0,3,50.0,4,0,1,3,78,1,8,6,198,8,4,1,0,1,2,1,0,0,0,0,0,0,0,0,0,5,0.0,5,17,4,6,7,1,50.0,0,23,79,0,1.9923,17,0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vlastimil Daníček,101847,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.6736842105263,19,1,2,1,1,0.57928466,432,552,78.260869565217,241,191,82,11,2,33.333333333333,16,13,4,0,0,1,20.0,20,8,27,43.548387096774,27,38.571428571429,1481,5.0,1,0,0,0,0,0,42,44.68085106383,65,0,0,7,160,2,57,33,780,9,17,1,0,8,2,3,0,0,2,0,0,0,0,0,0,19,0.0,11,6,5,94,20,8,50.0,0,285,267,1,2.0662,58,12,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Barat,2181674,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.5,16,0,1,1,0,0.38356492,62,109,56.880733944954,21,41,28,6,6,40.0,5,0,1,0,0,2,16.666666666667,14,1,17,36.170212765957,4,40.0,519,0.0,0,0,0,0,0,0,3,21.428571428571,6,0,0,8,99,4,7,2,223,6,8,0,0,5,1,5,0,0,0,0,0,0,0,0,0,5,0.0,6,15,12,14,7,3,60.0,0,32,77,0,1.1663,23,1,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrej Stojchevski,1100959,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.7136363636364,22,0,0,2,0,0.46912834,682,821,83.069427527406,415,267,120,8,5,62.5,22,37,7,0,0,2,33.333333333333,12,2,55,59.139784946237,40,59.701492537313,1777,0.0,0,0,0,0,0,0,32,33.684210526316,106,0,1,2,175,3,39,16,1181,28,24,1,0,10,0,3,0,0,6,0,0,0,0,0,0,20,0.0,8,8,6,95,26,12,54.545454545455,0,453,368,0,0.9873,69,15,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Koscelník,798808,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.7428571428571,14,0,0,0,0,0.48040986,142,212,66.981132075472,60,82,47,3,4,50.0,6,17,0,0,0,4,17.391304347826,5,0,26,53.061224489796,11,52.380952380952,607,0.0,0,0,0,0,0,0,16,40.0,28,0,0,2,113,1,18,9,399,16,11,0,0,6,1,1,0,0,0,0,0,0,0,0,0,8,0.0,3,8,23,40,7,5,83.333333333333,0,74,138,0,0.2186,24,2,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Mulder,1091592,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.8571428571429,14,0,0,0,0,0.40381114,471,566,83.21554770318,292,179,68,9,10,83.333333333333,24,17,2,0,0,3,20.0,5,1,44,64.705882352941,17,42.5,984,0.0,0,0,0,1,0,0,28,38.356164383562,58,1,1,5,135,0,29,7,824,10,10,0,0,7,0,0,0,0,2,0,0,0,0,0,0,11,0.0,9,12,15,73,14,14,58.333333333333,0,320,246,0,0.2099,43,8,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan Rundić,153552,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.7923076923077,13,0,1,0,0,0.30694766,373,453,82.33995584989,246,127,28,2,0,0.0,9,14,1,0,0,1,50.0,0,0,17,62.962962962963,23,60.526315789474,891,0.0,0,0,0,0,0,0,14,22.950819672131,56,0,1,1,89,0,39,13,573,8,7,1,0,2,0,0,0,0,2,0,0,0,0,0,0,12,0.0,2,0,2,61,13,7,77.777777777778,0,278,175,1,0.0,38,10,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomáš Huk,134910,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.9083333333333,12,0,0,0,0,0.49036503,300,367,81.743869209809,195,105,36,2,0,0.0,9,8,5,0,0,1,50.0,2,1,22,68.75,26,70.27027027027,769,0.0,0,0,0,0,0,0,25,46.296296296296,54,0,0,1,75,0,34,20,503,14,7,0,0,2,0,0,0,0,3,0,0,0,0,0,0,6,0.0,2,1,2,54,10,6,66.666666666667,0,219,148,2,0.1689,32,7,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigli Ndefe,228462,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.8,25,0,1,2,1,1.50221392,432,550,78.545454545455,216,216,121,21,10,52.631578947368,35,26,2,0,0,10,20.833333333333,14,4,79,58.088235294118,25,53.191489361702,1906,0.0,0,0,0,0,0,0,18,26.865671641791,72,0,0,10,249,2,30,9,1059,34,30,0,0,8,2,2,0,0,5,0,0,0,0,0,0,21,0.0,21,19,48,67,29,22,62.857142857143,0,251,299,0,1.0015,52,14,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Vaško,825970,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.652380952381,21,0,1,0,0,0.28987929,694,809,85.784919653894,452,242,80,5,3,42.857142857143,23,18,4,0,0,0,0.0,11,2,28,38.356164383562,67,59.29203539823,1796,0.0,0,0,0,1,0,0,53,48.623853211009,133,0,3,4,153,2,48,28,1141,2,27,1,0,12,1,3,0,0,2,0,0,0,0,0,0,21,0.0,5,7,2,109,33,13,56.521739130435,0,486,323,0,0.581,53,14,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petr Reinberk,58264,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.5210526315789,19,0,1,0,1,0.88790849,231,327,70.642201834862,93,138,82,10,1,33.333333333333,11,6,3,0,0,8,42.105263157895,12,3,18,50.0,17,37.777777777778,1071,0.0,0,0,0,0,1,0,13,24.074074074074,43,0,1,5,140,5,22,9,541,6,7,0,0,4,1,6,0,0,0,0,0,0,0,0,0,11,0.0,10,3,19,54,18,6,54.545454545455,0,117,210,0,0.6227,39,4,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan Heča,68905,Chance Liga 25/26,Czech First League,1. FC Slovácko,6.9761904761905,21,0,1,0,0,0.29945735,518,801,64.669163545568,395,123,40,1,1,100.0,0,0,3,0,0,0,0.0,0,0,10,83.333333333333,9,90.0,1890,0.0,0,0,1,0,0,0,175,38.80266075388,38,0,0,1,290,0,75,38,1025,10,1,0,0,0,0,0,0,69,5,0,16,13,12,17,0,21,0.0,1,1,0,451,28,0,0.0,0,450,351,0,0.0,197,0,21,3.1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
