İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Mohamed Yasser,1392809,Chance Liga 25/26,Czech First League,SK Sigma Olomouc,6.8666666666667,6,1,0,0,0,0.09404483,37,55,67.272727272727,11,26,17,1,3,30.0,2,0,0,0,0,0,0.0,2,2,16,57.142857142857,17,56.666666666667,225,50.0,0,0,0,0,0,0,2,66.666666666667,2,0,0,0,38,3,2,1,110,14,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0.0,1,10,2,3,2,0,0.0,0,14,41,1,0.7239,12,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Kliment,151739,Chance Liga 25/26,Czech First League,SK Sigma Olomouc,6.525,8,1,0,1,0,0.04642733,55,74,74.324324324324,21,34,15,0,0,0.0,3,1,2,0,0,0,0.0,11,3,10,35.714285714286,14,60.869565217391,372,9.0909090909091,0,0,0,0,0,0,0,0.0,7,0,0,4,56,1,1,1,152,8,7,1,0,1,5,4,0,0,0,0,0,0,0,0,0,3,0.0,0,6,8,1,10,2,66.666666666667,0,22,52,0,1.0754,9,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Václav Sejk,983068,Chance Liga 25/26,Czech First League,SK Sigma Olomouc,6.7,6,1,1,1,1,0.17327004,58,93,62.365591397849,20,38,26,2,0,0.0,4,1,2,0,0,1,33.333333333333,11,3,7,20.588235294118,6,37.5,428,9.0909090909091,0,0,0,0,0,0,3,30.0,11,0,0,5,64,3,7,2,177,3,11,0,0,3,1,4,0,0,0,0,0,0,0,0,0,5,0.0,2,8,3,10,6,2,50.0,0,29,64,1,1.5532,20,3,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matěj Mikulenka,1394226,Chance Liga 25/26,Czech First League,SK Sigma Olomouc,6.4454545454545,22,1,0,3,1,0.54586325,168,234,71.794871794872,49,119,77,5,6,27.272727272727,8,6,1,0,0,2,16.666666666667,13,3,29,36.25,17,25.757575757576,867,7.6923076923077,0,0,0,0,0,0,5,31.25,10,0,0,8,142,6,10,8,411,15,20,0,0,8,5,1,0,0,1,0,0,0,0,0,0,7,0.0,5,22,12,16,7,5,62.5,0,64,170,0,1.6459,31,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonín Růsek,841413,Chance Liga 25/26,Czech First League,SK Sigma Olomouc,6.5727272727273,22,3,3,1,3,1.10821708,167,245,68.163265306122,67,100,61,8,4,28.571428571429,9,4,5,0,0,3,42.857142857143,17,5,31,35.632183908046,33,44.594594594595,908,17.647058823529,0,0,0,1,1,0,4,26.666666666667,15,0,0,19,153,8,10,5,430,19,24,0,0,5,3,4,0,0,1,0,0,0,0,0,0,7,0.0,8,14,7,15,18,4,44.444444444444,0,81,164,1,1.9218,35,3,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabijan Krivak,1152935,Chance Liga 25/26,Czech First League,SK Sigma Olomouc,7.3,2,0,1,1,1,0.496787,23,31,74.193548387097,5,18,12,2,5,71.428571428571,2,0,0,0,0,3,75.0,4,3,7,63.636363636364,1,100.0,77,0.0,0,0,0,0,0,0,2,66.666666666667,0,0,0,1,17,0,2,1,57,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2,7,4,3,2,0,0.0,0,8,23,0,0.3647,4,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Péter Baráth,1002518,Chance Liga 25/26,Czech First League,SK Sigma Olomouc,6.9,8,1,2,1,2,0.38461879,174,245,71.020408163265,81,93,47,11,2,40.0,19,9,1,0,0,1,50.0,11,3,25,55.555555555556,12,42.857142857143,630,9.0909090909091,0,0,0,0,0,0,12,29.268292682927,19,0,0,5,89,3,20,9,364,4,12,1,0,2,1,6,0,0,1,0,0,0,0,0,0,7,0.0,11,5,2,41,11,9,47.368421052632,0,105,140,1,0.6432,35,5,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danijel Šturm,825070,Chance Liga 25/26,Czech First League,SK Sigma Olomouc,7.2857142857143,7,4,5,2,0,1.1540522,114,159,71.698113207547,41,73,43,12,15,39.473684210526,11,3,3,0,0,12,27.272727272727,22,7,35,42.168674698795,3,23.076923076923,620,18.181818181818,0,0,0,0,2,0,4,44.444444444444,7,0,0,14,140,3,8,2,368,9,6,0,0,7,0,7,0,0,1,0,0,0,0,0,0,7,0.0,12,38,44,9,11,4,36.363636363636,0,50,109,1,1.8461,35,1,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakub Jezierski,1172645,Chance Liga 25/26,Czech First League,SK Sigma Olomouc,6.84,5,0,0,0,0,0.06134979,46,56,82.142857142857,15,31,16,3,2,66.666666666667,8,2,1,0,0,0,0.0,0,0,15,62.5,2,28.571428571429,141,0.0,0,0,0,0,0,0,2,50.0,1,0,0,2,21,0,5,3,92,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3,3,3,4,0,6,75.0,0,19,37,0,0.0,6,1,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominik Janošek,891420,Chance Liga 25/26,Czech First League,SK Sigma Olomouc,6.8785714285714,14,1,0,2,0,1.57184349,278,325,85.538461538462,116,162,92,9,4,80.0,9,2,1,0,0,9,21.428571428571,16,5,24,68.571428571429,9,56.25,515,6.25,1,1,0,0,4,0,20,48.780487804878,5,1,0,3,90,0,36,20,443,12,7,0,0,0,0,2,1,0,1,0,0,0,0,0,0,4,0.0,8,5,42,41,6,3,33.333333333333,0,129,196,1,2.1021,34,0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
