İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Franculino Djú,1146009,Superliga 25/26,Danish Superliga,FC Midtjylland,7.3944444444444,18,16,4,8,3,2.3232092,211,271,77.859778597786,78,133,94,17,16,39.024390243902,14,6,4,0,0,2,20.0,42,25,42,41.584158415842,9,36.0,1238,38.095238095238,1,1,0,0,0,0,9,60.0,5,0,0,17,157,12,18,9,513,12,12,0,0,6,11,9,1,0,0,0,0,0,0,0,0,17,0.0,16,41,10,15,17,6,42.857142857143,0,88,183,4,10.2203,40,3,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gue-sung Cho,1014281,Superliga 25/26,Danish Superliga,FC Midtjylland,6.4894736842105,19,3,1,6,1,0.32652911,139,196,70.918367346939,46,93,61,6,4,30.769230769231,12,2,4,0,0,0,0.0,25,11,23,31.081081081081,27,39.705882352941,1006,12.0,0,0,0,0,0,0,4,57.142857142857,11,0,0,20,129,3,6,4,357,7,21,2,0,1,8,2,0,0,2,0,0,0,0,0,0,11,0.0,6,13,8,7,11,7,58.333333333333,0,55,141,0,3.9996,25,1,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edward Chilufya,881135,Superliga 25/26,Danish Superliga,FC Midtjylland,6.3875,8,0,0,1,1,0.11463994,22,34,64.705882352941,8,14,10,4,1,50.0,4,1,0,1,1,1,25.0,5,1,7,43.75,5,62.5,183,0.0,0,0,0,0,0,0,0,0.0,2,0,0,3,26,2,2,1,74,3,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0.0,4,2,4,4,2,2,50.0,0,9,25,0,0.5601,6,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Gogorza,1146549,Superliga 25/26,Danish Superliga,FC Midtjylland,6.9375,16,2,0,1,0,1.39147829,136,178,76.404494382022,42,94,71,10,15,42.857142857143,9,0,2,0,0,8,21.052631578947,16,7,45,58.441558441558,1,16.666666666667,574,12.5,0,0,0,0,0,0,5,45.454545454545,5,0,0,7,122,3,11,3,346,21,4,0,0,2,0,5,1,0,0,0,0,0,0,0,0,5,0.0,9,35,38,11,10,5,55.555555555556,0,49,129,1,1.17,21,0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Júnior Brumado,888376,Superliga 25/26,Danish Superliga,FC Midtjylland,6.7684210526316,19,5,4,4,3,0.91004058,178,269,66.171003717472,59,119,73,13,22,50.0,17,3,5,0,0,0,0.0,29,13,66,46.478873239437,43,48.314606741573,1050,17.241379310345,1,1,0,1,0,0,9,64.285714285714,14,0,2,27,200,13,18,10,527,27,25,1,0,5,4,6,0,0,1,0,0,0,0,0,0,10,0.0,13,44,14,14,11,12,70.588235294118,0,73,196,1,5.6551,48,0,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikael Uhre,320423,Superliga 25/26,Danish Superliga,FC Midtjylland,6.2833333333333,6,0,0,0,0,0.02241852,25,30,83.333333333333,8,17,10,0,0,0.0,3,1,0,0,0,0,0.0,2,1,6,30.0,3,18.75,197,0.0,0,0,0,0,0,0,1,50.0,2,0,0,3,19,2,1,1,61,3,6,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,1,2,4,1,33.333333333333,0,10,20,0,0.0778,4,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Zé,1417033,Superliga 25/26,Danish Superliga,FC Midtjylland,6.6,1,0,0,0,0,0.0001414,3,4,75.0,2,1,0,0,1,100.0,0,0,0,0,0,0,0.0,0,0,2,50.0,0,0.0,25,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,7,0,0,0,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0.0,0,2,2,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Emefile,1974417,Superliga 25/26,Danish Superliga,FC Midtjylland,6.1,2,0,0,0,0,0.0628616,17,22,77.272727272727,6,11,8,4,0,0.0,0,1,0,0,0,0,0.0,1,1,0,0.0,2,22.222222222222,87,0.0,0,0,0,1,0,0,1,33.333333333333,2,0,0,1,12,1,1,0,37,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0,4,1,3,3,0,0,0.0,0,6,16,0,0.133,3,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darío Osorio,1106824,Superliga 25/26,Danish Superliga,FC Midtjylland,7.4681818181818,22,5,5,3,6,2.61077871,496,607,81.71334431631,172,324,206,28,46,54.761904761905,35,18,3,0,0,15,23.4375,57,23,123,53.711790393013,8,53.333333333333,1549,8.7719298245614,0,0,0,0,8,0,61,70.93023255814,10,0,1,23,287,14,58,40,1071,43,25,1,0,21,6,14,0,0,3,0,0,0,0,0,0,20,0.0,28,84,64,86,14,28,80.0,0,190,417,5,4.4176,100,1,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aral Şimşir,999186,Superliga 25/26,Danish Superliga,FC Midtjylland,7.6625,24,9,21,5,14,9.2061427,524,670,78.208955223881,146,378,263,61,35,38.888888888889,7,6,0,0,0,29,25.892857142857,44,19,83,46.111111111111,3,23.076923076923,1549,20.454545454545,0,0,0,1,2,0,60,68.965517241379,1,0,0,32,380,13,125,71,1114,41,4,0,0,6,1,14,2,0,1,0,0,0,0,0,0,21,0.0,59,90,112,87,15,5,71.428571428571,0,164,506,8,3.0529,67,0,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
