İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Goduine Koyalipou,891505,Ligue 1 25/26,Ligue 1,Angers,6.4,7,0,0,2,0,0.1210103,63,91,69.230769230769,36,27,18,3,5,41.666666666667,3,2,0,0,0,0,0.0,15,5,11,34.375,11,37.931034482759,486,0.0,0,0,0,0,0,0,2,50.0,4,0,0,11,63,4,5,3,171,3,4,0,0,0,3,2,0,0,0,0,0,0,0,0,0,6,0.0,3,12,1,4,5,2,66.666666666667,0,44,47,0,1.4573,19,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibirin Harouna,2318284,Ligue 1 25/26,Ligue 1,Angers,6.68,15,2,1,0,1,0.60280761,53,76,69.736842105263,17,36,24,4,3,23.076923076923,7,4,2,0,0,3,33.333333333333,7,3,17,34.0,9,64.285714285714,323,28.571428571429,0,0,0,0,0,0,1,33.333333333333,7,0,0,7,59,3,2,1,168,8,9,1,0,8,0,2,0,0,0,0,0,0,0,0,0,1,0.0,4,13,9,3,5,4,57.142857142857,0,24,52,0,1.0519,22,0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosper Peter,2137784,Ligue 1 25/26,Ligue 1,Angers,6.5,24,3,1,7,0,0.45831219,113,158,71.518987341772,45,68,46,11,3,12.0,6,4,0,0,0,0,0.0,17,10,30,32.608695652174,33,44.594594594595,991,17.647058823529,0,0,0,0,0,0,1,100.0,7,0,0,17,134,6,1,1,347,21,28,0,0,1,11,3,0,0,0,0,0,0,0,0,0,10,0.0,11,25,0,1,21,2,33.333333333333,0,55,103,0,3.9702,28,0,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanroy Machine,2142283,Ligue 1 25/26,Ligue 1,Angers,6.4769230769231,13,1,0,2,0,0.10046001,68,83,81.927710843373,26,42,20,2,5,41.666666666667,7,0,0,0,0,0,0.0,11,3,15,37.5,9,42.857142857143,368,9.0909090909091,0,0,0,0,0,0,3,100.0,3,0,0,7,55,2,1,1,167,3,7,1,0,4,4,1,0,0,0,0,0,0,0,0,0,2,0.0,2,12,3,3,5,4,57.142857142857,0,31,52,0,1.5349,10,0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haris Belkebla,580642,Ligue 1 25/26,Ligue 1,Angers,6.8074074074074,27,0,0,0,0,0.3843916,928,1060,87.547169811321,545,383,134,12,18,58.064516129032,59,27,7,0,0,0,0.0,5,0,122,64.893617021277,15,50.0,2340,0.0,0,0,1,0,0,0,25,42.372881355932,34,1,1,14,211,6,38,18,1410,46,17,0,0,24,0,2,0,0,8,0,0,0,0,0,0,27,0.0,12,31,2,59,36,37,62.71186440678,0,595,465,0,0.283,123,8,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yassin Belkhdim,1195241,Ligue 1 25/26,Ligue 1,Angers,6.762962962963,27,2,4,2,2,1.25016913,609,724,84.116022099448,328,281,117,15,5,27.777777777778,59,36,5,0,0,6,14.285714285714,33,14,92,55.757575757576,11,42.307692307692,2149,6.0606060606061,0,0,0,0,0,0,22,55.0,23,0,0,13,204,7,40,28,1075,29,29,0,0,19,2,9,0,0,3,0,0,0,0,0,0,26,0.0,15,18,42,40,32,41,69.491525423729,0,380,344,2,2.345,83,6,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branco van den Boomen,190883,Ligue 1 25/26,Ligue 1,Angers,7.1333333333333,9,0,1,0,1,1.2584813,424,463,91.576673866091,212,212,102,17,3,50.0,11,4,3,0,0,12,29.268292682927,9,2,19,41.304347826087,6,46.153846153846,710,0.0,0,0,0,0,2,0,48,87.272727272727,10,0,1,3,85,3,44,35,576,5,12,0,0,11,0,3,0,0,3,0,0,0,0,0,0,8,0.0,17,6,41,55,10,5,45.454545454545,0,228,235,0,0.3247,30,4,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amine Sbai,1392829,Ligue 1 25/26,Ligue 1,Angers,6.73,20,2,3,2,1,1.96044975,330,463,71.274298056156,103,227,140,21,31,37.349397590361,17,7,1,0,0,7,13.207547169811,27,13,68,38.418079096045,3,20.0,1453,7.4074074074074,0,0,0,0,0,0,12,46.153846153846,2,0,2,35,339,11,32,14,837,20,15,1,0,9,3,9,0,0,1,0,0,0,0,0,0,18,0.0,21,83,53,26,18,7,41.176470588235,0,133,330,0,2.6509,67,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Mouton,1172936,Ligue 1 25/26,Ligue 1,Angers,6.5576923076923,26,2,4,1,1,2.214,474,634,74.763406940063,223,251,132,19,11,34.375,35,12,1,1,1,6,24.0,35,8,62,43.356643356643,14,35.0,1726,5.7142857142857,0,0,0,0,0,0,24,50.0,13,0,1,25,261,8,43,21,924,16,18,0,0,19,4,13,0,0,3,0,0,0,0,0,0,22,0.0,19,32,25,48,24,21,60.0,0,282,352,0,2.8428,58,4,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierrick Capelle,209768,Ligue 1 25/26,Ligue 1,Angers,6.7111111111111,9,0,1,0,0,0.25096849,69,87,79.310344827586,35,34,16,3,2,50.0,13,3,0,0,0,3,33.333333333333,3,0,23,63.888888888889,3,60.0,257,0.0,0,0,0,0,1,0,4,57.142857142857,7,0,0,4,35,1,5,4,152,9,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0.0,3,4,9,7,2,9,69.230769230769,0,42,45,0,0.1706,10,0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlens Arcus,794373,Ligue 1 25/26,Ligue 1,Angers,6.6791666666667,24,0,3,0,3,1.4918971,962,1098,87.613843351548,589,373,151,16,2,40.0,36,31,6,0,0,11,28.947368421053,9,1,54,50.467289719626,25,64.102564102564,2015,0.0,0,0,0,1,0,0,42,48.837209302326,65,0,3,6,210,5,58,29,1533,16,31,0,0,14,0,2,0,0,7,0,0,0,0,0,0,24,0.0,16,5,38,86,27,27,75.0,0,632,466,1,0.2864,91,2,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ousmane Camara,1049538,Ligue 1 25/26,Ligue 1,Angers,6.9407407407407,27,1,0,0,0,0.23574898,1105,1214,91.021416803954,880,225,29,4,3,60.0,43,31,2,0,0,0,0.0,8,3,52,67.532467532468,42,50.602409638554,2314,12.5,0,0,0,0,0,0,37,42.528735632184,150,1,0,2,131,1,46,26,1563,7,17,0,0,7,1,1,0,0,10,0,0,0,0,0,0,26,0.0,4,5,3,87,30,30,69.767441860465,0,921,293,0,0.3181,100,23,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Lefort,363042,Ligue 1 25/26,Ligue 1,Angers,6.7821428571429,28,0,3,0,2,1.20782388,1422,1637,86.866218692731,1104,318,86,7,7,70.0,38,40,2,0,0,8,50.0,9,1,59,57.843137254902,30,60.0,2520,0.0,0,0,0,1,1,0,83,41.089108910891,145,0,3,7,259,1,139,61,2033,15,17,0,0,16,2,1,0,0,10,0,0,0,0,0,0,28,0.0,7,10,16,202,37,22,57.894736842105,0,1185,452,2,0.521,107,12,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacques Ekomié,1170532,Ligue 1 25/26,Ligue 1,Angers,6.608,25,0,1,4,0,0.98102015,517,634,81.545741324921,297,220,89,11,10,37.037037037037,46,26,3,0,0,8,17.021276595745,8,3,80,53.333333333333,22,55.0,1765,0.0,0,0,0,1,0,0,12,37.5,44,0,1,23,269,4,29,14,1150,24,23,0,0,9,2,2,0,0,5,0,0,0,0,0,0,20,0.0,11,27,47,32,25,29,63.04347826087,0,346,288,0,0.9499,95,7,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilian Raolisoa,1462778,Ligue 1 25/26,Ligue 1,Angers,6.8461538461538,26,2,6,0,2,1.91452464,365,490,74.489795918367,175,190,93,18,12,38.709677419355,41,11,3,0,0,14,19.178082191781,15,5,65,48.148148148148,26,59.090909090909,1468,13.333333333333,0,0,0,0,1,0,21,42.0,35,0,0,17,263,6,39,21,842,12,25,0,0,11,0,6,0,0,2,0,0,0,0,0,0,15,0.0,18,31,73,50,20,21,51.219512195122,0,221,269,1,0.7657,59,3,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Sinaté,1493480,Ligue 1 25/26,Ligue 1,Angers,6.4,2,0,0,0,0,0.00852174,14,16,87.5,4,10,5,0,2,66.666666666667,0,0,0,0,0,0,0.0,1,0,2,50.0,0,0.0,30,0.0,0,0,0,0,0,0,1,100.0,0,0,0,0,5,0,1,1,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,1,1,2,0,0.0,0,5,11,0,0.1218,1,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdoulaye Bamba,121180,Ligue 1 25/26,Ligue 1,Angers,6.9,2,0,0,0,0,0.00527502,21,30,70.0,12,9,1,0,0,0.0,1,2,0,0,0,0,0.0,1,1,1,50.0,4,80.0,100,0.0,0,0,0,0,0,0,0,0.0,4,0,0,0,12,0,2,0,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1,4,2,1,100.0,0,16,14,0,0.0176,2,2,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
