İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Eliesse Ben Seghir,1394353,Ligue 1 25/26,Ligue 1,AS Monaco,6.4,2,0,0,0,0,0.01668643,19,25,76.0,10,9,2,0,1,100.0,2,0,0,0,0,0,0.0,1,0,4,57.142857142857,0,0.0,43,0.0,0,0,0,0,0,0,1,33.333333333333,0,0,1,1,9,0,2,0,34,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,3,2,0,0.0,0,10,15,0,0.0592,2,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansu Fati,962883,Ligue 1 25/26,Ligue 1,AS Monaco,6.8263157894737,19,8,3,9,0,1.08067956,210,256,82.03125,73,137,75,10,10,45.454545454545,11,3,1,0,0,2,100.0,29,17,25,47.169811320755,10,52.631578947368,707,27.586206896552,4,3,0,0,0,0,10,62.5,8,0,1,4,88,3,23,16,392,4,7,0,0,7,2,5,0,0,0,0,0,0,0,0,0,6,0.0,10,22,2,16,10,7,63.636363636364,0,81,175,1,8.5112,27,0,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Folarin Balogun,934237,Ligue 1 25/26,Ligue 1,AS Monaco,6.7708333333333,24,10,7,10,4,1.48412827,230,314,73.248407643312,80,150,90,17,13,43.333333333333,5,4,4,1,1,2,15.384615384615,60,26,47,37.007874015748,21,36.842105263158,1727,16.666666666667,2,2,2,0,0,0,3,60.0,7,0,2,26,195,17,12,4,579,30,35,2,0,5,12,11,0,0,2,0,0,0,0,0,0,20,0.0,17,30,13,5,23,5,100.0,0,94,220,0,10.3925,44,2,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mika Biereth,1083007,Ligue 1 25/26,Ligue 1,AS Monaco,6.5115384615385,26,2,4,4,2,1.43949537,114,191,59.685863874346,41,73,54,20,4,30.769230769231,11,0,0,0,0,2,28.571428571429,19,7,29,36.708860759494,14,24.137931034483,1045,10.526315789474,0,0,0,0,0,0,1,33.333333333333,5,0,0,22,148,11,12,7,346,14,16,0,0,8,8,7,1,0,0,0,0,0,0,0,0,12,0.0,19,13,7,3,21,7,63.636363636364,0,52,139,0,3.3054,29,2,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris Brunner,1403216,Ligue 1 25/26,Ligue 1,AS Monaco,6.34,5,0,0,0,0,0.02508896,14,22,63.636363636364,2,12,5,0,1,25.0,2,1,1,0,0,0,0.0,2,0,4,20.0,2,100.0,113,0.0,0,0,0,0,0,0,1,50.0,0,0,0,2,21,1,1,1,46,1,8,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0,4,1,2,2,2,100.0,0,4,18,0,0.1314,4,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pogba,111802,Ligue 1 25/26,Ligue 1,AS Monaco,6.9,3,0,0,0,0,0.04030474,29,33,87.878787878788,12,17,9,0,0,0.0,3,1,0,0,0,1,100.0,0,0,3,75.0,3,100.0,43,0.0,0,0,0,0,0,0,4,66.666666666667,2,0,0,0,10,1,5,3,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,6,0,3,100.0,0,12,21,0,0.0,7,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Adingra,1110842,Ligue 1 25/26,Ligue 1,AS Monaco,6.775,8,3,0,1,0,0.20982485,124,166,74.698795180723,51,73,50,3,14,33.333333333333,5,3,0,0,0,1,12.5,10,3,22,29.333333333333,3,37.5,457,30.0,0,0,0,0,0,0,1,25.0,3,0,0,11,103,6,11,1,295,3,4,1,0,10,1,3,0,0,0,0,0,0,0,0,0,5,0.0,3,42,8,4,5,5,100.0,0,62,104,1,1.6301,33,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamine Camara,1389846,Ligue 1 25/26,Ligue 1,AS Monaco,7.1315789473684,19,0,7,1,4,3.296587,800,938,85.287846481876,355,445,180,27,13,50.0,44,35,5,0,0,22,29.333333333333,17,1,98,60.493827160494,16,48.484848484848,1478,0.0,0,0,0,0,5,0,48,61.538461538462,16,0,3,16,270,17,63,36,1329,41,22,0,0,16,0,6,0,0,6,0,0,0,0,0,0,17,0.0,27,26,75,78,15,26,59.090909090909,0,393,545,0,1.4121,134,4,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krépin Diatta,873534,Ligue 1 25/26,Ligue 1,AS Monaco,6.93125,16,0,4,0,1,2.13718683,289,376,76.86170212766,109,180,75,12,5,62.5,31,16,2,0,0,9,28.125,5,1,45,68.181818181818,21,65.625,891,0.0,0,0,0,1,0,0,12,38.709677419355,28,0,0,3,140,2,32,17,635,9,8,0,0,10,4,2,0,0,1,0,0,0,0,0,0,9,0.0,12,8,32,31,14,18,58.064516129032,0,131,245,1,0.6282,49,3,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandr Golovin,318963,Ligue 1 25/26,Ligue 1,AS Monaco,6.8904761904762,21,5,2,3,5,1.6499145,533,646,82.50773993808,166,367,224,21,19,65.51724137931,24,22,2,0,1,6,19.354838709677,31,18,59,46.825396825397,5,26.315789473684,1487,16.129032258065,0,0,0,0,1,0,20,60.606060606061,11,0,1,15,209,14,53,26,943,16,26,0,0,17,2,7,0,0,3,0,0,0,0,0,0,19,0.0,21,29,31,33,17,16,66.666666666667,1,193,453,2,3.5425,70,5,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takumi Minamino,155818,Ligue 1 25/26,Ligue 1,AS Monaco,6.6133333333333,15,3,3,4,2,1.99362734,226,308,73.376623376623,78,148,86,9,4,33.333333333333,3,4,4,0,0,0,0.0,21,7,15,28.301886792453,6,42.857142857143,961,14.285714285714,0,0,0,1,0,0,7,43.75,5,0,0,8,134,14,21,8,446,8,10,0,0,12,3,6,0,0,1,0,0,0,0,0,0,11,0.0,9,12,8,16,14,2,66.666666666667,0,97,211,1,3.1756,39,2,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maghnes Akliouche,1130939,Ligue 1 25/26,Ligue 1,AS Monaco,7.06,25,6,7,6,3,4.0188089,761,901,84.461709211987,222,539,320,31,19,42.222222222222,35,15,2,0,0,8,28.571428571429,42,15,84,46.153846153846,3,15.789473684211,1977,14.285714285714,0,0,1,0,0,0,36,78.260869565217,12,1,0,32,290,24,63,43,1292,30,20,1,0,22,9,13,0,0,3,0,0,0,0,0,0,23,0.0,31,45,28,46,29,20,57.142857142857,0,246,655,2,6.7128,125,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denis Zakaria,770677,Ligue 1 25/26,Ligue 1,AS Monaco,6.9666666666667,18,2,1,2,1,0.72130925,724,772,93.782383419689,381,343,109,5,7,53.846153846154,24,25,3,1,1,1,14.285714285714,13,2,34,50.746268656716,13,56.521739130435,1493,15.384615384615,0,0,0,0,0,0,16,59.259259259259,50,0,2,7,85,2,12,7,988,3,14,1,0,7,0,4,0,0,3,0,0,0,0,0,0,17,0.0,5,13,7,27,17,17,70.833333333333,0,395,377,2,1.4013,65,11,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamadou Coulibaly,1410148,Ligue 1 25/26,Ligue 1,AS Monaco,6.8555555555556,18,3,3,1,3,1.51187002,502,588,85.374149659864,254,248,107,12,13,43.333333333333,33,16,5,1,1,1,12.5,9,4,60,46.153846153846,10,37.037037037037,1213,33.333333333333,0,0,0,0,0,0,28,68.292682926829,18,0,0,12,157,7,28,17,819,14,28,0,0,14,2,3,0,0,1,0,0,0,0,0,0,14,0.0,12,30,8,41,24,18,54.545454545455,0,273,315,1,1.3874,79,2,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aladji Bamba,1868591,Ligue 1 25/26,Ligue 1,AS Monaco,6.8615384615385,13,0,3,0,0,1.26455145,275,322,85.403726708075,140,135,52,5,7,63.636363636364,23,3,2,0,0,2,66.666666666667,0,0,43,56.578947368421,11,55.0,536,0.0,0,0,0,0,0,0,9,90.0,12,0,1,8,72,3,13,9,430,13,14,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0.0,5,11,3,10,6,16,69.565217391304,0,153,169,0,0.0,34,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
