İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Václav Sejk,983068,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Heerenveen,6.5235294117647,17,3,2,2,1,0.65344327,62,109,56.880733944954,25,37,29,10,3,33.333333333333,7,1,1,0,0,0,0.0,14,6,17,36.170212765957,20,42.553191489362,471,21.428571428571,0,0,0,0,0,0,2,50.0,3,0,0,5,81,4,3,1,201,7,16,0,0,3,2,4,0,0,0,0,0,0,0,0,0,3,0.0,10,9,2,4,10,4,57.142857142857,0,38,71,0,2.0799,20,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Vente,825843,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Heerenveen,6.38,25,6,2,9,2,1.5086941,279,419,66.587112171838,90,189,127,20,2,18.181818181818,11,4,1,0,0,3,37.5,57,21,29,38.666666666667,41,31.782945736434,1798,10.526315789474,2,2,0,0,4,0,7,33.333333333333,34,0,0,14,212,7,23,8,666,16,18,1,0,6,9,16,0,0,0,0,0,0,0,0,0,20,0.0,20,11,8,21,33,6,54.545454545455,0,118,301,1,9.5518,38,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amourricho van Axel-Dongen,1022376,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Heerenveen,6.6285714285714,7,1,0,2,0,0.02304258,14,22,63.636363636364,5,9,6,0,4,36.363636363636,0,1,0,0,0,0,0.0,6,2,8,34.782608695652,3,30.0,119,16.666666666667,0,0,0,0,0,0,2,66.666666666667,0,0,0,3,23,2,1,1,58,4,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0.0,0,11,2,3,3,0,0.0,0,7,15,0,1.0664,9,2,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasse Selvåg Nordås,1028070,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Heerenveen,6.9272727272727,11,6,1,2,1,1.2115373,112,171,65.497076023392,40,72,44,8,6,46.153846153846,6,2,1,0,0,0,0.0,30,14,19,33.333333333333,32,45.070422535211,695,20.0,1,1,0,0,0,0,0,0.0,11,0,0,12,116,2,3,0,327,7,18,1,0,2,2,6,0,0,0,0,0,0,0,0,0,8,0.0,8,13,1,0,11,5,83.333333333333,0,53,118,0,5.7505,17,3,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Trenskow,1015627,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Heerenveen,7.2857142857143,28,12,8,6,3,7.49471052,608,720,84.444444444444,182,426,297,58,18,42.857142857143,18,14,0,0,0,20,19.230769230769,75,35,49,40.833333333333,11,31.428571428571,2256,16.0,0,0,0,0,3,0,18,60.0,32,0,0,31,306,15,39,23,1169,13,10,3,0,6,3,27,1,0,1,0,0,0,0,0,0,27,0.0,57,42,104,30,37,14,77.777777777778,0,208,512,3,8.3229,87,2,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ringo Meerveld,992018,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Heerenveen,6.98,25,5,8,6,3,5.8503518,539,666,80.930930930931,196,343,217,35,44,62.857142857143,21,7,1,0,0,10,50.0,45,16,82,51.898734177215,13,41.935483870968,2041,11.111111111111,0,0,0,0,0,0,20,46.511627906977,12,0,0,29,236,20,42,17,1001,17,12,1,0,10,0,15,0,0,1,0,0,0,0,0,0,24,0.0,35,70,20,43,35,16,76.190476190476,0,225,441,3,5.2622,108,0,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca Oyen,996986,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Heerenveen,6.28,5,0,0,0,0,0.16545882,49,62,79.032258064516,15,34,27,2,6,50.0,2,0,0,0,0,0,0.0,9,1,9,39.130434782609,1,25.0,202,0.0,0,0,0,0,0,0,1,33.333333333333,0,0,0,6,43,5,1,0,120,1,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0.0,2,12,5,3,6,1,50.0,0,16,46,0,0.8296,15,0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Linday,1627623,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Heerenveen,6.8518518518519,27,0,3,1,2,2.49926853,811,951,85.27865404837,362,449,225,25,9,39.130434782609,60,21,6,0,0,1,25.0,16,1,98,57.988165680473,19,48.717948717949,1871,0.0,0,0,1,0,0,0,19,47.5,32,0,0,10,197,15,39,20,1247,30,27,1,0,20,0,8,0,0,1,0,0,0,0,0,0,22,0.0,25,23,4,40,35,35,58.333333333333,0,413,538,0,1.158,101,2,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eser Gürbüz,1586644,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Heerenveen,6.625,12,1,0,1,0,0.45617355,45,65,69.230769230769,12,33,21,4,14,53.846153846154,4,0,1,0,0,2,10.0,11,6,20,43.478260869565,3,50.0,285,9.0909090909091,0,0,0,0,1,0,0,0.0,0,0,0,6,70,2,4,2,170,2,7,0,0,2,0,4,1,0,0,0,0,0,0,0,0,1,0.0,3,26,20,0,4,2,50.0,0,16,49,0,1.3576,10,0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luuk Brouwers,794014,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Heerenveen,7.02,25,5,4,5,4,3.03947725,670,797,84.065244667503,313,357,198,24,9,64.285714285714,39,12,1,0,1,0,0.0,34,11,67,53.174603174603,32,60.377358490566,1798,14.705882352941,0,0,2,0,0,0,29,72.5,39,1,1,13,179,9,41,22,1068,19,23,1,0,19,7,10,0,0,1,0,0,0,0,0,0,20,0.0,24,14,5,40,33,21,53.846153846154,1,361,436,1,3.6124,76,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
