İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Jochem Ritmeester van de Kamp,1157777,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,7.2083333333333,24,7,3,1,1,1.87920915,478,600,79.666666666667,186,292,186,34,11,68.75,35,25,3,0,0,8,19.047619047619,22,12,71,59.166666666667,19,47.5,1902,31.818181818182,0,0,1,0,0,0,22,62.857142857143,38,0,0,9,207,13,32,23,933,26,15,0,0,20,3,6,0,0,0,0,0,0,0,0,0,22,0.0,34,16,42,35,36,20,57.142857142857,0,223,377,3,2.9507,86,4,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kay Tejan,860158,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.6181818181818,22,3,1,8,1,0.75605281,94,148,63.513513513514,29,65,36,6,8,44.444444444444,8,3,3,0,0,2,25.0,26,14,20,27.397260273973,27,48.214285714286,693,11.538461538462,0,0,0,0,0,0,7,53.846153846154,8,0,0,14,116,2,10,4,300,4,24,1,0,7,10,5,0,0,0,0,0,0,0,0,0,5,0.0,6,18,8,13,21,5,62.5,0,34,114,0,4.808,25,2,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sem van Duijn,1548834,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.9,9,2,2,5,2,1.50216051,103,149,69.127516778523,32,71,40,12,6,50.0,9,4,1,0,0,1,20.0,14,3,15,33.333333333333,11,44.0,630,14.285714285714,0,0,0,0,0,0,5,55.555555555556,19,0,0,5,93,3,9,5,285,0,10,0,0,10,0,5,1,0,1,0,0,0,0,0,0,7,0.0,11,12,5,9,12,5,55.555555555556,0,44,105,2,3.0312,23,1,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soufiane Hetli,1548838,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.6269230769231,26,3,1,5,0,1.14941644,265,333,79.57957957958,92,173,108,13,17,28.813559322034,22,6,2,0,0,3,21.428571428571,46,11,72,39.344262295082,4,25.0,1474,6.5217391304348,1,0,0,0,0,0,18,72.0,9,0,2,43,221,17,21,11,676,33,17,2,0,12,8,17,0,0,0,0,0,0,0,0,0,18,0.0,13,59,14,25,24,16,72.727272727273,0,113,220,0,4.6583,82,0,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nökkvi Þórisson,987077,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.55,14,1,1,3,1,0.71934991,65,97,67.010309278351,19,46,35,6,4,44.444444444444,4,0,0,0,0,0,0.0,16,8,12,28.571428571429,12,38.709677419355,480,6.25,0,0,0,0,0,0,0,0.0,4,0,0,10,65,1,6,3,177,4,14,0,0,3,8,7,0,0,0,0,0,0,0,0,0,7,0.0,6,9,1,2,5,1,25.0,0,22,75,0,1.6559,8,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Brouwer,1066319,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.996,25,7,5,9,4,3.6093819,320,450,71.111111111111,95,225,154,29,14,42.424242424242,29,14,1,0,0,0,0.0,44,20,69,46.621621621622,14,35.0,1854,15.909090909091,0,0,0,0,0,0,20,54.054054054054,18,0,2,21,241,9,19,8,772,26,18,1,0,22,10,10,0,0,0,0,0,0,0,0,0,23,0.0,29,33,25,37,32,19,65.51724137931,0,126,324,2,7.7589,74,2,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelani Seedorf,2007289,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.6285714285714,7,0,1,3,0,0.19018692,15,25,60.0,7,8,7,2,0,0.0,4,0,1,0,0,1,100.0,5,3,5,45.454545454545,8,57.142857142857,133,0.0,0,0,0,0,0,0,2,66.666666666667,2,0,0,0,23,0,0,0,63,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,1,3,3,3,75.0,0,10,15,0,0.9391,5,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Hamdaoui,581080,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.4142857142857,7,0,0,1,0,0.07569378,21,22,95.454545454545,7,14,10,1,1,50.0,3,0,0,1,1,0,0.0,6,0,6,54.545454545455,0,0.0,82,0.0,0,0,0,0,0,0,1,50.0,2,0,0,2,15,0,2,2,56,2,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0.0,1,2,6,2,1,1,33.333333333333,0,7,15,0,0.395,4,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedric Hatenboer,1638564,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.8090909090909,11,0,2,0,0,1.09443479,334,435,76.781609195402,141,193,98,12,10,45.454545454545,20,7,0,1,1,7,33.333333333333,12,3,39,46.987951807229,7,63.636363636364,836,0.0,0,0,0,0,0,0,36,55.384615384615,13,0,0,11,156,7,56,27,607,9,9,0,0,12,0,1,0,0,0,0,0,0,0,0,0,11,0.0,12,22,21,65,13,13,65.0,0,170,265,0,0.4112,48,2,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Owusu,1084609,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.8,18,2,4,1,0,1.1729367,456,564,80.851063829787,174,282,153,11,21,48.837209302326,23,10,2,0,0,4,40.0,19,8,61,47.65625,10,43.478260869565,1358,10.526315789474,0,0,0,0,1,0,20,50.0,8,0,1,25,196,19,30,16,811,17,11,0,0,9,2,4,0,0,2,0,0,0,0,0,0,17,0.0,11,43,10,40,21,13,56.521739130435,0,198,366,0,1.5093,95,4,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrese Noslin,1469336,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.7793103448276,29,1,5,6,2,2.14749052,394,570,69.122807017544,184,210,129,16,16,30.188679245283,52,28,4,0,0,12,22.222222222222,36,16,105,49.763033175355,14,42.424242424242,1940,2.7777777777778,0,0,0,1,0,0,39,38.235294117647,63,0,2,18,355,12,38,16,1233,38,31,0,0,25,4,9,0,0,2,0,0,0,0,0,0,21,0.0,16,53,54,102,35,37,71.153846153846,0,232,338,1,2.2515,103,11,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nils Rossen,1150154,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.92,25,3,1,0,1,1.54022232,651,756,86.111111111111,340,311,166,14,7,58.333333333333,26,25,0,0,0,0,0.0,8,4,57,55.882352941176,14,41.176470588235,2211,37.5,0,0,0,1,0,0,53,68.831168831169,38,0,0,13,149,13,40,23,1009,24,19,0,0,10,1,3,0,0,4,0,0,0,0,0,0,25,0.0,14,12,2,77,38,14,53.846153846154,0,373,383,0,0.8804,123,13,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Hardeveld,385300,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,7.2448275862069,29,4,20,2,6,7.3852849,723,1022,70.743639921722,322,401,249,54,15,48.387096774194,69,29,1,0,0,47,31.543624161074,24,11,92,53.179190751445,28,45.901639344262,2529,16.666666666667,0,0,0,0,2,0,55,32.352941176471,109,0,2,8,499,4,112,46,1784,9,28,0,0,29,2,3,1,0,4,0,0,0,0,0,0,29,0.0,53,31,149,170,46,41,59.420289855072,0,406,616,3,3.0508,103,19,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Mertens,995365,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.5529411764706,17,0,0,1,0,0.5230132,108,136,79.411764705882,38,70,48,4,9,60.0,20,3,2,0,0,2,18.181818181818,8,1,37,52.857142857143,7,38.888888888889,486,0.0,0,0,0,0,0,0,4,36.363636363636,9,0,1,12,66,8,14,8,270,8,12,0,0,3,3,5,0,0,0,0,0,0,0,0,0,4,0.0,4,15,11,11,16,10,50.0,0,47,89,0,0.5506,35,4,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rojendro Oudsten,1469273,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,SC Telstar,6.5,4,0,0,0,0,0.00957468,24,32,75.0,11,13,7,1,1,50.0,4,0,1,0,0,0,0.0,2,1,5,71.428571428571,1,25.0,92,0.0,0,0,0,0,0,0,1,33.333333333333,6,0,0,0,13,0,2,1,52,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,2,1,3,2,3,75.0,0,14,18,0,0.1917,3,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
