İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Yuki Ohashi,965226,Championship 25/26,Championship,Blackburn Rovers,6.5512195121951,41,8,2,12,1,1.55566296,445,650,68.461538461538,104,341,215,25,28,38.356164383562,38,15,5,0,0,2,7.1428571428571,88,30,104,38.661710037175,95,33.450704225352,3017,9.0909090909091,1,1,1,0,0,0,14,48.275862068966,50,0,0,46,437,41,24,13,1267,42,53,0,0,26,22,31,0,0,6,0,0,0,0,0,0,34,0.0,25,73,28,29,35,18,47.368421052632,0,143,507,0,12.0749,95,3,41,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andri Guðjohnsen,982523,Championship 25/26,Championship,Blackburn Rovers,6.588,25,7,2,8,0,1.31797775,266,397,67.002518891688,69,197,118,17,6,40.0,4,2,1,0,0,1,33.333333333333,29,13,30,36.144578313253,66,37.931034482759,1553,24.137931034483,0,0,0,0,0,0,7,41.176470588235,17,0,0,24,212,13,13,10,603,21,22,0,0,2,3,2,1,0,1,0,0,0,0,0,0,18,0.0,16,15,3,17,20,1,25.0,0,92,305,0,6.3185,57,3,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augustus Kargbo,917327,Championship 25/26,Championship,Blackburn Rovers,6.65,10,1,1,3,1,0.64033497,52,78,66.666666666667,16,36,22,4,7,41.176470588235,7,2,0,0,0,5,33.333333333333,10,3,23,42.592592592593,4,28.571428571429,445,10.0,0,0,0,0,0,0,1,25.0,3,0,0,13,80,3,5,2,193,10,7,2,0,1,4,1,0,0,0,0,0,0,0,0,0,3,0.0,4,17,15,4,5,5,71.428571428571,0,20,58,0,1.6518,23,0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathias Jørgensen,930961,Championship 25/26,Championship,Blackburn Rovers,6.6625,16,5,1,3,0,0.29101935,111,158,70.253164556962,45,66,39,3,1,12.5,4,0,0,0,0,1,9.0909090909091,14,7,7,30.434782608696,7,14.0,991,35.714285714286,0,0,0,0,0,0,3,37.5,12,0,0,6,85,3,4,1,258,2,1,0,0,2,6,4,0,0,1,0,0,0,0,0,0,10,0.0,3,8,11,8,13,2,50.0,0,51,107,2,3.7829,28,3,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oladapo Afolayan,871621,Championship 25/26,Championship,Blackburn Rovers,6.7142857142857,7,0,0,0,0,0.54822256,47,63,74.603174603175,21,26,17,2,4,44.444444444444,3,3,0,0,0,5,62.5,1,0,14,56.0,4,44.444444444444,154,0.0,0,0,0,0,0,0,2,33.333333333333,8,0,0,2,41,0,5,2,126,7,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0.0,2,9,8,6,3,2,66.666666666667,0,23,40,0,0.015,10,1,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Dlamini,1899688,Championship 25/26,Championship,Blackburn Rovers,6.4,2,0,0,0,0,0.00957273,7,10,70.0,1,6,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,26,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,1,9,0,0.0,1,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Todd Cantwell,907070,Championship 25/26,Championship,Blackburn Rovers,7.092,25,5,3,2,3,4.49313707,840,1034,81.237911025145,346,494,270,41,24,42.857142857143,39,21,9,0,0,41,29.92700729927,42,14,112,49.777777777778,12,36.363636363636,1925,11.904761904762,1,1,0,0,3,0,51,56.666666666667,15,0,0,29,426,15,74,31,1590,49,24,0,0,29,4,16,2,0,6,0,0,0,0,0,0,21,0.0,39,56,137,90,22,26,66.666666666667,0,384,650,3,3.5331,124,0,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryoya Morishita,1020075,Championship 25/26,Championship,Blackburn Rovers,6.840625,32,2,12,4,8,5.8111871,583,752,77.526595744681,186,397,252,38,25,40.322580645161,30,8,2,0,0,20,23.255813953488,42,11,86,44.791666666667,20,42.553191489362,2264,4.7619047619048,0,0,0,0,0,0,23,46.938775510204,13,0,0,25,377,13,35,11,1218,32,27,1,0,17,4,16,0,0,3,0,0,0,0,0,0,29,0.0,38,62,86,49,23,20,66.666666666667,0,225,527,2,3.9462,102,0,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Alebiosu,1014441,Championship 25/26,Championship,Blackburn Rovers,6.8764705882353,34,1,10,0,3,5.31595533,648,836,77.511961722488,272,376,227,34,27,43.548387096774,62,24,3,0,0,37,21.637426900585,18,3,95,53.370786516854,19,32.758620689655,2810,5.5555555555556,0,0,0,0,0,0,33,34.736842105263,76,1,0,13,444,9,75,37,1521,6,24,0,0,13,5,7,0,0,8,0,0,0,0,0,0,32,0.0,34,62,171,95,33,42,67.741935483871,0,328,508,0,0.6706,107,8,34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Redmond,115346,Championship 25/26,Championship,Blackburn Rovers,6.4,5,0,0,0,0,0.0450081,36,49,73.469387755102,18,18,13,0,0,0.0,2,1,0,0,0,0,0.0,2,0,4,36.363636363636,0,0.0,103,0.0,0,0,0,0,0,0,3,50.0,1,1,0,2,20,0,0,0,70,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,2,6,5,1,50.0,0,24,25,0,0.0594,5,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Henriksson,1109969,Championship 25/26,Championship,Blackburn Rovers,6.35,18,0,1,1,0,0.85554711,132,190,69.473684210526,42,90,56,14,4,30.769230769231,12,3,2,0,0,1,11.111111111111,10,4,23,32.857142857143,22,37.931034482759,776,0.0,0,0,0,0,0,0,5,50.0,5,0,0,6,107,6,10,4,312,7,24,0,1,10,3,1,0,0,1,0,0,0,0,0,0,9,0.0,14,13,9,10,13,7,58.333333333333,0,56,134,0,1.1729,26,0,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sondre Tronstad,228374,Championship 25/26,Championship,Blackburn Rovers,7.0689655172414,29,0,2,0,2,1.43472812,1198,1389,86.249100071994,540,658,306,18,27,72.972972972973,67,33,8,0,0,1,20.0,21,4,114,58.461538461538,32,50.793650793651,2386,0.0,0,0,0,0,0,0,84,61.764705882353,36,0,1,14,257,8,93,56,1770,20,24,1,0,33,1,8,0,0,4,0,0,0,0,0,0,28,0.0,18,37,5,136,36,44,65.671641791045,0,598,791,1,1.1592,169,7,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidnei Tavares,989889,Championship 25/26,Championship,Blackburn Rovers,6.5416666666667,12,0,1,0,1,0.09126436,212,256,82.8125,114,98,40,3,1,20.0,8,6,2,0,0,0,0.0,8,0,19,50.0,5,45.454545454545,577,0.0,0,0,0,1,0,0,9,42.857142857143,16,0,0,1,57,0,18,10,337,10,12,0,0,2,0,2,0,0,1,0,0,0,0,0,0,6,0.0,3,5,1,21,8,4,50.0,0,130,126,0,0.2823,31,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Forshaw,103117,Championship 25/26,Championship,Blackburn Rovers,6.8705882352941,17,0,1,0,0,0.4108938,404,478,84.518828451883,194,210,95,4,5,55.555555555556,30,11,5,0,0,3,23.076923076923,6,1,48,64.864864864865,12,52.173913043478,901,0.0,0,0,0,0,2,0,22,59.459459459459,22,0,0,3,111,5,36,15,643,13,11,0,0,9,0,4,0,0,3,0,0,0,0,0,0,11,0.0,4,9,13,37,5,16,53.333333333333,0,215,263,0,0.3382,55,3,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
