İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Ben Godfrey,754698,Championship 25/26,Championship,Sheffield United,6.4,4,0,0,0,0,0.06406708,107,132,81.060606060606,43,64,25,1,0,0.0,7,4,0,0,0,1,20.0,1,0,7,43.75,10,62.5,318,0.0,0,0,0,0,0,0,2,22.222222222222,14,0,0,2,40,0,8,2,217,0,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,4,0.0,1,0,5,9,7,5,71.428571428571,0,49,83,0,0.1819,6,4,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Bamford,204336,Championship 25/26,Championship,Sheffield United,6.8347826086957,23,9,4,10,0,1.80082329,142,217,65.437788018433,29,113,84,14,8,50.0,12,7,1,0,1,1,50.0,49,26,49,40.16393442623,36,42.352941176471,1379,18.367346938776,0,0,0,0,0,0,4,80.0,14,0,0,30,177,13,4,1,482,29,27,0,0,10,15,8,0,0,0,0,0,0,0,0,0,17,0.0,14,16,2,5,20,8,66.666666666667,1,40,177,1,9.3762,27,1,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Ings,130181,Championship 25/26,Championship,Sheffield United,6.5222222222222,18,1,2,6,0,0.3330178,67,100,67.0,16,51,32,3,4,44.444444444444,3,0,0,0,0,0,0.0,15,3,13,36.111111111111,9,45.0,539,6.6666666666667,0,0,1,0,1,0,1,25.0,2,0,0,9,68,3,9,3,182,6,5,0,0,4,7,3,0,0,1,0,0,0,0,0,0,5,0.0,3,9,5,4,3,1,33.333333333333,0,23,77,0,3.6882,13,2,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Cannon,1005766,Championship 25/26,Championship,Sheffield United,6.5424242424242,33,5,0,4,1,0.41558276,126,227,55.506607929515,32,94,62,5,1,11.111111111111,6,1,2,0,0,0,0.0,34,14,18,28.125,53,38.970588235294,1572,14.705882352941,0,0,0,0,0,0,3,37.5,15,0,0,10,163,5,6,2,402,11,23,0,0,5,8,10,0,0,0,0,0,0,0,0,0,17,0.0,5,9,4,8,20,3,50.0,0,48,179,0,3.8961,22,2,33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrese Campbell,826145,Championship 25/26,Championship,Sheffield United,6.6529411764706,34,6,4,5,2,1.58743343,202,301,67.109634551495,57,145,101,15,14,38.888888888889,14,1,4,0,0,2,12.5,44,13,35,29.166666666667,48,55.172413793103,1886,13.636363636364,0,0,0,0,0,0,5,83.333333333333,18,0,0,27,214,15,8,4,560,8,34,1,0,4,12,13,0,0,1,0,0,0,0,0,0,21,0.0,15,36,16,6,29,9,64.285714285714,0,72,229,1,5.7138,39,4,34,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalvin Phillips,786028,Championship 25/26,Championship,Sheffield United,6.5333333333333,3,0,0,0,0,0.01892415,60,75,80.0,32,28,4,1,1,50.0,10,0,2,1,1,0,0.0,0,0,13,56.521739130435,3,50.0,161,0.0,0,0,0,0,0,0,3,50.0,4,0,0,2,22,2,6,4,104,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1,2,0,6,0,7,70.0,0,36,39,0,0.0,12,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahith Chong,825845,Championship 25/26,Championship,Sheffield United,6.6125,16,0,2,1,1,1.41489389,138,164,84.146341463415,24,114,79,8,4,19.047619047619,7,4,0,0,0,3,20.0,6,2,22,37.931034482759,3,27.272727272727,515,0.0,0,0,0,0,0,0,6,54.545454545455,6,0,0,13,80,3,6,4,280,11,3,0,0,3,0,3,0,0,1,0,0,0,0,0,0,5,0.0,8,21,15,11,11,7,100.0,0,34,130,1,0.3352,19,1,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaïro Riedewald,285989,Championship 25/26,Championship,Sheffield United,6.9285714285714,21,2,0,1,0,0.48991024,520,606,85.808580858086,258,262,91,1,2,40.0,30,14,3,0,0,0,0.0,6,2,36,61.016949152542,15,51.724137931034,1345,33.333333333333,0,0,0,0,0,0,16,47.058823529412,34,0,0,2,111,5,14,7,788,4,10,0,0,10,1,2,0,0,1,0,0,0,0,0,0,18,0.0,1,5,2,34,16,19,63.333333333333,0,283,323,1,1.4257,64,8,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Hamer,837495,Championship 25/26,Championship,Sheffield United,7.1838709677419,31,3,15,3,11,6.96747969,755,985,76.649746192893,220,535,351,57,19,50.0,26,15,10,0,0,40,27.972027972028,60,16,73,44.512195121951,7,43.75,2093,5.0,0,0,0,0,5,0,60,48.387096774194,15,0,1,13,409,15,95,46,1433,29,37,3,0,23,3,17,0,0,1,0,0,0,0,0,0,22,0.0,57,38,143,124,36,13,50.0,0,249,736,1,3.0609,95,2,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiedozie Ogbene,849309,Championship 25/26,Championship,Sheffield United,6.7,14,1,1,0,1,1.33362818,215,269,79.925650557621,52,163,102,15,7,30.434782608696,13,3,0,0,0,7,15.909090909091,3,1,35,50.724637681159,15,25.862068965517,867,33.333333333333,0,0,0,0,0,0,4,25.0,12,0,0,8,148,6,6,2,471,15,8,0,0,3,3,1,0,0,1,0,0,0,0,0,0,10,0.0,15,23,44,16,14,11,84.615384615385,0,62,207,0,0.7252,51,0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
