İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Noah Okafor,865523,Premier League 25/26,Premier League,Leeds United,6.8291666666667,24,4,2,3,0,0.97065995,190,251,75.697211155378,58,132,85,14,33,43.421052631579,20,10,3,0,0,6,18.75,27,10,66,42.58064516129,12,41.379310344828,1303,14.814814814815,0,0,0,0,0,0,19,79.166666666667,11,0,0,20,214,7,23,16,560,13,16,0,0,11,0,9,0,0,0,0,0,0,0,0,0,15,0.0,14,76,32,24,24,13,65.0,0,70,181,1,4.2223,46,0,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Calvert-Lewin,372344,Premier League 25/26,Premier League,Leeds United,6.6392857142857,28,10,2,14,1,0.9966737,195,323,60.371517027864,51,144,100,17,6,23.076923076923,10,2,1,0,0,1,12.5,58,26,46,38.01652892562,97,39.591836734694,2119,17.241379310345,3,2,1,0,0,0,4,66.666666666667,26,0,0,24,268,16,10,5,667,30,32,3,0,4,22,6,0,0,3,0,0,0,0,0,0,23,0.0,17,26,8,6,28,4,40.0,0,62,261,1,11.5888,36,5,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilfried Gnonto,998951,Premier League 25/26,Premier League,Leeds United,6.6666666666667,15,0,1,0,1,0.54777641,119,147,80.952380952381,46,73,51,6,1,11.111111111111,14,3,3,0,0,1,6.6666666666667,8,0,23,50.0,1,7.6923076923077,391,0.0,0,0,1,0,0,0,6,75.0,7,0,0,6,66,4,5,2,250,8,7,0,0,2,0,4,0,0,0,0,0,0,0,0,0,4,0.0,6,9,15,8,11,11,78.571428571429,0,52,95,0,0.2751,17,0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukas Nmecha,803185,Premier League 25/26,Premier League,Leeds United,6.6434782608696,23,6,1,6,1,0.90676954,107,168,63.690476190476,38,69,36,6,2,28.571428571429,8,3,0,0,0,0,0.0,22,14,22,37.931034482759,24,35.820895522388,893,27.272727272727,3,2,0,0,0,0,4,80.0,8,0,0,14,119,6,5,2,320,14,16,0,0,3,2,2,0,0,0,0,0,0,0,0,0,9,0.0,6,7,7,5,18,5,62.5,0,47,121,0,6.234,23,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joël Piroe,850823,Premier League 25/26,Premier League,Leeds United,6.4307692307692,13,0,0,1,0,0.12653365,75,90,83.333333333333,33,42,30,1,1,33.333333333333,1,1,0,0,0,1,25.0,11,2,2,16.666666666667,3,18.75,277,0.0,0,0,0,0,0,0,6,85.714285714286,0,0,0,5,30,2,4,3,132,0,3,0,0,1,1,5,0,0,0,0,0,0,0,0,0,2,0.0,1,3,4,7,7,1,100.0,0,37,53,0,0.865,8,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Buonanotte,1117025,Premier League 25/26,Premier League,Leeds United,6.4,3,0,0,0,0,0.10055615,24,30,80.0,4,20,8,2,0,0.0,1,1,1,0,0,0,0.0,1,0,1,16.666666666667,1,100.0,74,0.0,0,0,0,0,0,0,1,50.0,0,0,0,0,12,0,1,0,46,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0.0,2,2,0,2,2,0,0.0,0,5,25,0,0.0401,3,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ao Tanaka,871886,Premier League 25/26,Premier League,Leeds United,6.6578947368421,19,2,1,0,0,0.67358938,331,393,84.223918575064,174,157,82,8,1,20.0,17,12,1,0,0,2,16.666666666667,12,3,22,43.137254901961,9,50.0,775,16.666666666667,0,0,0,0,0,0,9,39.130434782609,7,0,1,4,94,5,20,7,511,4,8,0,0,15,0,1,0,0,1,0,0,0,0,0,0,7,0.0,8,5,12,23,16,8,47.058823529412,0,195,198,0,0.8471,45,1,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel James,828639,Premier League 25/26,Premier League,Leeds United,6.62,15,0,1,2,0,0.59946703,61,95,64.210526315789,12,49,34,8,5,38.461538461538,5,1,0,0,0,5,11.904761904762,10,2,17,53.125,2,40.0,422,0.0,0,0,0,0,0,0,1,25.0,2,0,0,2,93,3,8,4,202,7,1,0,0,4,1,5,0,0,0,0,0,0,0,0,0,4,0.0,8,13,42,4,13,4,80.0,0,19,76,0,0.7045,18,0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilia Gruev,911679,Premier League 25/26,Premier League,Leeds United,6.705,20,0,2,1,3,0.86931622,503,560,89.821428571429,313,190,75,11,6,85.714285714286,24,15,3,0,0,4,26.666666666667,6,1,38,48.717948717949,12,37.5,1306,0.0,0,0,0,0,0,0,19,67.857142857143,16,0,0,5,90,4,28,21,718,9,16,0,0,18,0,1,0,0,2,0,0,0,0,0,0,15,0.0,11,7,15,28,23,12,50.0,0,333,227,0,0.4399,49,6,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Ampadu,847097,Premier League 25/26,Premier League,Leeds United,7.1392857142857,28,1,1,2,1,1.99667558,1168,1376,84.883720930233,624,544,221,16,10,66.666666666667,69,39,7,0,0,9,36.0,20,5,105,63.636363636364,49,67.123287671233,2493,5.0,0,0,0,1,0,0,63,50.0,67,0,3,10,367,12,74,38,1904,28,36,0,0,14,0,7,1,0,4,0,0,0,0,0,0,28,0.0,15,15,25,126,41,38,55.072463768116,0,682,694,3,1.8079,148,14,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
