İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Jahmai Simpson-Pusey,1402924,Premiership 25/26,Scottish Premiership,Celtic,7.3,1,0,0,0,0,0.0391099,71,73,97.260273972603,31,40,21,1,0,0.0,2,1,0,0,0,0,0.0,0,0,2,40.0,3,100.0,64,0.0,0,0,0,0,0,0,3,100.0,4,0,0,0,9,0,3,2,92,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,4,3,0,1,50.0,0,31,42,0,0.0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Idah,879850,Premiership 25/26,Scottish Premiership,Celtic,6.3,2,0,0,3,0,0.05808866,12,20,60.0,3,9,5,0,0,0.0,0,0,1,0,0,0,0.0,6,2,2,22.222222222222,5,83.333333333333,144,0.0,0,0,0,0,0,0,1,100.0,0,0,0,1,18,1,0,0,40,2,4,1,0,1,3,1,0,0,0,0,0,0,0,0,0,2,0.0,0,1,1,1,0,0,0.0,0,4,16,0,0.8124,5,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelechi Iheanacho,359642,Premiership 25/26,Scottish Premiership,Celtic,6.5571428571429,7,3,3,4,0,0.44393739,49,62,79.032258064516,11,38,27,5,4,80.0,2,0,1,0,0,0,0.0,17,6,6,35.294117647059,6,37.5,353,17.647058823529,2,2,0,0,0,0,1,50.0,1,0,0,3,27,1,3,1,109,0,8,2,0,0,2,3,0,0,0,0,0,0,0,0,0,4,0.0,5,5,1,2,6,1,50.0,0,11,51,0,3.9673,3,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daizen Maeda,832420,Premiership 25/26,Scottish Premiership,Celtic,6.6366666666667,30,7,12,22,5,3.61238407,450,543,82.872928176796,144,306,177,30,17,48.571428571429,24,12,3,0,0,10,22.727272727273,54,25,60,34.090909090909,22,44.0,2296,12.962962962963,0,0,1,0,0,0,4,40.0,12,1,0,33,258,11,12,7,951,19,46,3,0,19,12,9,0,0,7,0,0,0,0,0,0,26,0.0,30,35,44,10,26,20,83.333333333333,0,168,375,0,12.4767,79,0,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Nygren,918517,Premiership 25/26,Scottish Premiership,Celtic,7.209375,32,15,8,6,5,6.65314152,853,1037,82.256509161041,284,569,392,52,21,45.652173913043,28,15,3,0,0,27,34.615384615385,75,33,83,48.823529411765,22,38.59649122807,2082,20.0,0,0,0,0,7,1,25,51.020408163265,9,0,0,22,330,26,41,23,1483,35,28,4,0,14,1,20,1,0,5,0,0,0,0,0,0,23,14.285714285714,51,46,78,49,29,17,60.714285714286,0,310,727,7,11.8021,104,2,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yang Hyun-Jun,1103531,Premiership 25/26,Scottish Premiership,Celtic,6.96,25,7,4,10,0,2.61448238,578,726,79.614325068871,142,436,277,14,22,44.0,37,20,1,0,0,5,12.5,38,16,81,50.943396226415,23,47.916666666667,1624,18.421052631579,0,0,1,0,0,0,8,40.0,19,0,0,14,279,14,22,10,1103,22,17,2,0,21,2,10,0,0,0,0,0,0,0,0,0,22,0.0,14,50,40,20,25,27,72.972972972973,0,172,554,4,6.8959,71,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junior Adamu,902381,Premiership 25/26,Scottish Premiership,Celtic,6.45,4,0,0,0,0,0.22019261,28,31,90.322580645161,11,17,8,2,0,0.0,1,1,0,0,0,0,0.0,3,1,3,37.5,4,30.769230769231,134,0.0,0,0,0,0,0,0,1,100.0,2,0,0,0,11,1,0,0,53,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,1,0,1,4,0,0.0,0,12,19,0,0.1604,3,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomáš Čvančara,929163,Premiership 25/26,Scottish Premiership,Celtic,6.6125,8,2,1,4,1,0.98050026,69,95,72.631578947368,23,46,27,5,0,0.0,1,1,2,0,0,0,0.0,19,6,12,36.363636363636,15,41.666666666667,468,10.526315789474,1,1,0,0,0,0,4,100.0,0,0,0,4,61,3,3,3,173,11,8,2,0,2,1,5,0,0,0,0,0,0,0,0,0,6,0.0,5,7,1,4,5,1,100.0,0,27,68,0,4.0305,17,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callum Osmand,1158018,Premiership 25/26,Scottish Premiership,Celtic,6.5,1,0,0,0,0,0.0001112,2,3,66.666666666667,1,1,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,0.0,1,100.0,14,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0.0,0,1,2,0,0.0253,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Tounekti,957143,Premiership 25/26,Scottish Premiership,Celtic,6.95,22,2,3,2,1,4.10891153,528,635,83.149606299213,98,430,312,32,38,42.696629213483,19,6,3,0,0,8,18.181818181818,32,7,71,43.292682926829,13,36.111111111111,1264,6.25,0,0,0,0,0,0,14,63.636363636364,8,0,1,16,252,10,13,7,955,14,14,1,0,13,0,11,0,0,0,0,0,0,0,0,0,15,0.0,32,89,44,22,15,9,47.368421052632,0,119,516,1,2.3417,54,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
