İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Barney Stewart,2029645,Premiership 25/26,Scottish Premiership,Falkirk FC,7.0923076923077,13,8,2,6,2,1.06183932,126,200,63.0,26,100,60,14,2,33.333333333333,11,3,1,0,0,1,14.285714285714,30,15,22,52.380952380952,48,50.0,1069,26.666666666667,0,0,0,0,0,0,1,33.333333333333,13,0,0,5,128,13,1,0,361,9,11,3,0,2,12,4,0,0,1,0,0,0,0,0,0,13,0.0,14,6,7,3,13,7,63.636363636364,0,34,166,3,6.0711,29,2,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Graham,74793,Premiership 25/26,Scottish Premiership,Falkirk FC,6.6782608695652,23,4,0,4,0,0.58046162,90,172,52.325581395349,22,68,41,9,5,45.454545454545,7,2,2,0,0,1,20.0,19,11,22,40.0,39,50.649350649351,777,21.052631578947,1,1,0,0,0,0,7,43.75,9,0,0,11,123,6,17,6,294,10,14,0,0,4,6,5,0,0,1,0,0,0,0,0,0,7,0.0,9,11,5,16,11,3,42.857142857143,0,30,142,1,4.0629,16,0,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louie Marsh,1426132,Premiership 25/26,Scottish Premiership,Falkirk FC,6.8714285714286,7,1,3,1,2,1.00424903,93,116,80.172413793103,32,61,39,8,4,36.363636363636,4,3,1,0,0,0,0.0,11,2,10,31.25,4,33.333333333333,352,9.0909090909091,0,0,0,0,0,0,9,90.0,3,0,0,9,50,4,3,3,181,2,4,0,0,2,1,4,0,0,0,0,0,0,0,0,0,4,0.0,8,11,5,10,5,2,50.0,0,40,76,1,1.4227,27,1,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Maclver,926814,Premiership 25/26,Scottish Premiership,Falkirk FC,6.81,10,3,2,7,1,0.90466088,81,141,57.446808510638,28,53,32,7,3,50.0,6,0,0,0,0,1,50.0,22,11,17,48.571428571429,38,46.341463414634,661,13.636363636364,0,0,0,0,0,0,4,57.142857142857,15,0,1,7,84,5,8,5,236,8,5,1,0,3,7,5,0,0,0,0,0,0,0,0,0,9,0.0,7,6,2,7,12,4,66.666666666667,0,32,109,2,3.1955,15,0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Oliver,339627,Premiership 25/26,Scottish Premiership,Falkirk FC,6.4666666666667,3,0,0,0,0,0.05806088,20,24,83.333333333333,10,10,6,1,0,0.0,1,0,0,0,0,0,0.0,0,0,1,33.333333333333,0,0.0,64,0.0,0,0,0,0,0,0,1,100.0,1,0,0,2,8,0,2,1,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,1,1,100.0,0,11,13,0,0.0,4,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Williams,1475508,Premiership 25/26,Scottish Premiership,Falkirk FC,6.6521739130435,23,1,4,3,3,1.41636443,224,295,75.932203389831,84,140,95,20,11,52.380952380952,15,7,1,0,0,18,27.272727272727,23,7,38,41.758241758242,5,29.411764705882,1070,4.3478260869565,0,0,0,1,1,0,8,25.806451612903,9,0,0,18,182,8,17,7,548,12,8,0,0,18,2,5,0,0,2,0,0,0,0,0,0,11,0.0,20,21,66,31,15,9,60.0,0,101,194,1,2.3146,49,1,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Broggio,1532899,Premiership 25/26,Scottish Premiership,Falkirk FC,7.1,8,3,3,1,1,1.2756102,132,174,75.862068965517,31,101,69,11,7,50.0,7,1,0,0,0,3,25.0,11,4,19,52.777777777778,2,18.181818181818,554,27.272727272727,0,0,0,0,0,0,5,38.461538461538,8,0,1,4,76,4,8,1,270,5,4,1,0,3,1,2,0,0,0,0,0,0,0,0,0,7,0.0,11,14,12,13,7,5,71.428571428571,0,39,135,1,1.6285,27,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Miller,355460,Premiership 25/26,Scottish Premiership,Falkirk FC,6.828125,32,5,13,3,8,6.2578959,495,626,79.073482428115,162,333,227,52,29,35.802469135802,27,18,4,0,0,44,23.280423280423,66,18,89,37.552742616034,17,28.333333333333,2419,7.5757575757576,1,1,0,0,5,0,19,51.351351351351,14,0,1,51,473,17,37,16,1286,33,30,4,0,18,13,24,1,0,1,0,0,0,0,0,0,30,0.0,51,81,189,37,36,17,62.962962962963,0,194,432,4,6.7191,110,4,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Cartwright,1171411,Premiership 25/26,Scottish Premiership,Falkirk FC,6.6296296296296,27,1,0,0,0,0.19892821,324,410,79.024390243902,158,166,80,3,3,33.333333333333,28,11,4,0,0,0,0.0,6,2,43,45.263157894737,15,42.857142857143,1068,16.666666666667,0,0,0,0,0,0,32,45.714285714286,25,1,0,9,126,1,30,14,579,13,26,1,0,12,0,2,0,0,0,0,0,0,0,0,0,10,0.0,3,9,6,70,14,17,60.714285714286,0,178,232,1,0.2405,63,2,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrell Wilson,1400426,Premiership 25/26,Scottish Premiership,Falkirk FC,6.5727272727273,22,2,2,3,1,1.62853199,200,302,66.225165562914,79,121,68,15,23,43.396226415094,48,7,3,0,0,5,16.129032258065,26,8,85,45.945945945946,7,22.58064516129,1237,7.6923076923077,0,0,0,0,0,0,9,28.125,13,0,0,15,234,16,26,7,648,14,31,0,0,25,4,7,0,0,0,0,0,0,0,0,0,16,0.0,15,53,31,32,15,30,62.5,0,99,203,0,3.668,90,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
