İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Jhon Solís,1106573,LaLiga 25/26,LaLiga,Girona FC,6.4818181818182,11,0,0,0,0,0.09082506,145,164,88.414634146341,70,75,36,1,3,27.272727272727,3,4,0,0,0,0,0.0,3,2,13,39.393939393939,2,22.222222222222,384,0.0,0,0,0,0,0,0,3,37.5,8,0,1,3,37,0,3,2,225,7,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1,11,0,8,14,3,100.0,0,76,88,0,0.1635,20,1,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladislav Krejčí,856250,LaLiga 25/26,LaLiga,Girona FC,5.7,2,0,0,0,0,0.00741414,92,104,88.461538461538,65,27,5,0,0,0.0,2,1,1,0,0,0,0.0,1,0,2,40.0,3,50.0,180,0.0,0,0,0,0,0,0,2,22.222222222222,1,0,0,0,13,0,3,1,119,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,9,8,0,0.0,0,68,36,0,0.1212,6,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bojan Miovski,945768,LaLiga 25/26,LaLiga,Girona FC,6.4,1,0,0,0,0,6.417e-05,2,3,66.666666666667,2,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,44,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,0,0,2,0,0.0,0,2,1,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladyslav Vanat,976374,LaLiga 25/26,LaLiga,Girona FC,6.6576923076923,26,9,3,9,1,1.2943026,213,273,78.021978021978,110,103,72,12,9,47.368421052632,5,3,4,0,0,1,20.0,27,18,31,36.904761904762,17,33.333333333333,1948,33.333333333333,3,3,1,0,0,0,3,50.0,16,0,2,14,132,6,3,0,459,17,28,0,0,4,20,5,0,0,1,0,0,0,0,0,0,26,0.0,12,19,5,6,26,3,60.0,0,125,148,0,8.5154,24,1,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristhian Stuani,32048,LaLiga 25/26,LaLiga,Girona FC,6.65,12,3,0,3,0,0.01281562,23,36,63.888888888889,13,10,6,1,2,100.0,4,1,2,0,0,0,0.0,8,6,12,52.173913043478,8,50.0,238,37.5,4,3,2,0,0,0,0,0.0,2,0,0,2,20,0,0,0,72,6,7,0,0,2,5,2,0,0,0,0,0,0,0,0,0,1,0.0,1,2,0,1,6,3,75.0,0,18,18,0,3.7092,3,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abel Ruíz,826013,LaLiga 25/26,LaLiga,Girona FC,6.4142857142857,7,0,0,0,0,0.20759207,13,18,72.222222222222,3,10,8,2,0,0.0,1,1,0,0,0,0,0.0,3,0,1,25.0,1,20.0,96,0.0,0,0,0,0,0,0,1,100.0,0,0,0,1,13,0,1,0,36,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,1,0,1,100.0,0,3,15,0,0.1922,2,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portu,218616,LaLiga 25/26,LaLiga,Girona FC,6.5,10,0,0,3,0,0.56702944,56,78,71.794871794872,18,38,26,3,0,0.0,4,2,1,0,0,3,17.647058823529,9,5,7,29.166666666667,5,38.461538461538,473,0.0,0,0,0,0,0,0,1,100.0,0,0,0,6,58,1,5,3,149,4,6,1,0,2,3,3,0,0,0,0,0,0,0,0,0,4,0.0,3,3,17,1,11,1,25.0,0,24,54,0,1.3565,11,1,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Arango,1482463,LaLiga 25/26,LaLiga,Girona FC,6.45,2,0,0,0,0,0.005217,3,3,100.0,0,3,3,0,2,100.0,0,0,1,0,0,0,0.0,0,0,2,50.0,0,0.0,19,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,3,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0.0,0,0,3,0,0.0,1,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudio Echeverri,1482424,LaLiga 25/26,LaLiga,Girona FC,6.8444444444444,9,1,2,0,1,0.41397394,109,123,88.617886178862,24,85,59,5,12,70.588235294118,5,0,3,0,0,2,20.0,8,3,22,61.111111111111,1,50.0,260,12.5,0,0,0,0,1,0,5,62.5,2,1,0,4,50,4,6,5,205,5,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0.0,5,17,10,8,5,4,80.0,0,26,97,1,0.8949,17,0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azzedine Ounahi,991421,LaLiga 25/26,LaLiga,Girona FC,7.2666666666667,15,4,6,0,2,2.6086296,444,521,85.220729366603,132,312,201,21,40,53.333333333333,15,13,6,0,0,4,23.529411764706,33,12,96,53.038674033149,2,50.0,1032,12.121212121212,0,0,1,0,1,0,15,60.0,5,0,0,25,197,6,14,7,839,42,11,0,0,14,0,11,1,0,1,0,0,0,0,0,0,11,0.0,20,75,17,25,13,8,53.333333333333,0,149,372,3,1.8214,42,0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
