İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Endrick,1174937,LaLiga 25/26,LaLiga,Real Madrid,6.7,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,100.0,0,0,0,1,1,0,0.0,0,0,2,100.0,0,0.0,11,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kylian Mbappé,826643,LaLiga 25/26,LaLiga,Real Madrid,7.728,25,23,8,17,4,5.7712332,717,825,86.909090909091,117,600,424,56,64,53.333333333333,3,2,3,0,0,6,30.0,117,54,97,49.489795918367,6,66.666666666667,2142,19.65811965812,9,8,4,0,5,0,27,79.411764705882,0,0,0,31,273,19,48,31,1261,30,9,3,0,6,23,30,0,0,7,0,0,0,0,0,0,24,0.0,56,120,20,34,22,1,33.333333333333,0,126,699,8,21.3939,40,0,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinicius Júnior,868812,LaLiga 25/26,LaLiga,Real Madrid,7.3655172413793,29,11,6,12,5,3.6925835,746,896,83.258928571429,103,643,439,51,73,45.061728395062,26,2,7,0,0,9,16.981132075472,81,35,162,50.310559006211,0,0.0,2214,13.58024691358,5,4,4,0,0,0,34,69.387755102041,1,0,1,37,416,16,57,35,1507,63,25,3,0,11,12,20,0,0,3,0,0,0,0,0,0,25,0.0,51,162,53,49,25,14,53.846153846154,0,122,774,6,11.4755,67,0,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrygo,910536,LaLiga 25/26,LaLiga,Real Madrid,6.9157894736842,19,1,7,3,3,2.1332612,294,324,90.740740740741,52,242,152,17,18,47.368421052632,13,3,3,0,0,12,28.571428571429,27,11,54,58.064516129032,0,0.0,680,3.7037037037037,0,0,1,0,2,0,2,28.571428571429,4,0,0,9,109,8,7,5,532,23,5,1,0,6,0,8,0,0,1,0,0,0,0,0,0,6,0.0,17,38,42,7,5,8,61.538461538462,0,56,268,1,2.5827,38,0,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franco Mastantuono,1403559,LaLiga 25/26,LaLiga,Real Madrid,6.7,17,1,4,3,0,2.1856234,341,378,90.21164021164,75,266,137,11,16,36.363636363636,20,2,5,1,1,9,33.333333333333,24,5,57,41.605839416058,4,40.0,798,4.1666666666667,0,0,0,0,1,0,7,58.333333333333,1,0,1,22,137,8,16,9,616,21,18,2,0,14,0,6,0,0,1,0,0,0,0,0,0,9,0.0,11,44,27,12,7,12,60.0,0,80,298,0,2.2193,33,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo García,1402716,LaLiga 25/26,LaLiga,Real Madrid,6.6190476190476,21,4,1,5,0,0.76250788,154,185,83.243243243243,52,102,49,8,2,18.181818181818,11,3,1,0,0,0,0.0,14,9,16,40.0,18,66.666666666667,695,28.571428571429,0,0,0,0,0,0,1,100.0,4,0,0,8,75,8,0,0,287,3,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0.0,8,11,1,1,8,6,54.545454545455,0,62,123,1,3.9804,20,0,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jude Bellingham,991011,LaLiga 25/26,LaLiga,Real Madrid,7.2210526315789,19,4,3,6,3,1.70609859,757,847,89.374262101535,228,529,284,31,23,52.272727272727,43,12,1,0,0,3,33.333333333333,36,19,100,56.179775280899,21,55.263157894737,1338,11.111111111111,0,0,0,0,0,0,46,74.193548387097,13,0,0,24,168,16,41,28,1160,34,27,0,0,10,1,13,0,0,6,0,0,0,0,0,0,15,0.0,31,44,9,62,14,30,69.767441860465,0,240,607,3,5.3467,74,1,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Valverde,831808,LaLiga 25/26,LaLiga,Real Madrid,7.275,28,4,7,1,7,4.30813259,1415,1577,89.727330374128,464,951,509,39,18,58.064516129032,37,20,2,1,1,6,22.222222222222,43,16,67,59.29203539823,21,63.636363636364,2296,9.3023255813953,0,0,0,0,4,0,54,58.064516129032,45,1,1,7,229,12,57,37,1948,12,15,1,0,11,1,9,0,0,9,0,0,0,0,0,0,26,0.0,39,31,27,93,23,22,59.459459459459,0,506,1071,1,2.5019,122,6,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arda Güler,1091116,LaLiga 25/26,LaLiga,Real Madrid,7.1866666666667,30,4,14,3,8,6.94682243,1140,1258,90.620031796502,349,791,481,67,26,61.904761904762,44,8,1,0,0,37,30.081300813008,47,19,98,57.647058823529,4,30.769230769231,1926,8.5106382978723,0,0,0,1,1,0,66,71.739130434783,8,1,1,16,278,10,87,66,1684,28,21,0,0,20,3,12,0,0,2,0,0,0,0,0,0,24,0.0,67,42,123,92,20,27,61.363636363636,0,366,892,2,4.5376,97,2,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brahim Díaz,835485,LaLiga 25/26,LaLiga,Real Madrid,6.6772727272727,22,0,4,1,4,1.67762296,304,332,91.566265060241,65,239,139,15,13,52.0,11,1,1,0,0,3,27.272727272727,8,2,46,50.549450549451,1,12.5,784,0.0,0,0,2,0,0,0,6,100.0,3,0,0,21,101,8,9,5,487,22,12,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7,0.0,15,25,11,6,6,7,63.636363636364,0,67,265,0,0.6791,35,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
