İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Lucas Beltrán,962029,LaLiga 25/26,LaLiga,Valencia,6.6083333333333,24,1,4,5,2,1.44309521,276,353,78.186968838527,96,180,110,11,16,55.172413793103,18,4,1,0,0,2,22.222222222222,29,8,70,50.359712230216,23,35.384615384615,1160,3.448275862069,0,0,1,0,0,0,8,50.0,11,0,0,28,175,6,9,3,626,36,23,1,0,8,3,10,0,0,1,0,0,0,0,0,0,13,0.0,11,29,9,16,18,9,50.0,0,116,237,0,2.8556,46,1,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnaut Danjuma,827064,LaLiga 25/26,LaLiga,Valencia,6.7925925925926,27,3,4,8,2,2.89763303,288,371,77.628032345013,110,178,95,12,26,43.333333333333,12,1,0,0,0,12,30.0,35,14,59,44.69696969697,8,42.105263157895,1571,8.5714285714286,1,0,1,0,0,0,20,71.428571428571,6,0,0,13,196,12,24,15,635,22,21,3,0,6,5,7,0,0,0,0,0,0,0,0,0,18,0.0,12,60,40,28,26,11,91.666666666667,0,128,243,0,4.6052,63,1,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umar Sadiq,754710,LaLiga 25/26,LaLiga,Valencia,6.6588235294118,17,1,3,2,2,1.37219468,78,118,66.101694915254,30,48,35,8,11,45.833333333333,2,1,3,0,0,2,40.0,17,4,27,34.615384615385,17,34.69387755102,673,5.8823529411765,0,0,3,0,0,0,2,66.666666666667,2,0,0,20,106,6,1,1,270,15,15,0,0,4,8,5,0,0,0,0,0,0,0,0,0,6,0.0,8,24,5,3,12,1,50.0,0,37,81,1,1.5207,26,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Duro,909119,LaLiga 25/26,LaLiga,Valencia,6.7344827586207,29,9,2,4,0,0.79427795,237,330,71.818181818182,111,126,62,15,3,20.0,13,3,5,0,0,0,0.0,28,12,47,51.086956521739,36,30.508474576271,1626,32.142857142857,1,1,1,0,0,0,7,70.0,19,0,0,7,154,5,9,7,545,31,16,1,0,12,5,4,0,0,1,0,0,0,0,0,0,18,0.0,15,15,0,10,26,8,61.538461538462,0,135,195,0,6.7837,35,6,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Largie Ramazani,909966,LaLiga 25/26,LaLiga,Valencia,6.8157894736842,19,5,2,2,1,1.60012637,179,230,77.826086956522,67,112,79,13,14,41.176470588235,7,10,4,0,0,7,30.434782608696,31,12,33,34.375,2,22.222222222222,811,16.129032258065,3,3,0,1,0,0,6,50.0,6,0,0,22,135,3,15,7,430,12,13,0,0,9,2,10,0,0,0,0,0,0,0,0,0,7,0.0,13,34,23,12,16,7,100.0,0,72,158,0,4.9236,30,0,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Raba,873947,LaLiga 25/26,LaLiga,Valencia,6.5727272727273,11,0,1,0,1,0.36788855,91,114,79.824561403509,24,67,42,2,3,33.333333333333,7,4,0,0,0,1,8.3333333333333,8,1,12,38.709677419355,0,0.0,283,0.0,0,0,0,0,1,0,10,83.333333333333,1,0,0,6,58,5,15,12,196,2,6,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,0.0,2,9,12,12,4,4,57.142857142857,0,29,85,0,0.2105,14,0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guido Rodríguez,609752,LaLiga 25/26,LaLiga,Valencia,7.25,8,2,0,0,0,0.3136361,317,367,86.376021798365,152,165,82,2,4,57.142857142857,24,3,1,0,0,1,100.0,8,2,44,60.27397260274,12,57.142857142857,588,25.0,0,0,0,1,0,0,12,50.0,22,0,0,5,67,5,25,16,486,16,11,0,0,12,0,1,0,0,2,0,0,0,0,0,0,6,0.0,2,7,1,24,9,17,70.833333333333,0,167,200,0,0.4381,38,5,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Guerra,1122610,LaLiga 25/26,LaLiga,Valencia,6.6714285714286,28,1,4,2,3,1.70938223,645,795,81.132075471698,316,329,174,18,17,44.736842105263,23,21,3,0,0,7,23.333333333333,18,6,53,37.857142857143,11,55.0,1578,5.5555555555556,0,0,0,0,1,0,37,47.435897435897,21,0,0,25,260,6,66,34,1092,13,25,1,0,17,1,8,0,0,2,0,0,0,0,0,0,19,0.0,18,38,30,78,23,13,56.521739130435,0,359,436,0,1.7376,89,4,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepelu,826948,LaLiga 25/26,LaLiga,Valencia,7.0318181818182,22,2,1,2,0,2.00727124,965,1116,86.469534050179,487,478,219,20,7,77.777777777778,49,17,3,0,0,9,21.428571428571,22,3,67,58.260869565217,25,62.5,1710,9.0909090909091,3,1,0,0,5,0,69,50.735294117647,50,1,0,8,206,4,138,81,1391,11,27,1,0,12,1,8,0,0,3,0,0,0,0,0,0,20,0.0,20,9,42,136,28,27,55.102040816327,0,524,592,1,3.5,107,5,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego López,998950,LaLiga 25/26,LaLiga,Valencia,6.6615384615385,26,3,3,3,0,1.27831498,274,365,75.068493150685,97,177,98,11,7,26.923076923077,13,8,2,0,0,3,10.344827586207,21,5,49,48.514851485149,18,30.508474576271,1345,14.285714285714,0,0,0,0,0,0,8,72.727272727273,9,0,1,11,177,10,14,8,591,30,14,1,0,8,3,9,0,0,2,0,0,0,0,0,0,15,0.0,11,26,29,11,22,9,69.230769230769,0,120,245,0,2.2278,51,2,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Almeida,845693,LaLiga 25/26,LaLiga,Valencia,6.9444444444444,18,0,4,1,1,1.81390109,504,555,90.810810810811,172,332,201,17,15,50.0,22,10,0,0,0,14,22.222222222222,9,3,58,53.703703703704,2,66.666666666667,1002,0.0,0,0,1,0,2,0,34,82.926829268293,5,0,0,18,153,3,48,30,786,21,10,0,0,7,0,3,0,0,0,0,0,0,0,0,0,11,0.0,17,30,63,41,14,10,45.454545454545,0,183,372,0,0.5929,47,1,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Rioja,900433,LaLiga 25/26,LaLiga,Valencia,6.751724137931,29,2,5,0,5,3.4739285,537,675,79.555555555556,202,335,207,30,29,52.727272727273,24,16,1,0,0,31,24.031007751938,34,4,79,49.375,2,11.764705882353,2053,5.8823529411765,0,0,0,0,3,0,22,46.808510638298,26,0,0,20,316,13,51,25,1109,26,9,0,0,26,4,17,0,0,4,0,0,0,0,0,0,24,0.0,30,55,129,47,32,17,70.833333333333,0,231,444,0,1.8458,79,0,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Ugrinić,857482,LaLiga 25/26,LaLiga,Valencia,6.7631578947368,19,0,3,0,3,1.65307615,413,488,84.631147540984,190,223,118,14,9,64.285714285714,16,7,3,0,0,11,29.72972972973,15,2,37,53.623188405797,13,59.090909090909,1067,0.0,0,0,0,0,0,0,24,63.157894736842,21,0,0,8,142,5,30,16,691,12,12,0,0,8,3,6,0,0,0,0,0,0,0,0,0,12,0.0,14,14,37,38,18,9,56.25,0,211,277,0,0.7392,49,2,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baptiste Santamaria,344751,LaLiga 25/26,LaLiga,Valencia,6.8333333333333,18,1,2,0,1,0.80632761,332,405,81.975308641975,172,160,79,4,6,50.0,12,7,2,0,0,1,33.333333333333,6,2,28,50.0,18,66.666666666667,775,16.666666666667,0,0,0,0,0,0,23,54.761904761905,30,0,1,5,103,5,43,29,542,10,13,0,0,6,1,2,0,0,2,0,0,0,0,0,0,7,0.0,4,12,3,42,17,5,41.666666666667,0,200,205,1,0.365,43,2,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouctar Diakhaby,797306,LaLiga 25/26,LaLiga,Valencia,6.8142857142857,7,1,0,0,0,0.073605,280,320,87.5,203,77,17,1,1,33.333333333333,8,10,3,0,0,0,0.0,4,3,12,60.0,16,72.727272727273,544,25.0,0,0,1,0,0,0,10,31.25,43,1,0,0,46,0,14,6,418,3,7,0,0,0,1,0,0,0,2,0,0,0,0,0,0,7,0.0,1,3,0,32,11,6,75.0,0,215,105,2,0.5319,22,2,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Luis Gayà,227922,LaLiga 25/26,LaLiga,Valencia,6.5269230769231,26,1,2,1,1,1.70820436,632,767,82.398956975228,314,318,174,19,8,40.0,54,15,6,1,1,13,18.30985915493,10,2,77,58.778625954198,19,61.290322580645,1980,10.0,0,0,0,0,0,0,24,33.802816901408,69,1,1,4,251,5,54,22,1237,15,23,2,0,16,2,3,0,0,4,0,0,0,0,0,0,25,0.0,19,20,71,71,33,30,55.555555555556,0,360,407,1,0.699,86,5,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unai Núñez,892521,LaLiga 25/26,LaLiga,Valencia,6.7,8,0,0,1,0,0.36448009,277,322,86.024844720497,179,98,22,1,0,0.0,17,7,2,0,0,1,33.333333333333,5,0,21,56.756756756757,11,52.380952380952,655,0.0,0,0,0,0,0,0,19,48.717948717949,30,0,0,1,64,2,18,5,455,5,8,1,0,6,0,2,0,0,3,0,0,0,0,0,0,8,0.0,1,2,3,39,8,10,58.823529411765,0,199,123,0,0.213,31,5,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
César Tárrega,996928,LaLiga 25/26,LaLiga,Valencia,6.6916666666667,24,0,0,0,0,0.10463689,877,1021,85.896180215475,679,198,49,2,8,88.888888888889,32,18,6,0,0,0,0.0,7,1,49,57.647058823529,41,53.246753246753,1877,0.0,0,0,0,1,0,0,46,38.655462184874,137,2,0,2,161,0,58,31,1315,9,29,0,1,5,0,2,0,0,6,0,0,0,0,0,0,21,0.0,2,9,0,119,31,18,56.25,0,734,287,0,0.2627,60,18,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thierry Correia,851282,LaLiga 25/26,LaLiga,Valencia,6.535,20,0,1,0,1,1.78901739,496,607,81.71334431631,218,278,136,10,8,50.0,28,16,4,0,0,6,16.216216216216,5,1,59,57.843137254902,13,37.142857142857,1266,0.0,0,0,0,1,0,0,17,36.170212765957,23,0,1,9,206,6,33,16,962,23,23,0,0,4,3,3,0,0,2,0,0,0,0,0,0,15,0.0,10,16,37,47,23,20,71.428571428571,0,253,354,0,0.3511,53,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
