İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Nicolás González,901325,Serie A 25/26,Serie A,Juventus,6.7,2,0,0,0,0,0.00146435,2,5,40.0,1,1,1,1,0,0.0,0,0,0,0,0,0,0.0,2,0,2,100.0,3,100.0,24,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,5,0,0,0,19,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0.0,0,2,3,0,0.1326,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenan Yıldız,1149011,Serie A 25/26,Serie A,Juventus,7.5172413793103,29,10,14,3,6,7.9140471,861,1020,84.411764705882,237,624,410,67,69,53.90625,16,7,2,0,0,27,25.233644859813,87,36,135,50.561797752809,12,50.0,2401,11.494252873563,2,1,1,0,0,0,29,64.444444444444,6,0,3,45,426,20,39,18,1650,50,19,5,0,12,6,30,0,0,3,0,0,0,0,0,0,28,0.0,67,128,107,45,23,6,37.5,0,263,757,9,7.7537,103,0,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dušan Vlahović,832208,Serie A 25/26,Serie A,Juventus,6.6071428571429,14,3,0,5,1,0.68133253,88,129,68.217054263566,23,65,37,7,2,50.0,3,2,0,0,0,1,33.333333333333,30,11,20,47.619047619048,18,45.0,693,10.0,1,1,1,0,2,0,5,71.428571428571,3,0,0,14,86,3,7,5,248,15,7,0,0,0,4,7,0,0,0,0,0,0,0,0,0,8,0.0,7,4,3,7,9,3,100.0,0,29,100,0,4.1235,8,2,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan David,935564,Serie A 25/26,Serie A,Juventus,6.4038461538462,26,5,4,12,4,1.40966532,339,432,78.472222222222,80,259,151,29,5,27.777777777778,13,5,0,0,0,0,0.0,35,15,38,38.775510204082,12,27.272727272727,1427,14.285714285714,1,0,0,0,0,0,3,50.0,3,1,0,18,199,13,11,8,667,20,22,2,0,8,7,10,0,0,1,0,0,0,0,0,0,16,0.0,29,18,7,6,12,6,46.153846153846,0,103,329,0,8.1884,53,0,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Conceição,979222,Serie A 25/26,Serie A,Juventus,6.9565217391304,23,3,3,7,3,2.91341803,536,605,88.595041322314,165,371,223,24,43,55.844155844156,22,6,2,0,0,12,19.672131147541,51,15,91,50.837988826816,2,14.285714285714,1482,5.8823529411765,0,0,0,0,0,0,8,50.0,3,0,0,19,214,17,31,16,976,26,25,2,0,12,2,22,0,0,0,0,0,0,0,0,0,19,0.0,24,77,61,16,15,14,63.636363636364,0,180,425,2,5.0813,65,0,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loïs Openda,835480,Serie A 25/26,Serie A,Juventus,6.5095238095238,21,1,1,5,0,1.15893867,109,150,72.666666666667,35,74,51,8,4,36.363636363636,6,1,0,0,0,1,14.285714285714,26,6,30,58.823529411765,8,29.62962962963,671,3.8461538461538,0,0,0,0,0,0,2,50.0,3,0,1,6,83,2,4,1,275,21,7,0,0,1,11,7,0,0,0,0,0,0,0,0,0,6,0.0,8,11,7,4,8,4,66.666666666667,0,42,108,0,3.5657,12,1,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkadiusz Milik,161325,Serie A 25/26,Serie A,Juventus,6.3,1,0,0,1,0,0.0219402,3,4,75.0,0,3,3,0,1,50.0,0,0,0,0,0,0,0.0,1,1,1,50.0,0,0.0,11,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0.0,0,0,4,0,0.0728,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edon Zhegrova,887766,Serie A 25/26,Serie A,Juventus,6.6833333333333,12,0,2,0,0,1.01250715,153,182,84.065934065934,20,133,95,10,17,48.571428571429,5,0,0,0,0,8,20.512820512821,14,7,26,44.067796610169,2,66.666666666667,303,0.0,0,0,0,0,2,0,5,100.0,1,1,0,11,104,4,6,3,323,4,3,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0.0,10,35,39,5,2,3,60.0,0,21,161,0,0.5024,15,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jérémie Boga,367056,Serie A 25/26,Serie A,Juventus,7.1142857142857,7,3,1,2,0,1.37265372,54,68,79.411764705882,19,35,20,8,7,38.888888888889,4,1,0,0,0,8,44.444444444444,14,8,14,45.161290322581,1,25.0,276,21.428571428571,0,0,0,0,0,0,0,0.0,1,0,0,3,46,0,5,2,152,3,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0.0,8,18,18,0,4,2,50.0,0,19,49,0,2.0663,3,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khéphren Thuram,904832,Serie A 25/26,Serie A,Juventus,6.9464285714286,28,2,3,2,2,2.45769067,1094,1269,86.209613869188,464,630,335,19,19,61.290322580645,56,11,0,0,0,3,21.428571428571,40,14,85,57.432432432432,29,48.333333333333,2040,5.0,0,0,0,0,0,0,34,53.968253968254,25,0,0,11,246,11,57,32,1583,10,33,1,0,11,2,8,0,0,8,0,0,0,0,0,0,25,0.0,19,31,14,63,22,29,51.785714285714,0,508,761,0,2.4206,104,5,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
