İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Alexsandro Amorim,1511706,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,6.9631578947368,19,2,4,0,0,1.63350689,565,679,83.210603829161,292,273,138,14,17,65.384615384615,47,13,3,0,0,3,20.0,17,6,100,55.24861878453,6,46.153846153846,1630,11.764705882353,0,0,1,0,0,0,33,52.380952380952,16,0,0,21,178,5,71,36,943,36,25,0,0,28,0,4,0,0,5,0,0,0,0,0,0,19,0.0,14,26,15,63,31,31,65.957446808511,0,334,345,1,0.7047,99,4,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figueiredo,1105790,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,6.9619047619048,21,4,5,5,2,3.09898138,289,393,73.5368956743,116,173,104,22,27,45.0,18,10,2,0,0,14,31.111111111111,33,13,81,46.551724137931,23,51.111111111111,1387,12.121212121212,0,0,0,0,0,0,6,37.5,14,0,0,25,246,7,23,10,728,36,18,1,0,19,2,9,0,0,1,0,0,0,0,0,0,18,0.0,22,60,45,16,21,10,55.555555555556,0,139,254,1,3.8936,50,2,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiquinho,1015826,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,7.0533333333333,15,1,6,2,2,2.79423559,132,181,72.92817679558,43,89,62,17,24,42.857142857143,21,7,4,0,0,11,22.0,18,4,100,53.763440860215,6,28.571428571429,1059,5.5555555555556,1,1,2,1,6,0,7,53.846153846154,0,0,1,27,203,10,16,4,511,55,24,1,0,6,1,7,0,0,0,0,0,0,0,0,0,13,0.0,17,56,50,13,16,12,57.142857142857,0,49,132,1,2.0249,45,3,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Milovanović,1100957,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,6.6962962962963,27,8,1,9,1,0.37670857,163,246,66.260162601626,68,95,56,6,8,32.0,7,0,3,0,0,1,100.0,35,20,41,37.962962962963,50,45.454545454545,1470,22.857142857143,3,3,0,0,0,0,3,75.0,19,0,0,17,172,10,7,2,475,26,31,0,0,5,5,5,0,0,0,0,0,0,0,0,0,18,0.0,6,25,1,4,24,4,57.142857142857,0,88,158,0,7.0964,35,4,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Lima,1459763,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,6.4,4,0,0,0,0,9.3e-07,1,4,25.0,1,0,0,0,1,33.333333333333,1,0,0,0,0,0,0.0,1,0,2,25.0,1,25.0,43,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1,8,1,1,0,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,0,1,0,1,100.0,0,2,2,0,0.0666,2,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cédric Nuozzi,1405454,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,6.6454545454545,22,1,1,3,0,0.58178931,161,202,79.70297029703,55,106,70,9,14,35.897435897436,12,2,0,0,0,4,15.384615384615,14,6,44,45.833333333333,7,36.842105263158,887,7.1428571428571,0,0,0,0,0,0,6,46.153846153846,5,0,0,16,136,2,14,7,399,19,4,0,0,7,5,4,0,0,0,0,0,0,0,0,0,10,0.0,9,39,26,13,20,8,66.666666666667,0,62,140,0,1.5531,32,2,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandro Lima,344023,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,6.604347826087,23,5,2,3,2,0.9775481,168,221,76.018099547511,51,117,67,11,2,40.0,9,1,1,1,1,0,0.0,19,12,30,48.387096774194,27,42.1875,958,26.315789473684,1,0,1,0,0,0,6,54.545454545455,13,0,0,9,101,6,10,5,361,19,20,1,0,2,5,2,0,0,0,0,0,0,0,0,0,10,0.0,11,5,0,11,20,6,66.666666666667,0,59,162,1,4.6364,28,2,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabrício Garcia,1190120,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,6.7416666666667,12,1,0,1,0,0.74392728,50,68,73.529411764706,21,29,21,3,5,50.0,3,0,1,0,0,1,14.285714285714,7,3,15,53.571428571429,4,50.0,275,14.285714285714,0,0,0,0,0,0,2,40.0,4,0,0,5,43,1,5,2,146,7,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,10,7,5,3,3,100.0,0,26,42,0,0.8418,15,1,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stéphane Diarra,834881,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,6.55,2,0,0,0,0,0.07250752,11,14,78.571428571429,8,3,2,1,1,50.0,0,0,0,0,0,1,100.0,0,0,2,33.333333333333,1,33.333333333333,30,0.0,0,0,0,0,0,0,0,0.0,0,0,0,3,8,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,1,0,1,0,0.0,0,8,6,0,0.0,4,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathis Clairicia,1168617,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,6.4875,8,0,0,0,0,0.00817542,14,21,66.666666666667,3,11,6,0,1,25.0,2,0,0,0,0,0,0.0,4,2,4,23.529411764706,1,14.285714285714,121,0.0,0,0,0,0,0,0,0,0.0,1,0,0,7,23,2,0,0,52,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,4,0,0,5,2,100.0,0,6,15,0,0.3925,7,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lincoln,794928,Liga Portugal 25/26,Liga Portugal Betclic,FC Alverca,7.0958333333333,24,2,7,5,5,3.47829616,637,754,84.48275862069,257,380,213,34,10,45.454545454545,41,12,5,0,0,28,29.473684210526,32,12,94,60.645161290323,13,48.148148148148,1851,6.25,2,0,0,0,7,0,40,50.632911392405,33,2,1,17,255,11,72,30,1179,45,23,1,0,11,4,9,0,0,2,0,0,0,0,0,0,23,0.0,34,22,95,79,30,25,60.975609756098,0,273,481,1,4.1757,93,9,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
