İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Sankara Karamoko,1444568,Superliga 25/26,Mozzart Bet Superliga,FK IMT Beograd,6.9074074074074,27,8,0,5,0,0.0,219,282,77.659574468085,101,118,68,9,12,42.857142857143,19,12,3,0,0,2,25.0,30,16,61,45.185185185185,23,37.096774193548,1223,26.666666666667,0,0,4,0,0,0,9,64.285714285714,11,0,0,19,156,5,11,7,544,30,36,0,0,9,4,5,0,0,1,0,0,0,0,0,0,11,0.0,9,28,8,14,23,13,68.421052631579,0,113,169,1,0.0,39,1,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miloš Jović,1516067,Superliga 25/26,Mozzart Bet Superliga,FK IMT Beograd,6.6,13,2,1,1,0,0.0,85,118,72.033898305085,39,46,20,6,1,25.0,7,2,2,0,0,0,0.0,8,4,20,50.0,17,34.69387755102,479,25.0,1,0,0,0,0,0,1,100.0,2,0,0,11,72,4,6,2,220,12,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,6,0.0,6,4,1,1,13,5,71.428571428571,0,46,72,0,0.0,15,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Batista da Silva Junior,1588141,Superliga 25/26,Mozzart Bet Superliga,FK IMT Beograd,6.475,4,0,0,0,0,0.0,24,31,77.41935483871,8,16,10,2,1,20.0,1,1,0,0,0,0,0.0,5,2,15,51.724137931034,3,37.5,229,0.0,0,0,0,0,0,0,1,100.0,1,0,0,4,30,0,3,2,87,13,5,1,0,2,0,3,0,0,0,0,0,0,0,0,0,4,0.0,2,5,3,1,3,1,100.0,0,8,23,0,0.0,6,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksa Mitić,2319703,Superliga 25/26,Mozzart Bet Superliga,FK IMT Beograd,6.52,5,1,0,0,0,0.0,21,29,72.413793103448,9,12,8,3,0,0.0,1,0,0,0,0,0,0.0,2,1,7,38.888888888889,3,23.076923076923,293,50.0,0,0,0,0,0,0,0,0.0,1,0,0,4,25,0,1,1,64,6,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0.0,3,2,0,0,7,0,0.0,0,10,19,0,0.0,2,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charly Keita,1137495,Superliga 25/26,Mozzart Bet Superliga,FK IMT Beograd,6.5733333333333,15,2,4,7,2,0.0,86,146,58.904109589041,18,68,42,9,5,41.666666666667,8,1,1,0,0,0,0.0,19,7,33,43.421052631579,38,50.666666666667,715,10.526315789474,1,0,0,0,0,0,1,33.333333333333,3,0,0,7,99,6,3,1,273,20,29,1,0,1,6,4,0,0,1,0,0,0,0,0,0,7,0.0,9,12,1,3,8,7,87.5,0,24,122,1,0.0,11,1,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriyomi Lebi,1917883,Superliga 25/26,Mozzart Bet Superliga,FK IMT Beograd,6.84,10,2,3,2,2,0.0,100,148,67.567567567568,29,71,53,11,4,100.0,5,2,2,0,0,1,100.0,15,7,35,53.846153846154,15,24.193548387097,615,13.333333333333,0,0,1,0,0,0,2,28.571428571429,2,0,0,11,89,6,13,4,267,26,18,0,0,2,4,3,0,0,2,0,0,0,0,0,0,6,0.0,11,4,1,7,9,5,100.0,0,34,114,0,0.0,22,1,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan Baltic,1595696,Superliga 25/26,Mozzart Bet Superliga,FK IMT Beograd,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,3,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miloš Bakić,1974326,Superliga 25/26,Mozzart Bet Superliga,FK IMT Beograd,6.9,1,0,0,0,0,0.0,1,1,100.0,0,1,1,0,2,100.0,0,0,0,0,0,0,0.0,0,0,3,37.5,0,0.0,31,0.0,0,0,1,0,0,0,0,0.0,1,0,0,2,3,0,0,0,8,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0.0,0,0,1,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josué Tiendrebeogo,1897363,Superliga 25/26,Mozzart Bet Superliga,FK IMT Beograd,6.72,5,0,0,1,0,0.0,71,105,67.619047619048,29,42,22,3,0,0.0,11,1,0,0,0,2,28.571428571429,5,1,14,58.333333333333,3,75.0,278,0.0,0,0,0,0,1,0,10,43.478260869565,4,0,0,1,44,2,16,9,151,3,7,0,0,3,0,1,0,0,1,0,0,0,0,0,0,2,0.0,3,0,7,23,5,7,63.636363636364,0,38,67,0,0.0,17,1,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farid Boulaya,229722,Superliga 25/26,Mozzart Bet Superliga,FK IMT Beograd,6.8125,8,1,0,1,0,0.0,150,186,80.645161290323,52,98,66,5,3,60.0,5,5,0,0,0,4,36.363636363636,13,4,13,46.428571428571,0,0.0,495,7.6923076923077,0,0,0,0,0,0,17,68.0,0,0,0,9,69,6,23,11,270,5,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,6,0.0,5,5,11,25,3,2,40.0,0,55,131,0,0.0,27,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
