İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Ognjen Bondžulić,1835422,Superliga 25/26,Mozzart Bet Superliga,FK Mladost Lučani,6.6333333333333,6,2,0,2,0,0.0,34,55,61.818181818182,13,21,10,2,11,37.931034482759,6,3,2,0,0,1,16.666666666667,11,4,35,45.454545454545,1,8.3333333333333,539,18.181818181818,0,0,0,0,0,0,1,25.0,1,0,0,13,82,0,3,0,187,18,6,0,0,6,1,4,0,0,1,0,0,0,0,0,0,7,0.0,2,29,6,4,10,3,50.0,0,17,38,0,0.0,20,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irfan Hadžić,173957,Superliga 25/26,Mozzart Bet Superliga,FK Mladost Lučani,6.6526315789474,19,1,1,2,0,0.0,95,137,69.343065693431,47,48,28,4,3,27.272727272727,7,3,1,0,0,0,0.0,8,2,27,50.0,38,52.054794520548,500,12.5,0,0,0,0,0,0,7,70.0,13,0,0,9,79,2,7,4,246,19,6,0,0,4,2,3,0,0,0,0,0,0,0,0,0,2,0.0,4,11,1,10,19,4,57.142857142857,0,51,86,0,0.0,17,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Đokić,2162392,Superliga 25/26,Mozzart Bet Superliga,FK Mladost Lučani,6.52,5,0,0,1,0,0.0,21,29,72.413793103448,9,12,6,0,3,50.0,2,1,0,0,0,0,0.0,1,0,6,35.294117647059,0,0.0,162,0.0,0,0,0,0,0,0,1,100.0,3,0,0,3,20,0,1,0,57,1,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0,6,1,1,6,1,50.0,0,10,19,0,0.0,11,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mihailo Todosijevic,1981982,Superliga 25/26,Mozzart Bet Superliga,FK Mladost Lučani,6.30625,16,1,2,9,1,0.0,108,181,59.668508287293,33,75,47,6,9,39.130434782609,9,4,1,0,0,1,11.111111111111,27,12,26,33.333333333333,15,29.411764705882,1003,3.7037037037037,0,0,0,0,0,0,3,27.272727272727,6,0,0,18,153,4,12,7,381,8,15,1,0,5,7,6,0,0,1,0,0,0,0,0,0,12,0.0,6,23,9,11,15,6,66.666666666667,0,47,134,0,0.0,20,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ognjen Alempijević,1859502,Superliga 25/26,Mozzart Bet Superliga,FK Mladost Lučani,6.35,2,0,0,0,0,0.0,1,2,50.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,21,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,2,0,0.0,0,1,1,0,0.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jovan Ćirić,1595643,Superliga 25/26,Mozzart Bet Superliga,FK Mladost Lučani,6.8,16,2,4,0,1,0.0,89,142,62.676056338028,34,55,38,11,14,48.275862068966,2,5,1,0,0,9,16.981132075472,15,8,41,45.555555555556,1,7.1428571428571,1039,13.333333333333,0,0,0,0,0,0,5,45.454545454545,4,0,0,18,184,4,8,4,378,25,11,2,0,5,10,4,0,0,0,0,0,0,0,0,0,11,0.0,11,29,53,11,13,1,50.0,0,39,103,1,0.0,30,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemanja Milojević,837894,Superliga 25/26,Mozzart Bet Superliga,FK Mladost Lučani,6.864,25,3,2,0,0,0.0,301,391,76.982097186701,121,180,93,12,14,66.666666666667,39,12,1,0,0,6,16.216216216216,27,7,74,62.71186440678,14,38.888888888889,1391,11.111111111111,1,1,0,0,1,0,15,34.090909090909,34,0,0,11,174,4,21,9,683,22,16,0,0,11,1,9,0,0,1,0,0,0,0,0,0,16,0.0,12,21,37,44,26,24,61.538461538462,0,154,237,2,0.0,56,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petar Bojić,126558,Superliga 25/26,Mozzart Bet Superliga,FK Mladost Lučani,6.64,25,4,4,1,3,0.0,320,471,67.940552016985,118,202,119,20,9,32.142857142857,19,10,1,0,0,0,0.0,18,9,74,46.25,26,27.368421052632,1665,22.222222222222,0,0,2,1,0,0,15,60.0,2,0,0,31,260,14,25,13,739,46,26,0,0,12,9,2,0,0,2,0,0,0,0,0,0,18,0.0,20,28,4,25,25,16,84.210526315789,0,144,327,1,0.0,63,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veljko Kijevčanin,885516,Superliga 25/26,Mozzart Bet Superliga,FK Mladost Lučani,6.78,5,0,0,0,0,0.0,69,86,80.232558139535,27,42,18,2,2,100.0,3,6,1,0,0,0,0.0,1,0,9,69.230769230769,4,66.666666666667,204,0.0,0,0,0,0,0,0,2,40.0,6,0,0,1,26,2,13,6,123,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0,2,2,1,5,2,3,100.0,0,30,56,0,0.0,18,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagoš Ðurković,1865415,Superliga 25/26,Mozzart Bet Superliga,FK Mladost Lučani,6.1833333333333,6,0,0,0,0,0.0,32,44,72.727272727273,18,14,3,0,0,0.0,4,1,0,0,1,0,0.0,3,2,4,30.769230769231,0,0.0,122,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,21,0,1,1,65,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,4,0,2,3,1,25.0,1,18,26,0,0.0,6,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
