İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Lincoln,905454,Superliga 25/26,Mozzart Bet Superliga,FK Spartak Subotica,6.725,16,4,2,0,1,0.0,225,312,72.115384615385,84,141,87,9,10,33.333333333333,11,2,1,0,0,0,0.0,20,9,30,33.707865168539,29,40.277777777778,1039,20.0,0,0,0,0,1,0,13,76.470588235294,9,0,0,20,202,7,14,9,538,9,14,0,0,5,6,5,0,0,0,0,0,0,0,0,0,13,0.0,9,30,1,17,22,10,90.909090909091,0,103,209,0,0.0,28,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezequiel,890060,Superliga 25/26,Mozzart Bet Superliga,FK Spartak Subotica,6.8571428571429,7,1,2,0,1,0.0,117,152,76.973684210526,36,81,42,8,4,33.333333333333,9,3,1,0,0,0,0.0,7,1,23,52.272727272727,3,27.272727272727,427,14.285714285714,0,0,0,0,0,0,4,50.0,5,0,0,2,72,3,7,2,250,10,6,0,0,5,0,3,0,0,1,0,0,0,0,0,0,5,0.0,8,12,3,8,5,7,77.777777777778,0,42,110,1,0.0,19,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwaku Bonsu Osei Gaucho,1009837,Superliga 25/26,Mozzart Bet Superliga,FK Spartak Subotica,6.6291666666667,24,5,1,5,3,0.0,221,293,75.42662116041,69,152,100,14,16,42.105263157895,17,5,5,0,0,1,14.285714285714,49,21,54,38.848920863309,5,15.151515151515,1553,10.204081632653,0,0,1,0,0,0,6,60.0,6,0,1,27,196,5,3,1,568,21,32,2,0,10,17,14,0,0,0,0,0,0,0,0,0,20,0.0,14,38,7,10,28,13,76.470588235294,0,87,206,0,0.0,38,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dario Pavković,1186164,Superliga 25/26,Mozzart Bet Superliga,FK Spartak Subotica,6.5533333333333,15,1,1,2,0,0.0,89,115,77.391304347826,28,61,40,3,1,16.666666666667,8,0,2,0,0,0,0.0,13,5,17,38.636363636364,18,34.615384615385,485,7.6923076923077,0,0,0,0,1,0,5,83.333333333333,2,0,0,9,76,6,7,5,210,8,9,0,0,5,2,3,0,0,0,0,0,0,0,0,0,3,0.0,3,6,4,6,11,7,87.5,0,31,84,1,0.0,21,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Friday,2476341,Superliga 25/26,Mozzart Bet Superliga,FK Spartak Subotica,6.2,1,0,0,0,0,0.0,2,2,100.0,1,1,0,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0.0,0,0.0,22,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0.0,0,1,1,0,0.0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muhamed Bešić,124960,Superliga 25/26,Mozzart Bet Superliga,FK Spartak Subotica,6.8842105263158,19,0,0,0,0,0.0,666,784,84.948979591837,389,277,113,4,12,80.0,17,17,4,0,0,0,0.0,2,1,36,58.064516129032,21,63.636363636364,1345,0.0,0,0,0,1,0,0,60,55.045871559633,65,0,1,7,145,2,110,62,963,7,12,0,0,6,0,0,0,0,2,0,0,0,0,0,0,16,0.0,4,15,2,109,28,8,47.058823529412,0,431,353,1,0.0,79,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan Tomović,1063371,Superliga 25/26,Mozzart Bet Superliga,FK Spartak Subotica,6.9107142857143,28,6,11,8,6,0.0,897,1115,80.448430493274,309,588,388,60,24,30.769230769231,13,11,2,0,1,34,32.692307692308,41,19,77,40.957446808511,5,35.714285714286,2384,14.634146341463,4,3,0,0,4,0,59,53.636363636364,8,0,0,29,460,20,94,50,1597,40,15,1,0,13,4,9,0,0,1,0,0,0,0,0,0,27,0.0,60,78,104,110,44,6,46.153846153846,1,345,770,2,0.0,149,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Tasić,1518929,Superliga 25/26,Mozzart Bet Superliga,FK Spartak Subotica,6.8,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,3,100.0,0,0,0,0,0,0,0.0,0,0,5,71.428571428571,0,0.0,8,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,2,0,0,0,9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,0,0,0,0,0.0,0,0,0,0,0.0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilija Babić,997194,Superliga 25/26,Mozzart Bet Superliga,FK Spartak Subotica,6.45,18,1,2,4,1,0.0,217,262,82.824427480916,57,160,101,12,9,29.032258064516,16,5,0,0,0,2,6.25,19,7,55,41.353383458647,8,32.0,1059,5.2631578947368,0,0,0,0,0,0,6,60.0,12,0,0,26,176,11,7,2,539,30,27,0,0,5,5,7,0,0,1,0,0,0,0,0,0,11,0.0,12,31,32,10,20,13,81.25,0,69,193,0,0.0,30,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Kuveljić,948694,Superliga 25/26,Mozzart Bet Superliga,FK Spartak Subotica,6.8142857142857,7,2,1,1,1,0.0,228,263,86.692015209125,107,121,49,4,3,33.333333333333,6,15,2,0,0,0,0.0,7,2,11,28.205128205128,10,58.823529411765,484,28.571428571429,0,0,0,0,0,0,6,50.0,7,0,0,5,60,3,10,5,345,2,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0.0,4,9,4,12,13,4,66.666666666667,0,119,144,1,0.0,29,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
