İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Arda Kurtulan,1063395,Super Lig 24/25,Trendyol Süper Lig,Adana Demirspor,6.6692307692308,26,1,1,1,3,1.14123005,553,770,71.818181818182,272,286,147,14,26,48.148148148148,71,39,4,0,0,5,15.625,7,3,124,50.202429149798,47,49.473684210526,2250,14.285714285714,0,0,0,1,0,0,33,38.372093023256,107,0,0,28,387,6,36,13,1508,27,28,0,1,42,3,1,0,0,1,0,0,0,0,0,0,25,0.0,14,54,32,86,66,37,52.112676056338,0,342,460,1,0.6527,114,0,26,0.0
Yusuf Sarı,896364,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,7.2958333333333,24,3,9,4,7,5.45736578,419,529,79.206049149338,134,317,158,48,45,58.441558441558,22,8,1,0,0,32,27.350427350427,59,24,89,57.792207792208,2,11.111111111111,1790,5.0847457627119,0,0,0,0,3,0,51,68.918918918919,3,0,0,14,295,9,79,50,956,23,11,1,0,10,4,14,1,0,3,0,0,0,0,0,0,21,0.0,47,77,117,74,27,10,45.454545454545,0,153,493,3,2.9227,71,0,24,0.0
Cherif Ndiaye,868268,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,7.05,2,1,1,0,1,0.43099472,20,24,83.333333333333,7,13,8,2,0,0.0,1,0,1,0,0,0,0.0,1,1,1,14.285714285714,1,25.0,167,100.0,0,0,0,0,0,0,0,0.0,1,0,0,1,15,3,0,0,43,1,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0.0,2,1,0,0,3,1,100.0,0,8,16,0,0.9823,4,0,2,0.0
Kévin Rodrigues,234232,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,7.0909090909091,11,0,1,0,1,1.01214832,412,497,82.897384305835,232,189,97,13,7,53.846153846154,21,14,4,1,1,9,36.0,6,2,44,61.971830985915,4,36.363636363636,921,0.0,0,0,0,0,2,0,24,54.545454545455,6,0,0,5,130,0,30,9,733,16,8,0,0,10,3,1,0,0,3,0,0,0,0,0,0,11,0.0,13,13,25,44,9,13,61.904761904762,0,257,265,1,0.1372,51,0,11,0.0
Maestro,1002146,Super Lig 24/25,Trendyol Süper Lig,Adana Demirspor,6.778125,32,1,1,0,1,0.7724749,1131,1281,88.290398126464,644,490,164,13,42,68.852459016393,66,32,6,0,0,3,30.0,20,9,140,56.910569105691,31,45.588235294118,2808,5.0,0,0,0,1,0,0,46,56.79012345679,41,0,3,32,257,9,68,31,1722,33,34,0,0,25,0,6,0,0,2,0,0,0,0,0,0,31,0.0,13,61,10,81,78,41,62.121212121212,0,713,578,0,0.6439,217,0,32,0.0
Maestro,1002146,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,7.0307692307692,13,0,2,0,1,0.67968867,549,595,92.268907563025,282,267,105,12,22,73.333333333333,40,9,3,0,0,0,0.0,2,0,77,58.333333333333,8,50.0,1123,0.0,0,0,0,0,0,0,32,76.190476190476,13,1,0,21,94,6,17,12,800,16,18,0,0,10,0,1,0,0,3,0,0,0,0,0,0,13,0.0,12,30,1,42,26,30,75.0,0,303,293,0,0.0612,97,0,13,0.0
İzzet Çelik,826836,Super Lig 24/25,Trendyol Süper Lig,Adana Demirspor,6.7416666666667,24,0,1,0,0,0.72878748,473,611,77.414075286416,200,274,136,11,30,63.829787234043,56,22,7,0,0,1,10.0,6,2,135,63.084112149533,15,30.612244897959,1716,0.0,0,0,0,0,0,0,26,39.393939393939,19,0,1,28,241,4,52,22,968,49,16,0,0,18,1,3,0,0,1,0,0,0,0,0,0,21,0.0,11,47,10,66,43,37,66.071428571429,0,236,385,0,0.2238,101,0,24,0.0
İzzet Çelik,826836,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,6.725,4,0,0,0,0,0.04140109,23,30,76.666666666667,5,18,11,3,0,0.0,4,1,0,0,0,0,0.0,0,0,6,85.714285714286,1,33.333333333333,53,0.0,0,0,0,0,0,0,1,100.0,0,0,0,0,12,0,2,1,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,1,0,1,3,4,100.0,0,8,22,0,0.0,7,0,5,0.0
Yusuf Barası,1000187,Super Lig 24/25,Trendyol Süper Lig,Adana Demirspor,6.7655172413793,29,8,1,4,2,1.12030656,351,420,83.571428571429,161,192,95,19,27,40.298507462687,10,10,1,1,1,2,13.333333333333,41,16,77,42.777777777778,21,33.333333333333,2195,19.512195121951,3,3,1,0,0,0,10,62.5,12,1,0,29,210,4,22,12,774,42,25,0,0,11,8,11,0,0,0,0,0,0,0,0,0,25,0.0,19,67,15,16,50,9,90.0,0,173,262,1,6.5039,39,0,29,0.0
Yusuf Barası,1000187,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,6.7185185185185,27,4,2,2,2,0.83491898,165,212,77.830188679245,69,96,61,12,12,57.142857142857,13,4,0,0,1,0,0.0,19,11,40,50.632911392405,17,39.53488372093,894,21.052631578947,0,0,0,0,0,0,4,44.444444444444,8,1,0,9,99,10,8,4,353,15,13,0,0,8,2,2,0,0,0,0,0,0,0,0,0,6,0.0,12,21,6,9,20,10,76.923076923077,1,80,138,0,3.2263,37,0,28,0.0
Ali Yavuz Kol,910091,Super Lig 24/25,Trendyol Süper Lig,Adana Demirspor,6.7,28,1,5,2,5,2.46350859,382,541,70.609981515712,126,269,150,37,56,48.275862068966,29,8,3,0,0,13,22.413793103448,43,10,111,41.729323308271,21,36.206896551724,1722,2.3255813953488,0,0,0,0,2,0,15,48.387096774194,12,0,0,43,379,15,28,14,1041,26,29,1,0,24,1,14,0,0,0,0,0,0,0,0,0,23,0.0,37,116,58,31,39,20,68.965517241379,0,160,439,0,2.0125,91,0,28,0.0
M'Baye Niang,139228,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,7.075,16,8,0,0,1,0.47144473,119,149,79.865771812081,57,64,41,9,6,46.153846153846,3,0,2,0,0,2,40.0,30,15,19,36.538461538462,14,34.146341463415,993,26.666666666667,4,4,0,0,2,0,4,66.666666666667,20,0,0,9,83,2,7,5,300,10,18,0,0,2,14,3,0,0,1,0,0,0,0,0,0,13,0.0,9,13,5,6,13,2,66.666666666667,0,62,92,2,5.93,12,0,16,0.0
Dorukhan Toköz,796133,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,6.6333333333333,18,0,0,0,0,0.29922977,207,249,83.132530120482,125,82,43,3,3,60.0,18,10,2,0,0,0,0.0,0,0,25,55.555555555556,10,76.923076923077,685,0.0,0,0,1,0,0,0,15,50.0,17,0,0,1,58,1,23,13,355,5,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0.0,3,5,2,30,14,13,72.222222222222,0,136,115,0,0.0,24,0,20,0.0
Semih Güler,325155,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,7.0875,32,0,1,2,1,0.93003784,1664,1946,85.508735868448,1137,529,165,8,4,80.0,52,40,4,0,1,2,33.333333333333,24,6,62,53.913043478261,42,50.0,2801,0.0,0,0,0,0,0,0,211,55.820105820106,88,0,0,2,303,1,242,126,2304,6,28,0,0,22,2,7,0,0,9,0,0,0,0,0,0,32,0.0,8,5,6,378,40,33,63.461538461538,1,1219,733,1,1.1759,174,0,32,0.0
Abdulsamet Burak,900798,Super Lig 24/25,Trendyol Süper Lig,Adana Demirspor,6.615625,32,0,4,2,1,1.08567731,1040,1309,79.449961802903,651,398,143,13,18,54.545454545455,66,25,10,0,0,9,26.470588235294,8,1,111,57.216494845361,27,44.262295081967,2585,0.0,0,0,0,0,0,0,69,39.428571428571,97,1,1,11,385,3,166,76,1891,28,40,0,1,18,0,3,0,0,2,0,0,0,0,0,0,30,0.0,13,33,34,175,71,45,68.181818181818,0,751,592,0,0.8509,119,0,32,0.0
Abdulsamet Burak,900798,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,6.5857142857143,7,0,0,0,0,0.0469564,300,342,87.719298245614,219,81,18,3,4,100.0,10,4,0,0,0,0,0.0,0,0,16,47.058823529412,5,45.454545454545,449,0.0,0,0,1,0,0,0,16,50.0,18,0,0,1,46,0,27,13,391,2,10,0,0,7,0,0,0,0,1,0,0,0,0,0,0,5,0.0,3,4,1,32,13,6,60.0,0,231,112,0,0.0,19,0,7,0.0
Deniz Eren Dönmezer,1550760,Super Lig 24/25,Trendyol Süper Lig,Adana Demirspor,6.9294117647059,17,0,0,0,0,0.01230373,223,439,50.797266514806,179,44,10,0,0,0.0,3,1,1,0,0,0,0.0,0,0,9,69.230769230769,6,100.0,1454,0.0,0,0,0,2,0,0,76,26.573426573427,20,4,1,0,219,0,45,20,683,10,2,0,0,2,0,0,0,70,0,3,5,21,20,25,3,17,0.0,0,0,0,286,43,1,33.333333333333,0,244,195,2,0.0,162,0,17,0.8175
Deniz Eren Dönmezer,1550760,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0
Emre Akbaba,343527,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,7.190625,32,7,7,6,2,3.26007017,845,1118,75.581395348837,387,474,257,43,32,72.727272727273,65,24,5,0,0,16,21.333333333333,64,20,159,60.919540229885,30,49.180327868852,2682,10.9375,1,1,0,2,2,0,69,50.0,22,0,0,31,458,19,148,66,1686,64,32,0,0,29,6,20,0,0,7,0,0,0,0,0,0,31,0.0,43,44,75,138,40,43,66.153846153846,0,438,755,2,7.4083,153,0,32,0.0
Burhan Ersoy,1640309,Super Lig 24/25,Trendyol Süper Lig,Adana Demirspor,6.25,14,0,0,0,0,0.04989017,203,242,83.884297520661,150,53,17,0,2,100.0,16,5,3,0,0,0,0.0,1,0,22,55.0,2,14.285714285714,973,0.0,0,0,0,1,0,0,14,58.333333333333,33,2,1,1,52,0,18,10,344,5,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0.0,0,2,0,24,33,10,62.5,0,169,73,0,0.0232,23,0,18,0.0
Burhan Ersoy,1640309,Super Lig 23/24,Trendyol Süper Lig,Adana Demirspor,0.0,0,0,0,0,0,0.00098221,1,1,100.0,0,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0,0.0,0,0,1,0.0
