İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Oğuz Aydın,999396,Super Lig 23/24,Trendyol Süper Lig,Alanyaspor,7.28,35,13,19,5,8,8.3247917,858,1111,77.227722772277,274,609,397,64,54,61.363636363636,25,9,3,1,1,25,18.939393939394,58,25,117,47.177419354839,10,22.727272727273,2587,22.413793103448,2,2,0,0,1,0,39,52.0,6,1,0,49,552,24,67,28,1736,38,28,2,0,22,9,11,0,0,5,0,0,0,0,0,0,30,0.0,64,88,132,75,37,16,64.0,0,335,908,6,9.3377,137,0,35,0.0
Furkan Bayır,1003161,Super Lig 23/24,Trendyol Süper Lig,Alanyaspor,6.7866666666667,30,0,0,2,0,0.19986996,1230,1413,87.048832271762,858,373,101,1,0,0.0,38,26,7,0,1,1,50.0,10,2,48,50.526315789474,37,60.655737704918,2042,0.0,0,0,0,1,0,0,84,44.444444444444,108,0,0,2,195,1,104,50,1686,10,34,0,0,12,2,2,0,0,6,0,0,0,0,0,0,22,0.0,1,0,2,189,35,22,57.894736842105,1,926,489,1,1.335,101,0,31,0.0
Serdar Dursun,123917,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,6.4454545454545,11,0,0,3,0,0.04414358,60,75,80.0,34,26,9,1,0,0.0,1,0,1,0,0,0,0.0,9,1,8,44.444444444444,6,60.0,342,0.0,0,0,0,0,0,0,1,50.0,1,0,0,3,28,1,5,4,110,7,2,0,0,2,1,4,0,0,0,0,0,0,0,0,0,2,0.0,1,3,0,2,6,1,100.0,0,39,36,0,1.2873,7,0,12,0.0
Meschack Elia,862078,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.4764705882353,17,0,1,0,0,0.47279413,150,176,85.227272727273,47,103,65,6,5,23.809523809524,5,4,0,0,0,5,19.230769230769,10,6,18,33.333333333333,2,33.333333333333,531,0.0,0,0,0,0,0,0,1,25.0,0,0,0,7,90,3,6,0,305,8,10,1,0,3,4,4,0,0,0,0,0,0,0,0,0,5,0.0,6,21,26,4,10,3,60.0,0,55,121,0,0.5087,26,0,18,0.0
Ianis Hagi,756344,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.8909090909091,22,3,5,4,2,2.23260748,331,419,78.997613365155,100,231,146,32,14,46.666666666667,19,5,4,0,0,33,35.483870967742,36,11,79,58.955223880597,7,43.75,1325,8.3333333333333,0,0,0,1,8,2,16,51.612903225806,7,0,0,10,208,9,21,11,749,46,18,0,0,14,3,9,0,0,2,0,0,0,0,0,0,16,25.0,32,30,93,31,16,14,73.684210526316,0,118,301,1,2.0131,46,1,22,0.0
Steve Mounié,345035,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.5833333333333,18,2,1,6,0,0.53667203,113,160,70.625,37,76,40,9,2,22.222222222222,10,1,3,0,0,0,0.0,25,8,21,34.426229508197,33,47.826086956522,631,8.0,0,0,0,0,0,0,3,42.857142857143,11,0,0,8,85,5,11,7,273,10,25,1,0,4,2,7,0,0,0,0,0,0,0,0,0,5,0.0,9,9,2,7,8,5,50.0,0,41,119,1,3.7301,17,1,18,0.0
Ui-Jo Hwang,791314,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.6777777777778,27,4,5,3,6,1.4547687,334,417,80.095923261391,130,204,112,26,15,42.857142857143,7,5,1,0,0,5,22.727272727273,36,13,52,46.017699115044,8,30.769230769231,1976,11.111111111111,0,0,0,0,0,0,10,52.631578947368,4,0,0,18,192,8,18,11,688,32,15,1,0,8,9,10,0,0,1,0,0,0,0,0,0,24,0.0,26,35,22,19,26,5,71.428571428571,0,150,267,1,3.2644,41,1,27,0.0
Ui-Jo Hwang,791314,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,6.77,30,7,3,7,1,0.6674004,180,235,76.595744680851,80,103,66,9,10,32.258064516129,6,2,5,0,0,3,18.75,44,13,38,45.78313253012,16,32.65306122449,1477,15.909090909091,0,0,0,0,1,0,4,44.444444444444,8,0,1,14,147,11,6,2,464,22,8,1,0,5,14,12,0,0,0,0,0,0,0,0,0,16,0.0,9,31,16,9,19,4,66.666666666667,0,88,163,3,6.6684,28,0,30,0.0
Ui-Jo Hwang,791314,Super Lig 23/24,Trendyol Süper Lig,Alanyaspor,6.9142857142857,7,1,2,2,0,0.59106914,76,85,89.411764705882,34,42,21,6,3,42.857142857143,3,1,0,0,0,0,0.0,9,6,8,47.058823529412,0,0.0,257,11.111111111111,0,0,1,0,0,0,3,100.0,0,0,0,3,24,2,1,1,120,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0.0,6,7,1,3,4,3,100.0,0,37,49,0,1.645,5,0,8,0.0
Güven Yalçın,826162,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.7142857142857,21,6,0,2,0,0.45318974,108,161,67.080745341615,39,69,39,3,7,35.0,2,5,2,0,0,1,14.285714285714,24,10,23,28.048780487805,6,25.0,765,25.0,0,0,0,0,1,0,7,58.333333333333,4,0,0,19,119,4,15,7,308,14,21,0,0,6,5,5,0,0,0,0,0,0,0,0,0,9,0.0,3,20,7,12,10,0,0.0,0,50,111,2,2.8376,26,1,22,0.0
Ibrahim Kaya,996405,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.8409090909091,22,5,2,1,1,0.93596157,152,193,78.756476683938,42,110,53,16,10,34.48275862069,7,5,2,0,0,12,22.641509433962,28,11,42,48.837209302326,7,36.842105263158,903,17.857142857143,1,1,0,0,2,0,9,56.25,4,0,0,13,141,4,14,8,424,25,7,0,0,5,1,8,0,0,1,0,0,0,0,0,0,8,0.0,16,29,53,16,13,6,85.714285714286,0,52,141,1,2.5239,30,0,24,0.0
Maestro,1002146,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.89375,16,1,3,1,1,1.36606857,541,575,94.086956521739,241,300,125,18,20,74.074074074074,22,2,3,0,1,1,14.285714285714,18,2,57,54.807692307692,6,40.0,1145,5.5555555555556,0,0,0,0,0,0,14,73.684210526316,10,0,0,14,77,4,16,10,744,16,19,0,0,8,0,5,0,0,2,0,0,0,0,0,0,13,0.0,18,27,7,19,15,11,50.0,1,256,319,1,0.7909,78,2,16,0.0
Florent Hadergjonaj,354860,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,7.15,24,5,8,0,7,3.31129414,604,784,77.040816326531,255,349,210,31,9,60.0,19,7,4,0,0,43,29.054054054054,17,9,42,56.756756756757,14,63.636363636364,1762,29.411764705882,2,2,0,0,1,0,54,45.762711864407,32,0,1,5,346,2,94,45,1276,15,12,1,0,10,1,5,0,0,4,0,0,0,0,0,0,20,0.0,31,15,148,118,25,11,57.894736842105,0,298,486,3,2.1085,47,2,24,0.0
Florent Hadergjonaj,354860,Super Lig 24/25,Trendyol Süper Lig,Alanyaspor,7.1,33,4,13,1,5,4.19166545,1039,1365,76.117216117216,495,582,315,43,17,48.571428571429,55,29,4,0,0,38,29.230769230769,21,9,94,64.827586206897,16,43.243243243243,2815,19.047619047619,4,4,0,0,1,0,105,45.064377682403,74,0,2,8,556,8,192,98,2160,22,12,0,0,16,2,4,1,0,7,0,0,0,0,0,0,31,0.0,42,35,130,233,44,32,58.181818181818,0,577,918,1,4.2519,116,0,33,0.0
Florent Hadergjonaj,354860,Super Lig 23/24,Trendyol Süper Lig,Alanyaspor,6.9266666666667,30,2,5,1,3,2.68823701,1033,1264,81.724683544304,486,561,312,23,11,42.307692307692,43,22,3,0,0,14,26.415094339623,17,4,75,58.59375,12,34.285714285714,2318,11.764705882353,0,0,0,0,0,0,73,46.20253164557,36,0,0,4,356,9,105,44,1812,22,13,0,0,21,4,5,0,0,5,0,0,0,0,0,0,25,0.0,23,26,53,158,33,30,69.767441860465,0,554,763,1,1.1506,109,0,31,0.0
Gaius Makouta,847013,Super Lig 25/26,Trendyol Süper Lig,Alanyaspor,6.762962962963,27,1,2,1,0,1.91348117,925,1060,87.264150943396,424,501,243,17,16,64.0,30,26,6,0,0,6,31.578947368421,23,4,85,52.795031055901,24,60.0,2289,4.3478260869565,0,0,0,1,0,0,40,59.701492537313,17,1,5,26,210,4,64,34,1347,39,32,0,0,12,1,7,0,0,5,0,0,0,0,0,0,27,0.0,17,25,19,67,31,22,73.333333333333,0,466,594,0,1.2915,102,0,27,0.0
