İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented
Mert Günok,39573,Super Lig 24/25,Trendyol Süper Lig,Beşiktaş JK,7.0470588235294,34,0,0,0,0,0.03879542,510,807,63.197026022305,416,94,27,1,1,100.0,1,1,4,0,0,0,0.0,0,0,4,80.0,13,100.0,3060,0.0,0,0,0,1,0,0,147,33.561643835616,18,0,3,0,306,0,80,47,1154,2,1,0,0,0,0,0,0,93,11,0,7,11,11,42,0,34,0.0,1,1,0,438,33,0,0.0,0,468,339,1,0.0,270,0,34,-0.3349
Mert Günok,39573,Super Lig 23/24,Trendyol Süper Lig,Beşiktaş JK,6.8866666666667,30,0,0,0,0,0.1016405,464,762,60.892388451444,330,134,56,3,2,100.0,0,0,4,1,1,0,0.0,1,0,5,71.428571428571,6,85.714285714286,2543,0.0,0,0,0,0,0,0,190,39.094650205761,10,2,1,1,306,0,111,56,1002,3,1,0,0,1,0,1,0,70,10,1,3,6,6,26,0,30,0.0,3,2,0,486,35,0,0.0,0,359,403,1,0.0174,217,0,30,-1.031
Mert Günok,39573,UEFA Europa League 24/25,UEFA Europa League,Beşiktaş JK,7.26,5,0,0,0,0,0.00688801,89,138,64.492753623188,77,12,4,0,0,0.0,0,1,0,0,0,0,0.0,0,0,0,0.0,4,80.0,450,0.0,0,0,0,0,0,0,28,37.333333333333,3,0,0,0,49,0,18,8,197,0,0,0,0,0,0,0,0,22,0,0,2,1,1,3,0,5,0.0,0,0,0,75,10,0,0.0,0,88,50,0,0.0,40,0,5,3.5295
Ernest Muçi,924670,Super Lig 24/25,Trendyol Süper Lig,Beşiktaş JK,7.0115384615385,26,4,5,3,2,2.69963287,439,526,83.460076045627,112,335,179,19,27,52.941176470588,17,9,2,0,0,8,17.391304347826,44,15,69,47.586206896552,8,32.0,1341,9.0909090909091,0,0,1,0,1,0,9,52.941176470588,7,0,0,22,212,9,25,10,847,25,16,0,0,17,9,15,0,0,1,0,0,0,0,0,0,15,0.0,19,51,46,17,8,12,70.588235294118,0,130,442,2,3.7145,61,0,27,0.0
Ernest Muçi,924670,Super Lig 23/24,Trendyol Süper Lig,Beşiktaş JK,7.1307692307692,13,3,2,3,0,1.70553837,333,391,85.166240409207,108,228,137,16,18,47.368421052632,12,6,3,0,0,3,14.285714285714,41,15,45,44.117647058824,4,28.571428571429,1040,7.3170731707317,0,0,0,0,1,0,14,63.636363636364,6,0,0,17,152,13,17,10,618,15,10,1,0,12,1,15,1,0,3,0,0,0,0,0,0,12,0.0,15,38,21,22,9,6,50.0,0,115,297,2,2.2481,59,0,13,0.0
Ernest Muçi,924670,UEFA Europa League 24/25,UEFA Europa League,Beşiktaş JK,7.0,6,1,1,0,1,0.46710963,138,173,79.768786127168,51,87,54,12,5,35.714285714286,6,2,0,0,0,0,0.0,11,2,15,45.454545454545,1,12.5,428,9.0909090909091,0,0,0,0,0,0,6,54.545454545455,6,0,0,6,68,2,15,7,255,4,2,0,0,1,0,3,1,0,0,0,0,0,0,0,0,5,0.0,11,14,4,11,5,4,66.666666666667,0,64,113,1,0.6239,20,0,6,0.0
El Bilal Touré,982615,Super Lig 25/26,Trendyol Süper Lig,Beşiktaş JK,6.85625,16,5,1,8,4,1.40445399,267,365,73.150684931507,65,202,131,25,18,47.368421052632,17,4,4,1,1,2,28.571428571429,35,18,53,45.689655172414,55,56.701030927835,1274,14.285714285714,0,0,1,0,0,0,5,41.666666666667,9,0,0,16,200,4,9,3,610,19,25,1,0,7,10,7,0,0,2,0,0,0,0,0,0,15,0.0,25,38,7,12,19,8,47.058823529412,0,90,275,1,5.8556,31,1,16,0.0
Hyeon-gyu Oh,1010634,Super Lig 25/26,Trendyol Süper Lig,Beşiktaş JK,7.225,8,4,2,3,1,0.5383129,91,123,73.983739837398,37,54,32,6,3,60.0,2,3,1,0,0,1,33.333333333333,19,8,23,51.111111111111,18,39.130434782609,712,21.052631578947,0,0,1,0,0,0,2,40.0,10,0,0,4,61,6,11,7,224,18,16,0,0,3,7,6,0,0,1,0,0,0,0,0,0,8,0.0,6,5,3,5,5,1,50.0,0,45,78,2,1.8754,13,1,8,0.0
Cengiz Ünder,758876,Super Lig 25/26,Trendyol Süper Lig,Beşiktaş JK,6.8782608695652,23,5,6,6,2,2.60290523,266,318,83.647798742138,79,187,122,21,11,55.0,9,6,2,0,0,15,22.388059701493,36,17,33,52.380952380952,10,58.823529411765,921,13.888888888889,2,1,0,0,2,0,5,23.809523809524,9,1,0,10,140,6,11,3,546,17,8,2,0,4,4,12,0,0,0,0,0,0,0,0,0,10,0.0,21,20,67,21,12,6,66.666666666667,0,88,230,0,5.5265,39,3,23,0.0
Mustafa Hekimoğlu,1524303,Super Lig 25/26,Trendyol Süper Lig,Beşiktaş JK,6.5666666666667,12,1,0,0,0,0.03505468,39,52,75.0,12,27,16,2,3,27.272727272727,6,3,2,0,0,0,0.0,5,3,22,42.307692307692,6,42.857142857143,282,20.0,0,0,0,0,0,0,1,50.0,4,0,0,4,46,1,2,2,127,14,17,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0.0,2,11,3,2,6,5,83.333333333333,0,17,35,0,1.2656,10,0,13,0.0
