İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Francis Momoh,999854,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.4,0,0,0,0,0,0.0,6,8,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,42,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Assinor,1513507,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.105,0,7,0,0,0,0.0,198,291,68.04,0,0,16,15,29,58.0,0,0,6,0,0,7,43.75,45,19,0,0.0,36,35.64,1725,15.56,0,0,0,0,0,0,11,64.71,18,0,1,0,0,0,0,0,0,16,20,0,0,5,24,1,4,0,0,0,0,0,0,0,0,20,0.0,0,0,16,17,0,0,0.0,0,0,0,0,0.0,59,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danylo Kravchuk,1023385,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.8,0,3,0,0,0,0.0,72,102,70.59,0,0,5,3,6,66.67,0,0,1,0,0,1,16.67,16,8,0,0.0,8,40.0,451,18.75,0,0,0,0,0,0,2,50.0,3,0,1,0,0,0,0,0,0,2,4,0,0,3,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0,0,6,4,0,0,0.0,0,0,0,0,0.0,17,0,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewison Bennette,1131933,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.8666666666667,0,0,0,0,0,0.0,102,145,70.34,0,0,7,6,24,72.73,0,0,0,0,0,7,31.82,11,4,0,0.0,4,33.33,541,0.0,0,0,0,0,0,0,3,42.86,3,0,0,0,0,0,0,0,0,3,2,0,0,5,5,1,0,0,0,0,0,0,0,0,0,6,0.0,0,0,22,7,0,0,0.0,0,0,0,0,0.0,25,0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muharrem Jashari,885043,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.2733333333333,0,3,0,0,3,0.0,273,386,70.73,0,0,28,23,14,58.33,0,0,3,0,0,8,34.78,30,13,0,0.0,4,22.22,1349,10.0,1,0,0,0,1,0,16,51.61,14,0,6,0,0,0,0,0,0,15,13,0,0,13,3,2,1,0,0,0,0,0,0,0,0,14,0.0,0,0,23,31,0,0,0.0,0,0,0,0,0.0,75,1,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shota Nonikashvili,1001314,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.7631578947368,0,3,0,0,1,0.0,212,256,82.81,0,0,24,8,1,100.0,0,0,6,0,0,0,0.0,18,6,0,0.0,16,57.14,919,16.67,1,1,0,0,2,0,14,53.85,11,0,7,0,0,0,0,0,0,7,17,0,0,18,0,2,0,0,0,0,0,0,0,0,0,6,0.0,0,0,1,26,0,0,0.0,0,0,0,0,0.0,85,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yehor Tverdokhlib,1400418,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.1263157894737,0,7,0,0,4,0.0,347,481,72.14,0,0,49,17,14,66.67,0,0,5,0,0,4,28.57,36,17,0,0.0,34,45.33,1710,19.44,3,3,0,0,0,0,21,46.67,18,0,11,0,0,0,0,0,0,28,26,0,0,35,1,6,0,0,0,0,0,0,0,0,0,18,0.0,0,0,14,45,0,0,0.0,0,0,0,0,0.0,139,0,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Yakubu,1610225,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.6,0,0,0,0,0,0.0,1,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,2,0.0,11,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Awudu,1032325,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,7.0,0,1,0,0,0,0.0,16,17,94.12,0,0,1,1,3,42.86,0,0,0,0,0,1,50.0,2,1,0,0.0,0,0.0,74,50.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,2,0,0,0,0.0,0,0,0,0,0.0,6,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yevhenii Pastukh,1405557,Premier League 25/26,Ukrainian Premier League,LNZ Cherkasy,6.5772727272727,0,1,0,0,2,0.0,313,409,76.53,0,0,39,12,22,55.0,0,0,3,0,0,5,41.67,8,2,0,0.0,22,37.29,1712,12.5,0,0,0,0,0,0,18,54.55,8,0,7,0,0,0,0,0,0,7,21,0,0,33,4,3,1,0,0,0,0,0,0,0,0,18,0.0,0,0,12,33,0,0,0.0,0,0,0,0,0.0,107,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
