İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Bryan Castillo,985007,Premier League 25/26,Ukrainian Premier League,Oleksandria,6.5666666666667,0,2,0,0,1,0.0,100,142,70.42,0,0,10,2,9,64.29,0,0,4,0,1,1,50.0,14,4,0,0.0,19,38.0,934,14.29,0,0,0,0,0,0,2,33.33,2,0,4,0,0,0,0,0,0,26,22,0,0,3,1,1,0,0,0,0,0,0,0,0,0,9,0.0,0,0,2,6,0,0,0.0,1,0,0,0,0.0,21,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dmytrii Kremchanin,1158178,Premier League 25/26,Ukrainian Premier League,Oleksandria,0.0,0,0,0,0,0,0.0,3,6,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,17,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Ndiaga Yade,991359,Premier League 25/26,Ukrainian Premier League,Oleksandria,6.525,0,0,0,0,0,0.0,26,40,65.0,0,0,4,2,4,100.0,0,0,0,0,0,0,0.0,4,0,0,0.0,7,26.92,322,0.0,0,0,0,0,0,0,2,66.67,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,0.0,0,0,3,3,0,0,0.0,0,0,0,0,0.0,7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauro Rodrigues,978212,Premier League 25/26,Ukrainian Premier League,Oleksandria,6.5,0,0,0,0,0,0.0,50,63,79.37,0,0,2,1,10,58.82,0,0,0,0,0,2,40.0,3,0,0,0.0,1,11.11,300,0.0,0,0,0,0,0,0,2,100.0,0,0,0,0,0,0,0,0,0,5,2,0,0,5,2,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,5,2,0,0,0.0,0,0,0,0,0.0,15,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Henrique,1067634,Premier League 25/26,Ukrainian Premier League,Oleksandria,6.6210526315789,0,0,0,0,1,0.0,474,556,85.25,0,0,53,1,1,100.0,0,0,3,0,0,0,0.0,4,0,0,0.0,12,54.55,1262,0.0,0,0,0,0,0,0,31,49.21,23,0,18,0,0,0,0,0,0,5,17,0,0,24,0,4,0,0,0,0,0,0,0,0,0,13,0.0,0,0,1,63,0,0,0.0,0,0,0,0,0.0,128,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serhii Buletsa,981190,Premier League 25/26,Ukrainian Premier League,Oleksandria,6.8666666666667,0,1,0,0,1,0.0,280,340,82.35,0,0,23,16,9,69.23,0,0,0,0,0,8,66.67,13,4,0,0.0,3,27.27,1030,7.692,0,0,0,0,3,0,22,59.46,8,0,3,0,0,0,0,0,0,11,6,0,0,10,2,2,0,0,0,0,0,0,0,0,0,13,0.0,0,0,12,37,0,0,0.0,0,0,0,0,0.0,55,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tedi Cara,892698,Premier League 25/26,Ukrainian Premier League,Oleksandria,6.82,0,4,0,0,2,0.0,316,416,75.96,0,0,20,22,52,73.24,0,0,2,0,0,16,35.56,21,10,0,0.0,2,8.7,1662,19.05,0,0,0,0,0,0,6,50.0,5,0,8,0,0,0,0,0,0,17,8,0,0,22,8,1,2,0,0,0,0,0,0,0,0,20,0.0,0,0,45,12,0,0,0.0,0,0,0,0,0.0,50,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hussayn Touati,997188,Premier League 25/26,Ukrainian Premier League,Oleksandria,6.66,0,3,0,0,0,0.0,51,90,56.67,0,0,4,3,19,61.29,0,0,2,0,0,2,15.38,9,5,0,0.0,1,9.09,433,33.33,0,0,0,0,0,0,4,28.57,3,0,1,0,0,0,0,0,0,5,7,0,0,5,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0,0,13,14,0,0,0.0,0,0,0,0,0.0,13,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhonnatan da Silva,1587870,Premier League 25/26,Ukrainian Premier League,Oleksandria,6.7363636363636,0,1,0,0,0,0.0,58,74,78.38,0,0,5,4,15,93.75,0,0,3,0,1,1,20.0,4,2,0,0.0,0,0.0,372,25.0,0,0,0,0,0,0,3,42.86,0,0,1,0,0,0,0,0,0,17,3,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,0.0,0,0,5,7,0,0,0.0,1,0,0,0,0.0,17,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateus Amaral,1590334,Premier League 25/26,Ukrainian Premier League,Oleksandria,6.4571428571429,0,2,0,0,0,0.0,77,94,81.91,0,0,6,3,4,80.0,0,0,1,0,0,2,50.0,9,3,0,0.0,4,50.0,402,22.22,0,0,0,0,0,0,3,60.0,4,0,2,0,0,0,0,0,0,3,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0,3,0.0,0,0,4,5,0,0,0.0,0,0,0,0,0.0,15,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
