İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Oleksandr Filippov,255359,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.7058823529412,0,2,0,0,1,0.0,125,149,83.89,0,0,4,3,7,77.78,0,0,1,0,0,1,25.0,13,7,0,0.0,4,21.05,742,15.38,1,0,0,0,0,0,4,80.0,1,0,3,0,0,0,0,0,0,6,7,0,0,4,6,1,0,0,0,0,0,0,0,0,0,8,0.0,0,0,4,5,0,0,0.0,0,0,0,0,0.0,15,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Krasnopir,1436201,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.8318181818182,0,6,0,0,2,0.0,131,169,77.51,0,0,4,12,14,63.64,0,0,3,0,0,5,38.46,25,15,0,0.0,31,30.69,1372,24.0,0,0,0,0,0,0,1,50.0,3,0,2,0,0,0,0,0,0,12,27,0,0,1,13,2,1,0,0,0,0,0,0,0,0,14,0.0,0,0,13,2,0,0,0.0,0,0,0,0,0.0,25,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mykola Haiduchyk,1105889,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.9181818181818,0,8,0,0,0,0.0,198,242,81.82,0,0,10,15,8,66.67,0,0,1,0,0,1,25.0,28,13,0,0.0,23,45.1,1053,28.57,0,0,0,0,0,0,10,76.92,6,0,4,0,0,0,0,0,0,10,13,0,0,4,4,4,1,0,0,0,0,0,0,0,0,10,0.0,0,0,4,13,0,0,0.0,0,0,0,0,0.0,41,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleksii Hutsuliak,791171,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,7.3421052631579,0,6,0,0,4,0.0,408,512,79.69,0,0,14,19,56,76.71,0,0,0,0,0,14,36.84,34,15,0,0.0,27,46.55,1366,17.65,1,1,0,0,3,0,17,70.83,12,0,4,0,0,0,0,0,0,29,9,0,0,17,0,5,1,0,0,0,0,0,0,0,0,13,0.0,0,0,38,24,0,0,0.0,0,0,0,0,0.0,63,0,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lindon Emërllahu,1383308,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.7833333333333,0,1,0,0,1,0.0,134,169,79.29,0,0,13,6,8,61.54,0,0,0,0,0,6,60.0,6,1,0,0.0,8,38.1,436,16.67,0,0,0,0,0,0,3,60.0,2,0,4,0,0,0,0,0,0,3,4,0,0,7,2,0,0,0,0,0,0,0,0,0,0,6,0.0,0,0,10,5,0,0,0.0,0,0,0,0,0.0,20,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleksandr Nazarenko,943414,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.9227272727273,0,4,0,0,2,0.0,266,351,75.78,0,0,10,15,29,72.5,0,0,1,0,0,23,35.94,16,6,0,0.0,4,33.33,1276,25.0,1,1,0,0,1,0,9,56.25,6,0,3,0,0,0,0,0,0,9,5,0,0,10,3,0,1,0,0,0,0,0,0,0,0,11,0.0,0,0,64,16,0,0,0.0,0,0,0,0,0.0,64,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maksym Bragaru,1111786,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.9894736842105,0,4,0,0,2,0.0,326,392,83.16,0,0,23,15,37,74.0,0,0,1,0,0,12,34.29,28,12,0,0.0,4,33.33,1147,14.29,0,0,0,0,0,0,12,70.59,4,0,2,0,0,0,0,0,0,15,22,0,0,7,3,0,2,0,0,0,0,0,0,0,0,13,0.0,0,0,35,17,0,0,0.0,0,0,0,0,0.0,47,0,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladyslav Veleten,1001956,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,7.3142857142857,0,3,0,0,5,0.0,247,339,72.86,0,0,17,15,46,90.2,0,0,3,0,0,25,39.06,17,6,0,0.0,8,25.81,966,17.65,0,0,0,0,0,0,9,60.0,4,0,3,0,0,0,0,0,0,9,13,0,0,12,3,1,3,0,0,0,0,0,0,0,0,12,0.0,0,0,64,15,0,0,0.0,0,0,0,0,0.0,38,0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogdan Lednev,862061,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.6,0,0,0,0,0,0.0,31,42,73.81,0,0,3,3,1,100.0,0,0,2,0,0,1,25.0,1,0,0,0.0,1,50.0,156,0.0,0,0,0,0,1,0,1,25.0,0,0,1,0,0,0,0,0,0,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,4,4,0,0,0.0,0,0,0,0,0.0,8,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomer Yosefi,973858,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.84,0,2,0,0,1,0.0,60,85,70.59,0,0,10,7,11,91.67,0,0,0,0,0,3,27.27,9,3,0,0.0,2,28.57,314,22.22,0,0,0,0,1,0,1,50.0,3,0,1,0,0,0,0,0,0,3,8,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0.0,0,0,11,2,0,0,0.0,0,0,0,0,0.0,15,0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borel Tomandzoto,1089768,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.65,0,0,0,0,0,0.0,54,61,88.52,0,0,2,0,0,0.0,0,0,1,0,0,0,0.0,2,0,0,0.0,1,16.67,166,0.0,0,0,0,0,0,0,1,20.0,4,0,1,0,0,0,0,0,0,3,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,5,0,0,0.0,0,0,0,0,0.0,16,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleg Fedor,1401457,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.6454545454545,0,0,0,0,1,0.0,97,121,80.17,0,0,4,3,15,75.0,0,0,1,0,0,2,50.0,6,3,0,0.0,2,22.22,427,0.0,0,0,0,0,0,0,2,33.33,4,0,0,0,0,0,0,0,0,10,4,0,0,7,0,1,0,0,0,0,0,0,0,0,0,4,0.0,0,0,4,6,0,0,0.0,0,0,0,0,0.0,20,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borys Krushynskyi,1093798,Premier League 25/26,Ukrainian Premier League,Polissya Zhytomyr,6.8357142857143,0,0,0,0,1,0.0,418,511,81.8,0,0,65,8,16,59.26,0,0,3,0,0,4,18.18,13,2,0,0.0,18,54.55,1095,0.0,0,0,0,0,0,0,41,63.08,24,0,9,0,0,0,0,0,0,6,17,0,0,36,0,3,1,0,0,0,0,0,0,0,0,12,0.0,0,0,22,65,0,0,0.0,0,0,0,0,0.0,106,0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
