player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
76158,Alexander,Meyer,Alexander Meyer,2025,16,alexander-meyer,Germany,Bad Oldesloe,Germany,1991-04-13 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2027-06-30 00:00:00,AKA Global GmbH,https://img.a.transfermarkt.technology/portrait/header/76158-1716381651.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alexander-meyer/profil/spieler/76158,L1,Borussia Dortmund,800000.0,1000000.0
94192,Patrick,Drewes,Patrick Drewes,2025,16,patrick-drewes,Germany,Delmenhorst,Germany,1993-02-04 00:00:00,Goalkeeper,Goalkeeper,right,194.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/94192-1721851751.jpg?lm=1,,,,https://www.transfermarkt.co.uk/patrick-drewes/profil/spieler/94192,L1,Borussia Dortmund,400000.0,1000000.0
106987,Marcel,Sabitzer,Marcel Sabitzer,2025,16,marcel-sabitzer,Austria,Wels,Austria,1994-03-17 00:00:00,Central Midfield,Midfield,right,178.0,2027-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/106987-1711745992.jpg?lm=1,96.0,24.0,,https://www.transfermarkt.co.uk/marcel-sabitzer/profil/spieler/106987,L1,Borussia Dortmund,7000000.0,42000000.0
119296,Emre,Can,Emre Can,2025,16,emre-can,Germany,Frankfurt am Main,Germany,1994-01-12 00:00:00,Centre-Back,Defender,right,186.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/119296-1709561046.jpg?lm=1,48.0,2.0,,https://www.transfermarkt.co.uk/emre-can/profil/spieler/119296,L1,Borussia Dortmund,4000000.0,40000000.0
166601,Niklas,Süle,Niklas Süle,2025,16,niklas-sule,Germany,Frankfurt am Main,Germany,1995-09-03 00:00:00,Centre-Back,Defender,right,195.0,2026-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/166601-1709560223.jpg?lm=1,49.0,1.0,,https://www.transfermarkt.co.uk/niklas-sule/profil/spieler/166601,L1,Borussia Dortmund,4000000.0,60000000.0
187492,Julian,Brandt,Julian Brandt,2025,16,julian-brandt,Germany,Bremen,Germany,1996-05-02 00:00:00,Attacking Midfield,Midfield,right,185.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/187492-1709560849.jpg?lm=1,48.0,3.0,,https://www.transfermarkt.co.uk/julian-brandt/profil/spieler/187492,L1,Borussia Dortmund,20000000.0,50000000.0
193004,Waldemar,Anton,Waldemar Anton,2025,16,waldemar-anton,Uzbekistan,Almalyk,Germany,1996-07-20 00:00:00,Centre-Back,Defender,right,189.0,2028-06-30 00:00:00,AKA Global GmbH,https://img.a.transfermarkt.technology/portrait/header/193004-1723922551.jpg?lm=1,13.0,0.0,,https://www.transfermarkt.co.uk/waldemar-anton/profil/spieler/193004,L1,Borussia Dortmund,18000000.0,24000000.0
244940,Salih,Özcan,Salih Özcan,2025,16,salih-ozcan,Germany,Köln,Türkiye,1998-01-11 00:00:00,Defensive Midfield,Midfield,right,183.0,2026-06-30 00:00:00,FOKUS,https://img.a.transfermarkt.technology/portrait/header/244940-1709561120.jpg?lm=1,27.0,1.0,,https://www.transfermarkt.co.uk/salih-ozcan/profil/spieler/244940,L1,Borussia Dortmund,3500000.0,17000000.0
257814,Gregor,Kobel,Gregor Kobel,2025,16,gregor-kobel,Switzerland,Zürich,Switzerland,1997-12-06 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2028-06-30 00:00:00,SBE Management AG,https://img.a.transfermarkt.technology/portrait/header/257814-1709559904.jpg?lm=1,19.0,0.0,,https://www.transfermarkt.co.uk/gregor-kobel/profil/spieler/257814,L1,Borussia Dortmund,40000000.0,40000000.0
270541,Serhou,Guirassy,Serhou Guirassy,2025,16,serhou-guirassy,France,Arles,Guinea,1996-03-12 00:00:00,Centre-Forward,Attack,right,187.0,2028-06-30 00:00:00,KGSMI,https://img.a.transfermarkt.technology/portrait/header/270541-1755989642.jpg?lm=1,26.0,10.0,,https://www.transfermarkt.co.uk/serhou-guirassy/profil/spieler/270541,L1,Borussia Dortmund,40000000.0,45000000.0
284732,Ramy,Bensebaini,Ramy Bensebaini,2025,16,ramy-bensebaini,Algeria,Constantine,Algeria,1995-04-16 00:00:00,Centre-Back,Defender,left,187.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/284732-1730103772.jpg?lm=1,79.0,7.0,3614.0,https://www.transfermarkt.co.uk/ramy-bensebaini/profil/spieler/284732,L1,Borussia Dortmund,7000000.0,22000000.0
370789,Julian,Ryerson,Julian Ryerson,2025,16,julian-ryerson,Norway,Lyngdal,Norway,1997-11-17 00:00:00,Right-Back,Defender,right,183.0,2028-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/370789-1709561216.jpg?lm=1,39.0,1.0,,https://www.transfermarkt.co.uk/julian-ryerson/profil/spieler/370789,L1,Borussia Dortmund,25000000.0,25000000.0
