player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
106405,Jeffrey,Gouweleeuw,Jeffrey Gouweleeuw,2025,167,jeffrey-gouweleeuw,Netherlands,Heemskerk,Netherlands,1991-07-10 00:00:00,Centre-Back,Defender,right,188.0,2027-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/106405-1755201296.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/jeffrey-gouweleeuw/profil/spieler/106405,L1,Fußball-Club Augsburg 1907,1000000.0,12000000.0
120205,Michael,Gregoritsch,Michael Gregoritsch,2025,167,michael-gregoritsch,Austria,Graz,Austria,1994-04-18 00:00:00,Centre-Forward,Attack,left,193.0,2026-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/120205-1773661423.jpg?lm=1,73.0,24.0,,https://www.transfermarkt.co.uk/michael-gregoritsch/profil/spieler/120205,L1,Fußball-Club Augsburg 1907,1500000.0,20000000.0
193900,Marius,Wolf,Marius Wolf,2025,167,marius-wolf,Germany,Coburg,Germany,1995-05-27 00:00:00,Right-Back,Defender,right,188.0,2027-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/193900-1755201094.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/marius-wolf/profil/spieler/193900,L1,Fußball-Club Augsburg 1907,2500000.0,10000000.0
251299,Finn,Dahmen,Finn Dahmen,2025,167,finn-dahmen,Germany,Wiesbaden,Germany,1998-03-27 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2027-06-30 00:00:00,CN Sports,https://img.a.transfermarkt.technology/portrait/header/251299-1755200500.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/finn-dahmen/profil/spieler/251299,L1,Fußball-Club Augsburg 1907,12000000.0,12000000.0
264960,Robin,Fellhauer,Robin Fellhauer,2025,167,robin-fellhauer,Germany,Mannheim,Germany,1998-01-21 00:00:00,Defensive Midfield,Midfield,right,182.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/264960-1755201733.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/robin-fellhauer/profil/spieler/264960,L1,Fußball-Club Augsburg 1907,3000000.0,3000000.0
280575,Elvis,Rexhbecaj,Elvis Rexhbecaj,2025,167,elvis-rexhbecaj,Yugoslavia (Republic),Prizren,Kosovo,1997-11-01 00:00:00,Central Midfield,Midfield,left,182.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/280575-1755201620.jpg?lm=1,15.0,2.0,,https://www.transfermarkt.co.uk/elvis-rexhbecaj/profil/spieler/280575,L1,Fußball-Club Augsburg 1907,3500000.0,8000000.0
288429,Mads,Pedersen,Mads Pedersen,2025,167,mads-pedersen,Denmark,Hørsholm,Denmark,1996-09-01 00:00:00,Left-Back,Defender,left,178.0,2027-06-30 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/288429-1755201256.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/mads-pedersen/profil/spieler/288429,L1,Fußball-Club Augsburg 1907,1000000.0,3500000.0
295630,Dimitrios,Giannoulis,Dimitrios Giannoulis,2025,167,dimitrios-giannoulis,Greece,Katerini,Greece,1995-10-17 00:00:00,Left-Back,Defender,left,178.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/295630-1755201178.jpg?lm=1,33.0,0.0,,https://www.transfermarkt.co.uk/dimitrios-giannoulis/profil/spieler/295630,L1,Fußball-Club Augsburg 1907,3000000.0,7000000.0
342039,Yannik,Keitel,Yannik Keitel,2025,167,yannik-keitel,Germany,Breisach am Rhein,Germany,2000-02-15 00:00:00,Defensive Midfield,Midfield,both,186.0,2026-06-30 00:00:00,peak ,https://img.a.transfermarkt.technology/portrait/header/342039-1773661370.jpg?lm=1,15.0,0.0,,https://www.transfermarkt.co.uk/yannik-keitel/profil/spieler/342039,L1,Fußball-Club Augsburg 1907,2000000.0,5000000.0
374954,Kristijan,Jakic,Kristijan Jakic,2025,167,kristijan-jakic,Croatia,Split,Croatia,1997-05-14 00:00:00,Defensive Midfield,Midfield,right,184.0,2028-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/374954-1755201482.jpg?lm=1,16.0,2.0,,https://www.transfermarkt.co.uk/kristijan-jakic/profil/spieler/374954,L1,Fußball-Club Augsburg 1907,6000000.0,9000000.0
382478,Cédric,Zesiger,Cédric Zesiger,2025,167,cedric-zesiger,Switzerland,Meyriez FR,Switzerland,1998-06-24 00:00:00,Centre-Back,Defender,left,194.0,2029-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/382478-1755200960.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/cedric-zesiger/profil/spieler/382478,L1,Fußball-Club Augsburg 1907,5000000.0,7500000.0
384593,Alexis,Claude-Maurice,Alexis Claude-Maurice,2025,167,alexis-claude-maurice,France,Noisy-le-Grand,France,1998-06-06 00:00:00,Attacking Midfield,Midfield,right,176.0,2027-06-30 00:00:00,Sport Cover,https://img.a.transfermarkt.technology/portrait/header/384593-1755201378.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/alexis-claude-maurice/profil/spieler/384593,L1,Fußball-Club Augsburg 1907,15000000.0,15000000.0
392124,Daniel,Klein,Daniel Klein,2025,167,daniel-klein,Germany,Heidelberg,Germany,2001-03-13 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/392124-1755200609.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/daniel-klein/profil/spieler/392124,L1,Fußball-Club Augsburg 1907,150000.0,300000.0
413843,Keven,Schlotterbeck,Keven Schlotterbeck,2025,167,keven-schlotterbeck,Germany,Weinstadt,Germany,1997-04-28 00:00:00,Centre-Back,Defender,left,188.0,2027-06-30 00:00:00,Björn Etzel,https://img.a.transfermarkt.technology/portrait/header/413843-1755201026.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/keven-schlotterbeck/profil/spieler/413843,L1,Fußball-Club Augsburg 1907,6000000.0,7500000.0
507341,Fabian,Rieder,Fabian Rieder,2025,167,fabian-rieder,Switzerland,Bern,Switzerland,2002-02-16 00:00:00,Attacking Midfield,Midfield,left,179.0,2030-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/507341-1773671220.jpg?lm=1,26.0,1.0,,https://www.transfermarkt.co.uk/fabian-rieder/profil/spieler/507341,L1,Fußball-Club Augsburg 1907,8000000.0,15000000.0
536508,Han-Noah,Massengo,Han-Noah Massengo,2025,167,han-noah-massengo,France,Villepinte,France,2001-07-07 00:00:00,Central Midfield,Midfield,right,178.0,2030-06-30 00:00:00,Classico,https://img.a.transfermarkt.technology/portrait/header/536508-1755200310.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/han-noah-massengo/profil/spieler/536508,L1,Fußball-Club Augsburg 1907,6000000.0,8000000.0
