player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
17259,Manuel,Neuer,Manuel Neuer,2025,27,manuel-neuer,Germany,Gelsenkirchen,Germany,1986-03-27 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2026-06-30 00:00:00,PRO Profil GmbH,https://img.a.transfermarkt.technology/portrait/header/17259-1762943283.jpg?lm=1,124.0,0.0,,https://www.transfermarkt.co.uk/manuel-neuer/profil/spieler/17259,L1,FC Bayern München,4000000.0,45000000.0
40680,Sven,Ulreich,Sven Ulreich,2025,27,sven-ulreich,Germany,Schorndorf,Germany,1988-08-03 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/40680-1700659982.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/sven-ulreich/profil/spieler/40680,L1,FC Bayern München,500000.0,6000000.0
132098,Harry,Kane,Harry Kane,2025,27,harry-kane,England,London,England,1993-07-28 00:00:00,Centre-Forward,Attack,right,188.0,2027-06-30 00:00:00,CK66,https://img.a.transfermarkt.technology/portrait/header/132098-1700211169.jpg?lm=1,112.0,78.0,,https://www.transfermarkt.co.uk/harry-kane/profil/spieler/132098,L1,FC Bayern München,65000000.0,150000000.0
153084,Leon,Goretzka,Leon Goretzka,2025,27,leon-goretzka,Germany,Bochum,Germany,1995-02-06 00:00:00,Central Midfield,Midfield,right,189.0,2026-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/153084-1700040179.jpg?lm=1,68.0,15.0,,https://www.transfermarkt.co.uk/leon-goretzka/profil/spieler/153084,L1,FC Bayern München,15000000.0,70000000.0
159471,Serge,Gnabry,Serge Gnabry,2025,27,serge-gnabry,Germany,Stuttgart,Germany,1995-07-14 00:00:00,Second Striker,Attack,right,176.0,2028-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/159471-1759909173.jpg?lm=1,58.0,25.0,,https://www.transfermarkt.co.uk/serge-gnabry/profil/spieler/159471,L1,FC Bayern München,20000000.0,90000000.0
161056,Joshua,Kimmich,Joshua Kimmich,2025,27,joshua-kimmich,Germany,Rottweil,Germany,1995-02-08 00:00:00,Defensive Midfield,Midfield,right,177.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/161056-1700039639.jpg?lm=1,106.0,10.0,,https://www.transfermarkt.co.uk/joshua-kimmich/profil/spieler/161056,L1,FC Bayern München,40000000.0,90000000.0
170986,Raphaël,Guerreiro,Raphaël Guerreiro,2025,27,raphael-guerreiro,France,Le Blanc-Mesnil,Portugal,1993-12-22 00:00:00,Left-Back,Defender,left,170.0,2026-06-30 00:00:00,ARANEA,https://img.a.transfermarkt.technology/portrait/header/170986-1711745629.jpg?lm=1,65.0,4.0,,https://www.transfermarkt.co.uk/raphael-guerreiro/profil/spieler/170986,L1,FC Bayern München,6000000.0,40000000.0
196357,Jonathan,Tah,Jonathan Tah,2025,27,jonathan-tah,Germany,Hamburg,Germany,1996-02-11 00:00:00,Centre-Back,Defender,right,195.0,2029-06-30 00:00:00,Gol International,https://img.a.transfermarkt.technology/portrait/header/196357-1695367765.jpg?lm=1,43.0,0.0,,https://www.transfermarkt.co.uk/jonathan-tah/profil/spieler/196357,L1,FC Bayern München,30000000.0,40000000.0
223967,Konrad,Laimer,Konrad Laimer,2025,27,konrad-laimer,Austria,Salzburg,Austria,1997-05-27 00:00:00,Right-Back,Defender,right,180.0,2027-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/223967-1700659266.jpg?lm=1,55.0,7.0,,https://www.transfermarkt.co.uk/konrad-laimer/profil/spieler/223967,L1,FC Bayern München,32000000.0,32000000.0
344695,Dayot,Upamecano,Dayot Upamecano,2025,27,dayot-upamecano,France,Évreux,France,1998-10-27 00:00:00,Centre-Back,Defender,right,186.0,2030-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/344695-1701245272.jpg?lm=1,36.0,2.0,,https://www.transfermarkt.co.uk/dayot-upamecano/profil/spieler/344695,L1,FC Bayern München,70000000.0,70000000.0
