player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
46580,Andrej,Kramaric,Andrej Kramaric,2025,533,andrej-kramaric,Jugoslawien (SFR),Zagreb,Croatia,1991-06-19 00:00:00,Attacking Midfield,Midfield,right,177.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/46580-1755089885.jpg?lm=1,113.0,36.0,,https://www.transfermarkt.co.uk/andrej-kramaric/profil/spieler/46580,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,3000000.0,38000000.0
55089,Oliver,Baumann,Oliver Baumann,2025,533,oliver-baumann,Germany,Breisach am Rhein,Germany,1990-06-02 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2028-06-30 00:00:00,CN Sports,https://img.a.transfermarkt.technology/portrait/header/55089-1755090197.jpg?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/oliver-baumann/profil/spieler/55089,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,3000000.0,10000000.0
157672,Vladimír,Coufal,Vladimír Coufal,2025,533,vladimir-coufal,CSSR,Ostrava,Czech Republic,1992-08-22 00:00:00,Right-Back,Defender,right,174.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/157672-1755091456.jpg?lm=1,60.0,2.0,,https://www.transfermarkt.co.uk/vladimir-coufal/profil/spieler/157672,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,2700000.0,12000000.0
160241,Kevin,Akpoguma,Kevin Akpoguma,2025,533,kevin-akpoguma,Germany,Neustadt an der Weinstraße,Nigeria,1995-04-19 00:00:00,Centre-Back,Defender,right,192.0,2026-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/160241-1723920979.jpg?lm=1,8.0,0.0,,https://www.transfermarkt.co.uk/kevin-akpoguma/profil/spieler/160241,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,2000000.0,12000000.0
234029,Grischa,Prömel,Grischa Prömel,2025,533,grischa-promel,Germany,Stuttgart,Germany,1995-01-09 00:00:00,Central Midfield,Midfield,right,184.0,2026-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/234029-1755091326.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/grischa-promel/profil/spieler/234029,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,3500000.0,7500000.0
237164,Ihlas,Bebou,Ihlas Bebou,2025,533,ihlas-bebou,Togo,Aledjo Kadara,Togo,1994-04-23 00:00:00,Centre-Forward,Attack,right,185.0,2026-06-30 00:00:00,EMG Mundial,https://img.a.transfermarkt.technology/portrait/header/237164-1723921163.jpg?lm=1,38.0,1.0,,https://www.transfermarkt.co.uk/ihlas-bebou/profil/spieler/237164,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,800000.0,16000000.0
361260,Ozan,Kabak,Ozan Kabak,2025,533,ozan-kabak,Türkiye,Ankara,Türkiye,2000-03-25 00:00:00,Centre-Back,Defender,right,187.0,2026-06-30 00:00:00,F-F SPORT,https://img.a.transfermarkt.technology/portrait/header/361260-1691269223.jpg?lm=1,27.0,2.0,,https://www.transfermarkt.co.uk/ozan-kabak/profil/spieler/361260,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,10000000.0,32000000.0
364258,,Bernardo,Bernardo,2025,533,bernardo,Brazil,São Paulo,Brazil,1995-05-14 00:00:00,Left-Back,Defender,left,186.0,2027-06-30 00:00:00,Kick&Run,https://img.a.transfermarkt.technology/portrait/header/364258-1691250245.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bernardo/profil/spieler/364258,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,5000000.0,9000000.0
412953,Wouter,Burger,Wouter Burger,2025,533,wouter-burger,Netherlands,Zuid-Beijerland,Netherlands,2001-02-16 00:00:00,Defensive Midfield,Midfield,left,191.0,2030-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/412953-1755092325.jpg?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/wouter-burger/profil/spieler/412953,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,20000000.0,20000000.0
415035,Koki,Machida,Koki Machida,2025,533,koki-machida,Japan,"Tsukuba, Ibaraki",Japan,1997-08-25 00:00:00,Centre-Back,Defender,left,190.0,,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/415035-1755090800.jpg?lm=1,17.0,0.0,,https://www.transfermarkt.co.uk/koki-machida/profil/spieler/415035,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,7000000.0,11000000.0
432671,Luca,Philipp,Luca Philipp,2025,533,luca-philipp,Germany,Stuttgart,Germany,2000-11-28 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2026-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/432671-1755092013.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/luca-philipp/profil/spieler/432671,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,750000.0,750000.0
434116,Alexander,Prass,Alexander Prass,2025,533,alexander-prass,Austria,Hellmonsödt,Austria,2001-05-26 00:00:00,Left Midfield,Midfield,left,182.0,2028-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/434116-1723921044.jpg?lm=1,17.0,0.0,,https://www.transfermarkt.co.uk/alexander-prass/profil/spieler/434116,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,7000000.0,12000000.0
524290,Fisnik,Asllani,Fisnik Asllani,2025,533,fisnik-asllani,Germany,Berlin,Kosovo,2002-08-08 00:00:00,Centre-Forward,Attack,both,191.0,2029-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/524290-1755090506.jpg?lm=1,13.0,4.0,,https://www.transfermarkt.co.uk/fisnik-asllani/profil/spieler/524290,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,30000000.0,30000000.0
552057,Adam,Hlozek,Adam Hlozek,2025,533,adam-hlozek,Czech Republic,Ivančice,Czech Republic,2002-07-25 00:00:00,Centre-Forward,Attack,right,188.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/552057-1755092070.jpg?lm=1,41.0,4.0,,https://www.transfermarkt.co.uk/adam-hlozek/profil/spieler/552057,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,12000000.0,20000000.0
553285,Tim,Lemperle,Tim Lemperle,2025,533,tim-lemperle,Germany,Frankfurt am Main,Germany,2002-02-05 00:00:00,Centre-Forward,Attack,right,187.0,2029-06-30 00:00:00,ROGON,https://img.a.transfermarkt.technology/portrait/header/553285-1755090691.jpg?lm=1,10.0,2.0,,https://www.transfermarkt.co.uk/tim-lemperle/profil/spieler/553285,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,15000000.0,15000000.0
569387,Valentin,Gendrey,Valentin Gendrey,2025,533,valentin-gendrey,France,La Garenne-Colombes,France,2000-06-21 00:00:00,Right-Back,Defender,right,179.0,2028-06-30 00:00:00,BS & PARTNERS,https://img.a.transfermarkt.technology/portrait/header/569387-1663745931.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/valentin-gendrey/profil/spieler/569387,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,7000000.0,8500000.0
579459,Albian,Hajdari,Albian Hajdari,2025,533,albian-hajdari,Switzerland,Binningen,Kosovo,2003-05-18 00:00:00,Centre-Back,Defender,left,189.0,2029-06-30 00:00:00,HWH Sport,https://img.a.transfermarkt.technology/portrait/header/579459-1755184688.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/albian-hajdari/profil/spieler/579459,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,20000000.0,20000000.0
620217,Robin,Hranac,Robin Hranac,2025,533,robin-hranac,Czech Republic,Plzeň,Czech Republic,2000-01-29 00:00:00,Centre-Back,Defender,right,190.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/620217-1713471898.jpg?lm=1,11.0,1.0,,https://www.transfermarkt.co.uk/robin-hranac/profil/spieler/620217,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,10000000.0,10000000.0
667457,Leon,Avdullahu,Leon Avdullahu,2025,533,leon-avdullahu,Switzerland,Solothurn,Kosovo,2004-02-23 00:00:00,Defensive Midfield,Midfield,right,185.0,2029-06-30 00:00:00,HWH Sport,https://img.a.transfermarkt.technology/portrait/header/667457-1755091730.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/leon-avdullahu/profil/spieler/667457,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,25000000.0,25000000.0
685484,Luka,Duric,Luka Duric,2025,533,luka-duric,Germany,Sinsheim,Bosnia-Herzegovina,2003-06-18 00:00:00,Central Midfield,Midfield,,181.0,2026-06-30 00:00:00,PRO Profil GmbH,https://img.a.transfermarkt.technology/portrait/header/685484-1756890134.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luka-duric/profil/spieler/685484,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,450000.0,450000.0
718460,Lúkas,Petersson,Lúkas Petersson,2025,533,lukas-petersson,Germany,Düsseldorf,Iceland,2004-02-09 00:00:00,Goalkeeper,Goalkeeper,right,195.0,,Karlheinz Förster,https://img.a.transfermarkt.technology/portrait/header/718460-1723920319.jpg?lm=1,16.0,0.0,,https://www.transfermarkt.co.uk/lukas-petersson/profil/spieler/718460,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,600000.0,600000.0
789898,Muhammed,Damar,Muhammed Damar,2025,533,muhammed-damar,Germany,Berlin,Germany,2004-04-09 00:00:00,Attacking Midfield,Midfield,both,185.0,2029-06-30 00:00:00,EMG Mundial,https://img.a.transfermarkt.technology/portrait/header/789898-1691269309.jpg?lm=1,6.0,3.0,,https://www.transfermarkt.co.uk/muhammed-damar/profil/spieler/789898,L1,Turn- und Sportgemeinschaft 1899 Hoffenheim Fußball-Spielbetriebs,5000000.0,7000000.0
