player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
85791,Stefan,Lainer,Stefan Lainer,2025,409,stefan-lainer,Austria,Salzburg,Austria,1992-08-27 00:00:00,Right-Back,Defender,right,175.0,2027-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/85791-1754993552.png?lm=1,39.0,2.0,,https://www.transfermarkt.co.uk/stefan-lainer/profil/spieler/85791,A1,Fußballclub Red Bull Salzburg,1000000.0,18000000.0
119234,Karim,Onisiwo,Karim Onisiwo,2025,409,karim-onisiwo,Austria,Wien,Austria,1992-03-17 00:00:00,Centre-Forward,Attack,right,188.0,2026-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/119234-1754993892.png?lm=1,24.0,1.0,,https://www.transfermarkt.co.uk/karim-onisiwo/profil/spieler/119234,A1,Fußballclub Red Bull Salzburg,500000.0,4500000.0
186374,Alexander,Schlager,Alexander Schlager,2025,409,alexander-schlager,Austria,Salzburg,Austria,1996-02-01 00:00:00,Goalkeeper,Goalkeeper,right,184.0,2027-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/186374-1754994062.png?lm=1,25.0,0.0,,https://www.transfermarkt.co.uk/alexander-schlager/profil/spieler/186374,A1,Fußballclub Red Bull Salzburg,2500000.0,4500000.0
404260,Aleksa,Terzic,Aleksa Terzic,2025,409,aleksa-terzic,Yugoslavia (Republic),Belgrad,Serbia,1999-08-17 00:00:00,Left-Back,Defender,left,184.0,2028-06-30 00:00:00,Gol International,https://img.a.transfermarkt.technology/portrait/header/404260-1754994007.png?lm=1,13.0,1.0,,https://www.transfermarkt.co.uk/aleksa-terzic/profil/spieler/404260,A1,Fußballclub Red Bull Salzburg,3000000.0,4000000.0
409517,Yorbe,Vertessen,Yorbe Vertessen,2025,409,yorbe-vertessen,Belgium,Tienen,Belgium,2001-01-08 00:00:00,Centre-Forward,Attack,right,174.0,2029-06-30 00:00:00,TEAM VERTESSEN,https://img.a.transfermarkt.technology/portrait/header/409517-1754993819.png?lm=1,12.0,4.0,,https://www.transfermarkt.co.uk/yorbe-vertessen/profil/spieler/409517,A1,Fußballclub Red Bull Salzburg,6000000.0,6000000.0
462832,Mads,Bidstrup,Mads Bidstrup,2025,409,mads-bidstrup,Denmark,Køge,Denmark,2001-02-25 00:00:00,Central Midfield,Midfield,right,175.0,2029-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/462832-1754993672.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/mads-bidstrup/profil/spieler/462832,A1,Fußballclub Red Bull Salzburg,15000000.0,15000000.0
515650,Takumu,Kawamura,Takumu Kawamura,2025,409,takumu-kawamura,Japan,"Hiroshima, Hiroshima",Japan,1999-08-28 00:00:00,Defensive Midfield,Midfield,left,183.0,2028-06-30 00:00:00,Sarcle Co. Ltd.,https://img.a.transfermarkt.technology/portrait/header/515650-1754993708.png?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/takumu-kawamura/profil/spieler/515650,A1,Fußballclub Red Bull Salzburg,1500000.0,1700000.0
581880,Justin,Omoregie,Justin Omoregie,2025,409,justin-omoregie,Austria,Wien,Austria,2003-09-21 00:00:00,Central Midfield,Midfield,left,191.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/581880-1773242191.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/justin-omoregie/profil/spieler/581880,A1,Fußballclub Red Bull Salzburg,500000.0,800000.0
604320,Frans,Krätzig,Frans Krätzig,2025,409,frans-kratzig,Germany,Nürnberg,Germany,2003-01-14 00:00:00,Left-Back,Defender,left,177.0,2029-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/604320-1754993796.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/frans-kratzig/profil/spieler/604320,A1,Fußballclub Red Bull Salzburg,2800000.0,3500000.0
610405,Maurits,Kjaergaard,Maurits Kjaergaard,2025,409,maurits-kjaergaard,Denmark,Herlev,Denmark,2003-06-26 00:00:00,Central Midfield,Midfield,left,192.0,2028-06-30 00:00:00,PEP Consulting,https://img.a.transfermarkt.technology/portrait/header/610405-1754993772.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/maurits-kjaergaard/profil/spieler/610405,A1,Fußballclub Red Bull Salzburg,8000000.0,15000000.0
