player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
42717,Jo,Coppens,Jo Coppens,2025,475,jo-coppens,Belgium,Heusden-Zolder,Belgium,1990-12-21 00:00:00,Goalkeeper,Goalkeeper,left,190.0,2026-06-30 00:00:00,Soccer-Solutions,https://img.a.transfermarkt.technology/portrait/header/42717-1713345662.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/jo-coppens/profil/spieler/42717,BE1,Koninklijke Sint-Truidense Voetbalvereniging,150000.0,500000.0
207623,Visar,Musliu,Visar Musliu,2025,475,visar-musliu,Macedonia,Gostivar,North Macedonia,1994-11-13 00:00:00,Centre-Back,Defender,both,187.0,,M-Soccermanagement,https://img.a.transfermarkt.technology/portrait/header/207623-1734014773.jpg?lm=1,71.0,2.0,,https://www.transfermarkt.co.uk/visar-musliu/profil/spieler/207623,BE1,Koninklijke Sint-Truidense Voetbalvereniging,900000.0,1400000.0
230985,Simen,Juklerød,Simen Juklerød,2025,475,simen-juklerod,Norway,Bærum,Norway,1994-05-18 00:00:00,Left-Back,Defender,left,187.0,2026-06-30 00:00:00,Next Wave,https://img.a.transfermarkt.technology/portrait/header/230985-1616851466.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/simen-juklerod/profil/spieler/230985,BE1,Koninklijke Sint-Truidense Voetbalvereniging,300000.0,2500000.0
235247,Wolke,Janssens,Wolke Janssens,2025,475,wolke-janssens,Belgium,Peer,Belgium,1995-01-11 00:00:00,Centre-Back,Defender,right,185.0,2026-06-30 00:00:00,Eleven Plus,https://img.a.transfermarkt.technology/portrait/header/235247-1713346691.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/wolke-janssens/profil/spieler/235247,BE1,Koninklijke Sint-Truidense Voetbalvereniging,300000.0,800000.0
307870,Shogo,Taniguchi,Shogo Taniguchi,2025,475,shogo-taniguchi,Japan,"Kumamoto, Kumamoto",Japan,1991-07-15 00:00:00,Centre-Back,Defender,right,183.0,,Roberto Tukada,https://img.a.transfermarkt.technology/portrait/header/307870-1605776779.jpg?lm=1,35.0,1.0,,https://www.transfermarkt.co.uk/shogo-taniguchi/profil/spieler/307870,BE1,Koninklijke Sint-Truidense Voetbalvereniging,800000.0,2500000.0
415522,Ryotaro,Ito,Ryotaro Ito,2025,475,ryotaro-ito,Japan,"Osaka, Osaka",Japan,1998-02-06 00:00:00,Attacking Midfield,Midfield,right,175.0,2026-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/415522-1713348166.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/ryotaro-ito/profil/spieler/415522,BE1,Koninklijke Sint-Truidense Voetbalvereniging,5000000.0,5000000.0
418661,Abdoulaye,Sissako,Abdoulaye Sissako,2025,475,abdoulaye-sissako,France,Clichy-la-Garenne,France,1998-05-26 00:00:00,Defensive Midfield,Midfield,right,181.0,,BMVP,https://img.a.transfermarkt.technology/portrait/header/418661-1706021061.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/abdoulaye-sissako/profil/spieler/418661,BE1,Koninklijke Sint-Truidense Voetbalvereniging,1500000.0,1800000.0
432403,Rihito,Yamamoto,Rihito Yamamoto,2025,475,rihito-yamamoto,Japan,"Sagamihara, Kanagawa",Japan,2001-12-12 00:00:00,Central Midfield,Midfield,left,179.0,,UDN SPORTS,https://img.a.transfermarkt.technology/portrait/header/432403-1713348369.png?lm=1,18.0,0.0,,https://www.transfermarkt.co.uk/rihito-yamamoto/profil/spieler/432403,BE1,Koninklijke Sint-Truidense Voetbalvereniging,5000000.0,5000000.0
452296,Joedrick,Pupe,Joedrick Pupe,2025,475,joedrick-pupe,Belgium,Brugge,Belgium,1997-06-04 00:00:00,Centre-Back,Defender,left,190.0,2026-06-30 00:00:00,Libera Sports,https://img.a.transfermarkt.technology/portrait/header/452296-1757576357.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joedrick-pupe/profil/spieler/452296,BE1,Koninklijke Sint-Truidense Voetbalvereniging,1000000.0,1300000.0
463610,Loïc,Mbe Soh,Loïc Mbe Soh,2025,475,loic-mbe-soh,Cameroon,Souza Gare,France,2001-06-13 00:00:00,Centre-Back,Defender,right,187.0,,Libera Sports,https://img.a.transfermarkt.technology/portrait/header/463610-1557735619.jpg?lm=1,6.0,1.0,,https://www.transfermarkt.co.uk/loic-mbe-soh/profil/spieler/463610,BE1,Koninklijke Sint-Truidense Voetbalvereniging,1500000.0,5000000.0
501737,Leo,Kokubo,Leo Kokubo,2025,475,leo-kokubo,Japan,"---, Chiba",Japan,2001-01-23 00:00:00,Goalkeeper,Goalkeeper,right,193.0,,M&Y Management,https://img.a.transfermarkt.technology/portrait/header/501737-1604578645.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/leo-kokubo/profil/spieler/501737,BE1,Koninklijke Sint-Truidense Voetbalvereniging,5000000.0,5000000.0
538970,Ryan,Merlen,Ryan Merlen,2025,475,ryan-merlen,France,Lens,France,2002-05-11 00:00:00,Central Midfield,Midfield,right,188.0,,Libera Sports,https://img.a.transfermarkt.technology/portrait/header/538970-1713878740.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/ryan-merlen/profil/spieler/538970,BE1,Koninklijke Sint-Truidense Voetbalvereniging,750000.0,750000.0
570572,Taiga,Hata,Taiga Hata,2025,475,taiga-hata,Japan,"Nishitama, Tokyo",Japan,2002-01-20 00:00:00,Left-Back,Defender,right,177.0,,UDN SPORTS,https://img.a.transfermarkt.technology/portrait/header/570572-1654247848.jpg?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/taiga-hata/profil/spieler/570572,BE1,Koninklijke Sint-Truidense Voetbalvereniging,2500000.0,2500000.0
606967,Arbnor,Muja,Arbnor Muja,2025,475,arbnor-muja,Yugoslavia (Republic),Mitrovica,Albania,1998-11-29 00:00:00,Right Winger,Attack,right,179.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/606967-1730122770.JPG?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/arbnor-muja/profil/spieler/606967,BE1,Koninklijke Sint-Truidense Voetbalvereniging,2200000.0,5000000.0
727528,Robert-Jan,Vanwesemael,Robert-Jan Vanwesemael,2025,475,robert-jan-vanwesemael,,,Belgium,2002-03-26 00:00:00,Right-Back,Defender,right,176.0,2026-06-30 00:00:00,NGA Sport,https://img.a.transfermarkt.technology/portrait/header/727528-1713347170.png?lm=1,,,,https://www.transfermarkt.co.uk/robert-jan-vanwesemael/profil/spieler/727528,BE1,Koninklijke Sint-Truidense Voetbalvereniging,2500000.0,2500000.0
736034,Isaías,Delpupo,Isaías Delpupo,2025,475,isaias-delpupo,Argentina,El Socorro,Argentina,2003-03-31 00:00:00,Attacking Midfield,Midfield,left,176.0,2027-06-30 00:00:00,Quadratum,https://img.a.transfermarkt.technology/portrait/header/736034-1590742742.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/isaias-delpupo/profil/spieler/736034,BE1,Koninklijke Sint-Truidense Voetbalvereniging,300000.0,700000.0
751989,Alouis,Diriken,Alouis Diriken,2025,475,alouis-diriken,,,Belgium,2004-04-01 00:00:00,Defensive Midfield,Midfield,right,186.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/751989-1713347445.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/alouis-diriken/profil/spieler/751989,BE1,Koninklijke Sint-Truidense Voetbalvereniging,300000.0,300000.0
852953,Ilias,Sebaoui,Ilias Sebaoui,2025,475,ilias-sebaoui,Belgium,Antwerpen,Morocco,2001-10-04 00:00:00,Left Winger,Attack,right,180.0,2028-06-30 00:00:00,Libera Sports,https://img.a.transfermarkt.technology/portrait/header/852953-1723714225.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/ilias-sebaoui/profil/spieler/852953,BE1,Koninklijke Sint-Truidense Voetbalvereniging,3000000.0,3000000.0
916623,Keisuke,Goto,Keisuke Goto,2025,475,keisuke-goto,Japan,"Hamamatsu, Shizuoka",Japan,2005-06-03 00:00:00,Centre-Forward,Attack,right,191.0,2026-06-30 00:00:00,CCC,https://img.a.transfermarkt.technology/portrait/header/916623-1737967086.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/keisuke-goto/profil/spieler/916623,BE1,Koninklijke Sint-Truidense Voetbalvereniging,8000000.0,8000000.0
937107,Matt,Lendfers,Matt Lendfers,2025,475,matt-lendfers,Belgium,Tongeren,Belgium,2006-03-10 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2027-06-30 00:00:00,Quadrans,https://img.a.transfermarkt.technology/portrait/header/937107-1713345861.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/matt-lendfers/profil/spieler/937107,BE1,Koninklijke Sint-Truidense Voetbalvereniging,150000.0,150000.0
1124661,Kaito,Matsuzawa,Kaito Matsuzawa,2025,475,kaito-matsuzawa,Japan,"Fuji, Shizuoka",Japan,2001-02-05 00:00:00,Left Winger,Attack,,176.0,,UDN SPORTS,https://img.a.transfermarkt.technology/portrait/header/1124661-1759763155.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kaito-matsuzawa/profil/spieler/1124661,BE1,Koninklijke Sint-Truidense Voetbalvereniging,600000.0,600000.0
1137664,Oumar,Diouf,Oumar Diouf,2025,475,oumar-diouf,Senegal,Dakar,Senegal,2003-05-15 00:00:00,Centre-Forward,Attack,left,180.0,,EPA,https://img.a.transfermarkt.technology/portrait/header/1137664-1693403522.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/oumar-diouf/profil/spieler/1137664,BE1,Koninklijke Sint-Truidense Voetbalvereniging,900000.0,900000.0
1153358,Shion,Shinkawa,Shion Shinkawa,2025,475,shion-shinkawa,,,Japan,2007-08-06 00:00:00,Attacking Midfield,Midfield,,171.0,2029-06-30 00:00:00,CCC,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/shion-shinkawa/profil/spieler/1153358,BE1,Koninklijke Sint-Truidense Voetbalvereniging,700000.0,700000.0
1159759,Adam,Nhaili,Adam Nhaili,2025,475,adam-nhaili,,,Belgium,2005-08-09 00:00:00,Attacking Midfield,Midfield,right,174.0,2028-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/1159759-1713352800.png?lm=1,,,,https://www.transfermarkt.co.uk/adam-nhaili/profil/spieler/1159759,BE1,Koninklijke Sint-Truidense Voetbalvereniging,200000.0,300000.0
1182625,Illyès,Benachour,Illyès Benachour,2025,475,illyes-benachour,France,La Seyne-sur-Mer,Morocco,2007-01-09 00:00:00,Attacking Midfield,Midfield,left,,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/1182625-1747232836.jpg?lm=1,2.0,1.0,,https://www.transfermarkt.co.uk/illyes-benachour/profil/spieler/1182625,BE1,Koninklijke Sint-Truidense Voetbalvereniging,100000.0,100000.0
1287151,Hugo,Lambotte,Hugo Lambotte,2025,475,hugo-lambotte,,,Belgium,2006-06-20 00:00:00,Centre-Back,Defender,right,188.0,2028-06-30 00:00:00,Libera Sports,https://img.a.transfermarkt.technology/portrait/header/1287151-1732866952.jpg?lm=1,,,,https://www.transfermarkt.co.uk/hugo-lambotte/profil/spieler/1287151,BE1,Koninklijke Sint-Truidense Voetbalvereniging,150000.0,200000.0
