player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
42748,Jelle,Vossen,Jelle Vossen,2025,3508,jelle-vossen,Belgium,Bilzen,Belgium,1989-03-22 00:00:00,Centre-Forward,Attack,right,183.0,2026-06-30 00:00:00,Eleven Plus,https://img.a.transfermarkt.technology/portrait/header/42748-1709896091.jpg?lm=1,12.0,2.0,,https://www.transfermarkt.co.uk/jelle-vossen/profil/spieler/42748,BE1,Sportvereniging Zulte Waregem,200000.0,7500000.0
159382,Louis,Bostyn,Louis Bostyn,2025,3508,louis-bostyn,Belgium,Roeselare,Belgium,1993-10-04 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2026-06-30 00:00:00,Stirr Associates,https://img.a.transfermarkt.technology/portrait/header/159382-1709893684.jpg?lm=1,,,,https://www.transfermarkt.co.uk/louis-bostyn/profil/spieler/159382,BE1,Sportvereniging Zulte Waregem,150000.0,1400000.0
286007,Benoît,Nyssen,Benoît Nyssen,2025,3508,benoit-nyssen,Belgium,Liège,Belgium,1997-09-12 00:00:00,Right-Back,Defender,right,186.0,2027-06-30 00:00:00,SENERGIES BV,https://img.a.transfermarkt.technology/portrait/header/286007-1713879012.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/benoit-nyssen/profil/spieler/286007,BE1,Sportvereniging Zulte Waregem,600000.0,600000.0
289584,Laurent,Lemoine,Laurent Lemoine,2025,3508,laurent-lemoine,Belgium,La Louvière,Belgium,1998-04-24 00:00:00,Centre-Back,Defender,right,186.0,2027-06-30 00:00:00,Eleven Plus,https://img.a.transfermarkt.technology/portrait/header/289584-1626772588.jpg?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/laurent-lemoine/profil/spieler/289584,BE1,Sportvereniging Zulte Waregem,600000.0,600000.0
338665,Brent,Gabriël,Brent Gabriël,2025,3508,brent-gabriel,Belgium,Sint-Niklaas,Belgium,1999-01-27 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2028-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/338665-1713871912.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/brent-gabriel/profil/spieler/338665,BE1,Sportvereniging Zulte Waregem,800000.0,800000.0
460848,Anton,Tanghe,Anton Tanghe,2025,3508,anton-tanghe,Belgium,Roeselare,Belgium,1999-01-28 00:00:00,Centre-Back,Defender,right,194.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/460848-1709894210.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/anton-tanghe/profil/spieler/460848,BE1,Sportvereniging Zulte Waregem,800000.0,1600000.0
521225,Jakob,Kiilerich,Jakob Kiilerich,2025,3508,jakob-kiilerich,,,Denmark,2000-05-10 00:00:00,Centre-Back,Defender,left,190.0,2027-06-30 00:00:00,Nine Group ,https://img.a.transfermarkt.technology/portrait/header/521225-1725485168.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jakob-kiilerich/profil/spieler/521225,BE1,Sportvereniging Zulte Waregem,700000.0,700000.0
543302,Jeppe,Erenbjerg,Jeppe Erenbjerg,2025,3508,jeppe-erenbjerg,Denmark,København,Denmark,2000-04-29 00:00:00,Attacking Midfield,Midfield,left,184.0,2029-06-30 00:00:00,Nine Group ,https://img.a.transfermarkt.technology/portrait/header/543302-1668018150.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jeppe-erenbjerg/profil/spieler/543302,BE1,Sportvereniging Zulte Waregem,3000000.0,3000000.0
543311,Anosike,Ementa,Anosike Ementa,2025,3508,anosike-ementa,Denmark,Annisse,Denmark,2002-05-03 00:00:00,Centre-Forward,Attack,right,202.0,2028-06-30 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/543311-1713785258.jpg?lm=1,,,,https://www.transfermarkt.co.uk/anosike-ementa/profil/spieler/543311,BE1,Sportvereniging Zulte Waregem,2000000.0,2000000.0
548037,Tobias,Hedl,Tobias Hedl,2025,3508,tobias-hedl,Austria,Wien,Austria,2003-01-15 00:00:00,Centre-Forward,Attack,right,185.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/548037-1724948741.jpg?lm=1,2.0,1.0,,https://www.transfermarkt.co.uk/tobias-hedl/profil/spieler/548037,BE1,Sportvereniging Zulte Waregem,500000.0,500000.0
