player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
52896,,Everton Ribeiro,Everton Ribeiro,2025,10010,everton-ribeiro,Brazil,Arujá,Brazil,1989-04-10 00:00:00,Attacking Midfield,Midfield,left,174.0,2026-12-31 00:00:00,Brazil Football,https://img.a.transfermarkt.technology/portrait/header/52896-1610006872.jpg?lm=1,22.0,3.0,,https://www.transfermarkt.co.uk/everton-ribeiro/profil/spieler/52896,BRA1,Esporte Clube Bahia,1200000.0,17000000.0
122155,,Willian José,Willian José,2025,10010,willian-jose,Brazil,Porto Calvo,Brazil,1991-11-23 00:00:00,Centre-Forward,Attack,right,186.0,2026-12-31 00:00:00,Un1que Football,https://img.a.transfermarkt.technology/portrait/header/122155-1720075360.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/willian-jose/profil/spieler/122155,BRA1,Esporte Clube Bahia,1400000.0,30000000.0
205041,,Everaldo,Everaldo,2025,10010,everaldo,Brazil,Garibaldi,Brazil,1991-07-05 00:00:00,Centre-Forward,Attack,right,182.0,2026-12-31 00:00:00,Kiraht Sports,https://img.a.transfermarkt.technology/portrait/header/205041-1751719002.jpg?lm=1,,,,https://www.transfermarkt.co.uk/everaldo/profil/spieler/205041,BRA1,Esporte Clube Bahia,400000.0,1500000.0
231614,,Gilberto,Gilberto,2025,10010,gilberto,Brazil,Rio de Janeiro,Brazil,1993-03-07 00:00:00,Right-Back,Defender,right,181.0,2026-06-30 00:00:00,MFD Sports,https://img.a.transfermarkt.technology/portrait/header/231614-1603795306.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/gilberto/profil/spieler/231614,BRA1,Esporte Clube Bahia,2500000.0,6000000.0
275412,,João Paulo,João Paulo,2025,10010,joao-paulo,Brazil,Dourados,Brazil,1995-06-29 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/275412-1771071867.png?lm=1,,,,https://www.transfermarkt.co.uk/joao-paulo/profil/spieler/275412,BRA1,Esporte Clube Bahia,2000000.0,7000000.0
373446,,David Duarte,David Duarte,2025,10010,david-duarte,Brazil,Rio Grande,Brazil,1995-01-24 00:00:00,Centre-Back,Defender,right,193.0,2027-12-31 00:00:00,Brazil Soccer,https://img.a.transfermarkt.technology/portrait/header/373446-1599723818.jpg?lm=1,,,,https://www.transfermarkt.co.uk/david-duarte/profil/spieler/373446,BRA1,Esporte Clube Bahia,1200000.0,1500000.0
387925,,Ronaldo,Ronaldo,2025,10010,ronaldo,Brazil,Salvador,Brazil,1996-08-22 00:00:00,Goalkeeper,Goalkeeper,right,194.0,2029-12-31 00:00:00,LINK SPORTS,https://img.a.transfermarkt.technology/portrait/header/387925-1543832595.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ronaldo/profil/spieler/387925,BRA1,Esporte Clube Bahia,2000000.0,2000000.0
468304,Rodrigo,Nestor,Rodrigo Nestor,2025,10010,rodrigo-nestor,Brazil,São Paulo,Brazil,2000-08-09 00:00:00,Central Midfield,Midfield,left,175.0,2030-12-31 00:00:00,LINK SPORTS,https://img.a.transfermarkt.technology/portrait/header/468304-1770035471.jpg?lm=1,14.0,0.0,,https://www.transfermarkt.co.uk/rodrigo-nestor/profil/spieler/468304,BRA1,Esporte Clube Bahia,7000000.0,9000000.0
482144,Michel,Araújo,Michel Araújo,2025,10010,michel-araujo,Uruguay,Colonia del Sacramento,Uruguay,1996-09-28 00:00:00,Right Winger,Attack,left,178.0,2028-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/482144-1748913974.jpg?lm=1,,,,https://www.transfermarkt.co.uk/michel-araujo/profil/spieler/482144,BRA1,Esporte Clube Bahia,2500000.0,3000000.0
520468,,Iago,Iago,2025,10010,iago,Brazil,Monte Azul Paulista,Brazil,1997-03-23 00:00:00,Left-Back,Defender,left,181.0,2028-12-31 00:00:00,C.R,https://img.a.transfermarkt.technology/portrait/header/520468-1771072057.png?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/iago/profil/spieler/520468,BRA1,Esporte Clube Bahia,3500000.0,6500000.0
524446,,Kanu,Kanu,2025,10010,kanu,Brazil,Duque de Caxias,Brazil,1997-03-07 00:00:00,Centre-Back,Defender,right,186.0,2027-12-31 00:00:00,Promanager,https://img.a.transfermarkt.technology/portrait/header/524446-1771071945.png?lm=1,,,,https://www.transfermarkt.co.uk/kanu/profil/spieler/524446,BRA1,Esporte Clube Bahia,3000000.0,3500000.0
544259,,Ademir,Ademir,2025,10010,ademir,Brazil,São Paulo,Brazil,1995-02-16 00:00:00,Right Winger,Attack,left,172.0,2026-12-31 00:00:00,Velop4 Sports,https://img.a.transfermarkt.technology/portrait/header/544259-1606987987.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ademir/profil/spieler/544259,BRA1,Esporte Clube Bahia,1500000.0,4500000.0
578872,,Jean Lucas,Jean Lucas,2025,10010,jean-lucas,Brazil,Rio de Janeiro,Brazil,1998-06-22 00:00:00,Central Midfield,Midfield,right,181.0,2028-12-31 00:00:00,SSP Sport Strategy,https://img.a.transfermarkt.technology/portrait/header/578872-1666691882.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/jean-lucas/profil/spieler/578872,BRA1,Esporte Clube Bahia,12000000.0,12000000.0
