player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
79960,,Alex Sandro,Alex Sandro,2025,614,alex-sandro,Brazil,Catanduva,Brazil,1991-01-26 00:00:00,Left-Back,Defender,left,181.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/79960-1751370710.jpg?lm=1,0.0,0.0,3439.0,https://www.transfermarkt.co.uk/alex-sandro/profil/spieler/79960,BRA1,Clube de Regatas do Flamengo,1500000.0,50000000.0
145707,,Danilo,Danilo,2025,614,danilo,Brazil,Bicas,Brazil,1991-07-15 00:00:00,Centre-Back,Defender,right,184.0,2026-12-31 00:00:00,B2F,https://img.a.transfermarkt.technology/portrait/header/145707-1663577215.jpg?lm=1,0.0,0.0,3439.0,https://www.transfermarkt.co.uk/danilo/profil/spieler/145707,BRA1,Clube de Regatas do Flamengo,2500000.0,25000000.0
148928,Saúl,Ñíguez,Saúl Ñíguez,2025,614,saul-niguez,Spain,Elche,Spain,1994-11-21 00:00:00,Central Midfield,Midfield,left,184.0,2028-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/148928-1764256774.jpg?lm=1,19.0,3.0,,https://www.transfermarkt.co.uk/saul-niguez/profil/spieler/148928,BRA1,Clube de Regatas do Flamengo,2000000.0,90000000.0
188862,Guillermo,Varela,Guillermo Varela,2025,614,guillermo-varela,Uruguay,Montevideo,Uruguay,1993-03-24 00:00:00,Right-Back,Defender,right,173.0,2027-12-31 00:00:00,DE 9 FÚTBOL,https://img.a.transfermarkt.technology/portrait/header/188862-1770771666.jpg?lm=1,26.0,0.0,,https://www.transfermarkt.co.uk/guillermo-varela/profil/spieler/188862,BRA1,Clube de Regatas do Flamengo,1200000.0,2500000.0
215616,Erick,Pulgar,Erick Pulgar,2025,614,erick-pulgar,Chile,Antofagasta,Chile,1994-01-15 00:00:00,Defensive Midfield,Midfield,right,188.0,2027-12-31 00:00:00,Vibra Futbol,https://img.a.transfermarkt.technology/portrait/header/215616-1744288828.jpg?lm=1,54.0,4.0,,https://www.transfermarkt.co.uk/erick-pulgar/profil/spieler/215616,BRA1,Clube de Regatas do Flamengo,5000000.0,15000000.0
248410,Giorgian,de Arrascaeta,Giorgian de Arrascaeta,2025,614,giorgian-de-arrascaeta,Uruguay,Nuevo Berlín,Uruguay,1994-06-01 00:00:00,Attacking Midfield,Midfield,right,174.0,2028-12-31 00:00:00,Daniel Fonseca,https://img.a.transfermarkt.technology/portrait/header/248410-1668501457.jpg?lm=1,58.0,13.0,,https://www.transfermarkt.co.uk/giorgian-de-arrascaeta/profil/spieler/248410,BRA1,Clube de Regatas do Flamengo,15000000.0,19000000.0
288431,,Léo Pereira,Léo Pereira,2025,614,leo-pereira,Brazil,Curitiba,Brazil,1996-01-31 00:00:00,Centre-Back,Defender,left,189.0,2027-12-31 00:00:00,R13 Fussball,https://img.a.transfermarkt.technology/portrait/header/288431-1751370674.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/leo-pereira/profil/spieler/288431,BRA1,Clube de Regatas do Flamengo,10000000.0,10000000.0
321239,,Everton,Everton,2025,614,everton,Brazil,Fortaleza,Brazil,1996-03-22 00:00:00,Left Winger,Attack,right,174.0,2026-12-31 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/321239-1744288639.jpg?lm=1,25.0,3.0,,https://www.transfermarkt.co.uk/everton/profil/spieler/321239,BRA1,Clube de Regatas do Flamengo,7000000.0,40000000.0
352324,Agustín,Rossi,Agustín Rossi,2025,614,agustin-rossi,Argentina,San Martín,Argentina,1995-08-21 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/352324-1633537886.JPG?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/agustin-rossi/profil/spieler/352324,BRA1,Clube de Regatas do Flamengo,10000000.0,10000000.0
353108,,Bruno Henrique,Bruno Henrique,2025,614,bruno-henrique,Brazil,Belo Horizonte,Brazil,1990-12-30 00:00:00,Centre-Forward,Attack,right,184.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/353108-1733188857.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/bruno-henrique/profil/spieler/353108,BRA1,Clube de Regatas do Flamengo,800000.0,6500000.0
354145,Jorge,Carrascal,Jorge Carrascal,2025,614,jorge-carrascal,Colombia,Cartagena de Indias,Colombia,1998-05-25 00:00:00,Attacking Midfield,Midfield,right,180.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/354145-1770034381.jpg?lm=1,22.0,2.0,,https://www.transfermarkt.co.uk/jorge-carrascal/profil/spieler/354145,BRA1,Clube de Regatas do Flamengo,11000000.0,11000000.0
374136,,Léo Ortiz,Léo Ortiz,2025,614,leo-ortiz,Brazil,Porto Alegre,Brazil,1996-01-03 00:00:00,Centre-Back,Defender,right,185.0,2028-12-31 00:00:00,Talents Sports,https://img.a.transfermarkt.technology/portrait/header/374136-1751370337.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/leo-ortiz/profil/spieler/374136,BRA1,Clube de Regatas do Flamengo,14000000.0,15000000.0
397458,Nicolás,de la Cruz,Nicolás de la Cruz,2025,614,nicolas-de-la-cruz,Uruguay,Montevideo,Uruguay,1997-06-01 00:00:00,Central Midfield,Midfield,right,167.0,2028-06-30 00:00:00,Paco Casal,https://img.a.transfermarkt.technology/portrait/header/397458-1719565799.jpg?lm=1,33.0,5.0,3449.0,https://www.transfermarkt.co.uk/nicolas-de-la-cruz/profil/spieler/397458,BRA1,Clube de Regatas do Flamengo,9000000.0,18000000.0
428783,,Vitão,Vitão,2025,614,vitao,Brazil,Jacarezinho,Brazil,2000-02-02 00:00:00,Centre-Back,Defender,right,185.0,2029-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/428783-1641992592.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/vitao/profil/spieler/428783,BRA1,Clube de Regatas do Flamengo,11000000.0,12000000.0
432895,,Pedro,Pedro,2025,614,pedro,Brazil,Rio de Janeiro,Brazil,1997-06-20 00:00:00,Centre-Forward,Attack,right,185.0,2027-12-31 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/432895-1668696996.jpg?lm=1,6.0,1.0,,https://www.transfermarkt.co.uk/pedro/profil/spieler/432895,BRA1,Clube de Regatas do Flamengo,17000000.0,23000000.0
435485,,Luiz Araújo,Luiz Araújo,2025,614,luiz-araujo,Brazil,Taquaritinga,Brazil,1996-06-02 00:00:00,Right Winger,Attack,left,175.0,2027-12-31 00:00:00,Trust Football ,https://img.a.transfermarkt.technology/portrait/header/435485-1752878567.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luiz-araujo/profil/spieler/435485,BRA1,Clube de Regatas do Flamengo,7000000.0,10000000.0
