player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
68097,,Rafael,Rafael,2025,585,rafael,Brazil,Coronel Fabriciano,Brazil,1989-06-23 00:00:00,Goalkeeper,Goalkeeper,left,192.0,2027-12-31 00:00:00,Fabio Mello Sports,https://img.a.transfermarkt.technology/portrait/header/68097-1755221835.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/rafael/profil/spieler/68097,BRA1,São Paulo Futebol Clube,400000.0,1250000.0
72441,Rafael,Tolói,Rafael Tolói,2025,585,rafael-toloi,Brazil,Glória D'Oeste,Italy,1990-10-10 00:00:00,Centre-Back,Defender,right,185.0,2026-12-31 00:00:00,Madeira Sports,https://img.a.transfermarkt.technology/portrait/header/72441-1663583172.jpg?lm=1,14.0,0.0,,https://www.transfermarkt.co.uk/rafael-toloi/profil/spieler/72441,BRA1,São Paulo Futebol Clube,1000000.0,16000000.0
77100,,Lucas Moura,Lucas Moura,2025,585,lucas-moura,Brazil,São Paulo,Brazil,1992-08-13 00:00:00,Right Winger,Attack,right,172.0,2026-12-31 00:00:00,4ComM,https://img.a.transfermarkt.technology/portrait/header/77100-1654164113.jpg?lm=1,37.0,4.0,,https://www.transfermarkt.co.uk/lucas-moura/profil/spieler/77100,BRA1,São Paulo Futebol Clube,2500000.0,40000000.0
85314,,Oscar,Oscar,2025,585,oscar,Brazil,Americana,Brazil,1991-09-09 00:00:00,Attacking Midfield,Midfield,right,180.0,2027-12-31 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/85314-1563435929.jpg?lm=1,48.0,12.0,,https://www.transfermarkt.co.uk/oscar/profil/spieler/85314,BRA1,São Paulo Futebol Clube,1000000.0,40000000.0
112988,Cédric,Soares,Cédric Soares,2025,585,cedric-soares,Germany,Singen,Portugal,1991-08-31 00:00:00,Right-Back,Defender,right,171.0,2027-12-31 00:00:00,Sports Invest UK ltd,https://img.a.transfermarkt.technology/portrait/header/112988-1700670607.jpg?lm=1,34.0,1.0,,https://www.transfermarkt.co.uk/cedric-soares/profil/spieler/112988,BRA1,São Paulo Futebol Clube,600000.0,15000000.0
139867,Robert,Arboleda,Robert Arboleda,2025,585,robert-arboleda,Ecuador,Esmeraldas,Ecuador,1991-10-22 00:00:00,Centre-Back,Defender,right,189.0,2027-12-31 00:00:00,IMAGESPORT,https://img.a.transfermarkt.technology/portrait/header/139867-1668498219.jpg?lm=1,39.0,2.0,,https://www.transfermarkt.co.uk/robert-arboleda/profil/spieler/139867,BRA1,São Paulo Futebol Clube,600000.0,2500000.0
162812,,Cauly,Cauly,2025,585,cauly,Brazil,Porto Seguro,Brazil,1995-09-15 00:00:00,Attacking Midfield,Midfield,both,175.0,2026-12-31 00:00:00,Roc Nation Sports,https://img.a.transfermarkt.technology/portrait/header/162812-1622913414.png?lm=1,,,,https://www.transfermarkt.co.uk/cauly/profil/spieler/162812,BRA1,São Paulo Futebol Clube,4000000.0,6000000.0
213841,Matheus,Dória,Matheus Dória,2025,585,matheus-doria,Brazil,São Gonçalo,Brazil,1994-11-08 00:00:00,Centre-Back,Defender,left,189.0,2027-12-31 00:00:00,Vergette Sports,https://img.a.transfermarkt.technology/portrait/header/213841-1671122804.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/matheus-doria/profil/spieler/213841,BRA1,São Paulo Futebol Clube,1500000.0,8000000.0
223560,,Luciano,Luciano,2025,585,luciano,Brazil,Anápolis,Brazil,1993-05-18 00:00:00,Centre-Forward,Attack,left,181.0,2028-12-31 00:00:00,Elenko Sports Ltda.,https://img.a.transfermarkt.technology/portrait/header/223560-1750986922.jpg?lm=1,6.0,5.0,,https://www.transfermarkt.co.uk/luciano/profil/spieler/223560,BRA1,São Paulo Futebol Clube,1500000.0,5500000.0
228433,,Wendell,Wendell,2025,585,wendell,Brazil,Fortaleza,Brazil,1993-07-20 00:00:00,Left-Back,Defender,left,176.0,2027-12-31 00:00:00,AIS Football,https://img.a.transfermarkt.technology/portrait/header/228433-1669115150.png?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/wendell/profil/spieler/228433,BRA1,São Paulo Futebol Clube,2000000.0,25000000.0
