player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
124901,Benjamin,Leroy,Benjamin Leroy,2025,1158,benjamin-leroy,France,Cucq,France,1989-04-07 00:00:00,Goalkeeper,Goalkeeper,right,184.0,2026-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/124901-1525692013.jpg?lm=1,,,,https://www.transfermarkt.co.uk/benjamin-leroy/profil/spieler/124901,FR1,Football Club Lorient-Bretagne Sud,100000.0,1250000.0
147051,Yvon,Mvogo,Yvon Mvogo,2025,1158,yvon-mvogo,Cameroon,Yaoundé,Switzerland,1994-06-06 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/147051-1719215379.jpg?lm=1,12.0,0.0,,https://www.transfermarkt.co.uk/yvon-mvogo/profil/spieler/147051,FR1,Football Club Lorient-Bretagne Sud,3000000.0,4500000.0
238626,Laurent,Abergel,Laurent Abergel,2025,1158,laurent-abergel,France,Marseille,France,1993-02-01 00:00:00,Defensive Midfield,Midfield,right,170.0,2029-06-30 00:00:00,N.Agency,https://img.a.transfermarkt.technology/portrait/header/238626-1704576934.jpg?lm=1,,,,https://www.transfermarkt.co.uk/laurent-abergel/profil/spieler/238626,FR1,Football Club Lorient-Bretagne Sud,2000000.0,3000000.0
239647,Aiyegun,Tosin,Aiyegun Tosin,2025,1158,aiyegun-tosin,Nigeria,Lagos,Benin,1998-06-26 00:00:00,Centre-Forward,Attack,right,179.0,2027-06-30 00:00:00,Binary Sports Group,https://img.a.transfermarkt.technology/portrait/header/239647-1647955304.jpg?lm=1,23.0,4.0,,https://www.transfermarkt.co.uk/aiyegun-tosin/profil/spieler/239647,FR1,Football Club Lorient-Bretagne Sud,2000000.0,4000000.0
322305,Jean-Victor,Makengo,Jean-Victor Makengo,2025,1158,jean-victor-makengo,France,Étampes,France,1998-06-12 00:00:00,Attacking Midfield,Midfield,left,177.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/322305-1663664657.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/jean-victor-makengo/profil/spieler/322305,FR1,Football Club Lorient-Bretagne Sud,6000000.0,10000000.0
333175,Bingourou,Kamara,Bingourou Kamara,2025,1158,bingourou-kamara,France,Longjumeau,Senegal,1996-10-21 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2027-06-30 00:00:00,B2W,https://img.a.transfermarkt.technology/portrait/header/333175-1525697908.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/bingourou-kamara/profil/spieler/333175,FR1,Football Club Lorient-Bretagne Sud,700000.0,2500000.0
391720,Igor,Silva,Igor Silva,2025,1158,igor-silva,Brazil,Niterói,Brazil,1996-08-21 00:00:00,Right-Back,Defender,right,173.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/391720-1600971302.jpg?lm=1,,,,https://www.transfermarkt.co.uk/igor-silva/profil/spieler/391720,FR1,Football Club Lorient-Bretagne Sud,1500000.0,2500000.0
496706,Montassar,Talbi,Montassar Talbi,2025,1158,montassar-talbi,France,Paris,Tunisia,1998-05-26 00:00:00,Centre-Back,Defender,right,190.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/496706-1628493934.png?lm=1,62.0,4.0,,https://www.transfermarkt.co.uk/montassar-talbi/profil/spieler/496706,FR1,Football Club Lorient-Bretagne Sud,7000000.0,8000000.0
590914,Bandiougou,Fadiga,Bandiougou Fadiga,2025,1158,bandiougou-fadiga,France,Paris,France,2001-01-15 00:00:00,Attacking Midfield,Midfield,right,178.0,2028-06-30 00:00:00,2SAgency,https://img.a.transfermarkt.technology/portrait/header/590914-1601559582.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bandiougou-fadiga/profil/spieler/590914,FR1,Football Club Lorient-Bretagne Sud,250000.0,1200000.0
619461,Mohamed,Bamba,Mohamed Bamba,2025,1158,mohamed-bamba,Cote d'Ivoire,Bouaké,Cote d'Ivoire,2001-12-10 00:00:00,Centre-Forward,Attack,right,185.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/619461-1706309019.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/mohamed-bamba/profil/spieler/619461,FR1,Football Club Lorient-Bretagne Sud,2500000.0,6000000.0
646829,Nathaniel,Adjei,Nathaniel Adjei,2025,1158,nathaniel-adjei,Ghana,Teshie,Ghana,2002-08-21 00:00:00,Centre-Back,Defender,right,191.0,2028-06-30 00:00:00,Golden Gate Group,https://img.a.transfermarkt.technology/portrait/header/646829-1706408527.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/nathaniel-adjei/profil/spieler/646829,FR1,Football Club Lorient-Bretagne Sud,1200000.0,2500000.0
691958,Noah,Cadiou,Noah Cadiou,2025,1158,noah-cadiou,France,Lille,Guadeloupe,1998-10-26 00:00:00,Central Midfield,Midfield,right,191.0,2029-06-30 00:00:00,KTM CONSULTING,https://img.a.transfermarkt.technology/portrait/header/691958-1669326988.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/noah-cadiou/profil/spieler/691958,FR1,Football Club Lorient-Bretagne Sud,2500000.0,2500000.0
704270,Sambou,Soumano,Sambou Soumano,2025,1158,sambou-soumano,Senegal,Dakar,Senegal,2001-01-03 00:00:00,Centre-Forward,Attack,right,182.0,2026-06-30 00:00:00,PSM,https://img.a.transfermarkt.technology/portrait/header/704270-1645697334.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sambou-soumano/profil/spieler/704270,FR1,Football Club Lorient-Bretagne Sud,4000000.0,4000000.0
708678,Isaak,Touré,Isaak Touré,2025,1158,isaak-toure,France,Gonesse,France,2003-03-28 00:00:00,Centre-Back,Defender,left,206.0,2028-06-30 00:00:00,ND SPORTS MANAGEMENT,https://img.a.transfermarkt.technology/portrait/header/708678-1645641626.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/isaak-toure/profil/spieler/708678,FR1,Football Club Lorient-Bretagne Sud,1500000.0,8000000.0
717118,Darlin,Yongwa,Darlin Yongwa,2025,1158,darlin-yongwa,Cameroon,Douala,Cameroon,2000-09-22 00:00:00,Left-Back,Defender,left,177.0,2026-06-30 00:00:00,Sport Cover,https://img.a.transfermarkt.technology/portrait/header/717118-1704299779.jpg?lm=1,8.0,1.0,,https://www.transfermarkt.co.uk/darlin-yongwa/profil/spieler/717118,FR1,Football Club Lorient-Bretagne Sud,6000000.0,6000000.0
766412,Théo,Le Bris,Théo Le Bris,2025,1158,theo-le-bris,France,Rennes,France,2002-10-01 00:00:00,Right Midfield,Midfield,right,170.0,2027-06-30 00:00:00,Ltma Consulting,https://img.a.transfermarkt.technology/portrait/header/766412-1747252694.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/theo-le-bris/profil/spieler/766412,FR1,Football Club Lorient-Bretagne Sud,4500000.0,4500000.0
807165,Bamo,Meïté,Bamo Meïté,2025,1158,bamo-meite,Cote d'Ivoire,Kani,Cote d'Ivoire,2001-12-03 00:00:00,Centre-Back,Defender,right,184.0,2026-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/807165-1724754649.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/bamo-meite/profil/spieler/807165,FR1,Football Club Lorient-Bretagne Sud,7000000.0,7000000.0
810411,Pablo,Pagis,Pablo Pagis,2025,1158,pablo-pagis,France,Montbéliard,France,2002-12-29 00:00:00,Left Winger,Attack,both,180.0,2027-06-30 00:00:00,Ltma Consulting,https://img.a.transfermarkt.technology/portrait/header/810411-1678723431.jpg?lm=1,,,,https://www.transfermarkt.co.uk/pablo-pagis/profil/spieler/810411,FR1,Football Club Lorient-Bretagne Sud,10000000.0,10000000.0
816308,Panos,Katseris,Panos Katseris,2025,1158,panos-katseris,Greece,Athens,Greece,2001-07-05 00:00:00,Right Midfield,Midfield,right,187.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/816308-1606484515.jpg?lm=1,,,,https://www.transfermarkt.co.uk/panos-katseris/profil/spieler/816308,FR1,Football Club Lorient-Bretagne Sud,2000000.0,2500000.0
822458,Bamba,Dieng,Bamba Dieng,2025,1158,bamba-dieng,Senegal,Pikine,Senegal,2000-03-23 00:00:00,Centre-Forward,Attack,right,178.0,2026-06-30 00:00:00,Classico,https://img.a.transfermarkt.technology/portrait/header/822458-1750956902.png?lm=1,20.0,2.0,,https://www.transfermarkt.co.uk/bamba-dieng/profil/spieler/822458,FR1,Football Club Lorient-Bretagne Sud,6000000.0,10000000.0
969447,Dermane,Karim,Dermane Karim,2025,1158,dermane-karim,Togo,Sokodé,Togo,2003-12-26 00:00:00,Attacking Midfield,Midfield,right,178.0,2026-06-30 00:00:00,Kayzen Eyes,https://img.a.transfermarkt.technology/portrait/header/969447-1713870015.png?lm=1,25.0,3.0,,https://www.transfermarkt.co.uk/dermane-karim/profil/spieler/969447,FR1,Football Club Lorient-Bretagne Sud,3000000.0,3500000.0
1011152,Trevan,Sanusi,Trevan Sanusi,2025,1158,trevan-sanusi,,,England,2007-04-25 00:00:00,Left Winger,Attack,right,178.0,2026-06-30 00:00:00,WNRS,https://img.a.transfermarkt.technology/portrait/header/1011152-1746640468.jpg?lm=1,6.0,1.0,,https://www.transfermarkt.co.uk/trevan-sanusi/profil/spieler/1011152,FR1,Football Club Lorient-Bretagne Sud,500000.0,500000.0
1074628,Arthur,Avom,Arthur Avom,2025,1158,arthur-avom,Cameroon,Yaoundé,Cameroon,2004-12-15 00:00:00,Central Midfield,Midfield,right,173.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/1074628-1733314520.jpg?lm=1,12.0,1.0,,https://www.transfermarkt.co.uk/arthur-avom/profil/spieler/1074628,FR1,Football Club Lorient-Bretagne Sud,15000000.0,15000000.0
1088199,Arsène,Kouassi,Arsène Kouassi,2025,1158,arsene-kouassi,Cote d'Ivoire,Cocody,Burkina Faso,2004-01-02 00:00:00,Left-Back,Defender,left,178.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/1088199-1741881661.jpg?lm=1,5.0,1.0,,https://www.transfermarkt.co.uk/arsene-kouassi/profil/spieler/1088199,FR1,Football Club Lorient-Bretagne Sud,10000000.0,10000000.0
1182738,Abdoulaye,Faye,Abdoulaye Faye,2025,1158,abdoulaye-faye,Senegal,Kaolack,Senegal,2004-09-22 00:00:00,Centre-Back,Defender,left,191.0,2026-06-30 00:00:00,BMG,https://img.a.transfermarkt.technology/portrait/header/1182738-1695367426.jpg?lm=1,,,,https://www.transfermarkt.co.uk/abdoulaye-faye/profil/spieler/1182738,FR1,Football Club Lorient-Bretagne Sud,3000000.0,3000000.0
