player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
79045,Jeroen,Zoet,Jeroen Zoet,2025,1090,jeroen-zoet,Netherlands,Veendam,Netherlands,1991-01-06 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2027-06-30 00:00:00,Key United,https://img.a.transfermarkt.technology/portrait/header/79045-1753350290.jpg?lm=1,11.0,0.0,,https://www.transfermarkt.co.uk/jeroen-zoet/profil/spieler/79045,NL1,Alkmaar Zaanstreek,300000.0,12500000.0
104223,Jordy,Clasie,Jordy Clasie,2025,1090,jordy-clasie,Netherlands,Haarlem,Netherlands,1991-06-27 00:00:00,Defensive Midfield,Midfield,right,169.0,2028-06-30 00:00:00,Prime11,https://img.a.transfermarkt.technology/portrait/header/104223-1721657656.jpg?lm=1,17.0,0.0,,https://www.transfermarkt.co.uk/jordy-clasie/profil/spieler/104223,NL1,Alkmaar Zaanstreek,1200000.0,11000000.0
116471,Hobie,Verhulst,Hobie Verhulst,2025,1090,hobie-verhulst,Netherlands,Amsterdam,Netherlands,1993-04-02 00:00:00,Goalkeeper,Goalkeeper,left,192.0,2028-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/116471-1753350247.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/hobie-verhulst/profil/spieler/116471,NL1,Alkmaar Zaanstreek,200000.0,650000.0
185817,Jizz,Hornkamp,Jizz Hornkamp,2025,1090,jizz-hornkamp,Netherlands,De Rijp,Netherlands,1998-03-07 00:00:00,Centre-Forward,Attack,right,182.0,2030-06-30 00:00:00,H2 Agency,https://img.a.transfermarkt.technology/portrait/header/185817-1764163127.png?lm=1,,,,https://www.transfermarkt.co.uk/jizz-hornkamp/profil/spieler/185817,NL1,Alkmaar Zaanstreek,3000000.0,3000000.0
315254,Mees,de Wit,Mees de Wit,2025,1090,mees-de-wit,Netherlands,Amsterdam,Netherlands,1998-04-17 00:00:00,Left-Back,Defender,left,181.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/315254-1753350882.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/mees-de-wit/profil/spieler/315254,NL1,Alkmaar Zaanstreek,4500000.0,4500000.0
361074,Peer,Koopmeiners,Peer Koopmeiners,2025,1090,peer-koopmeiners,Netherlands,Amsterdam,Netherlands,2000-05-04 00:00:00,Defensive Midfield,Midfield,right,186.0,2028-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/361074-1721657696.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/peer-koopmeiners/profil/spieler/361074,NL1,Alkmaar Zaanstreek,10000000.0,10000000.0
479643,Alexandre,Penetra,Alexandre Penetra,2025,1090,alexandre-penetra,Portugal,Sátão,Portugal,2001-09-09 00:00:00,Centre-Back,Defender,right,186.0,2028-06-30 00:00:00,Sportsbloom,https://img.a.transfermarkt.technology/portrait/header/479643-1753351033.jpg?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/alexandre-penetra/profil/spieler/479643,NL1,Alkmaar Zaanstreek,9000000.0,9000000.0
543501,Ibrahim,Sadiq,Ibrahim Sadiq,2025,1090,ibrahim-sadiq,Ghana,Accra,Ghana,2000-05-07 00:00:00,Right Winger,Attack,right,167.0,2028-06-30 00:00:00,Pro 11 Management,https://img.a.transfermarkt.technology/portrait/header/543501-1753350943.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/ibrahim-sadiq/profil/spieler/543501,NL1,Alkmaar Zaanstreek,3000000.0,4000000.0
552655,Troy,Parrott,Troy Parrott,2025,1090,troy-parrott,Ireland,Dublin,Ireland,2002-02-04 00:00:00,Centre-Forward,Attack,right,185.0,2029-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/552655-1721657549.jpg?lm=1,34.0,11.0,,https://www.transfermarkt.co.uk/troy-parrott/profil/spieler/552655,NL1,Alkmaar Zaanstreek,22000000.0,22000000.0
577394,Denso,Kasius,Denso Kasius,2025,1090,denso-kasius,Netherlands,Delft,Netherlands,2002-10-06 00:00:00,Right-Back,Defender,right,183.0,2029-06-30 00:00:00,PUM,https://img.a.transfermarkt.technology/portrait/header/577394-1753350609.jpg?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/denso-kasius/profil/spieler/577394,NL1,Alkmaar Zaanstreek,6000000.0,6000000.0
578804,Sven,Mijnans,Sven Mijnans,2025,1090,sven-mijnans,Netherlands,Spijkenisse,Netherlands,2000-03-09 00:00:00,Attacking Midfield,Midfield,left,190.0,2028-06-30 00:00:00,Key United,https://img.a.transfermarkt.technology/portrait/header/578804-1753350733.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/sven-mijnans/profil/spieler/578804,NL1,Alkmaar Zaanstreek,14000000.0,14000000.0
635371,Daniël,Deen,Daniël Deen,2025,1090,daniel-deen,,,Netherlands,2003-02-13 00:00:00,Goalkeeper,Goalkeeper,,188.0,2026-06-30 00:00:00,Grand Stand,https://img.a.transfermarkt.technology/portrait/header/635371-1753350198.jpg?lm=1,,,,https://www.transfermarkt.co.uk/daniel-deen/profil/spieler/635371,NL1,Alkmaar Zaanstreek,125000.0,150000.0
