player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
182582,Joris,van Overeem,Joris van Overeem,2025,306,joris-van-overeem,Netherlands,Amsterdam,Netherlands,1994-06-01 00:00:00,Defensive Midfield,Midfield,right,181.0,2027-06-30 00:00:00,Stirr Associates,https://img.a.transfermarkt.technology/portrait/header/182582-1764067070.png?lm=1,11.0,0.0,,https://www.transfermarkt.co.uk/joris-van-overeem/profil/spieler/182582,NL1,Sportclub Heerenveen,900000.0,3500000.0
276853,Andries,Noppert,Andries Noppert,2025,306,andries-noppert,Netherlands,Heerenveen,Netherlands,1994-04-07 00:00:00,Goalkeeper,Goalkeeper,left,203.0,2027-06-30 00:00:00,World Soccer Consult,https://img.a.transfermarkt.technology/portrait/header/276853-1764064317.png?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/andries-noppert/profil/spieler/276853,NL1,Sportclub Heerenveen,350000.0,5000000.0
369319,Dylan,Vente,Dylan Vente,2025,306,dylan-vente,Netherlands,Rotterdam,Suriname,1999-05-09 00:00:00,Centre-Forward,Attack,right,185.0,2029-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/369319-1764064507.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/dylan-vente/profil/spieler/369319,NL1,Sportclub Heerenveen,2500000.0,3000000.0
369552,Luuk,Brouwers,Luuk Brouwers,2025,306,luuk-brouwers,Netherlands,Helmond,Netherlands,1998-05-03 00:00:00,Attacking Midfield,Midfield,right,183.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/369552-1764067324.png?lm=1,,,,https://www.transfermarkt.co.uk/luuk-brouwers/profil/spieler/369552,NL1,Sportclub Heerenveen,2000000.0,2500000.0
430797,Sam,Kersten,Sam Kersten,2025,306,sam-kersten,Netherlands,Nijmegen,Netherlands,1998-01-30 00:00:00,Centre-Back,Defender,right,191.0,2027-06-30 00:00:00,FSM,https://img.a.transfermarkt.technology/portrait/header/430797-1764068103.png?lm=1,,,,https://www.transfermarkt.co.uk/sam-kersten/profil/spieler/430797,NL1,Sportclub Heerenveen,1500000.0,1500000.0
534015,Nordin,Bakker,Nordin Bakker,2025,306,nordin-bakker,Netherlands,Oostknollendam,Netherlands,1997-10-31 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2027-06-30 00:00:00,Football Mix B.V.,https://img.a.transfermarkt.technology/portrait/header/534015-1764067833.png?lm=1,,,,https://www.transfermarkt.co.uk/nordin-bakker/profil/spieler/534015,NL1,Sportclub Heerenveen,400000.0,800000.0
542684,Jacob,Trenskow,Jacob Trenskow,2025,306,jacob-trenskow,Denmark,Aarhus,Denmark,2000-11-26 00:00:00,Right Winger,Attack,left,178.0,2028-06-30 00:00:00,Nine Group ,https://img.a.transfermarkt.technology/portrait/header/542684-1764064854.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/jacob-trenskow/profil/spieler/542684,NL1,Sportclub Heerenveen,6500000.0,6500000.0
551085,Luca,Oyen,Luca Oyen,2025,306,luca-oyen,England,Nottingham,Belgium,2003-03-14 00:00:00,Left Winger,Attack,right,175.0,2029-06-30 00:00:00,M.P. Sports,https://img.a.transfermarkt.technology/portrait/header/551085-1714038539.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/luca-oyen/profil/spieler/551085,NL1,Sportclub Heerenveen,900000.0,4000000.0
577455,Ringo,Meerveld,Ringo Meerveld,2025,306,ringo-meerveld,Netherlands,Den Bosch,Netherlands,2002-12-21 00:00:00,Attacking Midfield,Midfield,right,177.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/577455-1764067994.png?lm=1,,,,https://www.transfermarkt.co.uk/ringo-meerveld/profil/spieler/577455,NL1,Sportclub Heerenveen,4000000.0,4000000.0
613781,Vasilios,Zagaritis,Vasilios Zagaritis,2025,306,vasilios-zagaritis,Greece,Thiva,Greece,2001-05-04 00:00:00,Left-Back,Defender,left,178.0,2028-06-30 00:00:00,AS1,https://img.a.transfermarkt.technology/portrait/header/613781-1764068267.png?lm=1,11.0,1.0,,https://www.transfermarkt.co.uk/vasilios-zagaritis/profil/spieler/613781,NL1,Sportclub Heerenveen,2000000.0,2000000.0
