player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
72476,Bernd,Leno,Bernd Leno,2025,931,bernd-leno,Germany,Bietigheim-Bissingen,Germany,1992-03-04 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2027-06-30 00:00:00,fair-sport GmbH,https://img.a.transfermarkt.technology/portrait/header/72476-1774470314.jpg?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/bernd-leno/profil/spieler/72476,GB1,Fulham Football Club,8000000.0,35000000.0
123275,Tom,Cairney,Tom Cairney,2025,931,tom-cairney,England,Nottingham,Scotland,1991-01-20 00:00:00,Central Midfield,Midfield,left,185.0,2027-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/123275-1651652849.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/tom-cairney/profil/spieler/123275,GB1,Fulham Football Club,750000.0,18000000.0
127181,Benjamin,Lecomte,Benjamin Lecomte,2025,931,benjamin-lecomte,France,Paris,France,1991-04-26 00:00:00,Goalkeeper,Goalkeeper,left,186.0,2027-06-30 00:00:00,YSI Football,https://img.a.transfermarkt.technology/portrait/header/127181-1702663657.JPG?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/benjamin-lecomte/profil/spieler/127181,GB1,Fulham Football Club,1200000.0,17000000.0
206040,Raúl,Jiménez,Raúl Jiménez,2025,931,raul-jimenez,Mexico,Tepeji del Río de Ocampo,Mexico,1991-05-05 00:00:00,Centre-Forward,Attack,right,187.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/206040-1742820547.jpg?lm=1,123.0,44.0,,https://www.transfermarkt.co.uk/raul-jimenez/profil/spieler/206040,GB1,Fulham Football Club,4000000.0,50000000.0
206746,Kenny,Tete,Kenny Tete,2025,931,kenny-tete,Netherlands,Amsterdam,Netherlands,1995-10-09 00:00:00,Right-Back,Defender,right,180.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/206746-1746645948.jpg?lm=1,14.0,0.0,,https://www.transfermarkt.co.uk/kenny-tete/profil/spieler/206746,GB1,Fulham Football Club,11000000.0,15000000.0
226973,Harrison,Reed,Harrison Reed,2025,931,harrison-reed,England,Worthing,England,1995-01-27 00:00:00,Central Midfield,Midfield,right,181.0,2027-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/226973-1762354305.jpg?lm=1,14.0,0.0,,https://www.transfermarkt.co.uk/harrison-reed/profil/spieler/226973,GB1,Fulham Football Club,3000000.0,18000000.0
242631,Alex,Iwobi,Alex Iwobi,2025,931,alex-iwobi,Nigeria,Lagos,Nigeria,1996-05-03 00:00:00,Left Winger,Attack,right,183.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/242631-1679652866.jpg?lm=1,98.0,10.0,,https://www.transfermarkt.co.uk/alex-iwobi/profil/spieler/242631,GB1,Fulham Football Club,25000000.0,32000000.0
245056,Saša,Lukić,Saša Lukić,2025,931,sasa-lukic,Yugoslavia (Republic),Šabac,Serbia,1996-08-13 00:00:00,Central Midfield,Midfield,right,182.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/245056-1746645290.jpg?lm=1,60.0,2.0,,https://www.transfermarkt.co.uk/sasa-lukic/profil/spieler/245056,GB1,Fulham Football Club,12000000.0,15000000.0
260827,Joachim,Andersen,Joachim Andersen,2025,931,joachim-andersen,Denmark,Frederiksberg,Denmark,1996-05-31 00:00:00,Centre-Back,Defender,right,192.0,2029-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/260827-1668183482.jpg?lm=1,48.0,1.0,,https://www.transfermarkt.co.uk/joachim-andersen/profil/spieler/260827,GB1,Fulham Football Club,25000000.0,35000000.0
262226,Timothy,Castagne,Timothy Castagne,2025,931,timothy-castagne,Belgium,Arlon,Belgium,1995-12-05 00:00:00,Right-Back,Defender,right,185.0,2027-06-30 00:00:00,SENERGIES BV,https://img.a.transfermarkt.technology/portrait/header/262226-1762354618.jpg?lm=1,60.0,2.0,,https://www.transfermarkt.co.uk/timothy-castagne/profil/spieler/262226,GB1,Fulham Football Club,10000000.0,28000000.0
