player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
62094,James,Tavernier,James Tavernier,2025,124,james-tavernier,England,Bradford,England,1991-10-31 00:00:00,Right-Back,Defender,right,182.0,2026-05-31 00:00:00,StormSportsX,https://img.a.transfermarkt.technology/portrait/header/62094-1663162918.jpg?lm=1,,,,https://www.transfermarkt.co.uk/james-tavernier/profil/spieler/62094,SC1,Rangers Football Club,1000000.0,10000000.0
128899,Jack,Butland,Jack Butland,2025,124,jack-butland,England,Bristol,England,1993-03-10 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2027-05-31 00:00:00,Triple S Sports,https://img.a.transfermarkt.technology/portrait/header/128899-1672916012.jpg?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/jack-butland/profil/spieler/128899,SC1,Rangers Football Club,1500000.0,22000000.0
208772,Liam,Kelly,Liam Kelly,2025,124,liam-kelly,Scotland,Glasgow,Scotland,1996-01-23 00:00:00,Goalkeeper,Goalkeeper,right,184.0,2026-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/208772-1701544031.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/liam-kelly/profil/spieler/208772,SC1,Rangers Football Club,800000.0,800000.0
235767,John,Souttar,John Souttar,2025,124,john-souttar,Scotland,Aberdeen,Scotland,1996-09-25 00:00:00,Centre-Back,Defender,right,186.0,2027-05-31 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/235767-1709884351.jpg?lm=1,21.0,2.0,,https://www.transfermarkt.co.uk/john-souttar/profil/spieler/235767,SC1,Rangers Football Club,3000000.0,4500000.0
328609,Derek,Cornelius,Derek Cornelius,2025,124,derek-cornelius,Canada,"Ajax, Ontario",Canada,1997-11-25 00:00:00,Centre-Back,Defender,left,187.0,2026-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/328609-1618857970.jpg?lm=1,40.0,1.0,,https://www.transfermarkt.co.uk/derek-cornelius/profil/spieler/328609,SC1,Rangers Football Club,3000000.0,5000000.0
346315,Dujon,Sterling,Dujon Sterling,2025,124,dujon-sterling,England,London,England,1999-10-24 00:00:00,Right-Back,Defender,right,186.0,2027-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/346315-1560934968.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/dujon-sterling/profil/spieler/346315,SC1,Rangers Football Club,2500000.0,4000000.0
369523,Kieran,Wright,Kieran Wright,2025,124,kieran-wright,Scotland,Stepps,Scotland,1999-04-01 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2026-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/369523-1663162547.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/kieran-wright/profil/spieler/369523,SC1,Rangers Football Club,50000.0,50000.0
390177,Nedim,Bajrami,Nedim Bajrami,2025,124,nedim-bajrami,Switzerland,Zürich,Albania,1999-02-28 00:00:00,Attacking Midfield,Midfield,right,179.0,2028-05-31 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/390177-1661510744.jpg?lm=1,42.0,7.0,,https://www.transfermarkt.co.uk/nedim-bajrami/profil/spieler/390177,SC1,Rangers Football Club,2500000.0,10000000.0
404384,Rabbi,Matondo,Rabbi Matondo,2025,124,rabbi-matondo,England,Liverpool,Wales,2000-09-09 00:00:00,Left Winger,Attack,right,175.0,2026-05-31 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/404384-1640709163.jpg?lm=1,15.0,1.0,,https://www.transfermarkt.co.uk/rabbi-matondo/profil/spieler/404384,SC1,Rangers Football Club,1000000.0,9000000.0
422763,Nicolas,Raskin,Nicolas Raskin,2025,124,nicolas-raskin,Belgium,Liège,Belgium,2001-02-23 00:00:00,Defensive Midfield,Midfield,right,178.0,2028-05-31 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/422763-1616873075.jpg?lm=1,9.0,1.0,,https://www.transfermarkt.co.uk/nicolas-raskin/profil/spieler/422763,SC1,Rangers Football Club,12000000.0,12000000.0
