player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
166679,Jordi,Quintillà,Jordi Quintillà,2025,257,jordi-quintilla,Spain,Lleida,Spain,1993-10-25 00:00:00,Defensive Midfield,Midfield,left,181.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/166679-1755009373.png?lm=1,,,,https://www.transfermarkt.co.uk/jordi-quintilla/profil/spieler/166679,C1,FC St. Gallen 1879,200000.0,2000000.0
179638,Lukas,Görtler,Lukas Görtler,2025,257,lukas-gortler,Germany,Bamberg,Germany,1994-06-15 00:00:00,Right Midfield,Midfield,right,186.0,2028-06-30 00:00:00,11WINS,https://img.a.transfermarkt.technology/portrait/header/179638-1755009203.png?lm=1,,,,https://www.transfermarkt.co.uk/lukas-gortler/profil/spieler/179638,C1,FC St. Gallen 1879,1000000.0,2000000.0
196791,Lukas,Watkowiak,Lukas Watkowiak,2025,257,lukas-watkowiak,Germany,Frankfurt am Main,Germany,1996-03-06 00:00:00,Goalkeeper,Goalkeeper,right,197.0,2027-06-30 00:00:00,SOCCERNATION GROUP,https://img.a.transfermarkt.technology/portrait/header/196791-1755009582.png?lm=1,,,,https://www.transfermarkt.co.uk/lukas-watkowiak/profil/spieler/196791,C1,FC St. Gallen 1879,300000.0,300000.0
254285,Lawrence,Ati Zigi,Lawrence Ati Zigi,2025,257,lawrence-ati-zigi,Ghana,Accra,Ghana,1996-11-29 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2027-06-30 00:00:00,SBE Management AG,https://img.a.transfermarkt.technology/portrait/header/254285-1755009630.png?lm=1,28.0,0.0,,https://www.transfermarkt.co.uk/lawrence-ati-zigi/profil/spieler/254285,C1,FC St. Gallen 1879,1500000.0,3000000.0
284035,Chima,Okoroji,Chima Okoroji,2025,257,chima-okoroji,Germany,München,Germany,1997-04-19 00:00:00,Left-Back,Defender,left,180.0,2028-06-30 00:00:00,We'RR,https://img.a.transfermarkt.technology/portrait/header/284035-1755009344.png?lm=1,,,,https://www.transfermarkt.co.uk/chima-okoroji/profil/spieler/284035,C1,FC St. Gallen 1879,1000000.0,1000000.0
329373,Carlo,Boukhalfa,Carlo Boukhalfa,2025,257,carlo-boukhalfa,Germany,Freiburg im Breisgau,Germany,1999-05-03 00:00:00,Attacking Midfield,Midfield,left,186.0,2027-06-30 00:00:00,peak ,https://img.a.transfermarkt.technology/portrait/header/329373-1755009056.png?lm=1,,,,https://www.transfermarkt.co.uk/carlo-boukhalfa/profil/spieler/329373,C1,FC St. Gallen 1879,3000000.0,3000000.0
333450,Jozo,Stanic,Jozo Stanic,2025,257,jozo-stanic,Germany,Augsburg,Croatia,1999-04-06 00:00:00,Centre-Back,Defender,right,184.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/333450-1755009400.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/jozo-stanic/profil/spieler/333450,C1,FC St. Gallen 1879,1500000.0,1500000.0
334213,Lukas,Daschner,Lukas Daschner,2025,257,lukas-daschner,Germany,Duisburg,Germany,1998-10-01 00:00:00,Attacking Midfield,Midfield,both,185.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/334213-1755009710.png?lm=1,,,,https://www.transfermarkt.co.uk/lukas-daschner/profil/spieler/334213,C1,FC St. Gallen 1879,700000.0,1500000.0
392133,Tom,Gaal,Tom Gaal,2025,257,tom-gaal,Germany,Mönchengladbach,Germany,2001-03-03 00:00:00,Centre-Back,Defender,,193.0,2027-06-30 00:00:00,B O K S,https://img.a.transfermarkt.technology/portrait/header/392133-1755009157.png?lm=1,,,,https://www.transfermarkt.co.uk/tom-gaal/profil/spieler/392133,C1,FC St. Gallen 1879,1500000.0,1500000.0
410636,Betim,Fazliji,Betim Fazliji,2025,257,betim-fazliji,Yugoslavia (Republic),Vranje,Kosovo,1999-04-25 00:00:00,Defensive Midfield,Midfield,right,186.0,2027-06-30 00:00:00,SBE Management AG,https://img.a.transfermarkt.technology/portrait/header/410636-1755009692.png?lm=1,22.0,0.0,,https://www.transfermarkt.co.uk/betim-fazliji/profil/spieler/410636,C1,FC St. Gallen 1879,175000.0,2000000.0
