player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
238537,Wladimiro,Falcone,Wladimiro Falcone,2025,1005,wladimiro-falcone,Italy,Roma,Italy,1995-04-12 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2028-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/238537-1693308504.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/wladimiro-falcone/profil/spieler/238537,IT1,Unione Sportiva Lecce,3500000.0,5000000.0
336307,Christian,Früchtl,Christian Früchtl,2025,1005,christian-fruchtl,Germany,Bischofsmais,Germany,2000-01-28 00:00:00,Goalkeeper,Goalkeeper,left,193.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/336307-1695655759.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/christian-fruchtl/profil/spieler/336307,IT1,Unione Sportiva Lecce,1000000.0,1500000.0
386455,Riccardo,Sottil,Riccardo Sottil,2025,1005,riccardo-sottil,Italy,Torino,Italy,1999-06-03 00:00:00,Left Winger,Attack,right,180.0,2026-06-30 00:00:00,GR Sports,https://img.a.transfermarkt.technology/portrait/header/386455-1663591627.jpg?lm=1,12.0,3.0,,https://www.transfermarkt.co.uk/riccardo-sottil/profil/spieler/386455,IT1,Unione Sportiva Lecce,3500000.0,9000000.0
386552,Lassana,Coulibaly,Lassana Coulibaly,2025,1005,lassana-coulibaly,Mali,Bamako,Mali,1996-04-10 00:00:00,Central Midfield,Midfield,right,183.0,2027-06-30 00:00:00,PIVETEAU,https://img.a.transfermarkt.technology/portrait/header/386552-1725529617.jpg?lm=1,55.0,1.0,,https://www.transfermarkt.co.uk/lassana-coulibaly/profil/spieler/386552,IT1,Unione Sportiva Lecce,2500000.0,5000000.0
392516,Antonino,Gallo,Antonino Gallo,2025,1005,antonino-gallo,Italy,Palermo,Italy,2000-01-05 00:00:00,Left-Back,Defender,left,183.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/392516-1663745734.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/antonino-gallo/profil/spieler/392516,IT1,Unione Sportiva Lecce,4000000.0,5500000.0
433329,Corrie,Ndaba,Corrie Ndaba,2025,1005,corrie-ndaba,Ireland,Dublin,Ireland,1999-12-25 00:00:00,Left-Back,Defender,left,188.0,2028-06-30 00:00:00,EAA,https://img.a.transfermarkt.technology/portrait/header/433329-1753768662.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/corrie-ndaba/profil/spieler/433329,IT1,Unione Sportiva Lecce,900000.0,900000.0
442703,Ylber,Ramadani,Ylber Ramadani,2025,1005,ylber-ramadani,Germany,Starnberg,Albania,1996-04-12 00:00:00,Defensive Midfield,Midfield,right,185.0,2026-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/442703-1691151579.jpg?lm=1,48.0,1.0,,https://www.transfermarkt.co.uk/ylber-ramadani/profil/spieler/442703,IT1,Unione Sportiva Lecce,1800000.0,4000000.0
488996,Thórir Jóhann,Helgason,Thórir Jóhann Helgason,2025,1005,thorir-johann-helgason,Iceland,Hafnarfjörður,Iceland,2000-09-28 00:00:00,Central Midfield,Midfield,right,187.0,2026-06-30 00:00:00,FOKUS,https://img.a.transfermarkt.technology/portrait/header/488996-1725530709.jpg?lm=1,20.0,2.0,,https://www.transfermarkt.co.uk/thorir-johann-helgason/profil/spieler/488996,IT1,Unione Sportiva Lecce,2300000.0,3000000.0
521407,Walid,Cheddira,Walid Cheddira,2025,1005,walid-cheddira,Italy,Loreto,Morocco,1998-01-22 00:00:00,Centre-Forward,Attack,right,187.0,2026-06-30 00:00:00,BDN,https://img.a.transfermarkt.technology/portrait/header/521407-1770273321.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/walid-cheddira/profil/spieler/521407,IT1,Unione Sportiva Lecce,2300000.0,8000000.0
545538,Lameck,Banda,Lameck Banda,2025,1005,lameck-banda,Zambia,Lusaka,Zambia,2001-01-29 00:00:00,Left Winger,Attack,right,169.0,2026-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/545538-1663744937.jpg?lm=1,22.0,3.0,,https://www.transfermarkt.co.uk/lameck-banda/profil/spieler/545538,IT1,Unione Sportiva Lecce,3000000.0,6000000.0
555106,Filip,Marchwinski,Filip Marchwinski,2025,1005,filip-marchwinski,Poland,Poznań,Poland,2002-01-10 00:00:00,Attacking Midfield,Midfield,both,187.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/555106-1757664884.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/filip-marchwinski/profil/spieler/555106,IT1,Unione Sportiva Lecce,2500000.0,6000000.0
