player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
15452,Raúl,Albiol,Raúl Albiol,2025,4172,raul-albiol,Spain,Vilamarxant,Spain,1985-09-04 00:00:00,Centre-Back,Defender,right,190.0,2026-06-30 00:00:00,U.S.M,https://img.a.transfermarkt.technology/portrait/header/15452-1664974689.jpg?lm=1,58.0,0.0,,https://www.transfermarkt.co.uk/raul-albiol/profil/spieler/15452,IT1,Pisa Sporting Club,800000.0,18000000.0
91970,Juan,Cuadrado,Juan Cuadrado,2025,4172,juan-cuadrado,Colombia,Necoclí,Colombia,1988-05-26 00:00:00,Right Midfield,Midfield,right,176.0,2026-06-30 00:00:00,Andrei Martínez,https://img.a.transfermarkt.technology/portrait/header/91970-1663576912.jpg?lm=1,116.0,11.0,,https://www.transfermarkt.co.uk/juan-cuadrado/profil/spieler/91970,IT1,Pisa Sporting Club,1000000.0,32000000.0
99523,,Nícolas,Nícolas,2025,4172,nicolas,Brazil,Colorado do Oeste,Brazil,1988-04-12 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2026-06-30 00:00:00,Grimaldi Mariano,https://img.a.transfermarkt.technology/portrait/header/99523-1757676452.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nicolas/profil/spieler/99523,IT1,Pisa Sporting Club,100000.0,900000.0
149525,Antonio,Caracciolo,Antonio Caracciolo,2025,4172,antonio-caracciolo,Italy,Tempio Pausania,Italy,1990-06-30 00:00:00,Centre-Back,Defender,right,185.0,2026-06-30 00:00:00,GR Sports,https://img.a.transfermarkt.technology/portrait/header/149525-1751531197.jpg?lm=1,,,,https://www.transfermarkt.co.uk/antonio-caracciolo/profil/spieler/149525,IT1,Pisa Sporting Club,800000.0,800000.0
237658,Michel,Aebischer,Michel Aebischer,2025,4172,michel-aebischer,Switzerland,Fribourg,Switzerland,1997-01-06 00:00:00,Central Midfield,Midfield,right,183.0,2026-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/237658-1669289063.jpg?lm=1,37.0,2.0,,https://www.transfermarkt.co.uk/michel-aebischer/profil/spieler/237658,IT1,Pisa Sporting Club,4500000.0,11000000.0
238993,Simone,Scuffet,Simone Scuffet,2025,4172,simone-scuffet,Italy,Udine,Italy,1996-05-31 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/238993-1753431413.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/simone-scuffet/profil/spieler/238993,IT1,Pisa Sporting Club,1000000.0,6000000.0
240897,Arturo,Calabresi,Arturo Calabresi,2025,4172,arturo-calabresi,Italy,Roma,Italy,1996-03-17 00:00:00,Centre-Back,Defender,right,186.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/240897-1757604377.jpg?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/arturo-calabresi/profil/spieler/240897,IT1,Pisa Sporting Club,800000.0,2800000.0
279823,Stefano,Moreo,Stefano Moreo,2025,4172,stefano-moreo,Italy,Milano,Italy,1993-06-30 00:00:00,Centre-Forward,Attack,right,191.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/279823-1757604203.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/stefano-moreo/profil/spieler/279823,IT1,Pisa Sporting Club,1500000.0,1600000.0
317057,Adrian,Semper,Adrian Semper,2025,4172,adrian-semper,Croatia,Zagreb,Croatia,1998-01-12 00:00:00,Goalkeeper,Goalkeeper,right,194.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/317057-1714817983.jpg?lm=1,13.0,0.0,,https://www.transfermarkt.co.uk/adrian-semper/profil/spieler/317057,IT1,Pisa Sporting Club,2000000.0,3500000.0
335516,Idrissa,Touré,Idrissa Touré,2025,4172,idrissa-toure,Germany,Berlin,Germany,1998-04-29 00:00:00,Right Midfield,Midfield,right,188.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/335516-1753431661.jpg?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/idrissa-toure/profil/spieler/335516,IT1,Pisa Sporting Club,6000000.0,6000000.0
