player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
54781,Nicolás,Otamendi,Nicolás Otamendi,2025,294,nicolas-otamendi,Argentina,El Talar,Argentina,1988-02-12 00:00:00,Centre-Back,Defender,right,183.0,2026-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/54781-1669835534.jpg?lm=1,129.0,7.0,,https://www.transfermarkt.co.uk/nicolas-otamendi/profil/spieler/54781,PO1,Sport Lisboa e Benfica,1000000.0,35000000.0
139396,,Bruma,Bruma,2025,294,bruma,Guinea-Bissau,Bissau,Portugal,1994-10-24 00:00:00,Left Winger,Attack,right,173.0,2028-06-30 00:00:00,LizCampbell,https://img.a.transfermarkt.technology/portrait/header/139396-1700235976.jpg?lm=1,12.0,2.0,,https://www.transfermarkt.co.uk/bruma/profil/spieler/139396,PO1,Sport Lisboa e Benfica,5000000.0,12500000.0
223367,Fredrik,Aursnes,Fredrik Aursnes,2025,294,fredrik-aursnes,Norway,Hareid,Norway,1995-12-10 00:00:00,Central Midfield,Midfield,right,181.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/223367-1737497700.jpg?lm=1,20.0,1.0,,https://www.transfermarkt.co.uk/fredrik-aursnes/profil/spieler/223367,PO1,Sport Lisboa e Benfica,17000000.0,20000000.0
238055,,Rafa Silva,Rafa Silva,2025,294,rafa-silva,Portugal,Forte da Casa,Portugal,1993-05-17 00:00:00,Second Striker,Attack,right,172.0,2028-06-30 00:00:00,Onsoccer,https://img.a.transfermarkt.technology/portrait/header/238055-1727356372.png?lm=1,25.0,0.0,,https://www.transfermarkt.co.uk/rafa-silva/profil/spieler/238055,PO1,Sport Lisboa e Benfica,5000000.0,30000000.0
303259,Dodi,Lukébakio,Dodi Lukébakio,2025,294,dodi-lukebakio,Belgium,Brussels,Belgium,1997-09-24 00:00:00,Right Winger,Attack,left,187.0,2030-06-30 00:00:00,DWMA,https://img.a.transfermarkt.technology/portrait/header/303259-1657098989.jpg?lm=1,27.0,2.0,,https://www.transfermarkt.co.uk/dodi-lukebakio/profil/spieler/303259,PO1,Sport Lisboa e Benfica,20000000.0,25000000.0
324503,Vangelis,Pavlidis,Vangelis Pavlidis,2025,294,vangelis-pavlidis,Greece,Thessaloniki,Greece,1998-11-21 00:00:00,Centre-Forward,Attack,both,186.0,2029-06-30 00:00:00,AC Talent,https://img.a.transfermarkt.technology/portrait/header/324503-1737497307.jpg?lm=1,54.0,10.0,,https://www.transfermarkt.co.uk/vangelis-pavlidis/profil/spieler/324503,PO1,Sport Lisboa e Benfica,32000000.0,35000000.0
357233,Leandro,Barreiro,Leandro Barreiro,2025,294,leandro-barreiro,Luxembourg,Erpeldingen,Luxembourg,2000-01-03 00:00:00,Central Midfield,Midfield,right,174.0,2029-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/357233-1750853041.jpg?lm=1,72.0,2.0,,https://www.transfermarkt.co.uk/leandro-barreiro/profil/spieler/357233,PO1,Sport Lisboa e Benfica,15000000.0,17000000.0
452607,Alexander,Bah,Alexander Bah,2025,294,alexander-bah,Denmark,Årslev,Denmark,1997-12-09 00:00:00,Right-Back,Defender,right,183.0,2029-06-30 00:00:00,Elite Consulting,https://img.a.transfermarkt.technology/portrait/header/452607-1701334276.jpg?lm=1,21.0,1.0,,https://www.transfermarkt.co.uk/alexander-bah/profil/spieler/452607,PO1,Sport Lisboa e Benfica,9000000.0,14000000.0
504072,Samuel,Soares,Samuel Soares,2025,294,samuel-soares,Portugal,Amadora,Portugal,2002-06-15 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2027-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/504072-1749738150.jpg?lm=1,17.0,0.0,,https://www.transfermarkt.co.uk/samuel-soares/profil/spieler/504072,PO1,Sport Lisboa e Benfica,4000000.0,4000000.0
504087,Tomás,Araújo,Tomás Araújo,2025,294,tomas-araujo,Portugal,Famalicão,Portugal,2002-05-16 00:00:00,Centre-Back,Defender,right,187.0,2029-06-30 00:00:00,Epic Araújo,https://img.a.transfermarkt.technology/portrait/header/504087-1737497771.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/tomas-araujo/profil/spieler/504087,PO1,Sport Lisboa e Benfica,28000000.0,32000000.0
519184,Amar,Dedić,Amar Dedić,2025,294,amar-dedic,Austria,Zell am See,Bosnia-Herzegovina,2002-08-18 00:00:00,Right-Back,Defender,right,180.0,2030-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/519184-1758058581.jpg?lm=1,25.0,1.0,,https://www.transfermarkt.co.uk/amar-dedic/profil/spieler/519184,PO1,Sport Lisboa e Benfica,15000000.0,20000000.0
