player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
95142,Renan,Ribeiro,Renan Ribeiro,2025,2431,renan-ribeiro,Brazil,Ribeirão Preto,Brazil,1990-03-23 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2026-06-30 00:00:00,VSR Assessoria,https://img.a.transfermarkt.technology/portrait/header/95142-1713107249.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/renan-ribeiro/profil/spieler/95142,PO1,Club Football Estrela da Amadora,100000.0,3500000.0
366278,Rodrigo,Pinho,Rodrigo Pinho,2025,2431,rodrigo-pinho,Germany,Henstedt-Ulzburg,Brazil,1991-05-30 00:00:00,Centre-Forward,Attack,left,185.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/366278-1743700311.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rodrigo-pinho/profil/spieler/366278,PO1,Club Football Estrela da Amadora,200000.0,2500000.0
369258,,Dudu,Dudu,2025,2431,dudu,Germany,Duisburg,Germany,1999-02-10 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2028-06-30 00:00:00,Beckster Int.,https://img.a.transfermarkt.technology/portrait/header/369258-1752756448.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dudu/profil/spieler/369258,PO1,Club Football Estrela da Amadora,275000.0,300000.0
372468,David,Grilo,David Grilo,2025,2431,david-grilo,Portugal,Massamá,Portugal,1996-08-13 00:00:00,Goalkeeper,Goalkeeper,right,184.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/372468-1638712058.jpg?lm=1,,,,https://www.transfermarkt.co.uk/david-grilo/profil/spieler/372468,PO1,Club Football Estrela da Amadora,100000.0,250000.0
375392,Paulo,Moreira,Paulo Moreira,2025,2431,paulo-moreira,Portugal,Marco de Canaveses,Portugal,2000-02-17 00:00:00,Central Midfield,Midfield,right,176.0,2026-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/375392-1743699836.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/paulo-moreira/profil/spieler/375392,PO1,Club Football Estrela da Amadora,1500000.0,1500000.0
439292,Sydney,van Hooijdonk,Sydney van Hooijdonk,2025,2431,sydney-van-hooijdonk,Netherlands,Breda,Netherlands,2000-02-06 00:00:00,Centre-Forward,Attack,right,190.0,2028-06-30 00:00:00,AESIR,https://img.a.transfermarkt.technology/portrait/header/439292-1755785236.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/sydney-van-hooijdonk/profil/spieler/439292,PO1,Club Football Estrela da Amadora,1300000.0,6000000.0
448466,Jovane,Cabral,Jovane Cabral,2025,2431,jovane-cabral,Cape Verde,Assomada,Cape Verde,1998-06-14 00:00:00,Left Winger,Attack,right,174.0,2026-06-30 00:00:00,Invictus Team,https://img.a.transfermarkt.technology/portrait/header/448466-1743699997.jpg?lm=1,24.0,3.0,,https://www.transfermarkt.co.uk/jovane-cabral/profil/spieler/448466,PO1,Club Football Estrela da Amadora,800000.0,10000000.0
448468,Jefferson,Encada,Jefferson Encada,2025,2431,jefferson-encada,Guinea-Bissau,Bissau,Guinea-Bissau,1998-04-17 00:00:00,Right-Back,Defender,right,188.0,2028-06-30 00:00:00,PromoSport,https://img.a.transfermarkt.technology/portrait/header/448468-1547563286.png?lm=1,30.0,0.0,,https://www.transfermarkt.co.uk/jefferson-encada/profil/spieler/448468,PO1,Club Football Estrela da Amadora,400000.0,400000.0
461582,Issiar,Dramé,Issiar Dramé,2025,2431,issiar-drame,France,Ivry-sur-Seine,Mali,1999-02-16 00:00:00,Centre-Back,Defender,right,197.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/461582-1743698274.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/issiar-drame/profil/spieler/461582,PO1,Club Football Estrela da Amadora,400000.0,600000.0
543051,Billal,Brahimi,Billal Brahimi,2025,2431,billal-brahimi,France,Paris,Algeria,2000-03-14 00:00:00,Right Winger,Attack,left,183.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/543051-1756806904.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/billal-brahimi/profil/spieler/543051,PO1,Club Football Estrela da Amadora,1500000.0,7000000.0
