player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
67797,Milan,Borjan,Milan Borjan,2025,31008,milan-borjan,Jugoslawien (SFR),Knin,Canada,1987-10-23 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/67797-1713529293.png?lm=1,80.0,0.0,,https://www.transfermarkt.co.uk/milan-borjan/profil/spieler/67797,SA1,Al-Riyadh Saudi Club,275000.0,3500000.0
150788,Yahya,Al-Shehri,Yahya Al-Shehri,2025,31008,yahya-al-shehri,Saudi Arabia,Dammam,Saudi Arabia,1990-06-26 00:00:00,Attacking Midfield,Midfield,left,165.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/150788-1681073978.png?lm=1,75.0,8.0,,https://www.transfermarkt.co.uk/yahya-al-shehri/profil/spieler/150788,SA1,Al-Riyadh Saudi Club,75000.0,1600000.0
159838,Yoann,Barbet,Yoann Barbet,2025,31008,yoann-barbet,France,Libourne,France,1993-05-10 00:00:00,Centre-Back,Defender,left,187.0,2026-06-30 00:00:00,FOKUS,https://img.a.transfermarkt.technology/portrait/header/159838-1538467044.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/yoann-barbet/profil/spieler/159838,SA1,Al-Riyadh Saudi Club,900000.0,1800000.0
166683,Mamadou,Sylla,Mamadou Sylla,2025,31008,mamadou-sylla,Senegal,Kedougou,Senegal,1994-03-20 00:00:00,Centre-Forward,Attack,right,180.0,,Kick Off Management,https://img.a.transfermarkt.technology/portrait/header/166683-1592750860.png?lm=1,,,,https://www.transfermarkt.co.uk/mamadou-sylla/profil/spieler/166683,SA1,Al-Riyadh Saudi Club,1200000.0,3000000.0
203654,,Tozé,Tozé,2025,31008,toze,Portugal,Forjães,Portugal,1993-01-14 00:00:00,Attacking Midfield,Midfield,right,174.0,,,https://img.a.transfermarkt.technology/portrait/header/203654-1547405320.png?lm=1,12.0,0.0,,https://www.transfermarkt.co.uk/toze/profil/spieler/203654,SA1,Al-Riyadh Saudi Club,2500000.0,4800000.0
264811,Victor,Lekhal,Victor Lekhal,2025,31008,victor-lekhal,France,Fécamp,Algeria,1994-02-27 00:00:00,Defensive Midfield,Midfield,right,187.0,,,https://img.a.transfermarkt.technology/portrait/header/264811-1739290142.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/victor-lekhal/profil/spieler/264811,SA1,Al-Riyadh Saudi Club,800000.0,2500000.0
308989,Sergio,González,Sergio González,2025,31008,sergio-gonzalez,Spain,Madrid,Spain,1992-04-20 00:00:00,Centre-Back,Defender,right,189.0,,Roalza,https://img.a.transfermarkt.technology/portrait/header/308989-1701789701.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sergio-gonzalez/profil/spieler/308989,SA1,Al-Riyadh Saudi Club,700000.0,1800000.0
379875,Leandro,Antunes,Leandro Antunes,2025,31008,leandro-antunes,Portugal,Rio Maior,Portugal,1997-07-28 00:00:00,Centre-Forward,Attack,right,183.0,,MadeinFootball,https://img.a.transfermarkt.technology/portrait/header/379875-1537884232.jpg?lm=1,,,,https://www.transfermarkt.co.uk/leandro-antunes/profil/spieler/379875,SA1,Al-Riyadh Saudi Club,1500000.0,1500000.0
503327,Teddy,Okou,Teddy Okou,2025,31008,teddy-okou,France,Paris,France,1998-05-15 00:00:00,Right Winger,Attack,left,166.0,,,https://img.a.transfermarkt.technology/portrait/header/503327-1677525643.jpg?lm=1,,,,https://www.transfermarkt.co.uk/teddy-okou/profil/spieler/503327,SA1,Al-Riyadh Saudi Club,1000000.0,1200000.0
509900,Abdullah,Hassoun,Abdullah Hassoun,2025,31008,abdullah-hassoun,,,Saudi Arabia,1997-03-19 00:00:00,Right-Back,Defender,right,177.0,,ENV SPORTS,https://img.a.transfermarkt.technology/portrait/header/509900-1698421629.jpeg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/abdullah-hassoun/profil/spieler/509900,SA1,Al-Riyadh Saudi Club,150000.0,275000.0
