player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
107010,Stefan,Savic,Stefan Savic,2025,449,stefan-savic,Jugoslawien (SFR),Mojkovac,Montenegro,1991-01-08 00:00:00,Centre-Back,Defender,right,187.0,2027-06-30 00:00:00,Zarko Pelicic,https://img.a.transfermarkt.technology/portrait/header/107010-1756296906.png?lm=1,77.0,9.0,,https://www.transfermarkt.co.uk/stefan-savic/profil/spieler/107010,TR1,Trabzonspor Kulübü,500000.0,40000000.0,76265
109217,Edin,Visca,Edin Visca,2025,449,edin-visca,Jugoslawien (SFR),Olovo,Bosnia-Herzegovina,1990-02-17 00:00:00,Right Winger,Attack,right,172.0,2026-06-30 00:00:00,SC SPORT,https://img.a.transfermarkt.technology/portrait/header/109217-1756307005.png?lm=1,55.0,10.0,,https://www.transfermarkt.co.uk/edin-visca/profil/spieler/109217,TR1,Trabzonspor Kulübü,300000.0,13000000.0,109779
137616,Okay,Yokuşlu,Okay Yokuşlu,2025,449,okay-yokuslu,Türkiye,Izmir,Türkiye,1994-03-09 00:00:00,Defensive Midfield,Midfield,right,190.0,2027-06-30 00:00:00,FutureBall,https://img.a.transfermarkt.technology/portrait/header/137616-1756290191.png?lm=1,47.0,1.0,,https://www.transfermarkt.co.uk/okay-yokuslu/profil/spieler/137616,TR1,Trabzonspor Kulübü,1500000.0,12000000.0,97967
175988,Anthony,Nwakaeme,Anthony Nwakaeme,2025,449,anthony-nwakaeme,Nigeria,Lagos,Nigeria,1989-03-21 00:00:00,Left Winger,Attack,right,185.0,2026-06-30 00:00:00,DWMA,https://img.a.transfermarkt.technology/portrait/header/175988-1756296640.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/anthony-nwakaeme/profil/spieler/175988,TR1,Trabzonspor Kulübü,200000.0,5500000.0,139455
234509,André,Onana,André Onana,2025,449,andre-onana,Cameroon,Nkol Ngok,Cameroon,1996-04-02 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2026-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/234509-1769612568.jpg?lm=1,53.0,0.0,,https://www.transfermarkt.co.uk/andre-onana/profil/spieler/234509,TR1,Trabzonspor Kulübü,12000000.0,45000000.0,787498
236471,Ozan,Tufan,Ozan Tufan,2025,449,ozan-tufan,Türkiye,Bursa,Türkiye,1995-03-23 00:00:00,Central Midfield,Midfield,right,179.0,2027-06-30 00:00:00,FutureBall,https://img.a.transfermarkt.technology/portrait/header/236471-1756296765.png?lm=1,65.0,9.0,,https://www.transfermarkt.co.uk/ozan-tufan/profil/spieler/236471,TR1,Trabzonspor Kulübü,1500000.0,11000000.0,251907
248271,Umut,Nayir,Umut Nayir,2025,449,umut-nayir,Türkiye,Kayseri,Türkiye,1993-06-28 00:00:00,Centre-Forward,Attack,right,191.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/248271-1770414842.png?lm=1,5.0,1.0,,https://www.transfermarkt.co.uk/umut-nayir/profil/spieler/248271,TR1,Trabzonspor Kulübü,700000.0,1500000.0,284767
272855,Paul,Onuachu,Paul Onuachu,2025,449,paul-onuachu,Nigeria,Lagos,Nigeria,1994-05-28 00:00:00,Centre-Forward,Attack,right,201.0,2028-06-30 00:00:00,CMG Sports,https://img.a.transfermarkt.technology/portrait/header/272855-1756305316.png?lm=1,32.0,4.0,,https://www.transfermarkt.co.uk/paul-onuachu/profil/spieler/272855,TR1,Trabzonspor Kulübü,6000000.0,22000000.0,295123
289075,Oleksandr,Zubkov,Oleksandr Zubkov,2025,449,oleksandr-zubkov,Ukraine,"Makiivka, Donetsk Oblast",Ukraine,1996-08-03 00:00:00,Right Winger,Attack,left,182.0,2029-06-30 00:00:00,ProStar,https://img.a.transfermarkt.technology/portrait/header/289075-1756298697.png?lm=1,44.0,3.0,,https://www.transfermarkt.co.uk/oleksandr-zubkov/profil/spieler/289075,TR1,Trabzonspor Kulübü,7000000.0,8000000.0,353282
390379,Mustafa,Eskihellaç,Mustafa Eskihellaç,2025,449,mustafa-eskihellac,Türkiye,Trabzon,Türkiye,1997-05-05 00:00:00,Left-Back,Defender,right,175.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/390379-1756296973.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/mustafa-eskihellac/profil/spieler/390379,TR1,Trabzonspor Kulübü,3500000.0,3500000.0,899069
