player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
46083,Domagoj,Vida,Domagoj Vida,2025,2441,domagoj-vida,Jugoslawien (SFR),Nasice,Croatia,1989-04-29 00:00:00,Centre-Back,Defender,right,184.0,2026-06-30 00:00:00,GPA Turkey,https://img.a.transfermarkt.technology/portrait/header/46083-1754428878.png?lm=1,105.0,4.0,,https://www.transfermarkt.co.uk/domagoj-vida/profil/spieler/46083,GR1,Athlitiki Enosi Konstantinoupoleos,600000.0,12000000.0
112302,Roberto,Pereyra,Roberto Pereyra,2025,2441,roberto-pereyra,Argentina,San Miguel de Tucumán,Argentina,1991-01-07 00:00:00,Central Midfield,Midfield,both,182.0,2026-06-30 00:00:00,All In Sports,https://img.a.transfermarkt.technology/portrait/header/112302-1754429329.png?lm=1,19.0,2.0,,https://www.transfermarkt.co.uk/roberto-pereyra/profil/spieler/112302,GR1,Athlitiki Enosi Konstantinoupoleos,800000.0,17000000.0
128011,Petros,Mantalos,Petros Mantalos,2025,2441,petros-mantalos,Greece,Komotini,Greece,1991-08-31 00:00:00,Attacking Midfield,Midfield,right,177.0,2027-06-30 00:00:00,feel soccer GmbH,https://img.a.transfermarkt.technology/portrait/header/128011-1754429436.png?lm=1,71.0,7.0,,https://www.transfermarkt.co.uk/petros-mantalos/profil/spieler/128011,GR1,Athlitiki Enosi Konstantinoupoleos,1000000.0,4000000.0
146799,Alberto,Brignoli,Alberto Brignoli,2025,2441,alberto-brignoli,Italy,Trescore Balneario,Italy,1991-08-19 00:00:00,Goalkeeper,Goalkeeper,left,188.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/146799-1754428589.png?lm=1,,,,https://www.transfermarkt.co.uk/alberto-brignoli/profil/spieler/146799,GR1,Athlitiki Enosi Konstantinoupoleos,800000.0,1800000.0
147462,Alexander,Callens,Alexander Callens,2025,2441,alexander-callens,Peru,Callao,Peru,1992-05-04 00:00:00,Centre-Back,Defender,left,186.0,2026-06-30 00:00:00,DV7 Management,https://img.a.transfermarkt.technology/portrait/header/147462-1754428831.png?lm=1,51.0,3.0,,https://www.transfermarkt.co.uk/alexander-callens/profil/spieler/147462,GR1,Athlitiki Enosi Konstantinoupoleos,300000.0,2200000.0
148355,Jens,Jönsson,Jens Jönsson,2025,2441,jens-jonsson,Denmark,Aarhus,Denmark,1993-01-10 00:00:00,Defensive Midfield,Midfield,right,182.0,2026-06-30 00:00:00,Beckster Int.,https://img.a.transfermarkt.technology/portrait/header/148355-1754429230.png?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/jens-jonsson/profil/spieler/148355,GR1,Athlitiki Enosi Konstantinoupoleos,1200000.0,4000000.0
149729,,João Mário,João Mário,2025,2441,joao-mario,Portugal,Porto,Portugal,1993-01-19 00:00:00,Attacking Midfield,Midfield,right,179.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/149729-1757717410.png?lm=1,56.0,3.0,,https://www.transfermarkt.co.uk/joao-mario/profil/spieler/149729,GR1,Athlitiki Enosi Konstantinoupoleos,1800000.0,35000000.0
215864,Mijat,Gacinovic,Mijat Gacinovic,2025,2441,mijat-gacinovic,Yugoslavia (Republic),Novi Sad,Serbia,1995-02-08 00:00:00,Attacking Midfield,Midfield,right,175.0,2026-06-30 00:00:00,ONEANDTEN,https://img.a.transfermarkt.technology/portrait/header/215864-1754429398.png?lm=1,28.0,2.0,,https://www.transfermarkt.co.uk/mijat-gacinovic/profil/spieler/215864,GR1,Athlitiki Enosi Konstantinoupoleos,1800000.0,11000000.0
222209,Thomas,Strakosha,Thomas Strakosha,2025,2441,thomas-strakosha,Greece,Athens,Albania,1995-03-19 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/222209-1754428551.png?lm=1,46.0,0.0,,https://www.transfermarkt.co.uk/thomas-strakosha/profil/spieler/222209,GR1,Athlitiki Enosi Konstantinoupoleos,3000000.0,25000000.0
222813,Marko,Grujić,Marko Grujić,2025,2441,marko-grujic,Yugoslavia (Republic),Belgrade,Serbia,1996-04-13 00:00:00,Defensive Midfield,Midfield,right,191.0,2026-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/222813-1757717361.png?lm=1,30.0,0.0,,https://www.transfermarkt.co.uk/marko-grujic/profil/spieler/222813,GR1,Athlitiki Enosi Konstantinoupoleos,2500000.0,20000000.0
